date,CME,dcf,Deviation
2002-12-06,8.58,14.98892410826924,-0.4275773272301445
2002-12-09,8.4,15.13892410826924,-0.44513890551761726
2002-12-10,8.55,15.59892410826924,-0.45188527486536656
2002-12-11,9.01,15.368924108269239,-0.4137520664083326
2002-12-12,8.78,15.31892410826924,-0.42685269944900983
2002-12-13,8.73,15.208924108269239,-0.4259949002406149
2002-12-16,8.62,15.23892410826924,-0.43434326867456163
2002-12-17,8.65,15.118924108269239,-0.4278693418886258
2002-12-18,8.53,15.04892410826924,-0.4331820707825321
2002-12-19,8.46,15.47892410826924,-0.45345038577452224
2002-12-20,8.89,15.268924108269239,-0.4177716820803755
2002-12-23,8.68,15.198924108269239,-0.42890694511215466
2002-12-24,8.61,15.108924108269239,-0.4301381131904901
2002-12-26,8.52,14.98892410826924,-0.43158028298377993
2002-12-27,8.4,15.04892410826924,-0.441820562083619
2002-12-30,8.46,15.31892410826924,-0.44774189491328276
2002-12-31,8.73,12.78163276081882,-0.3169886693379902
2003-01-02,8.74,13.20163276081882,-0.337960678171606
2003-01-03,9.16,13.66163276081882,-0.32950913259280223
2003-01-06,9.62,13.64163276081882,-0.29480582209848527
2003-01-07,9.6,13.64163276081882,-0.29627192226044263
2003-01-08,9.6,13.85163276081882,-0.30694090972763355
2003-01-09,9.81,13.84163276081882,-0.29126858301219105
2003-01-10,9.8,13.96163276081882,-0.2980763662898943
2003-01-13,9.92,13.86163276081882,-0.28435558991002907
2003-01-14,9.82,13.45163276081882,-0.2699770968619394
2003-01-15,9.41,13.12163276081882,-0.28286363659724956
2003-01-16,9.08,13.04163276081882,-0.3037681579810171
2003-01-17,9.0,12.93163276081882,-0.3040322002285094
2003-01-21,8.89,12.87163276081882,-0.30933393104089235
2003-01-22,8.83,13.13163276081882,-0.3275779058986258
2003-01-23,9.09,13.44163276081882,-0.3237428695049196
2003-01-24,9.4,13.29163276081882,-0.29278816461816526
2003-01-27,9.25,13.24163276081882,-0.3014456625492452
2003-01-28,9.2,13.34163276081882,-0.3104292281962523
2003-01-29,9.3,12.88163276081882,-0.2780418311343905
2003-01-30,8.84,12.54163276081882,-0.295147596123453
2003-01-31,8.5,12.51163276081882,-0.32063223381856043
2003-02-03,8.47,12.44163276081882,-0.31922118560887613
2003-02-04,8.4,12.39163276081882,-0.32212322926805803
2003-02-05,8.35,12.34163276081882,-0.32342825606439374
2003-02-06,8.3,12.46163276081882,-0.3339556573921514
2003-02-07,8.42,12.64163276081882,-0.33394679632707336
2003-02-10,8.6,12.62163276081882,-0.31863015166335096
2003-02-11,8.58,12.62163276081882,-0.3202147327059943
2003-02-12,8.58,12.74163276081882,-0.32661691314915753
2003-02-13,8.7,12.94163276081882,-0.3277509754148248
2003-02-14,8.9,12.94163276081882,-0.31229697484964825
2003-02-18,8.9,12.99163276081882,-0.31494369000012723
2003-02-19,8.95,13.05163276081882,-0.3142620418444486
2003-02-20,9.01,13.11163276081882,-0.3128239507344678
2003-02-21,9.07,13.15163276081882,-0.31035178939749364
