date,NLOK,dcf,Deviation
2019-03-08,21.95,26.039270998415216,-0.15704245324932853
2019-03-11,22.38,26.119270998415214,-0.1431613845057963
2019-03-12,22.46,26.609270998415212,-0.15593328350342006
2019-03-13,22.95,26.589270998415213,-0.13686990510691788
2019-03-14,22.93,26.679270998415213,-0.14053123860235628
2019-03-15,23.02,26.729270998415213,-0.1387718729266929
2019-03-18,23.07,26.869270998415214,-0.14139836539068362
2019-03-19,23.21,26.799270998415214,-0.1339316654780448
2019-03-20,23.14,27.249270998415213,-0.15080297005575682
2019-03-21,23.59,26.519270998415212,-0.11045820221039504
2019-03-22,22.86,26.539270998415216,-0.13863496848255263
2019-03-25,22.88,26.889270998415213,-0.14910300092001416
2019-03-26,23.23,26.499270998415213,-0.12337211082564237
2019-03-27,22.84,26.599270998415214,-0.1413298506804639
2019-03-28,22.94,26.649270998415215,-0.13918846030106402
2019-03-29,22.99,25.899531013615732,-0.11233913896302428
2019-04-01,23.19,25.859531013615733,-0.1032319964430195
2019-04-02,23.15,26.039531013615733,-0.11096709123159076
2019-04-03,23.33,25.749531013615734,-0.09396408083457308
2019-04-04,23.04,25.699531013615733,-0.10348558548429154
2019-04-05,22.99,26.949531013615733,-0.1469239302018005
2019-04-08,24.24,26.589531013615733,-0.08836301070570252
2019-04-09,23.88,26.449531013615733,-0.09714845273789496
2019-04-10,23.74,26.609531013615733,-0.10783846630545402
2019-04-11,23.9,26.669531013615735,-0.10384625857131846
2019-04-12,23.96,27.119531013615735,-0.11650389573586095
2019-04-15,24.41,27.009531013615735,-0.0962449519136519
2019-04-16,24.3,27.179531013615733,-0.10594483812738398
2019-04-17,24.47,27.109531013615733,-0.0973654251816467
2019-04-18,24.4,26.969531013615732,-0.09527533171854163
2019-04-22,24.26,26.999531013615734,-0.10146587406404206
2019-04-23,24.29,26.959531013615734,-0.09901993518609453
2019-04-24,24.25,26.839531013615733,-0.09648197698767769
2019-04-25,24.13,26.949531013615733,-0.10462263748453438
2019-04-26,24.24,27.039531013615733,-0.10353474741133761
2019-04-29,24.33,26.919531013615735,-0.09619524992118056
2019-04-30,24.21,26.559531013615732,-0.08846282008561246
2019-05-01,23.85,26.059531013615732,-0.08478782724298772
2019-05-02,23.35,26.259531013615735,-0.11079904710054123
2019-05-03,23.55,25.899531013615732,-0.09071712581901781
2019-05-06,23.19,25.079531013615735,-0.07534156091634658
2019-05-07,22.37,24.969531013615732,-0.1041081233042872
2019-05-08,22.26,24.879531013615733,-0.1052886009861741
2019-05-09,22.17,22.099531013615735,0.003188709585775884
2019-05-10,19.39,21.849531013615735,-0.11256676457188286
2019-05-13,19.14,22.179531013615733,-0.13704216792274837
2019-05-14,19.47,22.199531013615733,-0.12295444493586916
2019-05-15,19.49,22.419531013615735,-0.1306687018491416
2019-05-16,19.71,22.549531013615734,-0.12592417163360003
