date,DAL,dcf,Deviation
2007-05-03,20.72,23.073,-0.10198067004724143
2007-05-04,20.98,22.453,-0.0656037055181935
2007-05-07,20.36,21.723,-0.06274455646089394
2007-05-08,19.63,21.883,-0.10295663300278757
2007-05-09,19.79,21.793,-0.09191024640939749
2007-05-10,19.7,21.393,-0.0791380358061049
2007-05-11,19.3,20.983,-0.08020778725635036
2007-05-14,18.89,20.293,-0.06913714088601974
2007-05-15,18.2,20.433,-0.10928400137033234
2007-05-16,18.34,21.113,-0.1313408800265239
2007-05-17,19.02,21.403,-0.11133953184133061
2007-05-18,19.31,21.093,-0.08453041293320063
2007-05-21,19.0,21.573,-0.11926945719186022
2007-05-22,19.48,21.303,-0.08557480167112619
2007-05-23,19.21,21.113,-0.09013404063846908
2007-05-24,19.02,20.853,-0.08790102143576473
2007-05-25,18.76,21.183,-0.11438417599018069
2007-05-29,19.09,21.073,-0.09410145684050686
2007-05-30,18.98,21.143,-0.1023033628151161
2007-05-31,19.05,21.643,-0.11980779004759046
2007-06-01,19.55,20.933,-0.06606793101800978
2007-06-04,18.84,21.043,-0.10469039585610418
2007-06-05,18.95,21.023,-0.09860628835085383
2007-06-06,18.93,20.573,-0.0798619549895494
2007-06-07,18.48,20.923,-0.1167614586818333
2007-06-08,18.83,20.473,-0.08025203927123536
2007-06-11,18.38,20.493,-0.10310837847069731
2007-06-12,18.4,20.733,-0.1125259248540974
2007-06-13,18.64,20.993,-0.11208498070785489
2007-06-14,18.9,20.973,-0.09884136747246464
2007-06-15,18.88,20.633,-0.08496098483012648
2007-06-18,18.54,20.963,-0.11558460144063354
2007-06-19,18.87,21.453,-0.12040274087540193
2007-06-20,19.36,21.603,-0.10382817201314642
2007-06-21,19.51,21.843,-0.10680767293869886
2007-06-22,19.75,21.523,-0.08237699205501092
2007-06-25,19.43,21.583,-0.09975443636195147
2007-06-26,19.49,21.513,-0.09403616417979843
2007-06-27,19.42,21.763,-0.10765978955107292
2007-06-28,19.67,21.793,-0.09741660166108368
2007-06-29,19.7,21.41,-0.07986921999065866
2007-07-02,19.58,22.08,-0.11322463768115942
2007-07-03,20.25,22.35,-0.09395973154362425
2007-07-05,20.52,22.66,-0.09443954104148278
2007-07-06,20.83,23.16,-0.10060449050086362
2007-07-09,21.33,22.48,-0.05115658362989328
2007-07-10,20.65,21.95,-0.059225512528473856
2007-07-11,20.12,22.26,-0.09613656783468105
2007-07-12,20.43,22.33,-0.08508732646663675
2007-07-13,20.5,22.77,-0.09969257795344755
2007-07-16,20.94,23.02,-0.09035621198957422
2007-07-17,21.19,23.2,-0.0866379310344827
2007-07-18,21.37,23.34,-0.08440445586975143
2007-07-19,21.51,23.23,-0.07404218682737829
2007-07-20,21.4,22.94,-0.06713164777680913
2007-07-23,21.11,23.16,-0.08851468048359246
2007-07-24,21.33,22.61,-0.05661211853162318
2007-07-25,20.78,21.19,-0.01934874941009912
2007-07-26,19.36,20.42,-0.05190989226248788
2007-07-27,18.59,19.88,-0.06488933601609659
2007-07-30,18.05,19.65,-0.0814249363867684
2007-07-31,17.82,20.18,-0.11694747274529238
2007-08-01,18.35,20.71,-0.1139546112988894
2007-08-02,18.88,20.53,-0.08037018996590362
2007-08-03,18.7,19.85,-0.057934508816121055
2007-08-06,18.02,20.28,-0.1114398422090731
2007-08-07,18.45,20.32,-0.09202755905511817
2007-08-08,18.49,19.7,-0.06142131979695431
2007-08-09,17.87,19.39,-0.07839092315626606
2007-08-10,17.56,19.12,-0.08158995815899595
2007-08-13,17.29,18.8,-0.08031914893617031
2007-08-14,16.97,17.58,-0.03469852104664384
2007-08-15,15.75,17.75,-0.11267605633802813
2007-08-16,15.92,17.83,-0.10712282669657869
2007-08-17,16.0,17.91,-0.10664433277498608
2007-08-20,16.08,19.54,-0.1770726714431935
2007-08-21,17.71,19.93,-0.11138986452584043
2007-08-22,18.1,19.83,-0.08724155320221871
2007-08-23,18.0,20.07,-0.10313901345291476
2007-08-24,18.24,19.53,-0.06605222734255001
2007-08-27,17.7,19.18,-0.07716371220020857
2007-08-28,17.35,19.19,-0.09588327253778006
2007-08-29,17.36,18.81,-0.07708665603402443
2007-08-30,16.98,18.71,-0.09246392303580975
2007-08-31,16.88,19.36,-0.12809917355371903
2007-09-04,17.53,19.45,-0.09871465295629811
2007-09-05,17.62,19.9,-0.11457286432160796
2007-09-06,18.07,19.45,-0.07095115681233932
2007-09-07,17.62,19.27,-0.08562532433834968
2007-09-10,17.44,19.52,-0.10655737704918022
2007-09-11,17.69,18.98,-0.06796628029504737
2007-09-12,17.15,19.42,-0.11688980432543783
2007-09-13,17.59,19.48,-0.09702258726899382
2007-09-14,17.65,18.98,-0.07007376185458392
2007-09-17,17.15,19.28,-0.11047717842323668
2007-09-18,17.45,20.12,-0.13270377733598415
2007-09-19,18.29,19.55,-0.06445012787723792
2007-09-20,17.72,19.39,-0.08612686952037141
2007-09-21,17.56,17.86,-0.016797312430011258
2007-09-24,16.03,18.91,-0.1523003701745108
2007-09-25,17.08,19.7,-0.13299492385786804
2007-09-26,17.87,19.65,-0.09058524173027982
2007-09-27,17.82,19.78,-0.0990899898887766
2007-09-28,17.95,19.843,-0.09539888121755791
2007-10-01,18.22,20.603,-0.11566276755812277
2007-10-02,18.98,20.903,-0.09199636415825474
2007-10-03,19.28,20.233,-0.04710127020214494
2007-10-04,18.61,20.813,-0.10584730697160427
2007-10-05,19.19,21.103,-0.09065061839548882
2007-10-08,19.48,21.213,-0.08169518691368505
2007-10-09,19.59,21.253,-0.07824777678445394
2007-10-10,19.63,21.013,-0.0658163993718176
2007-10-11,19.39,21.583,-0.10160774683778895
2007-10-12,19.96,21.623,-0.07690884706099987
2007-10-15,20.0,21.703,-0.07846841450490716
2007-10-16,20.08,22.023,-0.08822594560232488
2007-10-17,20.4,21.583,-0.05481165732289306
2007-10-18,19.96,21.123,-0.055058467073805795
2007-10-19,19.5,21.623,-0.09818249086620734
2007-10-22,20.0,22.443,-0.10885354007931214
2007-10-23,20.82,22.203,-0.0622888798810971
2007-10-24,20.58,21.683,-0.050869344647880954
2007-10-25,20.06,21.363,-0.06099330618358845
2007-10-26,19.74,21.473,-0.08070600288734697
2007-10-29,19.85,22.303,-0.10998520378424426
2007-10-30,20.68,22.423,-0.07773268518931453
2007-10-31,20.8,21.823,-0.04687714796315812
2007-11-01,20.2,21.553,-0.06277548369136554
2007-11-02,19.93,21.133,-0.056925188094449464
2007-11-05,19.51,20.133,-0.03094422093080995
2007-11-06,18.51,19.073,-0.029518167042415944
2007-11-07,17.45,18.623,-0.06298662943671818
2007-11-08,17.0,18.123,-0.06196545825746291
2007-11-09,16.5,19.503,-0.1539763113367174
2007-11-12,17.88,20.373,-0.12236783978795474
2007-11-13,18.75,21.143,-0.11318166769143456
2007-11-14,19.52,21.463,-0.09052788519778232
2007-11-15,19.84,21.593,-0.08118371694530635
2007-11-16,19.97,20.633,-0.03213299083991661
2007-11-19,19.01,19.073,-0.0033030986210873525
2007-11-20,17.45,19.533,-0.10664004505196345
2007-11-21,17.91,19.773,-0.09421939007737823
2007-11-23,18.15,19.103,-0.0498874522326338
2007-11-26,17.48,19.183,-0.08877652087786059
2007-11-27,17.56,20.393,-0.13892021772176733
2007-11-28,18.77,20.253,-0.07322371994272459
2007-11-29,18.63,21.383,-0.1287471355749895
2007-11-30,19.76,21.203,-0.06805640711220096
2007-12-03,19.58,20.233,-0.03227400780902501
2007-12-04,18.61,19.923,-0.06590372935802835
2007-12-05,18.3,20.003,-0.08513722941558766
2007-12-06,18.38,20.323,-0.09560596368646368
2007-12-07,18.7,19.863,-0.058551074862810304
2007-12-10,18.24,18.653,-0.022141210529137423
2007-12-11,17.03,17.363,-0.019178713355986754
2007-12-12,15.74,16.973,-0.07264478878218339
2007-12-13,15.35,17.223,-0.10874992742263245
2007-12-14,15.6,16.153,-0.03423512660186956
2007-12-17,14.53,15.793,-0.07997213955549931
2007-12-18,14.17,16.363,-0.13402187862861337
2007-12-19,14.74,16.003,-0.07892270199337625
2007-12-20,14.38,16.703,-0.1390768125486439
2007-12-21,15.08,16.733,-0.098786828422877
2007-12-24,15.11,16.403,-0.07882704383344508
2007-12-26,14.78,16.043,-0.07872592407903756
2007-12-27,14.42,16.223,-0.11113850705788075
2007-12-28,14.6,16.513,-0.11584811966329567
2007-12-31,14.89,16.438,-0.09417204039420846
2008-01-02,13.79,16.298,-0.15388391213645847
2008-01-03,13.65,16.018,-0.14783368710201028
2008-01-04,13.37,16.038,-0.16635490709564793
2008-01-07,13.39,14.418,-0.07129976418365924
2008-01-08,11.77,16.168,-0.2720188025729837
2008-01-09,13.52,18.628,-0.2742108653639682
2008-01-10,15.98,18.128,-0.11849073256840248
2008-01-11,15.48,17.948,-0.13750835747715617
2008-01-14,15.3,18.628,-0.17865578698733087
2008-01-15,15.98,18.648,-0.143071643071643
2008-01-16,16.0,17.838,-0.10303845722614646
2008-01-17,15.19,17.788,-0.14605351922644483
2008-01-18,15.14,17.498,-0.13475825808663855
2008-01-22,14.85,18.628,-0.20281296972299767
2008-01-23,15.98,18.638,-0.14261186822620453
2008-01-24,15.99,18.858,-0.15208399618199175
2008-01-25,16.21,18.808,-0.1381327094853253
2008-01-28,16.16,18.658,-0.13388358880909002
