date,PH,dcf,Deviation
1980-03-17,5.23,,
1980-03-18,5.31,,
1980-03-19,5.28,,
1980-03-20,5.23,,
1980-03-21,5.26,,
1980-03-24,5.21,,
1980-03-25,5.09,,
1980-03-26,5.16,,
1980-03-27,4.94,,
1980-03-28,4.96,,
1980-03-31,5.06,,
1980-04-01,4.89,,
1980-04-02,4.89,,
1980-04-03,5.11,,
1980-04-07,5.14,,
1980-04-08,5.33,,
1980-04-09,5.33,,
1980-04-10,5.31,,
1980-04-11,5.16,,
1980-04-14,5.14,,
1980-04-15,5.14,,
1980-04-16,5.06,,
1980-04-17,4.94,,
1980-04-18,5.01,,
1980-04-21,4.94,,
1980-04-22,5.04,,
1980-04-23,5.26,,
1980-04-24,5.23,,
1980-04-25,5.14,,
1980-04-28,5.14,,
1980-04-29,5.11,,
1980-04-30,5.06,,
1980-05-01,5.09,,
1980-05-02,4.94,,
1980-05-05,4.94,,
1980-05-06,4.94,,
1980-05-07,4.86,,
1980-05-08,4.84,,
1980-05-09,4.74,,
1980-05-12,4.79,,
1980-05-13,4.79,,
1980-05-14,4.89,,
1980-05-15,4.84,,
1980-05-16,4.89,,
1980-05-19,4.79,,
1980-05-20,4.77,,
1980-05-21,4.89,,
1980-05-22,5.14,,
1980-05-23,5.01,,
1980-05-27,5.04,,
1980-05-28,5.01,,
1980-05-29,5.14,,
1980-05-30,5.04,,
1980-06-02,5.04,,
1980-06-03,5.04,,
1980-06-04,5.14,,
1980-06-05,5.28,,
1980-06-06,5.23,,
1980-06-09,5.23,,
1980-06-10,5.19,,
1980-06-11,5.14,,
1980-06-12,5.09,,
1980-06-13,5.06,,
1980-06-16,5.11,,
1980-06-17,5.16,,
1980-06-18,5.19,,
1980-06-19,5.11,,
1980-06-20,5.04,,
1980-06-23,5.06,,
1980-06-24,4.99,,
1980-06-25,5.11,,
1980-06-26,5.01,,
1980-06-27,4.96,,
1980-06-30,4.91,,
1980-07-01,4.99,,
1980-07-02,5.09,,
1980-07-03,5.09,,
1980-07-07,5.11,,
1980-07-08,5.19,,
1980-07-09,5.23,,
1980-07-10,5.33,,
1980-07-11,5.31,,
1980-07-14,5.43,,
1980-07-15,5.53,,
1980-07-16,5.58,,
1980-07-17,5.68,,
1980-07-18,5.83,,
1980-07-21,5.83,,
1980-07-22,5.85,,
1980-07-23,5.85,,
1980-07-24,5.9,,
1980-07-25,5.88,,
1980-07-28,5.93,,
1980-07-29,5.98,,
1980-07-30,6.15,,
1980-07-31,6.05,,
1980-08-01,6.12,,
1980-08-04,6.1,,
1980-08-05,6.1,,
1980-08-06,6.15,,
1980-08-07,6.05,,
1980-08-08,6.1,,
1980-08-11,6.12,,
1980-08-12,6.02,,
1980-08-13,6.05,,
1980-08-14,6.0,,
1980-08-15,5.93,,
1980-08-18,5.58,,
1980-08-19,5.68,,
1980-08-20,5.73,,
1980-08-21,5.7,,
1980-08-22,5.73,,
1980-08-25,5.63,,
1980-08-26,5.6,,
1980-08-27,5.56,,
1980-08-28,5.6,,
1980-08-29,5.56,,
1980-09-02,5.53,,
1980-09-03,5.63,,
1980-09-04,5.6,,
1980-09-05,5.53,,
1980-09-08,5.43,,
1980-09-09,5.43,,
1980-09-10,5.48,,
1980-09-11,5.53,,
1980-09-12,5.53,,
1980-09-15,5.53,,
1980-09-16,5.58,,
1980-09-17,5.6,,
1980-09-18,5.68,,
1980-09-19,5.8,,
1980-09-22,5.78,,
1980-09-23,5.8,,
1980-09-24,5.68,,
1980-09-25,5.68,,
1980-09-26,5.56,,
1980-09-29,5.38,,
1980-09-30,5.38,,
1980-10-01,5.43,,
1980-10-02,5.38,,
1980-10-03,5.41,,
1980-10-06,5.53,,
1980-10-07,5.58,,
1980-10-08,5.63,,
1980-10-09,5.63,,
1980-10-10,5.63,,
1980-10-13,5.56,,
1980-10-14,5.56,,
1980-10-15,5.51,,
1980-10-16,5.51,,
1980-10-17,5.53,,
1980-10-20,5.51,,
1980-10-21,5.53,,
1980-10-22,5.56,,
1980-10-23,5.48,,
1980-10-24,5.63,,
1980-10-27,5.68,,
1980-10-28,5.63,,
1980-10-29,5.53,,
1980-10-30,5.46,,
1980-10-31,5.26,,
1980-11-03,5.36,,
1980-11-05,5.7,,
1980-11-06,5.68,,
1980-11-07,5.83,,
1980-11-10,5.98,,
1980-11-11,6.07,,
1980-11-12,6.12,,
1980-11-13,6.37,,
1980-11-14,6.47,,
1980-11-17,6.37,,
1980-11-18,6.72,,
1980-11-19,6.77,,
1980-11-20,6.57,,
1980-11-21,6.52,,
1980-11-24,6.12,,
1980-11-25,6.27,,
1980-11-26,6.42,,
1980-11-28,6.32,,
1980-12-01,6.02,,
1980-12-02,5.93,,
1980-12-03,6.1,,
1980-12-04,6.15,,
1980-12-05,6.22,,
1980-12-08,6.02,,
1980-12-09,6.1,,
1980-12-10,6.22,,
1980-12-11,6.2,,
1980-12-12,6.32,,
1980-12-15,6.35,,
1980-12-16,6.25,,
1980-12-17,6.32,,
1980-12-18,6.32,,
1980-12-19,6.37,,
1980-12-22,6.37,,
1980-12-23,6.49,,
1980-12-24,6.47,,
1980-12-26,6.49,,
1980-12-29,6.35,,
1980-12-30,6.42,,
1980-12-31,6.42,,
1981-01-02,6.27,,
1981-01-05,6.35,,
1981-01-06,6.35,,
1981-01-07,6.25,,
1981-01-08,6.22,,
1981-01-09,6.27,,
1981-01-12,6.3,,
1981-01-13,6.22,,
1981-01-14,6.17,,
1981-01-15,6.12,,
1981-01-16,6.15,,
1981-01-19,6.12,,
1981-01-20,5.95,,
1981-01-21,5.88,,
1981-01-22,5.73,,
1981-01-23,5.88,,
1981-01-26,5.63,,
1981-01-27,5.78,,
1981-01-28,5.68,,
1981-01-29,5.7,,
1981-01-30,5.85,,
1981-02-02,5.73,,
1981-02-03,5.68,,
1981-02-04,5.68,,
1981-02-05,5.7,,
1981-02-06,5.68,,
1981-02-09,5.65,,
1981-02-10,5.68,,
1981-02-11,5.78,,
1981-02-12,5.73,,
1981-02-13,5.65,,
1981-02-17,5.68,,
1981-02-18,5.63,,
1981-02-19,5.63,,
1981-02-20,5.63,,
1981-02-23,5.73,,
1981-02-24,5.9,,
1981-02-25,5.88,,
1981-02-26,6.0,,
1981-02-27,6.12,,
1981-03-02,6.05,,
1981-03-03,6.05,,
1981-03-04,6.15,,
1981-03-05,6.02,,
1981-03-06,6.05,,
1981-03-09,6.17,,
1981-03-10,6.12,,
1981-03-11,6.15,,
1981-03-12,6.35,,
1981-03-13,6.42,,
1981-03-16,6.52,,
1981-03-17,6.49,,
1981-03-18,6.81,,
1981-03-19,6.79,,
1981-03-20,6.86,,
1981-03-23,6.84,,
1981-03-24,6.81,,
1981-03-25,6.81,,
1981-03-26,6.64,,
1981-03-27,6.47,,
1981-03-30,6.42,,
1981-03-31,6.54,,
1981-04-01,6.42,,
1981-04-02,6.52,,
1981-04-03,6.4,,
1981-04-06,6.42,,
1981-04-07,6.54,,
1981-04-08,6.47,,
1981-04-09,6.49,,
1981-04-10,6.57,,
1981-04-13,6.44,,
1981-04-14,6.52,,
1981-04-15,6.62,,
1981-04-16,6.81,,
1981-04-20,6.79,,
1981-04-21,6.67,,
1981-04-22,6.62,,
1981-04-23,6.69,,
1981-04-24,6.67,,
1981-04-27,6.77,,
1981-04-28,6.77,,
1981-04-29,6.79,,
1981-04-30,6.86,,
1981-05-01,7.09,,
1981-05-04,6.91,,
1981-05-05,6.91,,
1981-05-06,6.86,,
1981-05-07,6.79,,
1981-05-08,6.84,,
1981-05-11,6.91,,
1981-05-12,6.81,,
1981-05-13,6.79,,
1981-05-14,6.89,,
1981-05-15,6.91,,
1981-05-18,6.91,,
1981-05-19,7.04,,
1981-05-20,7.26,,
1981-05-21,7.23,,
1981-05-22,7.19,,
1981-05-26,7.14,,
1981-05-27,7.16,,
1981-05-28,7.14,,
1981-05-29,7.16,,
1981-06-01,7.09,,
1981-06-02,7.16,,
1981-06-03,7.21,,
1981-06-04,7.11,,
1981-06-05,7.31,,
1981-06-08,7.36,,
1981-06-09,7.48,,
1981-06-10,7.36,,
1981-06-11,7.33,,
1981-06-12,7.33,,
1981-06-15,7.31,,
1981-06-16,7.16,,
1981-06-17,7.06,,
1981-06-18,7.09,,
1981-06-19,6.96,,
1981-06-22,7.06,,
1981-06-23,7.31,,
1981-06-24,7.26,,
1981-06-25,7.26,,
1981-06-26,7.19,,
1981-06-29,7.16,,
1981-06-30,7.06,,
1981-07-01,7.11,,
1981-07-02,7.04,,
1981-07-06,6.91,,
1981-07-07,6.91,,
1981-07-08,6.91,,
1981-07-09,6.86,,
1981-07-10,6.86,,
1981-07-13,6.84,,
1981-07-14,6.54,,
1981-07-15,6.67,,
1981-07-16,6.69,,
1981-07-17,6.67,,
1981-07-20,6.69,,
1981-07-21,6.64,,
1981-07-22,6.67,,
1981-07-23,6.69,,
1981-07-24,6.64,,
1981-07-27,6.72,,
1981-07-28,6.74,,
1981-07-29,6.74,,
1981-07-30,6.62,,
1981-07-31,6.52,,
1981-08-03,6.69,,
1981-08-04,6.62,,
1981-08-05,6.54,,
1981-08-06,6.57,,
1981-08-07,6.67,,
1981-08-10,6.67,,
1981-08-11,6.72,,
1981-08-12,6.69,,
1981-08-13,6.67,,
1981-08-14,6.69,,
1981-08-17,6.62,,
1981-08-18,6.64,,
1981-08-19,6.64,,
1981-08-20,6.64,,
1981-08-21,6.52,,
1981-08-24,6.49,,
1981-08-25,6.52,,
1981-08-26,6.59,,
1981-08-27,6.54,,
1981-08-28,6.49,,
1981-08-31,6.32,,
1981-09-01,6.25,,
1981-09-02,6.27,,
1981-09-03,6.32,,
1981-09-04,6.2,,
1981-09-08,4.12,,
1981-09-09,4.1,,
1981-09-10,4.05,,
1981-09-11,4.05,,
1981-09-14,4.1,,
1981-09-15,4.07,,
1981-09-16,4.0,,
1981-09-17,4.02,,
1981-09-18,3.98,,
1981-09-21,3.9,,
1981-09-22,3.85,,
1981-09-23,3.83,,
1981-09-24,3.88,,
1981-09-25,3.6,,
1981-09-28,3.6,,
1981-09-29,3.7,,
1981-09-30,3.75,,
1981-10-01,3.65,,
1981-10-02,3.6,,
1981-10-05,3.7,,
1981-10-06,3.7,,
1981-10-07,3.7,,
1981-10-08,3.75,,
1981-10-09,3.95,,
1981-10-12,3.98,,
1981-10-13,3.98,,
1981-10-14,3.93,,
1981-10-15,3.93,,
1981-10-16,3.8,,
1981-10-19,3.75,,
1981-10-20,3.78,,
1981-10-21,3.73,,
1981-10-22,3.73,,
1981-10-23,3.83,,
1981-10-26,3.75,,
1981-10-27,3.88,,
1981-10-28,3.9,,
1981-10-29,3.85,,
1981-10-30,3.85,,
1981-11-02,3.75,,
1981-11-03,3.78,,
1981-11-04,3.8,,
1981-11-05,3.8,,
1981-11-06,3.85,,
1981-11-09,3.9,,
1981-11-10,3.85,,
1981-11-11,3.88,,
1981-11-12,4.12,,
1981-11-13,4.07,,
1981-11-16,3.93,,
1981-11-17,3.93,,
1981-11-18,3.9,,
1981-11-19,3.9,,
1981-11-20,3.88,,
1981-11-23,4.02,,
1981-11-24,4.1,,
1981-11-25,4.32,,
1981-11-27,4.44,,
1981-11-30,4.64,,
1981-12-01,4.44,,
1981-12-02,4.35,,
1981-12-03,4.3,,
1981-12-04,4.22,,
1981-12-07,4.17,,
1981-12-08,4.15,,
1981-12-09,4.15,,
1981-12-10,4.22,,
1981-12-11,4.17,,
1981-12-14,4.12,,
1981-12-15,4.27,,
1981-12-16,4.4,,
1981-12-17,4.4,,
1981-12-18,4.52,,
1981-12-21,4.52,,
1981-12-22,4.47,,
1981-12-23,4.44,,
1981-12-24,4.44,,
1981-12-28,4.49,,
1981-12-29,4.59,,
1981-12-30,4.42,,
1981-12-31,4.52,,
1982-01-04,4.35,,
1982-01-05,4.27,,
1982-01-06,4.27,,
1982-01-07,4.15,,
1982-01-08,4.05,,
1982-01-11,4.12,,
1982-01-12,4.12,,
1982-01-13,3.85,,
1982-01-14,3.95,,
1982-01-15,4.0,,
1982-01-18,3.95,,
1982-01-19,3.9,,
1982-01-20,3.95,,
1982-01-21,4.0,,
1982-01-22,4.0,,
1982-01-25,3.9,,
1982-01-26,3.9,,
1982-01-27,3.93,,
1982-01-28,3.98,,
1982-01-29,3.98,,
1982-02-01,3.98,,
1982-02-02,3.9,,
1982-02-03,3.75,,
1982-02-04,3.8,,
1982-02-05,3.78,,
1982-02-08,3.7,,
1982-02-09,3.56,,
1982-02-10,3.56,,
1982-02-11,3.51,,
1982-02-12,3.41,,
1982-02-16,3.56,,
1982-02-17,3.58,,
1982-02-18,3.63,,
1982-02-19,3.63,,
1982-02-22,3.75,,
1982-02-23,3.75,,
1982-02-24,3.83,,
1982-02-25,3.75,,
1982-02-26,3.8,,
1982-03-01,3.8,,
1982-03-02,3.9,,
1982-03-03,3.83,,
1982-03-04,3.65,,
1982-03-05,3.58,,
1982-03-08,3.58,,
1982-03-09,3.6,,
1982-03-10,3.56,,
1982-03-11,3.28,,
1982-03-12,3.43,,
1982-03-15,3.46,,
1982-03-16,3.46,,
1982-03-17,3.48,,
1982-03-18,3.53,,
1982-03-19,3.56,,
1982-03-22,3.63,,
1982-03-23,3.65,,
1982-03-24,3.73,,
1982-03-25,3.75,,
1982-03-26,3.78,,
1982-03-29,3.73,,
1982-03-30,3.73,,
1982-03-31,3.7,,
1982-04-01,3.78,,
1982-04-02,3.7,,
1982-04-05,3.73,,
1982-04-06,3.8,,
1982-04-07,3.75,,
1982-04-08,3.85,,
1982-04-12,3.85,,
1982-04-13,3.85,,
1982-04-14,3.83,,
1982-04-15,3.93,,
1982-04-16,4.0,,
1982-04-19,4.0,,
1982-04-20,4.0,,
1982-04-21,4.07,,
1982-04-22,4.05,,
1982-04-23,3.95,,
1982-04-26,3.98,,
1982-04-27,3.95,,
1982-04-28,3.98,,
1982-04-29,3.93,,
1982-04-30,3.93,,
1982-05-03,3.88,,
1982-05-04,3.88,,
1982-05-05,3.65,,
1982-05-06,3.73,,
1982-05-07,3.7,,
1982-05-10,3.73,,
1982-05-11,3.63,,
1982-05-12,3.7,,
1982-05-13,3.85,,
1982-05-14,3.85,,
1982-05-17,3.78,,
1982-05-18,3.68,,
1982-05-19,3.68,,
1982-05-20,3.63,,
1982-05-21,3.6,,
1982-05-24,3.6,,
1982-05-25,3.56,,
1982-05-26,3.48,,
1982-05-27,3.41,,
1982-05-28,3.36,,
1982-06-01,3.31,,
1982-06-02,3.36,,
1982-06-03,3.41,,
1982-06-04,3.41,,
1982-06-07,3.38,,
1982-06-08,3.36,,
1982-06-09,3.36,,
1982-06-10,3.33,,
1982-06-11,3.31,,
1982-06-14,3.33,,
1982-06-15,3.16,,
1982-06-16,3.14,,
1982-06-17,3.11,,
1982-06-18,3.14,,
1982-06-21,3.14,,
1982-06-22,3.09,,
1982-06-23,3.14,,
1982-06-24,3.16,,
1982-06-25,3.14,,
1982-06-28,3.14,,
1982-06-29,3.09,,
1982-06-30,3.14,,
1982-07-01,3.06,,
