date,APTV,dcf,Deviation
2011-11-17,17.88,,
2011-11-18,17.6,,
2011-11-21,17.02,,
2011-11-22,16.68,,
2011-11-23,16.45,,
2011-11-25,16.47,,
2011-11-28,16.8,,
2011-11-29,16.76,,
2011-11-30,17.47,,
2011-12-01,17.44,,
2011-12-02,17.91,,
2011-12-05,18.25,,
2011-12-06,18.55,,
2011-12-07,18.44,,
2011-12-08,18.18,,
2011-12-09,18.23,,
2011-12-12,18.03,,
2011-12-13,17.86,,
2011-12-14,17.3,,
2011-12-15,17.57,,
2011-12-16,17.58,,
2011-12-19,17.59,,
2011-12-20,18.02,,
2011-12-21,17.94,,
2011-12-22,18.26,,
2011-12-23,18.39,,
2011-12-27,18.15,,
2011-12-28,17.76,,
2011-12-29,17.95,,
2011-12-30,18.06,,
2012-01-03,18.64,,
2012-01-04,18.89,,
2012-01-05,18.56,,
2012-01-06,18.9,,
2012-01-09,19.04,,
2012-01-10,19.97,,
2012-01-11,20.08,,
2012-01-12,20.7,,
2012-01-13,20.79,,
2012-01-17,20.42,,
2012-01-18,20.54,,
2012-01-19,21.01,,
2012-01-20,21.04,,
2012-01-23,21.36,,
2012-01-24,21.63,,
2012-01-25,21.59,,
2012-01-26,21.75,,
2012-01-27,22.77,,
2012-01-30,22.7,,
2012-01-31,22.49,,
2012-02-01,23.96,,
2012-02-02,24.28,,
2012-02-03,25.78,,
2012-02-06,25.58,,
2012-02-07,25.21,,
2012-02-08,25.06,,
2012-02-09,24.98,,
2012-02-10,25.18,,
2012-02-13,25.16,,
2012-02-14,24.36,,
2012-02-15,24.63,,
2012-02-16,25.41,,
2012-02-17,26.23,,
2012-02-21,25.93,,
2012-02-22,26.0,,
2012-02-23,25.98,,
2012-02-24,26.31,,
2012-02-27,26.23,,
2012-02-28,26.72,,
2012-02-29,26.82,,
2012-03-01,26.82,,
2012-03-02,27.1,,
2012-03-05,26.52,,
2012-03-06,25.13,,
2012-03-07,25.16,,
2012-03-08,26.57,,
2012-03-09,26.68,,
2012-03-12,26.76,,
2012-03-13,26.78,,
2012-03-14,26.64,,
2012-03-15,26.59,,
2012-03-16,26.82,,
2012-03-19,26.45,,
2012-03-20,26.1,,
2012-03-21,26.2,,
2012-03-22,25.96,,
2012-03-23,25.96,,
2012-03-26,26.79,,
2012-03-27,26.75,,
2012-03-28,26.45,,
2012-03-29,26.63,,
2012-03-30,26.49,,
2012-04-02,26.45,30.508718299996957,-0.1330347037226196
2012-04-03,26.21,30.808718299996954,-0.14926678400631188
2012-04-04,26.51,30.918718299996957,-0.14259059050314482
2012-04-05,26.62,30.508718299996957,-0.12746252601497665
2012-04-09,26.21,30.148718299996954,-0.13064297662024826
2012-04-10,25.85,30.698718299996955,-0.15794530092800108
2012-04-11,26.4,30.928718299996955,-0.1464243767255432
2012-04-12,26.63,30.998718299996955,-0.14093222363962654
2012-04-13,26.7,31.108718299996955,-0.14171970241529963
2012-04-16,26.81,31.218718299996954,-0.1412203492030416
2012-04-17,26.92,31.288718299996955,-0.1396259910076718
2012-04-18,26.99,31.008718299996957,-0.12959962617988485
2012-04-19,26.71,31.008718299996957,-0.13862934476712563
2012-04-20,26.71,30.698718299996955,-0.12993110204204683
2012-04-23,26.4,29.628718299996954,-0.10897259433585715
2012-04-24,25.33,30.158718299996956,-0.1601101960621929
2012-04-25,25.86,29.968718299996954,-0.13710023427986817
2012-04-26,25.67,30.378718299996954,-0.15500055840069538
2012-04-27,26.08,30.028718299996957,-0.13149806330553104
2012-04-30,25.73,30.168718299996957,-0.14712982685768938
2012-05-01,25.87,30.068718299996956,-0.13963742179184868
2012-05-02,25.77,29.818718299996956,-0.13577774400844622
2012-05-03,25.52,28.918718299996957,-0.11752658830655416
2012-05-04,24.62,29.148718299996954,-0.1553659496581511
2012-05-07,24.85,28.188718299996957,-0.11844164975735405
2012-05-08,23.89,28.208718299996956,-0.1530987070758696
2012-05-09,23.91,28.428718299996955,-0.15894906876605264
2012-05-10,24.13,28.368718299996956,-0.14941522049649358
2012-05-11,24.07,27.778718299996957,-0.1335093383339203
2012-05-14,23.48,27.438718299996957,-0.14427489858363374
2012-05-15,23.14,27.748718299996955,-0.16608760989142557
2012-05-16,23.45,27.338718299996955,-0.14224215844081434
2012-05-17,23.04,27.148718299996954,-0.1513411518950939
2012-05-18,22.85,27.768718299996955,-0.17713162872185906
2012-05-21,23.47,27.928718299996955,-0.15964636300540302
2012-05-22,23.63,27.798718299996956,-0.14996080952399216
2012-05-23,23.5,27.518718299996955,-0.14603580937842586
2012-05-24,23.22,28.148718299996954,-0.17509565613143707
2012-05-25,23.85,29.308718299996954,-0.18624895992116863
2012-05-29,25.01,28.478718299996956,-0.12180036557324014
2012-05-30,24.18,28.628718299996954,-0.15539355459016224
2012-05-31,24.33,27.968718299996954,-0.1300995727071752
2012-06-01,23.67,27.538718299996955,-0.14048287425189943
2012-06-04,23.24,27.998718299996955,-0.16996200501068914
2012-06-05,23.7,28.608718299996955,-0.17158120292293833
2012-06-06,24.31,28.208718299996956,-0.13820969313580544
2012-06-07,23.91,28.398718299996954,-0.1580605945866731
2012-06-08,24.1,28.188718299996957,-0.14504803859767534
2012-06-11,23.89,28.498718299996955,-0.16171668674648598
2012-06-12,24.2,28.268718299996955,-0.14393005925554803
2012-06-13,23.97,28.138718299996956,-0.14814883377248234
2012-06-14,23.84,28.218718299996954,-0.1551707010022999
2012-06-15,23.92,28.528718299996957,-0.16154663001448077
2012-06-18,24.23,28.688718299996957,-0.15541713133965385
2012-06-19,24.39,28.258718299996957,-0.1369035304052475
2012-06-20,23.96,27.408718299996956,-0.12582559542732563
2012-06-21,23.11,26.948718299996955,-0.14244530137811373
2012-06-22,22.65,25.878718299996954,-0.12476345476496553
2012-06-25,21.58,26.018718299996955,-0.170597115846305
2012-06-26,21.72,25.878718299996954,-0.16070031953620534
2012-06-27,21.58,25.618718299996956,-0.15764716457331274
2012-06-28,21.32,25.668718299996957,-0.1694170409746354
2012-06-29,21.37,25.853223342499238,-0.17341061434027916
2012-07-02,21.2,26.703223342499236,-0.20608835390073077
2012-07-03,22.05,27.123223342499237,-0.18704352644362998
2012-07-05,22.47,26.783223342499237,-0.1610419809200141
2012-07-06,22.13,27.003223342499236,-0.1804682085797319
2012-07-09,22.35,26.893223342499237,-0.1689356193803515
2012-07-10,22.24,26.553223342499237,-0.16243690217435092
2012-07-11,21.9,26.663223342499236,-0.17864394268141637
2012-07-12,22.01,27.173223342499234,-0.1900114416836185
2012-07-13,22.52,26.973223342499235,-0.16509793011956042
2012-07-16,22.32,27.283223342499237,-0.18191484489180554
2012-07-17,22.63,27.463223342499237,-0.17598893189714704
2012-07-18,22.81,27.453223342499236,-0.1691321738278816
2012-07-19,22.8,27.273223342499236,-0.16401520591549268
2012-07-20,22.62,27.193223342499238,-0.1681751105744026
2012-07-23,22.54,26.873223342499237,-0.16124687713387809
2012-07-24,22.22,27.043223342499235,-0.17835238356810068
2012-07-25,22.39,27.243223342499235,-0.17814424091763914
2012-07-26,22.59,27.943223342499238,-0.19157501183327863
2012-07-27,23.29,28.113223342499236,-0.1715642238436561
2012-07-30,23.46,28.453223342499236,-0.17548884646194352
2012-07-31,23.8,28.103223342499238,-0.15312205614477203
2012-08-01,23.45,27.693223342499238,-0.15322244326782286
2012-08-02,23.04,28.403223342499235,-0.1888244611474903
2012-08-03,23.75,28.983223342499237,-0.18056043251840648
2012-08-06,24.33,28.993223342499235,-0.16083838928194394
2012-08-07,24.34,28.703223342499236,-0.15201161522646334
2012-08-08,24.05,28.913223342499236,-0.16820066323600924
2012-08-09,24.26,28.573223342499237,-0.1509533345537475
2012-08-10,23.92,28.723223342499235,-0.16722438443711596
2012-08-13,24.07,28.653223342499235,-0.15995489539570484
2012-08-14,24.0,28.523223342499236,-0.1585803710957061
2012-08-15,23.87,29.273223342499236,-0.18457903590872304
2012-08-16,24.62,29.383223342499235,-0.16210690321404642
2012-08-17,24.73,29.293223342499235,-0.15577744002923755
2012-08-20,24.64,29.213223342499237,-0.15654634508771026
2012-08-21,24.56,29.163223342499236,-0.15784343480958818
2012-08-22,24.51,29.073223342499237,-0.1569562235580778
2012-08-23,24.42,29.113223342499236,-0.1612058990269245
2012-08-24,24.46,29.433223342499236,-0.16896631689395347
2012-08-27,24.78,30.243223342499235,-0.18064289247971954
2012-08-28,25.59,29.963223342499237,-0.14595303357420641
2012-08-29,25.31,29.623223342499237,-0.14560276890297863
2012-08-30,24.97,30.043223342499235,-0.1688641489850604
2012-08-31,25.39,29.803223342499237,-0.14807872597478422
2012-09-04,25.15,29.803223342499237,-0.15613154620976066
2012-09-05,25.15,30.523223342499236,-0.1760372186844955
2012-09-06,25.87,30.763223342499238,-0.15906081388224602
2012-09-07,26.11,30.533223342499237,-0.14486591516666203
2012-09-10,25.88,30.723223342499235,-0.15764046918213936
2012-09-11,26.07,30.623223342499237,-0.14868530629759746
2012-09-12,25.97,30.433223342499236,-0.14665628061377445
2012-09-13,25.78,31.323223342499237,-0.1769684837951594
2012-09-14,26.67,31.153223342499235,-0.14390881140004597
2012-09-17,26.5,31.263223342499238,-0.15235867684904103
2012-09-18,26.61,31.493223342499235,-0.15505632082789889
2012-09-19,26.84,31.493223342499235,-0.1477531623833448
2012-09-20,26.84,31.293223342499235,-0.1423063164110463
2012-09-21,26.64,31.193223342499238,-0.1459683500004212
2012-09-24,26.54,30.953223342499236,-0.14257718149953758
2012-09-25,26.3,30.923223342499234,-0.14950651461179731
2012-09-26,26.27,30.853223342499238,-0.1485492550201718
2012-09-27,26.2,30.633223342499235,-0.1447194535466586
2012-09-28,25.98,31.26336448598131,-0.16899539038258038
2012-10-01,26.24,31.46336448598131,-0.16601417462231705
2012-10-02,26.44,31.473364485981307,-0.15992457648508596
2012-10-03,26.45,32.013364485981306,-0.17378256160540428
2012-10-04,26.99,32.263364485981306,-0.163447444802994
2012-10-05,27.24,32.07336448598131,-0.15069714585427685
2012-10-08,27.05,31.74336448598131,-0.14785340375794187
2012-10-09,26.72,31.42336448598131,-0.1496773042262738
2012-10-10,26.4,31.87336448598131,-0.1717222067469103
2012-10-11,26.85,31.913364485981308,-0.15865968905301442
2012-10-12,26.89,32.25336448598131,-0.16628852745928124
2012-10-15,27.23,32.483364485981305,-0.16172476494078913
2012-10-16,27.46,32.263364485981306,-0.14887983824713646
2012-10-17,27.24,32.233364485981305,-0.15491291603000312
2012-10-18,27.21,31.78336448598131,-0.14389176727965602
2012-10-19,26.76,32.13336448598131,-0.16722072437592161
2012-10-22,27.11,31.33336448598131,-0.1347880942651678
2012-10-23,26.31,31.293364485981307,-0.15924668273409015
2012-10-24,26.27,31.37336448598131,-0.1626655148274475
2012-10-25,26.35,30.593364485981308,-0.1387021191450103
2012-10-26,25.57,31.37336448598131,-0.18497743487391827
2012-10-31,26.35,32.31336448598131,-0.1845479287236843
2012-11-01,27.29,32.56336448598131,-0.16194163500063152
2012-11-02,27.54,32.013364485981306,-0.13973428153545686
2012-11-05,26.99,32.56336448598131,-0.1711544422377077
2012-11-06,27.54,31.913364485981308,-0.13703865312923713
2012-11-07,26.89,31.58336448598131,-0.14860242290097114
2012-11-08,26.56,32.053364485981305,-0.17138183694831333
2012-11-09,27.03,32.233364485981305,-0.16142790456281142
2012-11-12,27.21,32.00336448598131,-0.14977689261643046
2012-11-13,26.98,31.78336448598131,-0.15112825730265056
2012-11-14,26.76,31.57336448598131,-0.15245016058134886
2012-11-15,26.55,31.96336448598131,-0.16936153540268062
2012-11-16,26.94,32.99336448598131,-0.18347217933937443
2012-11-19,27.97,33.02336448598131,-0.15302391396632242
2012-11-20,28.0,33.18336448598131,-0.15620370526837568
2012-11-21,28.16,33.56336448598131,-0.16098995344278366
2012-11-23,28.54,32.983364485981305,-0.13471531953236116
2012-11-26,27.96,33.04336448598131,-0.15383919177291805
2012-11-27,28.02,33.18336448598131,-0.1556009936292816
2012-11-28,28.16,33.49336448598131,-0.15923645079650317
2012-11-29,28.47,33.513364485981306,-0.15048815788372893
2012-11-30,28.49,33.10336448598131,-0.13936240492820573
2012-12-03,28.08,33.443364485981306,-0.1603715585562424
2012-12-04,28.42,33.41336448598131,-0.14944213379279103
2012-12-05,28.39,33.46336448598131,-0.15160951577677362
2012-12-06,28.44,33.49336448598131,-0.15087658596067288
2012-12-07,28.47,33.56336448598131,-0.15175369227684843
2012-12-10,28.54,33.71336448598131,-0.15345144469732463
2012-12-11,28.69,33.85336448598131,-0.1525214573021083
2012-12-12,28.83,33.803364485981305,-0.14712631602229498
2012-12-13,28.78,33.74336448598131,-0.14709157078996493
2012-12-14,28.72,33.833364485981306,-0.15113378653488652
2012-12-17,28.81,33.90336448598131,-0.1502318298848293
2012-12-18,28.88,34.90336448598131,-0.17257260366405514
2012-12-19,29.88,35.233364485981305,-0.15194020111565865
2012-12-20,30.21,35.31336448598131,-0.1445165183285564
2012-12-21,30.29,35.43336448598131,-0.1451559726431343
2012-12-24,30.41,36.22336448598131,-0.1604865966614205
2012-12-26,31.2,36.983364485981305,-0.15637745690156213
2012-12-27,31.96,36.64336448598131,-0.12780934697666824
2012-12-28,31.62,37.083364485981306,-0.14732655900320568
2012-12-31,32.06,36.00798385350615,-0.10964190246163208
2013-01-02,32.59,35.56798385350614,-0.0837265296163977
2013-01-03,32.15,35.69798385350614,-0.0993889141769464
2013-01-04,32.28,35.42798385350614,-0.0888558566167067
2013-01-07,32.01,35.41798385350614,-0.09622184785000909
2013-01-08,32.0,35.66798385350614,-0.10283687097569383
2013-01-09,32.25,35.94798385350614,-0.1028704104401521
2013-01-10,32.53,35.34798385350614,-0.0797212046148037
2013-01-11,31.93,34.94798385350614,-0.08635645095170086
2013-01-14,31.53,35.51798385350614,-0.11228069335113644
2013-01-15,32.1,35.53798385350614,-0.09674110573290029
2013-01-16,32.12,36.10798385350614,-0.11044604067858821
2013-01-17,32.69,35.95798385350614,-0.09088340066061562
2013-01-18,32.54,35.97798385350614,-0.09555799089534311
2013-01-22,32.56,35.81798385350614,-0.09095944279921342
2013-01-23,32.4,35.99798385350614,-0.09994959351468524
2013-01-24,32.58,36.33798385350614,-0.1034175112371718
2013-01-25,32.92,36.77798385350614,-0.1048992753075656
2013-01-28,33.36,36.60798385350614,-0.08872337429189137
2013-01-29,33.19,36.00798385350615,-0.07825997325956247
2013-01-30,32.59,35.82798385350613,-0.0903758321078193
2013-01-31,32.41,36.29798385350614,-0.10711294239364733
2013-02-01,32.88,35.94798385350614,-0.08534508822549458
2013-02-04,32.53,36.39798385350613,-0.10626917878402042
2013-02-05,32.98,35.77798385350614,-0.07820406719849171
2013-02-06,32.36,35.52798385350614,-0.08916869210954415
2013-02-07,32.11,35.70798385350614,-0.10076132744618282
2013-02-08,32.29,36.26798385350614,-0.10968307115096432
2013-02-11,32.85,36.78798385350614,-0.1070453838728328
2013-02-12,33.37,36.90798385350614,-0.09585958061402056
2013-02-13,33.49,36.91798385350614,-0.09285403740108578
2013-02-14,33.5,36.92798385350614,-0.09282889277424422
2013-02-15,33.51,36.74798385350614,-0.08811323816877115
2013-02-19,33.33,35.92798385350614,-0.07231087233002664
2013-02-20,32.51,35.19798385350614,-0.07636755175221166
2013-02-21,31.78,35.57798385350613,-0.10675095781549881
2013-02-22,32.16,35.37798385350614,-0.09096006903138498
2013-02-25,31.96,36.71798385350614,-0.12958183849334115
2013-02-26,33.3,38.45798385350614,-0.13411997553366029
2013-02-27,35.04,38.49798385350614,-0.08982246620146606
2013-02-28,35.08,38.78798385350614,-0.09559619977956058
2013-03-01,35.37,38.84798385350614,-0.08952804002960502
2013-03-04,35.43,39.03798385350614,-0.09242239217694881
2013-03-05,35.62,38.92798385350614,-0.08497701463180718
2013-03-06,35.51,39.24798385350614,-0.09524014959490001
2013-03-07,35.83,39.45798385350614,-0.09194549490859938
2013-03-08,36.04,39.62798385350614,-0.09054167042083028
2013-03-11,36.21,39.48798385350614,-0.0830121858251085
2013-03-12,36.07,39.62798385350614,-0.08978462963594191
2013-03-13,36.21,39.66798385350614,-0.0871731688274473
2013-03-14,36.25,39.69798385350614,-0.08685538958930306
2013-03-15,36.28,39.28798385350614,-0.0765624386510152
2013-03-18,35.87,39.55798385350614,-0.09322982352092912
2013-03-19,36.14,39.74798385350614,-0.09077149338702584
2013-03-20,36.33,39.77798385350614,-0.08668070926380622
2013-03-21,36.36,39.63798385350614,-0.0826980470455031
2013-03-22,36.22,39.39798385350613,-0.08066361632419716
2013-03-25,35.98,40.67798385350614,-0.11549205266477858
2013-03-26,37.26,40.73798385350614,-0.0853744717954864
2013-03-27,37.32,40.63798385350614,-0.08164735399932677
2013-03-28,37.22,39.51191273465246,-0.058005613396752254
2013-04-01,36.88,39.60191273465246,-0.06873185022375772
2013-04-02,36.97,38.98191273465246,-0.05161144216671543
2013-04-03,36.35,38.89191273465246,-0.06535838831057617
2013-04-04,36.26,38.46191273465246,-0.057249174003471626
2013-04-05,35.83,38.251912734652464,-0.06331481386180338
2013-04-08,35.62,38.251912734652464,-0.06880473541047827
2013-04-09,35.62,39.21191273465246,-0.09160258921718467
2013-04-10,36.58,39.72191273465247,-0.07909772008314042
2013-04-11,37.09,40.26191273465246,-0.07878196834703455
2013-04-12,37.63,38.10191273465246,-0.012385539223159991
2013-04-15,35.47,39.13191273465246,-0.09357867987397739
2013-04-16,36.5,37.73191273465246,-0.03264909317785758
2013-04-17,35.1,36.95191273465246,-0.050116830161156645
2013-04-18,34.32,37.70191273465246,-0.08970135702277215
2013-04-19,35.07,38.01191273465246,-0.07739449354177208
2013-04-22,35.38,38.611912734652456,-0.08370247692370747
2013-04-23,35.98,39.34191273465246,-0.08545371846375127
2013-04-24,36.71,40.08191273465246,-0.08412554453114474
2013-04-25,37.45,40.10191273465246,-0.06612933283755595
2013-04-26,37.47,40.63191273465246,-0.0778184565245893
2013-04-29,38.0,41.361912734652456,-0.08128039813390664
2013-04-30,38.73,40.74191273465246,-0.0493818920028577
2013-05-01,38.11,40.77191273465246,-0.06528790424860476
2013-05-02,38.14,40.97191273465247,-0.0691183922262274
2013-05-03,38.34,41.41191273465246,-0.07417944576324664
2013-05-06,38.78,41.45191273465246,-0.06445812891087233
2013-05-07,38.82,41.27191273465246,-0.059408749732933974
2013-05-08,38.64,40.55191273465246,-0.047147288641176455
2013-05-09,37.92,40.69191273465246,-0.06811949963443109
2013-05-10,38.06,40.82191273465246,-0.0676576022442954
2013-05-13,38.19,41.46191273465246,-0.0789136949757242
2013-05-14,38.83,41.63191273465246,-0.06730204188577382
2013-05-15,39.0,42.03191273465246,-0.07213358939415693
2013-05-16,39.4,43.30191273465246,-0.0901094775781105
2013-05-17,40.67,43.53191273465246,-0.06574286666651119
2013-05-20,40.9,43.74191273465246,-0.06497001518639789
2013-05-21,41.11,43.51191273465246,-0.055201267508049656
2013-05-22,40.88,43.16191273465246,-0.052868665684049465
2013-05-23,40.53,42.91191273465246,-0.05550702783586259
2013-05-24,40.28,44.39191273465246,-0.09262751887333487
2013-05-28,41.76,44.16191273465246,-0.05438878404303715
2013-05-29,41.53,43.94191273465246,-0.054888660610133866
2013-05-30,41.31,43.541912734652456,-0.05125895015806703
2013-05-31,40.91,43.62191273465246,-0.06216858832277128
2013-06-03,40.99,43.501912734652464,-0.05774258134290122
2013-06-04,40.87,42.97191273465247,-0.04891364151350641
2013-06-05,40.34,44.03191273465246,-0.08384629477490257
2013-06-06,41.4,44.88191273465246,-0.07757941946988689
2013-06-07,42.25,45.09191273465246,-0.06302488766391345
2013-06-10,42.46,44.46191273465246,-0.045025339926327956
