date,LB,dcf,Deviation
1982-04-01,2.97,,
1982-04-02,2.97,,
1982-04-05,2.99,,
1982-04-06,2.99,,
1982-04-07,2.99,,
1982-04-08,3.07,,
1982-04-12,3.03,,
1982-04-13,3.03,,
1982-04-14,2.93,,
1982-04-15,2.99,,
1982-04-16,2.99,,
1982-04-19,2.99,,
1982-04-20,2.97,,
1982-04-21,2.97,,
1982-04-22,2.97,,
1982-04-23,3.11,,
1982-04-26,3.26,,
1982-04-27,3.17,,
1982-04-28,3.03,,
1982-04-29,2.85,,
1982-04-30,3.19,,
1982-05-03,3.38,,
1982-05-04,3.36,,
1982-05-05,3.17,,
1982-05-06,3.13,,
1982-05-07,3.15,,
1982-05-10,3.09,,
1982-05-11,3.15,,
1982-05-12,3.09,,
1982-05-13,3.17,,
1982-05-14,3.28,,
1982-05-17,3.23,,
1982-05-18,3.23,,
1982-05-19,3.19,,
1982-05-20,3.19,,
1982-05-21,3.23,,
1982-05-24,3.23,,
1982-05-25,3.3,,
1982-05-26,3.28,,
1982-05-27,3.26,,
1982-05-28,3.23,,
1982-06-01,3.21,,
1982-06-02,3.21,,
1982-06-03,3.07,,
1982-06-04,3.05,,
1982-06-07,3.05,,
1982-06-08,3.19,,
1982-06-09,3.19,,
1982-06-10,3.26,,
1982-06-11,3.23,,
1982-06-14,3.26,,
1982-06-15,3.28,,
1982-06-16,3.28,,
1982-06-17,3.3,,
1982-06-18,3.3,,
1982-06-21,3.28,,
1982-06-22,3.26,,
1982-06-23,3.34,,
1982-06-24,3.36,,
1982-06-25,3.36,,
1982-06-28,3.32,,
1982-06-29,3.3,,
1982-06-30,3.28,,
1982-07-01,3.28,,
1982-07-02,3.26,,
1982-07-06,3.26,,
1982-07-07,3.26,,
1982-07-08,3.32,,
1982-07-09,3.32,,
1982-07-12,3.34,,
1982-07-13,3.38,,
1982-07-14,3.36,,
1982-07-15,3.34,,
1982-07-16,3.34,,
1982-07-19,3.48,,
1982-07-20,3.66,,
1982-07-21,3.77,,
1982-07-22,3.79,,
1982-07-23,3.79,,
1982-07-26,3.77,,
1982-07-27,3.73,,
1982-07-28,3.73,,
1982-07-29,3.69,,
1982-07-30,3.71,,
1982-08-02,3.73,,
1982-08-03,3.77,,
1982-08-04,3.73,,
1982-08-05,3.69,,
1982-08-06,3.54,,
1982-08-09,3.46,,
1982-08-10,3.48,,
1982-08-11,3.36,,
1982-08-12,3.26,,
1982-08-13,3.23,,
1982-08-16,3.28,,
1982-08-17,3.38,,
1982-08-18,3.42,,
1982-08-19,3.44,,
1982-08-20,3.52,,
1982-08-23,3.87,,
1982-08-24,3.87,,
1982-08-25,4.09,,
1982-08-26,4.3,,
1982-08-27,4.22,,
1982-08-30,4.42,,
1982-08-31,4.54,,
1982-09-01,4.59,,
1982-09-02,4.63,,
1982-09-03,4.67,,
1982-09-07,4.67,,
1982-09-08,4.67,,
1982-09-09,4.79,,
1982-09-10,4.63,,
1982-09-13,4.67,,
1982-09-14,4.67,,
1982-09-15,4.67,,
1982-09-16,4.69,,
1982-09-17,4.63,,
1982-09-20,4.46,,
1982-09-21,4.34,,
1982-09-22,4.52,,
1982-09-23,4.54,,
1982-09-24,4.59,,
1982-09-27,4.69,,
1982-09-28,4.73,,
1982-09-29,4.77,,
1982-09-30,4.91,,
1982-10-01,4.95,,
1982-10-04,5.08,,
1982-10-05,5.22,,
1982-10-06,5.71,,
1982-10-07,5.49,,
1982-10-08,5.57,,
1982-10-11,5.73,,
1982-10-12,5.79,,
1982-10-13,6.0,,
1982-10-14,5.98,,
1982-10-15,6.0,,
1982-10-18,6.04,,
1982-10-19,5.96,,
1982-10-20,6.16,,
1982-10-21,6.26,,
1982-10-22,6.31,,
1982-10-25,6.24,,
1982-10-26,5.86,,
1982-10-27,5.94,,
1982-10-28,6.0,,
1982-10-29,6.49,,
1982-11-01,6.47,,
1982-11-02,6.72,,
1982-11-03,6.98,,
1982-11-04,6.86,,
1982-11-05,6.76,,
1982-11-08,6.86,,
1982-11-09,6.96,,
1982-11-10,6.9,,
1982-11-11,6.76,,
1982-11-12,6.78,,
1982-11-15,6.47,,
1982-11-16,6.14,,
1982-11-17,6.59,,
1982-11-18,6.65,,
1982-11-19,6.78,,
1982-11-22,6.84,,
1982-11-23,3.42,,
1982-11-24,3.48,,
1982-11-26,3.52,,
1982-11-29,3.69,,
1982-11-30,3.99,,
1982-12-01,3.91,,
