date,EXR,dcf,Deviation
2004-08-16,12.5,,
2004-08-17,12.51,,
2004-08-18,12.51,,
2004-08-19,12.53,,
2004-08-20,12.55,,
2004-08-23,12.55,,
2004-08-24,12.98,,
2004-08-25,13.0,,
2004-08-26,13.38,,
2004-08-27,13.45,,
2004-08-30,13.48,,
2004-08-31,13.8,,
2004-09-01,13.65,,
2004-09-02,13.79,,
2004-09-03,13.65,,
2004-09-07,13.8,,
2004-09-08,13.65,,
2004-09-09,13.49,,
2004-09-10,13.6,,
2004-09-13,13.71,,
2004-09-14,13.51,,
2004-09-15,13.35,,
2004-09-16,13.33,,
2004-09-17,13.64,,
2004-09-20,13.35,,
2004-09-21,13.47,,
2004-09-22,13.5,,
2004-09-23,13.29,,
2004-09-24,13.5,,
2004-09-27,13.05,,
2004-09-28,12.91,,
2004-09-29,12.88,,
2004-09-30,12.75,13.586751769126945,-0.06158585829383356
2004-10-01,13.0,13.526751769126944,-0.03894148263511321
2004-10-04,12.94,13.446751769126944,-0.037685812739580826
2004-10-05,12.86,13.686751769126944,-0.06040525780498485
2004-10-06,13.1,13.606751769126944,-0.037242670236458664
2004-10-07,13.02,13.806751769126947,-0.056983118280303335
2004-10-08,13.22,13.686751769126944,-0.034102450091904934
2004-10-11,13.1,13.686751769126944,-0.042870052662931646
2004-10-12,13.1,13.546751769126947,-0.032978515938049124
2004-10-13,12.96,13.646751769126945,-0.050323460171715295
2004-10-14,13.06,13.566751769126945,-0.03735247594638902
2004-10-15,12.98,13.706751769126942,-0.0530214438379103
2004-10-18,13.12,13.636751769126946,-0.037894051154971575
2004-10-19,13.05,13.686751769126944,-0.04652322040085932
2004-10-20,13.1,13.966751769126947,-0.0620582210849393
2004-10-21,13.38,13.886751769126947,-0.03649174245726472
2004-10-22,13.3,13.886751769126947,-0.04225262889997172
2004-10-25,13.3,14.136751769126947,-0.05918981833962145
2004-10-26,13.55,14.486751769126947,-0.0646626506794491
2004-10-27,13.9,14.506751769126945,-0.041825474012605945
2004-10-28,13.92,14.446751769126942,-0.03646160587133673
2004-10-29,13.86,14.326751769126945,-0.0325790365219254
2004-11-01,13.74,14.446751769126942,-0.048921154071276285
2004-11-02,13.86,14.486751769126947,-0.04326378881307491
2004-11-03,13.9,14.586751769126945,-0.047080513879756536
2004-11-04,14.0,14.636751769126944,-0.043503625611116425
2004-11-05,14.05,14.636751769126944,-0.04008756713115602
2004-11-08,14.05,14.666751769126945,-0.042051012987428305
2004-11-09,14.08,14.716751769126946,-0.043267140678606375
2004-11-10,14.13,14.736751769126947,-0.04117269386311251
2004-11-11,14.15,14.686751769126944,-0.03654666311275523
2004-11-12,14.1,14.936751769126944,-0.05601966090488586
2004-11-15,14.35,14.686751769126944,-0.022928948103748237
2004-11-16,14.1,14.786751769126946,-0.0464437206933308
2004-11-17,14.2,14.636751769126944,-0.029839391691275252
2004-11-18,14.05,14.636751769126944,-0.04008756713115602
2004-11-19,14.05,14.766751769126945,-0.04853821479043663
2004-11-22,14.18,14.726751769126947,-0.03712643342526856
2004-11-23,14.14,14.566751769126947,-0.029296288966179307
2004-11-24,13.98,14.486751769126947,-0.03498035841318803
2004-11-26,13.9,14.586751769126945,-0.047080513879756536
2004-11-29,14.0,14.486751769126947,-0.03359978667987362
2004-11-30,13.9,14.586751769126945,-0.047080513879756536
2004-12-01,14.0,14.786751769126946,-0.0532065311848674
2004-12-02,14.2,14.936751769126944,-0.04932476488293469
2004-12-03,14.35,14.736751769126947,-0.026244030922552453
2004-12-06,14.15,14.586751769126945,-0.029941674201334867
2004-12-07,14.0,14.636751769126944,-0.043503625611116425
2004-12-08,14.05,14.336751769126945,-0.020001167192169822
2004-12-09,13.75,14.266751769126945,-0.03622070233570529
2004-12-10,13.68,14.276751769126944,-0.0417988474393316
2004-12-13,13.69,14.096751769126945,-0.028854290391760018
2004-12-14,13.51,13.946751769126942,-0.031315662338936345
2004-12-15,13.36,13.976751769126947,-0.04412697451558678
2004-12-16,13.39,13.876751769126942,-0.035076780014892894
2004-12-17,13.29,13.866751769126942,-0.04159242039732969
2004-12-20,13.28,13.946751769126942,-0.04780695750267028
2004-12-21,13.36,14.146751769126947,-0.055613598228528294
2004-12-22,13.56,14.136751769126947,-0.040798040352275744
2004-12-23,13.55,14.016751769126945,-0.03329956731879946
2004-12-27,13.43,14.186751769126944,-0.05334214494214096
2004-12-28,13.6,13.936751769126944,-0.02416285908693061
2004-12-29,13.35,13.986751769126947,-0.045525349962416084
2004-12-30,13.4,13.916751769126945,-0.03713163658442997
2004-12-31,13.33,15.770897426327673,-0.1547722593295724
2005-01-03,13.29,15.900897426327683,-0.1641981176486761
2005-01-04,13.42,15.480897426327676,-0.13312519097392883
2005-01-05,13.0,15.930897426327673,-0.18397566363612528
2005-01-06,13.45,16.24089742632767,-0.17184379366890312
2005-01-07,13.76,15.890897426327676,-0.13409547423025048
2005-01-10,13.41,15.940897426327679,-0.1587675623674547
2005-01-11,13.46,15.980897426327676,-0.1577444219230536
2005-01-12,13.5,15.530897426327678,-0.13076497581427204
2005-01-13,13.05,16.340897426327675,-0.20139025051497705
2005-01-14,13.86,15.730897426327676,-0.11893138551628268
2005-01-18,13.25,15.780897426327678,-0.16037728133922957
2005-01-19,13.3,15.630897426327671,-0.1491211517005836
2005-01-20,13.15,15.660897426327676,-0.1603290895773689
2005-01-21,13.18,15.710897426327678,-0.16109184330148474
2005-01-24,13.23,15.590897426327674,-0.15142793655616826
2005-01-25,13.11,15.430897426327673,-0.15040586183716298
2005-01-26,12.95,15.480897426327676,-0.1634851880113547
2005-01-27,13.0,15.42089742632768,-0.15698810253380902
2005-01-28,12.94,15.450897426327673,-0.16250819334605193
2005-01-31,12.97,15.530897426327678,-0.16489049898600794
2005-02-01,13.05,15.440897426327679,-0.15484186963453628
2005-02-02,12.96,15.480897426327676,-0.16283923062757955
2005-02-03,13.0,15.680897426327673,-0.17096581614178163
2005-02-04,13.2,15.750897426327676,-0.16195251338910022
2005-02-07,13.27,15.830897426327681,-0.16176577722427554
2005-02-08,13.35,15.770897426327673,-0.1535041006789042
2005-02-09,13.29,16.000897426327676,-0.16942158643347094
2005-02-10,13.52,16.320897426327676,-0.17161417985566618
2005-02-11,13.84,16.270897426327675,-0.1494015580477005
2005-02-14,13.79,16.13089742632767,-0.14511885882474407
2005-02-15,13.65,16.51089742632768,-0.17327328445307866
2005-02-16,14.03,16.51089742632768,-0.15025818174920835
2005-02-17,14.03,16.460897426327676,-0.14767708973386118
2005-02-18,13.98,16.19089742632768,-0.13655187653357537
2005-02-22,13.71,16.28089742632768,-0.15790882768970127
2005-02-23,13.8,16.28089742632768,-0.15238087688678914
2005-02-24,13.8,16.480897426327676,-0.16266695659697705
2005-02-25,14.0,16.38089742632767,-0.14534597002610183
2005-02-28,13.9,16.480897426327676,-0.15659932584767988
2005-03-01,14.0,16.520897426327675,-0.15258840735312462
2005-03-02,14.04,16.38089742632767,-0.14290410136903364
2005-03-03,13.9,16.56089742632767,-0.16067350445015804
