date,MOS,dcf,Deviation
1988-01-26,11.5,,
1988-01-27,12.38,,
1988-01-28,12.56,,
1988-01-29,12.25,,
1988-02-01,12.0,,
1988-02-02,12.0,,
1988-02-03,12.13,,
1988-02-04,12.31,,
1988-02-05,12.38,,
1988-02-08,12.0,,
1988-02-09,11.88,,
1988-02-10,12.25,,
1988-02-11,12.38,,
1988-02-12,12.75,,
1988-02-16,13.25,,
1988-02-17,13.06,,
1988-02-18,13.25,,
1988-02-19,14.25,,
1988-02-22,14.19,,
1988-02-23,14.0,,
1988-02-24,13.88,,
1988-02-25,14.06,,
1988-02-26,14.13,,
1988-02-29,15.13,,
1988-03-01,14.88,,
1988-03-02,15.19,,
1988-03-03,15.0,,
1988-03-04,15.5,,
1988-03-07,15.94,,
1988-03-08,15.94,,
1988-03-09,15.88,,
1988-03-10,14.56,,
1988-03-11,14.5,,
1988-03-14,15.06,,
1988-03-15,15.94,,
1988-03-16,15.69,,
1988-03-17,15.75,,
1988-03-18,15.44,,
1988-03-21,15.0,,
1988-03-22,14.88,,
1988-03-23,15.0,,
1988-03-24,14.38,,
1988-03-25,14.19,,
1988-03-28,14.25,,
1988-03-29,15.06,,
1988-03-30,14.94,,
1988-03-31,15.06,,
1988-04-04,15.0,,
1988-04-05,15.13,,
1988-04-06,15.81,,
1988-04-07,16.0,,
1988-04-08,16.0,,
1988-04-11,15.75,,
1988-04-12,15.44,,
1988-04-13,15.44,,
1988-04-14,14.75,,
1988-04-15,14.75,,
1988-04-18,14.38,,
1988-04-19,14.44,,
1988-04-20,14.56,,
1988-04-21,14.75,,
1988-04-22,14.88,,
1988-04-25,15.25,,
1988-04-26,15.63,,
1988-04-27,15.31,,
1988-04-28,15.13,,
1988-04-29,14.75,,
1988-05-02,14.88,,
1988-05-03,15.0,,
1988-05-04,14.75,,
1988-05-05,14.63,,
1988-05-06,14.5,,
1988-05-09,14.13,,
1988-05-10,14.06,,
1988-05-11,13.31,,
1988-05-12,13.81,,
1988-05-13,14.5,,
1988-05-16,14.5,,
1988-05-17,14.69,,
1988-05-18,14.31,,
1988-05-19,14.13,,
1988-05-20,14.5,,
1988-05-23,14.13,,
1988-05-24,14.19,,
1988-05-25,14.25,,
1988-05-26,14.31,,
1988-05-27,14.25,,
1988-05-31,14.44,,
1988-06-01,14.75,,
1988-06-02,15.0,,
1988-06-03,15.63,,
1988-06-06,16.0,,
1988-06-07,16.06,,
1988-06-08,16.63,,
1988-06-09,17.06,,
1988-06-10,17.06,,
1988-06-13,17.19,,
1988-06-14,18.5,,
1988-06-15,19.5,,
1988-06-16,19.13,,
1988-06-17,18.63,,
1988-06-20,18.94,,
1988-06-21,19.63,,
1988-06-22,20.25,,
1988-06-23,20.81,,
1988-06-24,20.69,,
1988-06-27,20.56,,
1988-06-28,20.0,,
1988-06-29,19.56,,
1988-06-30,19.69,,
1988-07-01,19.88,,
1988-07-05,20.44,,
1988-07-06,20.75,,
1988-07-07,21.13,,
1988-07-08,20.63,,
1988-07-11,20.25,,
1988-07-12,19.94,,
1988-07-13,19.88,,
1988-07-14,20.81,,
1988-07-15,20.81,,
1988-07-18,20.0,,
1988-07-19,19.5,,
1988-07-20,19.0,,
1988-07-21,19.31,,
1988-07-22,18.75,,
1988-07-25,18.19,,
1988-07-26,18.63,,
1988-07-27,18.19,,
1988-07-28,18.5,,
1988-07-29,18.69,,
1988-08-01,18.88,,
1988-08-02,19.0,,
1988-08-03,18.94,,
1988-08-04,19.38,,
1988-08-05,19.63,,
1988-08-08,19.56,,
1988-08-09,19.44,,
1988-08-10,18.94,,
1988-08-11,19.25,,
1988-08-12,19.19,,
1988-08-15,18.69,,
1988-08-16,18.94,,
1988-08-17,18.94,,
1988-08-18,19.25,,
1988-08-19,19.25,,
1988-08-22,18.94,,
1988-08-23,19.19,,
1988-08-24,19.5,,
1988-08-25,19.75,,
1988-08-26,20.13,,
1988-08-29,20.5,,
1988-08-30,20.5,,
1988-08-31,20.44,,
1988-09-01,19.94,,
1988-09-02,20.38,,
1988-09-06,20.44,,
1988-09-07,20.5,,
1988-09-08,20.81,,
1988-09-09,21.0,,
1988-09-12,20.63,,
1988-09-13,20.88,,
1988-09-14,21.31,,
1988-09-15,21.25,,
1988-09-16,21.0,,
1988-09-19,20.63,,
1988-09-20,20.25,,
1988-09-21,20.19,,
1988-09-22,19.38,,
1988-09-23,19.38,,
1988-09-26,19.0,,
1988-09-27,18.63,,
1988-09-28,18.56,,
1988-09-29,19.25,,
1988-09-30,18.69,,
1988-10-03,19.0,,
1988-10-04,18.94,,
1988-10-05,19.44,,
1988-10-06,19.88,,
1988-10-07,20.06,,
1988-10-10,20.0,,
1988-10-11,19.94,,
1988-10-12,19.69,,
1988-10-13,19.75,,
1988-10-14,20.13,,
1988-10-17,19.88,,
1988-10-18,20.19,,
1988-10-19,20.38,,
1988-10-20,20.75,,
1988-10-21,20.69,,
1988-10-24,20.5,,
1988-10-25,20.5,,
1988-10-26,20.88,,
1988-10-27,20.75,,
1988-10-28,21.0,,
1988-10-31,21.0,,
1988-11-01,20.88,,
1988-11-02,20.69,,
1988-11-03,20.06,,
1988-11-04,20.0,,
1988-11-07,19.69,,
1988-11-08,19.81,,
1988-11-09,19.75,,
1988-11-10,19.63,,
1988-11-11,19.5,,
1988-11-14,19.25,,
1988-11-15,19.25,,
1988-11-16,18.88,,
1988-11-17,19.0,,
1988-11-18,19.06,,
1988-11-21,19.25,,
1988-11-22,19.0,,
1988-11-23,19.5,,
1988-11-25,19.63,,
1988-11-28,19.75,,
1988-11-29,20.0,,
1988-11-30,20.31,,
1988-12-01,20.25,,
1988-12-02,20.44,,
1988-12-05,20.38,,
1988-12-06,20.38,,
1988-12-07,20.75,,
1988-12-08,20.56,,
1988-12-09,21.0,,
1988-12-12,20.88,,
1988-12-13,20.75,,
1988-12-14,20.88,,
1988-12-15,21.0,,
1988-12-16,21.19,,
1988-12-19,22.06,,
1988-12-20,22.25,,
1988-12-21,22.06,,
1988-12-22,22.38,,
1988-12-23,22.5,,
1988-12-27,22.31,,
1988-12-28,22.25,,
1988-12-29,22.19,,
1988-12-30,22.06,,
1989-01-03,22.06,,
1989-01-04,23.06,,
1989-01-05,23.38,,
1989-01-06,23.13,,
1989-01-09,22.69,,
1989-01-10,22.75,,
1989-01-11,22.69,,
1989-01-12,22.63,,
1989-01-13,23.31,,
1989-01-16,23.88,,
1989-01-17,24.38,,
1989-01-18,24.25,,
1989-01-19,24.44,,
1989-01-20,24.25,,
1989-01-23,23.88,,
1989-01-24,23.81,,
1989-01-25,24.0,,
1989-01-26,24.25,,
1989-01-27,24.0,,
1989-01-30,24.06,,
1989-01-31,24.31,,
1989-02-01,24.5,,
1989-02-02,24.31,,
1989-02-03,23.88,,
1989-02-06,23.25,,
1989-02-07,23.44,,
1989-02-08,23.75,,
1989-02-09,23.69,,
1989-02-10,23.38,,
1989-02-13,23.0,,
1989-02-14,22.75,,
1989-02-15,22.88,,
1989-02-16,23.69,,
1989-02-17,23.94,,
1989-02-21,24.13,,
1989-02-22,23.94,,
1989-02-23,23.75,,
1989-02-24,23.75,,
1989-02-27,23.69,,
1989-02-28,23.56,,
1989-03-01,23.69,,
1989-03-02,23.75,,
1989-03-03,23.75,,
1989-03-06,24.0,,
1989-03-07,24.63,,
1989-03-08,24.5,,
1989-03-09,23.56,,
1989-03-10,23.25,,
1989-03-13,23.06,,
1989-03-14,23.19,,
1989-03-15,23.56,,
1989-03-16,23.5,,
1989-03-17,23.19,,
1989-03-20,22.69,,
1989-03-21,21.94,,
1989-03-22,21.69,,
1989-03-23,21.81,,
1989-03-27,21.75,,
1989-03-28,22.06,,
1989-03-29,22.25,,
1989-03-30,22.63,,
1989-03-31,22.88,,
1989-04-03,22.88,,
1989-04-04,21.88,,
1989-04-05,22.06,,
1989-04-06,21.94,,
1989-04-07,21.69,,
