date,SWK,dcf,Deviation
1980-03-17,5.25,,
1980-03-18,5.21,,
1980-03-19,5.25,,
1980-03-20,5.25,,
1980-03-21,5.29,,
1980-03-24,5.13,,
1980-03-25,5.08,,
1980-03-26,5.02,,
1980-03-27,4.58,,
1980-03-28,4.67,,
1980-03-31,4.83,,
1980-04-01,4.96,,
1980-04-02,5.21,,
1980-04-03,5.29,,
1980-04-07,5.08,,
1980-04-08,5.04,,
1980-04-09,5.0,,
1980-04-10,5.04,,
1980-04-11,4.96,,
1980-04-14,4.96,,
1980-04-15,4.83,,
1980-04-16,4.88,,
1980-04-17,4.88,,
1980-04-18,4.92,,
1980-04-21,4.75,,
1980-04-22,4.92,,
1980-04-23,4.88,,
1980-04-24,4.85,,
1980-04-25,4.85,,
1980-04-28,4.88,,
1980-04-29,4.85,,
1980-04-30,4.73,,
1980-05-01,4.79,,
1980-05-02,4.83,,
1980-05-05,4.81,,
1980-05-06,4.77,,
1980-05-07,4.83,,
1980-05-08,5.04,,
1980-05-09,5.04,,
1980-05-12,4.88,,
1980-05-13,4.75,,
1980-05-14,4.81,,
1980-05-15,4.83,,
1980-05-16,4.92,,
1980-05-19,5.0,,
1980-05-20,5.02,,
1980-05-21,5.04,,
1980-05-22,5.38,,
1980-05-23,5.67,,
1980-05-27,5.5,,
1980-05-28,5.33,,
1980-05-29,5.17,,
1980-05-30,5.17,,
1980-06-02,5.33,,
1980-06-03,5.42,,
1980-06-04,5.42,,
1980-06-05,5.46,,
1980-06-06,5.25,,
1980-06-09,5.25,,
1980-06-10,5.38,,
1980-06-11,5.38,,
1980-06-12,5.42,,
1980-06-13,5.54,,
1980-06-16,5.71,,
1980-06-17,5.71,,
1980-06-18,5.67,,
1980-06-19,5.63,,
1980-06-20,5.67,,
1980-06-23,5.71,,
1980-06-24,6.08,,
1980-06-25,5.92,,
1980-06-26,5.83,,
1980-06-27,5.83,,
1980-06-30,5.79,,
1980-07-01,5.92,,
1980-07-02,5.75,,
1980-07-03,5.67,,
1980-07-07,5.79,,
1980-07-08,5.88,,
1980-07-09,5.92,,
1980-07-10,5.83,,
1980-07-11,5.83,,
1980-07-14,6.0,,
1980-07-15,5.96,,
1980-07-16,5.75,,
1980-07-17,6.0,,
1980-07-18,5.96,,
1980-07-21,6.04,,
1980-07-22,6.04,,
1980-07-23,6.0,,
1980-07-24,6.13,,
1980-07-25,6.08,,
1980-07-28,6.0,,
1980-07-29,6.04,,
1980-07-30,6.08,,
1980-07-31,6.08,,
1980-08-01,6.25,,
1980-08-04,6.33,,
1980-08-05,6.46,,
1980-08-06,6.58,,
1980-08-07,6.54,,
1980-08-08,6.33,,
1980-08-11,6.42,,
1980-08-12,6.21,,
1980-08-13,6.17,,
1980-08-14,6.33,,
1980-08-15,6.33,,
1980-08-18,6.29,,
1980-08-19,6.08,,
1980-08-20,6.04,,
1980-08-21,6.04,,
1980-08-22,6.0,,
1980-08-25,6.0,,
1980-08-26,5.92,,
1980-08-27,5.79,,
1980-08-28,5.79,,
1980-08-29,5.92,,
1980-09-02,5.83,,
1980-09-03,5.83,,
1980-09-04,5.92,,
1980-09-05,5.92,,
1980-09-08,5.96,,
1980-09-09,5.96,,
1980-09-10,6.25,,
1980-09-11,6.29,,
1980-09-12,6.17,,
1980-09-15,6.21,,
1980-09-16,6.29,,
1980-09-17,6.08,,
1980-09-18,6.17,,
1980-09-19,6.17,,
1980-09-22,6.17,,
1980-09-23,6.04,,
1980-09-24,6.0,,
1980-09-25,5.92,,
1980-09-26,5.83,,
1980-09-29,5.75,,
1980-09-30,5.83,,
1980-10-01,5.79,,
1980-10-02,5.79,,
1980-10-03,5.67,,
1980-10-06,5.75,,
1980-10-07,6.08,,
1980-10-08,6.0,,
1980-10-09,6.0,,
1980-10-10,6.0,,
1980-10-13,6.04,,
1980-10-14,6.04,,
1980-10-15,6.08,,
1980-10-16,5.92,,
1980-10-17,5.92,,
1980-10-20,5.83,,
1980-10-21,5.92,,
1980-10-22,5.83,,
1980-10-23,5.83,,
1980-10-24,5.75,,
1980-10-27,5.75,,
1980-10-28,5.58,,
1980-10-29,5.42,,
1980-10-30,5.33,,
1980-10-31,5.75,,
1980-11-03,5.58,,
1980-11-05,5.83,,
1980-11-06,5.67,,
1980-11-07,5.67,,
1980-11-10,5.79,,
1980-11-11,5.75,,
1980-11-12,5.67,,
1980-11-13,5.79,,
1980-11-14,5.71,,
1980-11-17,5.67,,
1980-11-18,5.71,,
1980-11-19,5.79,,
1980-11-20,5.83,,
1980-11-21,6.0,,
1980-11-24,6.42,,
1980-11-25,6.46,,
1980-11-26,6.5,,
1980-11-28,6.25,,
1980-12-01,6.25,,
1980-12-02,6.17,,
1980-12-03,6.0,,
1980-12-04,5.83,,
1980-12-05,5.71,,
1980-12-08,5.63,,
1980-12-09,5.67,,
1980-12-10,5.75,,
1980-12-11,5.88,,
1980-12-12,5.75,,
1980-12-15,5.75,,
1980-12-16,5.75,,
1980-12-17,5.75,,
1980-12-18,5.75,,
1980-12-19,5.79,,
1980-12-22,5.79,,
1980-12-23,5.75,,
1980-12-24,5.88,,
1980-12-26,5.75,,
1980-12-29,5.83,,
1980-12-30,5.83,,
1980-12-31,5.83,,
1981-01-02,5.75,,
1981-01-05,6.0,,
1981-01-06,6.08,,
1981-01-07,6.0,,
1981-01-08,6.13,,
1981-01-09,6.13,,
1981-01-12,6.13,,
1981-01-13,6.08,,
1981-01-14,6.17,,
1981-01-15,6.17,,
1981-01-16,6.08,,
1981-01-19,6.08,,
1981-01-20,6.04,,
1981-01-21,6.13,,
1981-01-22,6.0,,
1981-01-23,6.08,,
1981-01-26,5.83,,
1981-01-27,5.92,,
1981-01-28,5.96,,
1981-01-29,5.92,,
1981-01-30,5.96,,
1981-02-02,5.83,,
1981-02-03,6.0,,
1981-02-04,5.96,,
1981-02-05,6.08,,
1981-02-06,6.08,,
1981-02-09,6.25,,
