date,IP,dcf,Deviation
1962-01-02,8.85,,
1962-01-03,8.73,,
1962-01-04,8.7,,
1962-01-05,8.79,,
1962-01-08,8.61,,
1962-01-09,8.49,,
1962-01-10,8.43,,
1962-01-11,8.43,,
1962-01-12,8.4,,
1962-01-15,8.25,,
1962-01-16,8.22,,
1962-01-17,8.16,,
1962-01-18,8.19,,
1962-01-19,8.16,,
1962-01-22,8.19,,
1962-01-23,8.16,,
1962-01-24,8.1,,
1962-01-25,8.1,,
1962-01-26,8.01,,
1962-01-29,8.04,,
1962-01-30,8.13,,
1962-01-31,8.19,,
1962-02-01,8.13,,
1962-02-02,8.22,,
1962-02-05,8.19,,
1962-02-06,8.28,,
1962-02-07,8.49,,
1962-02-08,8.46,,
1962-02-09,8.55,,
1962-02-12,8.58,,
1962-02-13,8.76,,
1962-02-14,8.7,,
1962-02-15,8.79,,
1962-02-16,8.82,,
1962-02-19,8.88,,
1962-02-20,9.0,,
1962-02-21,8.85,,
1962-02-23,8.82,,
1962-02-26,8.76,,
1962-02-27,8.82,,
1962-02-28,8.88,,
1962-03-01,8.91,,
1962-03-02,8.88,,
1962-03-05,8.79,,
1962-03-06,8.85,,
1962-03-07,8.85,,
1962-03-08,9.03,,
1962-03-09,9.03,,
1962-03-12,9.03,,
1962-03-13,9.09,,
1962-03-14,9.19,,
1962-03-15,9.19,,
1962-03-16,9.19,,
1962-03-19,9.15,,
1962-03-20,9.03,,
1962-03-21,9.03,,
1962-03-22,8.88,,
1962-03-23,9.03,,
1962-03-26,9.06,,
1962-03-27,9.09,,
1962-03-28,9.09,,
1962-03-29,9.06,,
1962-03-30,8.94,,
1962-04-02,9.03,,
1962-04-03,8.91,,
1962-04-04,8.85,,
1962-04-05,8.79,,
1962-04-06,8.76,,
1962-04-09,8.67,,
1962-04-10,8.61,,
1962-04-11,8.61,,
1962-04-12,8.64,,
1962-04-13,8.58,,
1962-04-16,8.55,,
1962-04-17,8.52,,
1962-04-18,8.55,,
1962-04-19,8.58,,
1962-04-23,8.46,,
1962-04-24,8.34,,
1962-04-25,8.28,,
1962-04-26,8.16,,
1962-04-27,8.07,,
1962-04-30,7.92,,
1962-05-01,7.98,,
1962-05-02,7.92,,
1962-05-03,7.98,,
1962-05-04,7.95,,
1962-05-07,7.86,,
1962-05-08,7.73,,
1962-05-09,7.64,,
1962-05-10,7.55,,
1962-05-11,7.52,,
1962-05-14,7.64,,
1962-05-15,7.67,,
1962-05-16,7.52,,
1962-05-17,7.4,,
1962-05-18,7.46,,
1962-05-21,7.31,,
1962-05-22,7.22,,
1962-05-23,7.25,,
1962-05-24,7.25,,
1962-05-25,7.04,,
1962-05-28,6.77,,
1962-05-29,7.07,,
1962-05-31,7.13,,
1962-06-01,7.13,,
1962-06-04,7.01,,
1962-06-05,6.77,,
1962-06-06,6.83,,
1962-06-07,6.8,,
1962-06-08,6.77,,
1962-06-11,6.68,,
1962-06-12,6.5,,
1962-06-13,6.38,,
1962-06-14,6.31,,
1962-06-15,6.53,,
1962-06-18,6.77,,
