date,SYY,dcf,Deviation
1989-09-19,3.34,,
1989-09-20,3.3,,
1989-09-21,3.32,,
1989-09-22,3.31,,
1989-09-25,3.31,,
1989-09-26,3.38,,
1989-09-27,3.41,,
1989-09-28,3.44,,
1989-09-29,3.44,,
1989-10-02,3.42,,
1989-10-03,3.47,,
1989-10-04,3.52,,
1989-10-05,3.52,,
1989-10-06,3.52,,
1989-10-09,3.52,,
1989-10-10,3.51,,
1989-10-11,3.48,,
1989-10-12,3.48,,
1989-10-13,3.36,,
1989-10-16,3.39,,
1989-10-17,3.36,,
1989-10-18,3.34,,
1989-10-19,3.36,,
1989-10-20,3.31,,
1989-10-23,3.3,,
1989-10-24,3.38,,
1989-10-25,3.41,,
1989-10-26,3.42,,
1989-10-27,3.39,,
1989-10-30,3.45,,
1989-10-31,3.58,,
1989-11-01,3.64,,
1989-11-02,3.58,,
1989-11-03,3.53,,
1989-11-06,3.55,,
1989-11-07,3.61,,
1989-11-08,3.7,,
1989-11-09,3.69,,
1989-11-10,3.77,,
1989-11-13,3.75,,
1989-11-14,3.73,,
1989-11-15,3.8,,
1989-11-16,3.81,,
1989-11-17,3.89,,
1989-11-20,3.95,,
1989-11-21,3.97,,
1989-11-22,3.88,,
1989-11-24,3.84,,
1989-11-27,3.84,,
1989-11-28,3.86,,
1989-11-29,3.86,,
1989-11-30,3.89,,
1989-12-01,3.86,,
1989-12-04,3.84,,
1989-12-05,3.81,,
1989-12-06,3.58,,
1989-12-07,3.61,,
1989-12-08,3.58,,
1989-12-11,3.58,,
1989-12-12,3.66,,
1989-12-13,3.66,,
1989-12-14,3.69,,
1989-12-15,3.75,,
1989-12-18,3.73,,
1989-12-19,3.72,,
1989-12-20,3.69,,
1989-12-21,3.88,,
1989-12-22,3.88,,
1989-12-26,3.88,,
1989-12-27,3.95,,
1989-12-28,3.97,,
1989-12-29,3.95,,
1990-01-02,4.09,,
1990-01-03,3.98,,
1990-01-04,3.91,,
1990-01-05,3.91,,
1990-01-08,3.88,,
1990-01-09,3.83,,
1990-01-10,3.81,,
1990-01-11,3.81,,
1990-01-12,3.72,,
1990-01-15,3.66,,
1990-01-16,3.63,,
1990-01-17,3.59,,
1990-01-18,3.59,,
1990-01-19,3.63,,
1990-01-22,3.63,,
1990-01-23,3.64,,
1990-01-24,3.59,,
1990-01-25,3.55,,
1990-01-26,3.61,,
1990-01-29,3.66,,
1990-01-30,3.53,,
1990-01-31,3.59,,
1990-02-01,3.58,,
1990-02-02,3.55,,
1990-02-05,3.53,,
1990-02-06,3.52,,
1990-02-07,3.52,,
1990-02-08,3.5,,
1990-02-09,3.53,,
1990-02-12,3.47,,
1990-02-13,3.44,,
1990-02-14,3.52,,
1990-02-15,3.44,,
1990-02-16,3.47,,
1990-02-20,3.42,,
1990-02-21,3.39,,
1990-02-22,3.36,,
1990-02-23,3.25,,
1990-02-26,3.33,,
1990-02-27,3.36,,
1990-02-28,3.38,,
1990-03-01,3.39,,
1990-03-02,3.42,,
1990-03-05,3.34,,
1990-03-06,3.33,,
1990-03-07,3.34,,
1990-03-08,3.38,,
1990-03-09,3.44,,
1990-03-12,3.47,,
1990-03-13,3.47,,
1990-03-14,3.44,,
1990-03-15,3.41,,
1990-03-16,3.52,,
1990-03-19,3.58,,
1990-03-20,3.52,,
1990-03-21,3.52,,
1990-03-22,3.5,,
1990-03-23,3.55,,
1990-03-26,3.63,,
1990-03-27,3.64,,
1990-03-28,3.63,,
1990-03-29,3.64,,
1990-03-30,3.7,,
1990-04-02,3.66,,
1990-04-03,3.72,,
1990-04-04,3.77,,
1990-04-05,3.83,,
1990-04-06,3.88,,
1990-04-09,3.89,,
1990-04-10,3.92,,
1990-04-11,3.98,,
1990-04-12,4.0,,
1990-04-16,4.02,,
1990-04-17,3.98,,
1990-04-18,4.0,,
1990-04-19,3.88,,
1990-04-20,3.78,,
1990-04-23,3.67,,
1990-04-24,3.67,,
1990-04-25,3.67,,
1990-04-26,3.7,,
1990-04-27,3.69,,
1990-04-30,3.8,,
1990-05-01,3.75,,
1990-05-02,3.84,,
1990-05-03,3.95,,
1990-05-04,3.98,,
1990-05-07,4.02,,
1990-05-08,4.06,,
1990-05-09,4.09,,
1990-05-10,4.09,,
1990-05-11,4.2,,
1990-05-14,4.23,,
1990-05-15,4.33,,
1990-05-16,4.31,,
1990-05-17,4.28,,
1990-05-18,4.22,,
1990-05-21,4.34,,
1990-05-22,4.27,,
1990-05-23,4.3,,
1990-05-24,4.33,,
1990-05-25,4.34,,
1990-05-29,4.38,,
1990-05-30,4.34,,
1990-05-31,4.3,,
1990-06-01,4.34,,
1990-06-04,4.34,,
1990-06-05,4.34,,
1990-06-06,4.36,,
1990-06-07,4.34,,
1990-06-08,4.25,,
1990-06-11,4.27,,
1990-06-12,4.38,,
1990-06-13,4.3,,
1990-06-14,4.3,,
1990-06-15,4.25,,
1990-06-18,4.25,,
1990-06-19,4.22,,
1990-06-20,4.22,,
1990-06-21,4.23,,
1990-06-22,4.22,,
1990-06-25,4.02,,
1990-06-26,4.2,,
1990-06-27,4.38,,
1990-06-28,4.31,,
1990-06-29,4.28,,
1990-07-02,4.34,,
1990-07-03,4.38,,
1990-07-05,4.39,,
1990-07-06,4.48,,
1990-07-09,4.61,,
1990-07-10,4.53,,
1990-07-11,4.58,,
1990-07-12,4.75,,
1990-07-13,4.72,,
1990-07-16,4.77,,
1990-07-17,4.75,,
1990-07-18,4.73,,
1990-07-19,4.64,,
1990-07-20,4.48,,
1990-07-23,4.42,,
1990-07-24,4.42,,
1990-07-25,4.48,,
1990-07-26,4.44,,
1990-07-27,4.36,,
1990-07-30,4.3,,
1990-07-31,4.27,,
1990-08-01,4.27,,
1990-08-02,4.28,,
1990-08-03,4.17,,
1990-08-06,3.95,,
1990-08-07,4.03,,
1990-08-08,4.02,,
1990-08-09,4.14,,
1990-08-10,4.19,,
1990-08-13,4.11,,
1990-08-14,4.06,,
1990-08-15,4.14,,
1990-08-16,3.94,,
1990-08-17,3.88,,
1990-08-20,3.91,,
1990-08-21,3.83,,
1990-08-22,3.75,,
1990-08-23,3.55,,
1990-08-24,3.67,,
1990-08-27,3.91,,
1990-08-28,3.84,,
1990-08-29,3.97,,
1990-08-30,3.89,,
1990-08-31,4.0,,
1990-09-04,3.98,,
1990-09-05,3.92,,
1990-09-06,3.83,,
1990-09-07,3.88,,
1990-09-10,3.94,,
1990-09-11,4.0,,
1990-09-12,4.02,,
1990-09-13,3.89,,
1990-09-14,3.89,,
1990-09-17,3.88,,
1990-09-18,3.95,,
1990-09-19,4.0,,
1990-09-20,3.94,,
1990-09-21,3.88,,
1990-09-24,3.75,,
1990-09-25,3.88,,
1990-09-26,3.75,,
1990-09-27,3.77,,
1990-09-28,3.92,,
1990-10-01,4.09,,
1990-10-02,4.16,,
1990-10-03,4.13,,
1990-10-04,4.08,,
1990-10-05,4.06,,
1990-10-08,4.06,,
1990-10-09,3.97,,
1990-10-10,3.88,,
1990-10-11,3.89,,
1990-10-12,4.03,,
1990-10-15,4.13,,
1990-10-16,4.02,,
1990-10-17,4.0,,
1990-10-18,4.25,,
1990-10-19,4.31,,
1990-10-22,4.38,,
1990-10-23,4.28,,
1990-10-24,4.31,,
1990-10-25,4.13,,
1990-10-26,4.11,,
1990-10-29,4.13,,
1990-10-30,4.08,,
1990-10-31,4.02,,
1990-11-01,3.78,,
1990-11-02,3.83,,
1990-11-05,3.91,,
1990-11-06,3.84,,
1990-11-07,3.7,,
1990-11-08,3.75,,
1990-11-09,3.78,,
1990-11-12,3.91,,
1990-11-13,3.89,,
1990-11-14,3.86,,
1990-11-15,3.86,,
1990-11-16,3.88,,
1990-11-19,3.89,,
1990-11-20,3.89,,
1990-11-21,3.89,,
1990-11-23,3.83,,
1990-11-26,3.81,,
1990-11-27,3.89,,
1990-11-28,3.89,,
1990-11-29,3.84,,
1990-11-30,3.94,,
1990-12-03,4.02,,
1990-12-04,4.11,,
1990-12-05,4.14,,
1990-12-06,4.16,,
1990-12-07,4.05,,
1990-12-10,4.06,,
1990-12-11,4.06,,
1990-12-12,4.23,,
1990-12-13,4.22,,
1990-12-14,4.19,,
1990-12-17,4.02,,
1990-12-18,4.11,,
1990-12-19,4.11,,
1990-12-20,4.06,,
1990-12-21,4.11,,
1990-12-24,4.11,,
1990-12-26,4.09,,
1990-12-27,4.05,,
1990-12-28,4.11,,
1990-12-31,4.2,,
1991-01-02,4.08,,
1991-01-03,3.97,,
1991-01-04,3.91,,
1991-01-07,3.8,,
1991-01-08,3.78,,
1991-01-09,3.83,,
1991-01-10,3.89,,
1991-01-11,3.94,,
1991-01-14,3.8,,
1991-01-15,3.75,,
1991-01-16,3.84,,
1991-01-17,4.03,,
1991-01-18,4.14,,
1991-01-21,4.08,,
1991-01-22,4.03,,
1991-01-23,4.09,,
1991-01-24,4.25,,
1991-01-25,4.25,,
1991-01-28,4.23,,
1991-01-29,4.27,,
1991-01-30,4.45,,
1991-01-31,4.39,,
1991-02-01,4.27,,
1991-02-04,4.44,,
1991-02-05,4.47,,
1991-02-06,4.59,,
1991-02-07,4.58,,
1991-02-08,4.61,,
1991-02-11,4.66,,
1991-02-12,4.67,,
1991-02-13,4.56,,
1991-02-14,4.53,,
1991-02-15,4.73,,
1991-02-19,4.7,,
1991-02-20,4.59,,
1991-02-21,4.72,,
1991-02-22,4.63,,
1991-02-25,4.63,,
1991-02-26,4.53,,
1991-02-27,4.59,,
1991-02-28,4.63,,
1991-03-01,4.66,,
1991-03-04,4.7,,
1991-03-05,4.88,,
1991-03-06,4.89,,
1991-03-07,4.89,,
1991-03-08,4.95,,
1991-03-11,4.92,,
1991-03-12,4.63,,
1991-03-13,4.52,,
1991-03-14,4.47,,
1991-03-15,4.42,,
1991-03-18,4.42,,
1991-03-19,4.25,,
1991-03-20,4.34,,
