date,TMO,dcf,Deviation
1989-09-19,10.26,,
1989-09-20,10.41,,
1989-09-21,10.52,,
1989-09-22,10.44,,
1989-09-25,10.22,,
1989-09-26,10.3,,
1989-09-27,10.52,,
1989-09-28,10.67,,
1989-09-29,10.93,,
1989-10-02,10.96,,
1989-10-03,11.19,,
1989-10-04,11.07,,
1989-10-05,10.96,,
1989-10-06,10.67,,
1989-10-09,10.63,,
1989-10-10,10.67,,
1989-10-11,10.59,,
1989-10-12,10.41,,
1989-10-13,9.33,,
1989-10-16,9.33,,
1989-10-17,9.59,,
1989-10-18,10.15,,
1989-10-19,10.56,,
1989-10-20,10.48,,
1989-10-23,10.22,,
1989-10-24,9.93,,
1989-10-25,9.89,,
1989-10-26,9.89,,
1989-10-27,9.67,,
1989-10-30,9.52,,
1989-10-31,9.22,,
1989-11-01,9.44,,
1989-11-02,9.67,,
1989-11-03,9.7,,
1989-11-06,9.67,,
1989-11-07,9.56,,
1989-11-08,9.59,,
1989-11-09,9.67,,
1989-11-10,9.74,,
1989-11-13,9.74,,
1989-11-14,9.78,,
1989-11-15,9.81,,
1989-11-16,9.78,,
1989-11-17,9.78,,
1989-11-20,9.7,,
1989-11-21,9.7,,
1989-11-22,9.7,,
1989-11-24,9.7,,
1989-11-27,9.67,,
1989-11-28,9.41,,
1989-11-29,9.41,,
1989-11-30,9.3,,
1989-12-01,9.44,,
1989-12-04,9.44,,
1989-12-05,9.56,,
1989-12-06,9.52,,
1989-12-07,9.26,,
1989-12-08,9.37,,
1989-12-11,9.52,,
1989-12-12,9.48,,
1989-12-13,9.48,,
1989-12-14,9.44,,
1989-12-15,9.48,,
1989-12-18,9.11,,
1989-12-19,9.11,,
1989-12-20,8.85,,
1989-12-21,9.0,,
1989-12-22,9.04,,
1989-12-26,9.0,,
1989-12-27,9.0,,
1989-12-28,9.0,,
1989-12-29,9.07,,
1990-01-02,9.07,,
1990-01-03,9.74,,
1990-01-04,9.81,,
1990-01-05,9.74,,
1990-01-08,9.67,,
1990-01-09,9.74,,
1990-01-10,9.52,,
1990-01-11,9.67,,
1990-01-12,9.48,,
1990-01-15,9.44,,
1990-01-16,9.37,,
1990-01-17,9.37,,
1990-01-18,9.37,,
1990-01-19,9.44,,
1990-01-22,9.37,,
1990-01-23,9.26,,
1990-01-24,9.11,,
1990-01-25,9.11,,
1990-01-26,9.07,,
1990-01-29,9.04,,
1990-01-30,8.89,,
1990-01-31,8.85,,
1990-02-01,8.81,,
1990-02-02,8.96,,
1990-02-05,9.11,,
1990-02-06,9.07,,
1990-02-07,9.3,,
1990-02-08,9.56,,
1990-02-09,9.52,,
1990-02-12,9.44,,
1990-02-13,9.26,,
1990-02-14,9.3,,
1990-02-15,9.37,,
1990-02-16,9.33,,
1990-02-20,9.26,,
1990-02-21,9.26,,
1990-02-22,9.37,,
1990-02-23,9.26,,
1990-02-26,9.3,,
1990-02-27,9.33,,
1990-02-28,9.37,,
1990-03-01,9.37,,
1990-03-02,9.33,,
1990-03-05,9.41,,
1990-03-06,9.41,,
1990-03-07,9.56,,
1990-03-08,10.04,,
1990-03-09,10.33,,
1990-03-12,10.19,,
1990-03-13,10.04,,
1990-03-14,10.0,,
1990-03-15,10.0,,
1990-03-16,9.81,,
1990-03-19,9.89,,
1990-03-20,9.93,,
1990-03-21,9.81,,
1990-03-22,9.63,,
1990-03-23,9.63,,
1990-03-26,9.56,,
1990-03-27,9.56,,
1990-03-28,9.44,,
1990-03-29,9.44,,
1990-03-30,9.48,,
1990-04-02,9.19,,
1990-04-03,9.37,,
1990-04-04,9.3,,
1990-04-05,9.33,,
1990-04-06,9.81,,
1990-04-09,9.78,,
1990-04-10,9.81,,
1990-04-11,9.78,,
1990-04-12,9.74,,
1990-04-16,9.81,,
1990-04-17,9.67,,
1990-04-18,9.48,,
1990-04-19,9.44,,
1990-04-20,9.41,,
1990-04-23,9.44,,
1990-04-24,9.56,,
1990-04-25,9.48,,
1990-04-26,9.67,,
1990-04-27,9.56,,
1990-04-30,9.56,,
1990-05-01,9.48,,
1990-05-02,9.67,,
1990-05-03,9.81,,
1990-05-04,9.85,,
1990-05-07,9.78,,
1990-05-08,9.48,,
1990-05-09,9.56,,
1990-05-10,9.56,,
1990-05-11,9.67,,
1990-05-14,9.48,,
1990-05-15,9.33,,
1990-05-16,9.59,,
1990-05-17,9.78,,
1990-05-18,9.93,,
1990-05-21,10.07,,
1990-05-22,9.96,,
1990-05-23,10.11,,
1990-05-24,10.22,,
1990-05-25,10.33,,
1990-05-29,10.26,,
1990-05-30,10.33,,
1990-05-31,10.04,,
1990-06-01,10.07,,
1990-06-04,10.11,,
1990-06-05,9.85,,
1990-06-06,9.85,,
1990-06-07,9.81,,
1990-06-08,9.78,,
1990-06-11,9.74,,
1990-06-12,9.67,,
1990-06-13,9.74,,
1990-06-14,9.85,,
1990-06-15,9.85,,
