date,AJG,dcf,Deviation
1984-06-20,1.84,,
1984-06-21,1.78,,
1984-06-22,1.78,,
1984-06-25,1.75,,
1984-06-26,1.72,,
1984-06-27,1.75,,
1984-06-28,1.75,,
1984-06-29,1.81,,
1984-07-02,1.81,,
1984-07-03,1.81,,
1984-07-05,1.84,,
1984-07-06,1.84,,
1984-07-09,1.84,,
1984-07-10,1.84,,
1984-07-11,1.84,,
1984-07-12,1.81,,
1984-07-13,1.81,,
1984-07-16,1.81,,
1984-07-17,1.81,,
1984-07-18,1.81,,
1984-07-19,1.81,,
1984-07-20,1.81,,
1984-07-23,1.84,,
1984-07-24,1.88,,
1984-07-25,1.88,,
1984-07-26,1.97,,
1984-07-27,2.03,,
1984-07-30,2.03,,
1984-07-31,2.03,,
1984-08-01,2.03,,
1984-08-02,2.09,,
1984-08-03,2.13,,
1984-08-06,2.16,,
1984-08-07,2.16,,
1984-08-08,2.22,,
1984-08-09,2.22,,
1984-08-10,2.25,,
1984-08-13,2.25,,
1984-08-14,2.25,,
1984-08-15,2.25,,
1984-08-16,2.28,,
1984-08-17,2.34,,
1984-08-20,2.38,,
1984-08-21,2.41,,
1984-08-22,2.44,,
1984-08-23,2.47,,
1984-08-24,2.47,,
1984-08-27,2.47,,
1984-08-28,2.5,,
1984-08-29,2.63,,
1984-08-30,2.66,,
1984-08-31,2.66,,
1984-09-04,2.66,,
1984-09-05,2.66,,
1984-09-06,2.66,,
1984-09-07,2.69,,
1984-09-10,2.69,,
1984-09-11,2.69,,
1984-09-12,2.69,,
1984-09-13,2.69,,
1984-09-14,2.69,,
1984-09-17,2.72,,
1984-09-18,2.72,,
1984-09-19,2.72,,
1984-09-20,2.72,,
1984-09-21,3.03,,
1984-09-24,3.03,,
1984-09-25,3.03,,
1984-09-26,3.03,,
1984-09-27,3.03,,
1984-09-28,3.03,,
1984-10-01,3.03,,
1984-10-02,3.06,,
1984-10-03,3.06,,
1984-10-04,3.06,,
1984-10-05,3.06,,
1984-10-08,3.06,,
1984-10-09,3.06,,
1984-10-10,3.06,,
1984-10-11,3.06,,
1984-10-12,3.06,,
1984-10-15,3.09,,
1984-10-16,3.09,,
1984-10-17,3.13,,
1984-10-18,3.13,,
1984-10-19,3.13,,
1984-10-22,3.13,,
1984-10-23,3.16,,
1984-10-24,3.25,,
1984-10-25,3.34,,
1984-10-26,3.25,,
1984-10-29,3.22,,
1984-10-30,3.22,,
1984-10-31,3.25,,
1984-11-01,3.28,,
1984-11-02,3.28,,
1984-11-05,3.28,,
1984-11-06,3.28,,
1984-11-07,3.31,,
1984-11-08,3.38,,
1984-11-09,3.34,,
1984-11-12,3.34,,
1984-11-13,3.34,,
1984-11-14,3.38,,
1984-11-15,3.38,,
1984-11-16,3.38,,
1984-11-19,3.38,,
1984-11-20,3.41,,
1984-11-21,3.41,,
