date,STX,dcf,Deviation
2002-12-11,11.5,,
2002-12-12,11.18,,
2002-12-13,11.42,,
2002-12-16,11.61,,
2002-12-17,11.5,,
2002-12-18,11.2,,
2002-12-19,10.76,,
2002-12-20,10.81,,
2002-12-23,10.4,,
2002-12-24,10.24,,
2002-12-26,10.03,,
2002-12-27,10.13,,
2002-12-30,10.47,,
2002-12-31,10.73,,
2003-01-02,10.5,,
2003-01-03,10.75,,
2003-01-06,11.43,,
2003-01-07,12.25,,
2003-01-08,12.2,,
2003-01-09,12.6,,
2003-01-10,11.1,,
2003-01-13,10.23,,
2003-01-14,10.25,,
2003-01-15,10.77,,
2003-01-16,11.01,,
2003-01-17,10.8,,
2003-01-21,10.24,,
2003-01-22,9.52,,
2003-01-23,10.0,,
2003-01-24,9.95,,
2003-01-27,9.35,,
2003-01-28,9.4,,
2003-01-29,9.73,,
2003-01-30,9.4,,
2003-01-31,9.18,,
2003-02-03,9.17,,
2003-02-04,9.05,,
2003-02-05,9.05,,
2003-02-06,9.05,,
2003-02-07,9.0,,
2003-02-10,8.7,,
2003-02-11,8.93,,
2003-02-12,8.34,,
2003-02-13,8.06,,
2003-02-14,8.4,,
2003-02-18,8.74,,
2003-02-19,8.99,,
2003-02-20,9.01,,
2003-02-21,9.2,,
2003-02-24,9.0,,
2003-02-25,9.68,,
2003-02-26,9.52,,
2003-02-27,9.45,,
2003-02-28,9.27,,
2003-03-03,9.3,,
2003-03-04,9.27,,
2003-03-05,9.29,,
2003-03-06,9.58,,
2003-03-07,9.7,,
2003-03-10,9.76,,
2003-03-11,9.55,,
2003-03-12,9.03,,
2003-03-13,9.05,,
2003-03-14,8.96,,
2003-03-17,9.35,,
2003-03-18,9.54,,
2003-03-19,9.34,,
2003-03-20,9.44,,
2003-03-21,9.8,,
2003-03-24,9.55,,
2003-03-25,10.0,,
2003-03-26,10.1,,
2003-03-27,10.88,,
2003-03-28,10.35,11.78021505376344,-0.12140822958121866
2003-03-31,10.32,12.03021505376344,-0.14215997354331822
2003-04-01,10.57,12.200215053763442,-0.1336218293349316
2003-04-02,10.74,12.18021505376344,-0.11824216956813438
2003-04-03,10.72,11.730215053763441,-0.08612076156603199
2003-04-04,10.27,11.77021505376344,-0.12745859331463594
2003-04-07,10.31,11.980215053763441,-0.13941444675809578
2003-04-08,10.52,12.18021505376344,-0.136304248031357
2003-04-09,10.72,12.290215053763442,-0.12776139773751305
2003-04-10,10.83,12.41021505376344,-0.12733180262530863
2003-04-11,10.95,12.51021505376344,-0.12471528643259278
2003-04-14,11.05,12.91021505376344,-0.14408861866488976
2003-04-15,11.45,13.36021505376344,-0.14297786720321937
2003-04-16,11.9,13.710215053763442,-0.13203403788086743
2003-04-17,12.25,13.720215053763441,-0.10715685198827574
2003-04-21,12.26,13.810215053763441,-0.11225133335928683
2003-04-22,12.35,13.210215053763442,-0.06511741483863098
2003-04-23,11.75,12.960215053763442,-0.09337924168256873
2003-04-24,11.5,12.820215053763441,-0.10297916596772572
2003-04-25,11.36,12.94021505376344,-0.12211659908262984
2003-04-28,11.48,13.50021505376344,-0.14964317573594998
2003-04-29,12.04,13.550215053763441,-0.11145321662950247
2003-04-30,12.09,13.710215053763442,-0.11817575781341916
2003-05-01,12.25,13.75021505376344,-0.10910484293500788
2003-05-02,12.29,14.00021505376344,-0.12215634168445955
2003-05-05,12.54,13.960215053763442,-0.10173303550797208
2003-05-06,12.5,14.16021505376344,-0.11724504518186651
2003-05-07,12.7,14.18021505376344,-0.1043859383056811
2003-05-08,12.72,14.050215053763441,-0.09467577888831913
2003-05-09,12.59,14.820215053763441,-0.15048466204254585
2003-05-12,13.36,15.390215053763441,-0.13191596392065907
2003-05-13,13.93,15.11021505376344,-0.078107098381071
2003-05-14,13.65,14.86021505376344,-0.08143994211287986
2003-05-15,13.4,15.01021505376344,-0.10727461585300324
2003-05-16,13.55,14.810215053763441,-0.08509093549206803
2003-05-19,13.35,14.560215053763441,-0.08311793811387647
2003-05-20,13.1,14.74021505376344,-0.11127483878497857
2003-05-21,13.28,14.890215053763441,-0.10813914023064874
2003-05-22,13.43,14.78021505376344,-0.09135286928180653
2003-05-23,13.32,15.41021505376344,-0.1356382793147961
2003-05-27,13.95,16.30021505376344,-0.14418307034672018
2003-05-28,14.84,16.61021505376344,-0.10657387926849005
2003-05-29,15.15,16.61021505376344,-0.08791066515617407
2003-05-30,15.15,17.00021505376344,-0.10883480284879377
2003-06-02,15.54,16.32021505376344,-0.047806664997562254
2003-06-03,14.86,16.43021505376344,-0.09556874627783851
2003-06-04,14.97,17.43021505376344,-0.14114656911431755
2003-06-05,15.97,16.86021505376344,-0.05279974489795913
2003-06-06,15.4,16.81021505376344,-0.0838903636421785
2003-06-09,15.35,16.48021505376344,-0.06858011561598798
2003-06-10,15.02,16.71021505376344,-0.1011486116920306
2003-06-11,15.25,17.06021505376344,-0.10610739947056591
2003-06-12,15.6,17.420215053763442,-0.1044886672263099
2003-06-13,15.96,18.46021505376344,-0.13543802423112772
2003-06-16,17.0,18.71021505376344,-0.09140541938450053
2003-06-17,17.25,19.080215053763443,-0.09592213969320251
2003-06-18,17.62,18.80021505376344,-0.06277667837247336
2003-06-19,17.34,18.77021505376344,-0.07619598654926873
2003-06-20,17.31,18.43021505376344,-0.060781442348644465
2003-06-23,16.97,18.310215053763443,-0.07319493789822962
2003-06-24,16.85,18.70021505376344,-0.09894084364506173
2003-06-25,17.24,19.84021505376344,-0.13105780591174665
2003-06-26,18.38,19.64021505376344,-0.06416503334172818
2003-06-27,18.18,19.243617021276595,-0.055271159268063474
2003-06-30,17.65,19.783617021276594,-0.10784767107965976
2003-07-01,18.19,21.213617021276594,-0.14253189440744596
2003-07-02,19.62,21.093617021276597,-0.06986080290498287
2003-07-03,19.5,21.943617021276594,-0.11135889853105152
2003-07-07,20.35,22.033617021276594,-0.07641128642886097
2003-07-08,20.44,21.823617021276597,-0.06339998635091793
2003-07-09,20.23,21.393617021276597,-0.05439085032322233
2003-07-10,19.8,21.943617021276594,-0.09768749696999068
2003-07-11,20.35,22.593617021276597,-0.0993031358885017
2003-07-14,21.0,22.243617021276595,-0.05590893873451619
2003-07-15,20.65,23.153617021276595,-0.10813070886401654
2003-07-16,21.56,22.613617021276596,-0.04659214933574207
2003-07-17,21.02,21.623617021276594,-0.027914711062569486
2003-07-18,20.03,21.343617021276597,-0.061546129691471885
2003-07-21,19.75,21.513617021276595,-0.08197677868544406
2003-07-22,19.92,21.093617021276597,-0.055638491022796055
2003-07-23,19.5,20.523617021276596,-0.04987507904749067
2003-07-24,18.93,20.483617021276597,-0.07584681063226462
2003-07-25,18.89,22.073617021276597,-0.14422724731555914
2003-07-28,20.48,22.093617021276597,-0.07303543913713406
2003-07-29,20.5,22.453617021276596,-0.08700678467194789
2003-07-30,20.86,23.393617021276597,-0.10830377444292871
2003-07-31,21.8,22.773617021276596,-0.04275197129937591
2003-08-01,21.18,22.643617021276597,-0.06463706835799865
2003-08-04,21.05,22.593617021276597,-0.06832093417459273
2003-08-05,21.0,23.233617021276597,-0.09613729189179299
2003-08-06,21.64,23.063617021276595,-0.0617256616758457
2003-08-07,21.47,23.393617021276597,-0.08222828558435669
2003-08-08,21.8,23.763617021276595,-0.08263123494704039
2003-08-11,22.17,23.893617021276597,-0.07213713268032051
2003-08-12,22.3,23.293617021276596,-0.04265619291194733
2003-08-13,21.7,22.293617021276596,-0.026627218934911268
2003-08-14,20.7,22.293617021276596,-0.07148310746325637
2003-08-15,20.7,23.043617021276596,-0.10170352245972025
2003-08-18,21.45,23.583617021276595,-0.09047030484559238
2003-08-19,21.99,23.373617021276594,-0.05919567433731432
2003-08-20,21.78,23.663617021276597,-0.07959970868286892
