date,TPR,dcf,Deviation
2001-10-10,3.19,3.547025179856115,-0.10065481967359413
2001-10-11,3.53,3.377025179856115,0.045298691006622205
2001-10-12,3.36,3.237025179856115,0.037990072153022636
2001-10-15,3.22,3.267025179856115,-0.0143938835078663
2001-10-16,3.25,3.127025179856115,0.03932645663874812
2001-10-17,3.11,3.267025179856115,-0.04806365767374676
2001-10-18,3.25,3.417025179856115,-0.048880289451992964
2001-10-19,3.4,3.507025179856115,-0.030517368529559885
2001-10-22,3.49,3.777025179856115,-0.07599239247514067
2001-10-23,3.76,3.6770251798561153,0.02256574706054404
2001-10-24,3.66,3.5770251798561152,0.023196599400852502
2001-10-25,3.56,3.787025179856115,-0.05994815695013167
2001-10-26,3.77,3.517025179856115,0.07192863491362167
2001-10-29,3.5,3.397025179856115,0.030313234283487533
2001-10-30,3.38,3.507025179856115,-0.03622020753820954
2001-10-31,3.49,3.3870251798561153,0.030402732390746312
2001-11-01,3.37,3.557025179856115,-0.052579099218994174
2001-11-02,3.54,3.767025179856115,-0.06026643545419219
2001-11-05,3.75,4.007025179856115,-0.06414363981245175
2001-11-06,3.99,4.097025179856115,-0.02612265611212905
2001-11-07,4.08,4.047025179856115,0.008147915735245537
2001-11-08,4.03,3.987025179856115,0.010778667855174229
2001-11-09,3.97,3.8870251798561153,0.021346612461861314
2001-11-12,3.87,4.017025179856115,-0.03660051238747308
2001-11-13,4.0,4.117025179856115,-0.028424693739717344
2001-11-14,4.1,4.267025179856115,-0.03914323745840831
2001-11-15,4.25,4.147025179856115,0.024831009139775206
2001-11-16,4.13,4.097025179856115,0.008048478761129463
2001-11-19,4.08,4.147025179856115,-0.016162231225815837
2001-11-20,4.13,4.1670251798561155,-0.008885278647966843
2001-11-21,4.15,4.197025179856115,-0.011204407369728164
2001-11-23,4.18,4.137025179856115,0.01038785559080857
2001-11-26,4.12,4.157025179856115,-0.008906652775530266
2001-11-27,4.14,4.0870251798561155,0.012961706329822409
2001-11-28,4.07,4.1670251798561155,-0.023284039732984207
2001-11-29,4.15,4.147025179856115,0.0007173383364864616
2001-11-30,4.13,4.077025179856115,0.012993498398200964
2001-12-03,4.06,4.097025179856115,-0.009037088675499905
2001-12-04,4.08,4.4170251798561155,-0.07630139429431415
2001-12-05,4.4,4.507025179856115,-0.023746301736777053
2001-12-06,4.49,4.397025179856115,0.02114493693823416
2001-12-07,4.38,4.237025179856115,0.033744151633467556
2001-12-10,4.22,4.177025179856115,0.010288379479044707
2001-12-11,4.16,4.157025179856115,0.0007156127315033345
2001-12-12,4.14,4.1670251798561155,-0.00648548513379732
2001-12-13,4.15,4.257025179856115,-0.025140837870198496
2001-12-14,4.24,4.397025179856115,-0.035711685385721004
2001-12-17,4.38,4.767025179856115,-0.08118798731996568
2001-12-18,4.75,4.747025179856115,0.0006266703948629715
2001-12-19,4.73,4.607025179856115,0.02669289082282078
2001-12-20,4.59,4.797025179856115,-0.043156992530592686
2001-12-21,4.78,4.707025179856115,0.015503384272551601
2001-12-24,4.69,4.847025179856115,-0.0323961964358469
2001-12-26,4.83,4.6670251798561155,0.03492049300426303
2001-12-27,4.65,4.817025179856115,-0.034673927085659084
2001-12-28,4.8,4.93739918946302,-0.02782825212031581
2001-12-31,4.87,4.807399189463019,0.013021762510213808
2002-01-02,4.74,4.827399189463019,-0.018104819185823517
2002-01-03,4.76,4.927399189463019,-0.03397313329534846
2002-01-04,4.86,5.097399189463019,-0.04657261098046883
2002-01-07,5.03,5.327399189463019,-0.05582446122138551
2002-01-08,5.26,5.1473991894630196,0.021875282330439783
2002-01-09,5.08,5.257399189463019,-0.03374276578019142
2002-01-10,5.19,5.18739918946302,0.0005013708106875736
2002-01-11,5.12,5.1073991894630195,0.002467167744196974
2002-01-14,5.04,5.247399189463019,-0.039524187502160024
2002-01-15,5.18,5.207399189463019,-0.005261588072306922
2002-01-16,5.14,5.327399189463019,-0.03517648721231059
2002-01-17,5.26,5.347399189463019,-0.016344242568469225
2002-01-18,5.28,5.347399189463019,-0.01260410660865341
2002-01-22,5.28,5.447399189463019,-0.030730112415264466
2002-01-23,5.38,5.617399189463019,-0.04226140629427355
2002-01-24,5.55,5.6073991894630195,-0.010236330163702179
2002-01-25,5.54,5.8973991894630196,-0.060602848472864235
2002-01-28,5.83,5.837399189463019,-0.0012675489927732597
2002-01-29,5.77,5.927399189463019,-0.02655451141924503
2002-01-30,5.86,5.837399189463019,0.0038717260552914023
2002-01-31,5.77,5.807399189463019,-0.006439920563903523
2002-02-01,5.74,5.557399189463019,0.03285724208604579
2002-02-04,5.49,5.547399189463019,-0.01034704507511297
2002-02-05,5.48,5.417399189463019,0.011555510005380798
2002-02-06,5.35,5.337399189463019,0.0023608521846851804
2002-02-07,5.27,5.51739918946302,-0.04483982053274238
2002-02-08,5.45,5.737399189463019,-0.050092242141847154
2002-02-11,5.67,5.5673991894630195,0.01842885825955598
2002-02-12,5.5,5.637399189463019,-0.024372797604937158
2002-02-13,5.57,5.597399189463019,-0.004894985784575923
2002-02-14,5.53,5.577399189463019,-0.008498439479205144
2002-02-15,5.51,5.507399189463019,0.0004722393361202837
2002-02-19,5.44,5.667399189463019,-0.04012408193970263
2002-02-20,5.6,5.657399189463019,-0.010145861647862242
2002-02-21,5.59,5.657399189463019,-0.011913458323491
2002-02-22,5.59,5.597399189463019,-0.0013218977622585504
2002-02-25,5.53,5.737399189463019,-0.036148642026498146
2002-02-26,5.67,6.307399189463019,-0.10105578707113416
2002-02-27,6.24,6.297399189463019,-0.00911474526802436
2002-02-28,6.23,6.307399189463019,-0.012271173448530015
2002-03-01,6.24,6.557399189463019,-0.04840321296483552
2002-03-04,6.49,6.0673991894630195,0.06965106421065759
2002-03-05,6.0,6.037399189463019,-0.00619458616026114
2002-03-06,5.97,6.3173991894630195,-0.054990856053937054
2002-03-07,6.25,6.087399189463019,0.02671104776871447
2002-03-08,6.02,6.0673991894630195,-0.007812109930946387
2002-03-11,6.0,6.18739918946302,-0.030287231149099814
2002-03-12,6.12,6.297399189463019,-0.02817023093594706
2002-03-13,6.23,6.407399189463019,-0.027686614212323768
2002-03-14,6.34,6.577399189463019,-0.036093170358784454
2002-03-15,6.51,6.47739918946302,0.005033009327264137
2002-03-18,6.41,6.637399189463019,-0.03426028523702762
2002-03-19,6.57,6.5673991894630195,0.00039601834180480466
2002-03-20,6.5,6.257399189463019,0.03877023076064923
2002-03-21,6.19,6.427399189463019,-0.03693549793082829
2002-03-22,6.36,6.347399189463019,0.00198519270032671
2002-03-25,6.28,6.457399189463019,-0.027472235223198416
2002-03-26,6.39,6.507399189463019,-0.018040877168426284
2002-03-27,6.44,6.407399189463019,0.005087994297373166
2002-03-28,6.34,6.347282674772036,-0.0011473689049618097
2002-04-01,6.27,6.187282674772036,0.013368926162891315
2002-04-02,6.11,6.0872826747720366,0.0037319320362947384
2002-04-03,6.01,6.287282674772037,-0.04410214859348449
2002-04-04,6.21,6.527282674772036,-0.04860869225080977
2002-04-05,6.45,6.697282674772037,-0.03692283673549046
2002-04-08,6.62,6.907282674772037,-0.041591272327872075
2002-04-09,6.83,6.8372826747720366,-0.0010651416825149251
2002-04-10,6.76,6.667282674772037,0.013906313823889738
2002-04-11,6.59,6.7572826747720365,-0.02475590896864177
2002-04-12,6.68,6.637282674772036,0.006435965939846078
2002-04-15,6.56,6.887282674772036,-0.04751985510495538
2002-04-16,6.81,6.987282674772037,-0.025372191597761717
2002-04-17,6.91,7.067282674772036,-0.022255042285698523
2002-04-18,6.99,7.0072826747720365,-0.0024663875533746937
2002-04-19,6.93,6.807282674772036,0.01802735850573045
2002-04-22,6.73,7.157282674772037,-0.05969900787600868
2002-04-23,7.08,7.077282674772037,0.000383950359599039
2002-04-24,7.0,7.177282674772036,-0.02470052843190651
2002-04-25,7.1,6.957282674772037,0.020513371656648793
2002-04-26,6.88,6.867282674772037,0.0018518715233146743
2002-04-29,6.79,7.077282674772037,-0.040592228398068086
2002-04-30,7.0,7.027282674772036,-0.003882393242836346
2002-05-01,6.95,7.217282674772036,-0.03703369908266463
2002-05-02,7.14,7.057282674772036,0.011720846257675888
2002-05-03,6.98,6.917282674772037,0.009066757594958341
2002-05-06,6.84,6.8372826747720366,0.0003974276561637957
2002-05-07,6.76,6.997282674772037,-0.033910688734576144
2002-05-08,6.92,7.167282674772037,-0.03450159369916328
2002-05-09,7.09,7.077282674772037,0.0017969220408979858
2002-05-10,7.0,7.067282674772036,-0.009520303328493407
2002-05-13,6.99,7.3372826747720366,-0.04733123830244501
2002-05-14,7.26,7.447282674772037,-0.02514778650828775
2002-05-15,7.37,7.367282674772037,0.0003688368354954896
2002-05-16,7.29,7.567282674772036,-0.03664230433685878
2002-05-17,7.49,7.457282674772037,0.004387298518084393
2002-05-20,7.38,7.187282674772036,0.026813656001650976
2002-05-21,7.11,6.877282674772037,0.03383855749911824
2002-05-22,6.8,6.827282674772037,-0.003996124969726345
2002-05-23,6.75,6.967282674772036,-0.031186143137094113
2002-05-24,6.89,6.687282674772036,0.03031385617849236
2002-05-28,6.61,6.467282674772036,0.022067587332263106
2002-05-29,6.39,6.387282674772036,0.00042542742607842854
2002-05-30,6.31,6.607282674772036,-0.04499318243294215
2002-05-31,6.53,6.347282674772036,0.02878670048116705
2002-06-03,6.27,6.057282674772036,0.03511761571139971
2002-06-04,5.98,6.577282674772037,-0.09080994451751123
2002-06-05,6.5,6.677282674772036,-0.026550122768029816
2002-06-06,6.6,6.927282674772036,-0.047245462634857294
2002-06-07,6.85,7.117282674772037,-0.03755403388985079
2002-06-10,7.04,6.887282674772036,0.02217381403370644
2002-06-11,6.81,6.847282674772036,-0.005444886174978625
2002-06-12,6.77,6.637282674772036,0.019995731948017736
2002-06-13,6.56,6.637282674772036,-0.011643722071049356
2002-06-14,6.56,6.917282674772037,-0.051650726386400225
2002-06-17,6.84,6.987282674772037,-0.02107867702330246
2002-06-18,6.91,6.987282674772037,-0.011060476349564308
2002-06-19,6.91,6.857282674772036,0.0076877865078992524
2002-06-20,6.78,6.957282674772037,-0.02548159720674925
2002-06-21,6.88,6.717282674772036,0.02422368286495935
2002-06-24,6.64,6.467282674772036,0.026706320708960174
2002-06-25,6.39,6.727282674772036,-0.0501365396814496
2002-06-26,6.65,6.967282674772036,-0.04553894101654454
2002-06-27,6.89,6.937282674772036,-0.006815734198634238
2002-06-28,6.86,7.6230943794528985,-0.10010296888225911
2002-07-01,6.59,7.433094379452898,-0.1134244147072101
2002-07-02,6.4,7.333094379452898,-0.12724428885947514
2002-07-03,6.3,7.483094379452898,-0.15810229290992805
2002-07-05,6.45,7.473094379452898,-0.13690371451294292
2002-07-08,6.44,7.193094379452898,-0.10469685780908344
2002-07-09,6.16,6.833094379452898,-0.09850506111504798
2002-07-10,5.8,6.833094379452898,-0.15118983027066202
2002-07-11,5.8,6.713094379452898,-0.13601691378683012
2002-07-12,5.68,6.473094379452898,-0.12252167710861184
2002-07-15,5.44,6.283094379452899,-0.1341845798481084
2002-07-16,5.25,6.213094379452898,-0.15501042164077106
2002-07-17,5.18,6.133094379452898,-0.15540187717409937
2002-07-18,5.1,5.9130943794528985,-0.13750742458606413
2002-07-19,4.88,5.843094379452897,-0.16482608647219454
2002-07-22,4.81,5.563094379452898,-0.1353732883329154
2002-07-23,4.53,6.283094379452899,-0.27901767402792843
2002-07-24,5.25,6.233094379452898,-0.15772172208616353
2002-07-25,5.2,6.513094379452898,-0.20160837582752766
2002-07-26,5.48,7.213094379452898,-0.24027058129029366
2002-07-29,6.18,6.9130943794528985,-0.10604431810330872
2002-07-30,5.88,6.733094379452898,-0.126701681481883
2002-07-31,5.7,6.613094379452898,-0.13807369546848025
2002-08-01,5.58,6.613094379452898,-0.15621951240598597
2002-08-02,5.58,6.463094379452898,-0.1366364666219917
2002-08-05,5.43,6.9130943794528985,-0.21453408532378093
2002-08-06,5.88,6.833094379452898,-0.13948210379163672
2002-08-07,5.8,6.903094379452898,-0.15979708791701663
2002-08-08,5.87,7.173094379452898,-0.18166418989070754
2002-08-09,6.14,6.973094379452898,-0.11947269520798631
2002-08-12,5.94,7.243094379452899,-0.17990851854001744
2002-08-13,6.21,7.4130943794528985,-0.1622931420902386
2002-08-14,6.38,7.783094379452899,-0.18027461971385306
2002-08-15,6.75,7.853094379452898,-0.1404662068418624
2002-08-16,6.82,7.843094379452898,-0.13044524647480582
2002-08-19,6.81,7.863094379452898,-0.13392874721238823
2002-08-20,6.83,7.783094379452899,-0.12245699884727534
2002-08-21,6.75,7.783094379452899,-0.13273568700133354
2002-08-22,6.75,7.6630943794528985,-0.119154787118528
2002-08-23,6.63,7.763094379452898,-0.14595911424855723
2002-08-26,6.73,7.6630943794528985,-0.12176469886039898
2002-08-27,6.63,7.463094379452898,-0.11162854669861089
2002-08-28,6.43,7.283094379452899,-0.11713350603551875
2002-08-29,6.25,7.193094379452898,-0.13111108094825652
2002-08-30,6.16,7.563094379452898,-0.185518560136545
2002-09-03,6.53,8.263094379452898,-0.20973914854009523
2002-09-04,7.23,7.963094379452898,-0.09206149576030331
2002-09-05,6.93,8.333094379452898,-0.16837615363058178
2002-09-06,7.3,8.373094379452898,-0.12815983324948677
2002-09-09,7.34,8.373094379452898,-0.12338262685633317
2002-09-10,7.34,8.343094379452898,-0.12023049648380901
2002-09-11,7.31,8.043094379452898,-0.09114581339809713
2002-09-12,7.01,8.283094379452898,-0.15369792026165308
2002-09-13,7.25,8.293094379452898,-0.12577866978546448
2002-09-16,7.26,8.143094379452899,-0.10844702742008872
2002-09-17,7.11,8.303094379452899,-0.14369273970983254
2002-09-18,7.27,8.163094379452899,-0.1094063522897496
2002-09-19,7.13,8.073094379452899,-0.11681944185530635
2002-09-20,7.04,7.9130943794528985,-0.11033539315794982
2002-09-23,6.88,7.723094379452898,-0.10916536015614808
2002-09-24,6.69,7.9530943794528985,-0.15881797941643283
2002-09-25,6.92,8.053094379452899,-0.1407029802536448
2002-09-26,7.02,7.813094379452898,-0.1015083577562561
2002-09-27,6.78,6.878661187929385,-0.014343080031694933
2002-09-30,6.4,6.828661187929385,-0.06277382581040969
2002-10-01,6.35,6.678661187929385,-0.04921063948016824
2002-10-02,6.2,6.748661187929385,-0.08129926405413823
2002-10-03,6.27,6.728661187929385,-0.06816529694676587
2002-10-04,6.25,6.408661187929385,-0.02475730628859285
2002-10-07,5.93,6.658661187929385,-0.10943058482240842
2002-10-08,6.18,6.378661187929385,-0.0311446527847129
2002-10-09,5.9,6.548661187929385,-0.09905248864073302
2002-10-10,6.07,6.8586611879293855,-0.11498762897303583
2002-10-11,6.38,7.028661187929385,-0.09228801482754045
2002-10-14,6.55,7.728661187929385,-0.1525052217025915
2002-10-15,7.25,7.438661187929386,-0.025362250432312106
2002-10-16,6.96,7.888661187929385,-0.11772101321202
2002-10-17,7.41,7.768661187929385,-0.046167695984303814
2002-10-18,7.29,7.838661187929385,-0.06999424707554125
2002-10-21,7.36,7.828661187929385,-0.0598647938234943
2002-10-22,7.35,8.428661187929386,-0.127975388247202
2002-10-23,7.95,8.448661187929385,-0.05902250981987811
2002-10-24,7.97,8.448661187929385,-0.05665527085087152
2002-10-25,7.97,8.158661187929384,-0.023124037582110457
2002-10-28,7.68,8.148661187929385,-0.057513888124789525
2002-10-29,7.67,7.8986611879293855,-0.02894936021294625
2002-10-30,7.42,7.918661187929385,-0.06297291626638946
2002-10-31,7.44,8.328661187929384,-0.1066991642326991
2002-11-01,7.85,8.168661187929386,-0.039010209947287766
2002-11-04,7.69,8.098661187929386,-0.05046033886915435
2002-11-05,7.62,8.368661187929385,-0.08946009058285498
2002-11-06,7.89,8.128661187929385,-0.02936045461997905
2002-11-07,7.65,7.918661187929385,-0.03392760235011849
2002-11-08,7.44,7.6086611879293855,-0.022166999392344455
2002-11-11,7.13,8.108661187929386,-0.12069331363680946
2002-11-12,7.63,8.208661187929385,-0.07049397882084485
2002-11-13,7.73,8.248661187929384,-0.06287822667372533
2002-11-14,7.77,8.358661187929386,-0.07042529595283309
2002-11-15,7.88,8.428661187929386,-0.06509470195754441
2002-11-18,7.95,8.358661187929386,-0.04889074682432715
2002-11-19,7.88,8.618661187929385,-0.08570486434295566
2002-11-20,8.14,8.918661187929386,-0.0873069591412704
2002-11-21,8.44,8.648661187929385,-0.02412641487454792
2002-11-22,8.17,8.788661187929385,-0.07039310933718479
2002-11-25,8.31,8.578661187929384,-0.031317379488935204
2002-11-26,8.1,8.948661187929385,-0.09483666551976766
2002-11-27,8.47,8.988661187929385,-0.057701717428829014
2002-11-29,8.51,9.098661187929384,-0.06469756107748292
2002-12-02,8.62,8.958661187929385,-0.03780265609170341
2002-12-03,8.48,9.008661187929386,-0.05868365752701776
2002-12-04,8.53,8.738661187929385,-0.02387793546883432
2002-12-05,8.26,8.958661187929385,-0.07798723193938162
2002-12-06,8.48,8.218661187929385,0.03179822188733605
2002-12-09,7.74,8.528661187929387,-0.092471862881079
2002-12-10,8.05,8.558661187929385,-0.05943233138458259
2002-12-11,8.08,8.788661187929385,-0.0806335769209856
2002-12-12,8.31,8.608661187929387,-0.03469310516577817
2002-12-13,8.13,8.798661187929385,-0.07599578772810345
2002-12-16,8.32,8.738661187929385,-0.04790907656514665
2002-12-17,8.26,8.398661187929385,-0.016509915667114905
2002-12-18,7.92,8.518661187929384,-0.07027644071320316
2002-12-19,8.04,8.828661187929384,-0.08932964705992441
2002-12-20,8.35,8.568661187929385,-0.025518710932042832
2002-12-23,8.09,8.498661187929384,-0.0480853606106576
2002-12-24,8.02,8.628661187929385,-0.07053947010700112
2002-12-26,8.15,8.358661187929386,-0.02496347001487631
2002-12-27,7.88,10.098147943063744,-0.21965888750791718
2002-12-30,8.24,10.088147943063744,-0.18319992465360946
2002-12-31,8.23,10.288147943063743,-0.20005038365057182
2003-01-02,8.43,10.178147943063744,-0.17175501405981042
2003-01-03,8.32,10.308147943063743,-0.19287149874498544
2003-01-06,8.45,10.508147943063744,-0.19586210188659303
2003-01-07,8.65,10.268147943063743,-0.15758907565768188
2003-01-08,8.41,10.208147943063745,-0.17614830359953337
2003-01-09,8.35,10.208147943063745,-0.18202596136220028
2003-01-10,8.35,9.848147943063744,-0.15212484131281967
2003-01-13,7.99,9.448147943063743,-0.15433161629673964
2003-01-14,7.59,9.548147943063745,-0.2050814414209241
2003-01-15,7.69,9.638147943063744,-0.2021288690080506
2003-01-16,7.78,9.428147943063744,-0.17481142139652994
2003-01-17,7.57,9.148147943063744,-0.1725101029067111
2003-01-21,7.29,9.978147943063743,-0.26940349636050387
2003-01-22,8.12,10.018147943063743,-0.18947094351685667
2003-01-23,8.16,9.888147943063744,-0.17476962855071265
2003-01-24,8.03,9.708147943063745,-0.1728597414157398
2003-01-27,7.85,9.788147943063743,-0.19800966989237112
2003-01-28,7.93,9.848147943063744,-0.19477245408510901
2003-01-29,7.99,9.918147943063744,-0.19440604779566673
2003-01-30,8.06,9.848147943063744,-0.18157200251273364
2003-01-31,7.99,9.908147943063746,-0.19359298570088024
2003-02-03,8.05,9.828147943063744,-0.18092401064421082
2003-02-04,7.97,10.018147943063743,-0.20444377091494426
2003-02-05,8.16,9.928147943063744,-0.17809443948697923
2003-02-06,8.07,9.648147943063744,-0.1635700398021267
2003-02-07,7.79,9.708147943063745,-0.1975812435403005
2003-02-10,7.85,9.688147943063743,-0.1897316137063917
2003-02-11,7.83,9.558147943063744,-0.1808036403451826
2003-02-12,7.7,9.448147943063743,-0.18502546251375407
2003-02-13,7.59,9.808147943063744,-0.22615359759457987
2003-02-14,7.95,10.058147943063743,-0.20959603646688796
2003-02-18,8.2,9.968147943063745,-0.17737978540879273
2003-02-19,8.11,9.988147943063746,-0.18803765760878854
2003-02-20,8.13,10.168147943063744,-0.20044436356318718
2003-02-21,8.31,9.788147943063743,-0.15101405819179659
2003-02-24,7.93,10.348147943063744,-0.23367929762587158
2003-02-25,8.49,10.348147943063744,-0.1795633337759962
2003-02-26,8.49,10.478147943063743,-0.18974230502059708
2003-02-27,8.62,10.788147943063743,-0.20097499167665367
2003-02-28,8.93,10.718147943063745,-0.16683366870495064
2003-03-03,8.86,10.558147943063743,-0.1608376726885471
2003-03-04,8.7,10.698147943063743,-0.18677512721809608
2003-03-05,8.84,10.828147943063744,-0.18360923340886792
2003-03-06,8.97,10.998147943063744,-0.18440813431163605
2003-03-07,9.14,10.818147943063746,-0.15512340484673448
2003-03-10,8.96,10.898147943063742,-0.1778419556413986
2003-03-11,9.04,11.078147943063744,-0.18397912300312536
2003-03-12,9.22,11.188147943063743,-0.17591365014831828
2003-03-13,9.33,11.108147943063743,-0.1600760047649592
2003-03-14,9.25,11.558147943063743,-0.1996987713285765
2003-03-17,9.7,11.488147943063746,-0.15565154208719822
2003-03-18,9.63,11.518147943063743,-0.16392808569547768
2003-03-19,9.66,11.608147943063743,-0.16782590578782441
2003-03-20,9.75,11.838147943063744,-0.17639143834887117
2003-03-21,9.98,11.328147943063744,-0.1190086808399442
2003-03-24,9.47,11.788147943063743,-0.19665073379298414
2003-03-25,9.93,11.488147943063746,-0.13563090854905957
