date,UA,dcf,Deviation
2015-07-01,84.26,85.36933379149012,-0.012994523234767241
2015-07-02,84.59,85.35933379149012,-0.009012884207477367
2015-07-06,84.58,85.71933379149012,-0.013291444777925099
2015-07-07,84.94,85.16933379149012,-0.0026926803496146734
2015-07-08,84.39,85.26933379149011,-0.010312427134007596
2015-07-09,84.49,87.01933379149011,-0.029066342860665118
2015-07-10,86.24,90.12933379149011,-0.04315280750313655
2015-07-13,89.35,89.57933379149011,-0.0025601194135237426
2015-07-14,88.8,89.05933379149012,-0.0029119215297218615
2015-07-15,88.28,86.12933379149011,0.024970194402251122
2015-07-16,85.35,87.99933379149012,-0.030106293733627387
2015-07-17,87.22,89.72933379149012,-0.027965590353331127
2015-07-20,88.95,89.11933379149012,-0.0019000791891723434
2015-07-21,88.34,90.14933379149012,-0.020070406684036035
2015-07-22,89.37,96.70933379149012,-0.07589064575001692
2015-07-23,95.93,96.82933379149011,-0.009287823805818052
2015-07-24,96.05,97.20933379149012,-0.011926157152530759
2015-07-27,96.43,98.62933379149011,-0.02229898253332685
2015-07-28,97.85,99.59933379149011,-0.017563709764889857
2015-07-29,98.82,100.05933379149012,-0.01238598883811004
2015-07-30,99.28,100.10933379149012,-0.00828428039704543
2015-07-31,99.33,99.03933379149012,0.0029348562574322834
2015-08-03,98.26,100.12933379149011,-0.018669192340606378
2015-08-04,99.35,101.81933379149012,-0.02425211106317915
2015-08-05,101.04,98.96933379149012,0.020922301173335045
2015-08-06,98.19,98.70933379149012,-0.005261243000455718
2015-08-07,97.93,99.52933379149012,-0.016068969122617127
2015-08-10,98.75,99.86933379149012,-0.01120798296128711
2015-08-11,99.09,98.54933379149011,0.005486249249069708
2015-08-12,97.77,100.17933379149012,-0.02405020776545419
2015-08-13,99.4,101.02933379149012,-0.016127333818243494
2015-08-14,100.25,101.51933379149011,-0.012503369989574464
2015-08-17,100.74,101.13933379149012,-0.003948352995021609
2015-08-18,100.36,100.83933379149012,-0.004753440681007026
2015-08-19,100.06,97.42933379149012,0.027000761537996354
2015-08-20,96.65,90.80933379149012,0.06431790615181487
2015-08-21,90.03,86.21933379149012,0.04419735157923488
2015-08-24,85.44,87.79933379149011,-0.02687188717277933
2015-08-25,87.02,91.53933379149012,-0.049370402910997147
2015-08-26,90.76,96.46933379149012,-0.059182888147961354
2015-08-27,95.69,97.18933379149011,-0.01542693763810321
2015-08-28,96.41,96.30933379149012,0.0010452383434385037
2015-08-31,95.53,93.93933379149011,0.016932909190526813
2015-09-01,93.16,96.41933379149012,-0.033803736899266856
2015-09-02,95.64,96.40933379149011,-0.007979868351273844
2015-09-03,95.63,95.77933379149012,-0.0015591441867326417
2015-09-04,95.0,97.84933379149011,-0.029119603384953452
2015-09-08,97.07,95.88933379149012,0.012312800202337604
2015-09-09,95.11,96.94933379149012,-0.0189721137789971
2015-09-10,96.17,97.36933379149012,-0.012317366718955003
2015-09-11,96.59,96.92933379149012,-0.003500836931574103
2015-09-14,96.15,99.45933379149012,-0.03327323505331248
2015-09-15,98.68,104.13933379149012,-0.05242336005741022
2015-09-16,103.36,104.87933379149011,-0.014486493540383227
2015-09-17,104.1,102.57933379149011,0.014824294059083032
2015-09-18,101.8,103.84933379149011,-0.019733721119528647
2015-09-21,103.07,102.66933379149012,0.003902491559198973
2015-09-22,101.89,102.20933379149012,-0.003124311446365269
2015-09-23,101.43,102.96933379149012,-0.014949439166103695
2015-09-24,102.19,104.48933379149011,-0.022005440249800667
2015-09-25,103.71,101.56933379149012,0.021075910696671585
2015-09-28,100.79,94.73933379149011,0.06386646355173542
2015-09-29,93.96,97.55933379149012,-0.03689379223501921
2015-09-30,96.78,99.56221215361474,-0.027944458981305598
2015-10-01,98.84,100.97221215361473,-0.021116821233656546
2015-10-02,100.25,102.58221215361473,-0.022735054203376848
2015-10-05,101.86,100.58221215361473,0.012703914728319443
2015-10-06,99.86,99.78221215361474,0.0007795762862574662
2015-10-07,99.06,101.86221215361473,-0.027509830135917457
2015-10-08,101.14,103.04221215361473,-0.01846051354932987
2015-10-09,102.32,104.07221215361473,-0.016836503398509506
2015-10-12,103.35,102.02221215361473,0.013014693745181827
2015-10-13,101.3,98.00221215361474,0.03365013680728057
2015-10-14,97.28,100.21221215361473,-0.029260028200155497
2015-10-15,99.49,100.80221215361473,-0.013017692028574057
2015-10-16,100.08,101.17221215361474,-0.010795574499808058
2015-10-19,100.45,100.69221215361473,-0.0024054705764653406
2015-10-20,99.97,99.87221215361473,0.0009791296725747412
2015-10-21,99.15,94.53221215361474,0.04884882878739116
2015-10-22,93.81,92.74221215361473,0.011513504170211464
2015-10-23,92.02,94.78221215361474,-0.0291427272148701
2015-10-26,94.06,95.45221215361472,-0.014585436232469773
2015-10-27,94.73,97.26221215361473,-0.026034901916639264
2015-10-28,96.54,97.08221215361473,-0.005585082391373342
2015-10-29,96.36,95.80221215361473,0.005822285663830806
2015-10-30,95.08,96.42221215361474,-0.013920155155498826
2015-11-02,95.7,97.12221215361473,-0.014643531300185586
2015-11-03,96.4,96.02221215361473,0.003934379743104621
2015-11-04,95.3,96.75221215361474,-0.015009601551115415
2015-11-05,96.03,96.73221215361473,-0.007259341412554354
2015-11-06,96.01,96.20221215361472,-0.0019980013901114146
2015-11-10,95.48,94.29221215361473,0.012596881749366684
2015-11-11,93.57,93.08221215361473,0.005240398085729403
2015-11-12,92.36,88.15221215361473,0.047733207636953656
2015-11-13,87.43,90.72221215361473,-0.03628893162393587
2015-11-16,90.0,85.71221215361473,0.050025401732726626
