date,DXC,dcf,Deviation
1989-09-19,4.31,,
1989-09-20,4.26,,
1989-09-21,4.22,,
1989-09-22,4.26,,
1989-09-25,4.24,,
1989-09-26,4.24,,
1989-09-27,4.22,,
1989-09-28,4.18,,
1989-09-29,4.24,,
1989-10-02,4.34,,
1989-10-03,4.36,,
1989-10-04,4.35,,
1989-10-05,4.42,,
1989-10-06,4.37,,
1989-10-09,4.36,,
1989-10-10,4.38,,
1989-10-11,4.35,,
1989-10-12,4.34,,
1989-10-13,4.16,,
1989-10-16,4.08,,
1989-10-17,4.09,,
1989-10-18,4.09,,
1989-10-19,4.13,,
1989-10-20,4.17,,
1989-10-23,4.18,,
1989-10-24,4.17,,
1989-10-25,4.16,,
1989-10-26,4.16,,
1989-10-27,4.24,,
1989-10-30,4.25,,
1989-10-31,4.34,,
1989-11-01,4.31,,
1989-11-02,4.31,,
1989-11-03,4.26,,
1989-11-06,4.22,,
1989-11-07,4.24,,
1989-11-08,4.26,,
1989-11-09,4.3,,
1989-11-10,4.33,,
1989-11-13,4.33,,
1989-11-14,4.39,,
1989-11-15,4.48,,
1989-11-16,4.56,,
1989-11-17,4.75,,
1989-11-20,4.62,,
1989-11-21,4.55,,
1989-11-22,4.6,,
1989-11-24,4.63,,
1989-11-27,4.65,,
1989-11-28,4.66,,
1989-11-29,4.64,,
1989-11-30,4.64,,
1989-12-01,4.63,,
1989-12-04,4.63,,
1989-12-05,4.6,,
1989-12-06,4.57,,
1989-12-07,4.6,,
1989-12-08,4.62,,
1989-12-11,4.64,,
1989-12-12,4.67,,
1989-12-13,4.69,,
1989-12-14,4.72,,
1989-12-15,4.8,,
1989-12-18,4.65,,
1989-12-19,4.68,,
1989-12-20,4.67,,
1989-12-21,4.72,,
1989-12-22,4.74,,
1989-12-26,4.74,,
1989-12-27,4.8,,
1989-12-28,4.78,,
1989-12-29,4.78,,
1990-01-02,4.77,,
1990-01-03,4.74,,
1990-01-04,4.66,,
1990-01-05,4.64,,
1990-01-08,4.71,,
1990-01-09,4.75,,
1990-01-10,4.78,,
1990-01-11,4.78,,
1990-01-12,4.5,,
1990-01-15,4.4,,
1990-01-16,4.45,,
1990-01-17,4.49,,
1990-01-18,4.46,,
1990-01-19,4.47,,
1990-01-22,4.37,,
1990-01-23,4.3,,
1990-01-24,4.29,,
1990-01-25,4.04,,
1990-01-26,4.06,,
1990-01-29,4.01,,
1990-01-30,3.97,,
1990-01-31,3.95,,
1990-02-01,3.87,,
1990-02-02,3.93,,
1990-02-05,3.96,,
1990-02-06,3.95,,
1990-02-07,4.07,,
1990-02-08,4.13,,
1990-02-09,4.15,,
1990-02-12,4.09,,
1990-02-13,4.09,,
1990-02-14,4.09,,
1990-02-15,4.1,,
1990-02-16,4.06,,
1990-02-20,3.97,,
1990-02-21,3.93,,
1990-02-22,3.82,,
1990-02-23,3.75,,
1990-02-26,3.68,,
1990-02-27,3.7,,
1990-02-28,3.7,,
1990-03-01,3.64,,
1990-03-02,3.64,,
1990-03-05,3.67,,
1990-03-06,3.73,,
1990-03-07,3.74,,
1990-03-08,3.78,,
1990-03-09,3.73,,
1990-03-12,3.62,,
1990-03-13,3.72,,
1990-03-14,3.81,,
1990-03-15,3.84,,
1990-03-16,3.87,,
1990-03-19,3.95,,
1990-03-20,4.01,,
1990-03-21,3.94,,
1990-03-22,3.88,,
1990-03-23,3.86,,
1990-03-26,3.85,,
1990-03-27,3.77,,
1990-03-28,3.79,,
1990-03-29,3.78,,
1990-03-30,3.77,,
1990-04-02,3.64,,
1990-04-03,3.65,,
1990-04-04,3.62,,
1990-04-05,3.6,,
1990-04-06,3.52,,
1990-04-09,3.55,,
1990-04-10,3.35,,
1990-04-11,3.47,,
1990-04-12,3.5,,
1990-04-16,3.46,,
1990-04-17,3.41,,
1990-04-18,3.44,,
1990-04-19,3.46,,
1990-04-20,3.49,,
1990-04-23,3.52,,
1990-04-24,3.49,,
1990-04-25,3.65,,
1990-04-26,3.57,,
1990-04-27,3.58,,
1990-04-30,3.68,,
1990-05-01,3.73,,
1990-05-02,3.77,,
1990-05-03,3.78,,
1990-05-04,3.75,,
1990-05-07,3.76,,
1990-05-08,3.76,,
1990-05-09,3.71,,
1990-05-10,3.68,,
1990-05-11,3.66,,
1990-05-14,3.73,,
1990-05-15,3.76,,
1990-05-16,3.75,,
1990-05-17,3.78,,
1990-05-18,3.8,,
1990-05-21,3.77,,
1990-05-22,3.76,,
1990-05-23,3.79,,
1990-05-24,3.88,,
1990-05-25,3.9,,
1990-05-29,4.08,,
1990-05-30,4.08,,
1990-05-31,4.07,,
1990-06-01,4.1,,
1990-06-04,4.11,,
1990-06-05,4.08,,
1990-06-06,4.04,,
1990-06-07,4.06,,
1990-06-08,4.06,,
1990-06-11,4.04,,
1990-06-12,3.97,,
1990-06-13,3.92,,
1990-06-14,3.96,,
1990-06-15,3.95,,
1990-06-18,3.94,,
1990-06-19,3.95,,
1990-06-20,3.94,,
1990-06-21,3.94,,
1990-06-22,3.94,,
1990-06-25,3.85,,
1990-06-26,3.79,,
1990-06-27,3.86,,
1990-06-28,3.89,,
1990-06-29,3.93,,
1990-07-02,3.84,,
1990-07-03,3.79,,
1990-07-05,3.77,,
1990-07-06,3.79,,
1990-07-09,3.73,,
1990-07-10,3.68,,
1990-07-11,3.71,,
1990-07-12,3.72,,
1990-07-13,3.76,,
1990-07-16,3.79,,
1990-07-17,3.75,,
1990-07-18,3.64,,
1990-07-19,3.65,,
1990-07-20,3.62,,
1990-07-23,3.6,,
1990-07-24,3.57,,
1990-07-25,3.6,,
1990-07-26,3.64,,
1990-07-27,3.66,,
1990-07-30,3.65,,
1990-07-31,3.63,,
1990-08-01,3.57,,
1990-08-02,3.56,,
1990-08-03,3.47,,
1990-08-06,3.41,,
1990-08-07,3.43,,
1990-08-08,3.45,,
1990-08-09,3.5,,
1990-08-10,3.45,,
1990-08-13,3.45,,
1990-08-14,3.44,,
1990-08-15,3.45,,
1990-08-16,3.39,,
1990-08-17,3.32,,
1990-08-20,3.31,,
1990-08-21,3.25,,
1990-08-22,3.26,,
1990-08-23,3.17,,
1990-08-24,3.14,,
1990-08-27,3.32,,
1990-08-28,3.3,,
1990-08-29,3.28,,
1990-08-30,3.27,,
1990-08-31,3.24,,
1990-09-04,3.27,,
1990-09-05,3.33,,
1990-09-06,3.28,,
1990-09-07,3.37,,
1990-09-10,3.35,,
1990-09-11,3.3,,
1990-09-12,3.29,,
1990-09-13,3.27,,
1990-09-14,3.18,,
1990-09-17,3.2,,
1990-09-18,3.18,,
1990-09-19,3.14,,
1990-09-20,3.16,,
1990-09-21,3.16,,
1990-09-24,3.05,,
1990-09-25,3.11,,
1990-09-26,3.13,,
1990-09-27,3.13,,
1990-09-28,3.17,,
1990-10-01,3.42,,
1990-10-02,3.36,,
1990-10-03,3.32,,
1990-10-04,3.37,,
1990-10-05,3.39,,
1990-10-08,3.42,,
1990-10-09,3.39,,
1990-10-10,3.35,,
1990-10-11,3.31,,
1990-10-12,3.32,,
1990-10-15,3.31,,
1990-10-16,3.23,,
1990-10-17,3.17,,
1990-10-18,3.3,,
1990-10-19,3.3,,
1990-10-22,3.3,,
1990-10-23,3.29,,
1990-10-24,3.35,,
1990-10-25,3.39,,
1990-10-26,3.33,,
1990-10-29,3.37,,
1990-10-30,3.49,,
1990-10-31,3.53,,
1990-11-01,3.51,,
1990-11-02,3.65,,
1990-11-05,3.62,,
1990-11-06,3.64,,
1990-11-07,3.64,,
1990-11-08,3.65,,
1990-11-09,3.71,,
1990-11-12,3.75,,
1990-11-13,3.78,,
1990-11-14,3.8,,
1990-11-15,3.8,,
1990-11-16,3.87,,
