date,RCL,dcf,Deviation
1993-04-28,9.13,,
1993-04-29,9.31,,
1993-04-30,9.19,,
1993-05-03,9.19,,
1993-05-04,9.06,,
1993-05-05,8.88,,
1993-05-06,8.81,,
1993-05-07,8.88,,
1993-05-10,8.88,,
1993-05-11,8.94,,
1993-05-12,8.81,,
1993-05-13,8.75,,
1993-05-14,8.75,,
1993-05-17,8.63,,
1993-05-18,8.25,,
1993-05-19,8.44,,
1993-05-20,8.13,,
1993-05-21,8.19,,
1993-05-24,8.13,,
1993-05-25,7.94,,
1993-05-26,8.25,,
1993-05-27,8.5,,
1993-05-28,8.69,,
1993-06-01,8.5,,
1993-06-02,8.69,,
1993-06-03,8.5,,
1993-06-04,8.56,,
1993-06-07,8.63,,
1993-06-08,8.56,,
1993-06-09,8.44,,
1993-06-10,8.56,,
1993-06-11,8.81,,
1993-06-14,8.94,,
1993-06-15,8.88,,
1993-06-16,8.94,,
1993-06-17,8.94,,
1993-06-18,8.88,,
1993-06-21,8.88,,
1993-06-22,8.88,,
1993-06-23,8.75,,
1993-06-24,8.81,,
1993-06-25,9.19,,
1993-06-28,9.56,,
1993-06-29,9.5,,
1993-06-30,9.5,,
1993-07-01,9.63,,
1993-07-02,9.5,,
1993-07-06,9.31,,
1993-07-07,9.25,,
1993-07-08,9.5,,
1993-07-09,9.5,,
1993-07-12,9.5,,
1993-07-13,9.5,,
1993-07-14,9.75,,
1993-07-15,9.75,,
1993-07-16,9.75,,
1993-07-19,9.75,,
1993-07-20,9.75,,
1993-07-21,9.94,,
1993-07-22,10.06,,
1993-07-23,9.88,,
1993-07-26,10.06,,
1993-07-27,10.25,,
1993-07-28,11.06,,
1993-07-29,11.44,,
1993-07-30,11.69,,
1993-08-02,11.63,,
1993-08-03,11.5,,
1993-08-04,11.81,,
1993-08-05,12.19,,
1993-08-06,11.94,,
1993-08-09,12.0,,
1993-08-10,11.69,,
1993-08-11,11.75,,
1993-08-12,11.75,,
1993-08-13,11.69,,
1993-08-16,11.75,,
1993-08-17,11.94,,
1993-08-18,12.0,,
1993-08-19,12.13,,
1993-08-20,12.0,,
1993-08-23,12.0,,
1993-08-24,12.06,,
1993-08-25,12.31,,
1993-08-26,12.0,,
1993-08-27,11.56,,
1993-08-30,11.81,,
1993-08-31,11.88,,
1993-09-01,12.06,,
1993-09-02,12.44,,
1993-09-03,12.25,,
1993-09-07,12.19,,
1993-09-08,12.06,,
1993-09-09,11.94,,
1993-09-10,11.75,,
1993-09-13,11.81,,
1993-09-14,11.44,,
1993-09-15,11.44,,
1993-09-16,11.56,,
1993-09-17,11.56,,
1993-09-20,11.88,,
1993-09-21,11.56,,
1993-09-22,11.69,,
1993-09-23,12.0,,
1993-09-24,12.0,,
1993-09-27,11.94,,
1993-09-28,12.0,,
1993-09-29,12.13,,
1993-09-30,12.25,,
1993-10-01,12.0,,
1993-10-04,11.94,,
1993-10-05,11.94,,
1993-10-06,12.25,,
1993-10-07,12.19,,
1993-10-08,11.81,,
1993-10-11,12.0,,
1993-10-12,12.06,,
1993-10-13,12.0,,
1993-10-14,11.81,,
1993-10-15,11.75,,
1993-10-18,12.75,,
1993-10-19,12.56,,
1993-10-20,12.25,,
1993-10-21,12.56,,
1993-10-22,12.75,,
1993-10-25,13.13,,
1993-10-26,13.25,,
1993-10-27,13.5,,
1993-10-28,13.5,,
1993-10-29,13.25,,
1993-11-01,13.5,,
1993-11-02,13.19,,
1993-11-03,13.06,,
1993-11-04,12.75,,
1993-11-05,12.38,,
1993-11-08,12.44,,
1993-11-09,12.5,,
1993-11-10,12.75,,
1993-11-11,12.81,,
1993-11-12,12.81,,
1993-11-15,13.06,,
1993-11-16,13.25,,
1993-11-17,13.25,,
1993-11-18,12.81,,
1993-11-19,12.81,,
1993-11-22,12.5,,
1993-11-23,12.38,,
1993-11-24,12.94,,
1993-11-26,12.94,,
1993-11-29,12.94,,
1993-11-30,12.88,,
1993-12-01,12.94,,
1993-12-02,12.88,,
1993-12-03,12.94,,
1993-12-06,12.69,,
1993-12-07,12.5,,
1993-12-08,12.69,,
1993-12-09,12.75,,
1993-12-10,12.75,,
1993-12-13,12.75,,
1993-12-14,12.56,,
1993-12-15,12.31,,
1993-12-16,12.13,,
