date,GL,dcf,Deviation
1980-10-01,2.83,,
1980-10-02,2.8,,
1980-10-03,2.78,,
1980-10-06,2.74,,
1980-10-07,2.69,,
1980-10-08,2.72,,
1980-10-09,2.72,,
1980-10-10,2.72,,
1980-10-13,2.74,,
1980-10-14,2.72,,
1980-10-15,2.7,,
1980-10-16,2.7,,
1980-10-17,2.7,,
1980-10-20,2.67,,
1980-10-21,2.65,,
1980-10-22,2.65,,
1980-10-23,2.61,,
1980-10-24,2.61,,
1980-10-27,2.59,,
1980-10-28,2.59,,
1980-10-29,2.57,,
1980-10-30,2.57,,
1980-10-31,2.57,,
1980-11-03,2.56,,
1980-11-05,2.56,,
1980-11-06,2.54,,
1980-11-07,2.52,,
1980-11-10,2.52,,
1980-11-11,2.63,,
1980-11-12,2.67,,
1980-11-13,2.69,,
1980-11-14,2.7,,
1980-11-17,2.69,,
1980-11-18,2.65,,
1980-11-19,2.63,,
1980-11-20,2.65,,
1980-11-21,2.63,,
1980-11-24,2.65,,
1980-11-25,2.69,,
1980-11-26,2.76,,
1980-11-28,2.81,,
1980-12-01,2.83,,
1980-12-02,2.98,,
1980-12-03,3.02,,
1980-12-04,3.02,,
1980-12-05,2.83,,
1980-12-08,2.78,,
1980-12-09,2.81,,
1980-12-10,2.81,,
1980-12-11,2.81,,
1980-12-12,2.81,,
1980-12-15,2.81,,
1980-12-16,2.81,,
1980-12-17,2.78,,
1980-12-18,2.78,,
1980-12-19,2.78,,
1980-12-22,2.85,,
1980-12-23,2.83,,
1980-12-24,2.81,,
1980-12-26,2.83,,
1980-12-29,2.83,,
1980-12-30,2.89,,
1980-12-31,3.04,,
1981-01-02,3.3,,
1981-01-05,3.37,,
1981-01-06,3.35,,
1981-01-07,3.24,,
1981-01-08,3.2,,
1981-01-09,3.17,,
1981-01-12,3.19,,
1981-01-13,3.07,,
1981-01-14,3.11,,
1981-01-15,3.11,,
1981-01-16,3.19,,
1981-01-19,3.19,,
1981-01-20,3.15,,
1981-01-21,3.19,,
1981-01-22,3.19,,
1981-01-23,3.19,,
1981-01-26,3.07,,
1981-01-27,3.07,,
1981-01-28,3.04,,
1981-01-29,3.09,,
1981-01-30,3.0,,
1981-02-02,2.96,,
1981-02-03,3.02,,
1981-02-04,3.07,,
1981-02-05,3.06,,
1981-02-06,3.09,,
