date,ZBH,dcf,Deviation
2001-07-25,29.76,,
2001-07-26,28.1,,
2001-07-27,28.4,,
2001-07-30,28.46,,
2001-07-31,28.6,,
2001-08-01,29.5,,
2001-08-02,28.65,,
2001-08-03,28.0,,
2001-08-06,27.76,,
2001-08-07,29.94,,
2001-08-08,28.69,,
2001-08-09,28.36,,
2001-08-10,28.0,,
2001-08-13,27.3,,
2001-08-14,27.7,,
2001-08-15,28.08,,
2001-08-16,28.1,,
2001-08-17,28.0,,
2001-08-20,27.2,,
2001-08-21,27.34,,
2001-08-22,27.26,,
2001-08-23,26.75,,
2001-08-24,26.69,,
2001-08-27,26.66,,
2001-08-28,26.02,,
2001-08-29,26.4,,
2001-08-30,26.95,,
2001-08-31,27.2,,
2001-09-04,27.78,,
2001-09-05,27.65,,
2001-09-06,27.24,,
2001-09-07,26.66,,
2001-09-10,26.44,,
2001-09-17,25.25,,
2001-09-18,25.1,,
2001-09-19,25.02,,
2001-09-20,25.75,,
2001-09-21,25.85,,
2001-09-24,26.7,,
2001-09-25,26.3,,
2001-09-26,26.8,,
2001-09-27,27.0,,
2001-09-28,27.75,,
2001-10-01,28.11,,
2001-10-02,28.55,,
2001-10-03,28.8,,
2001-10-04,28.86,,
2001-10-05,29.05,,
2001-10-08,28.72,,
2001-10-09,28.71,,
2001-10-10,29.01,,
2001-10-11,29.42,,
2001-10-12,29.82,,
2001-10-15,29.77,,
2001-10-16,29.95,,
2001-10-17,29.97,,
2001-10-18,28.82,,
2001-10-19,29.38,,
2001-10-22,29.75,,
2001-10-23,29.79,,
2001-10-24,29.95,,
2001-10-25,29.59,,
2001-10-26,29.01,,
2001-10-29,29.2,,
2001-10-30,30.1,,
2001-10-31,30.91,,
2001-11-01,31.41,,
2001-11-02,31.7,,
2001-11-05,31.02,,
2001-11-06,31.79,,
2001-11-07,31.77,,
2001-11-08,30.6,,
2001-11-09,30.01,,
2001-11-12,29.98,,
2001-11-13,30.26,,
2001-11-14,30.9,,
2001-11-15,30.02,,
2001-11-16,30.08,,
2001-11-19,29.95,,
2001-11-20,30.24,,
2001-11-21,30.6,,
2001-11-23,30.8,,
2001-11-26,32.75,,
2001-11-27,32.57,,
2001-11-28,32.55,,
2001-11-29,32.6,,
2001-11-30,32.26,,
2001-12-03,32.2,,
2001-12-04,32.6,,
2001-12-05,32.68,,
2001-12-06,32.85,,
2001-12-07,31.4,,
2001-12-10,31.33,,
2001-12-11,30.34,,
2001-12-12,29.94,,
2001-12-13,30.6,,
2001-12-14,30.91,,
2001-12-17,30.25,,
2001-12-18,30.3,,
2001-12-19,30.57,,
2001-12-20,30.03,,
2001-12-21,30.33,,
2001-12-24,29.8,,
2001-12-26,29.83,,
2001-12-27,29.86,,
2001-12-28,29.75,,
2001-12-31,30.54,,
2002-01-02,30.23,,
2002-01-03,30.04,,
2002-01-04,29.55,,
2002-01-07,29.55,,
2002-01-08,30.5,,
2002-01-09,30.7,,
2002-01-10,30.56,,
2002-01-11,29.93,,
2002-01-14,31.81,,
2002-01-15,31.25,,
2002-01-16,31.32,,
2002-01-17,31.8,,
2002-01-18,31.21,,
2002-01-22,31.05,,
2002-01-23,31.73,,
2002-01-24,32.15,,
2002-01-25,32.1,,
2002-01-28,32.15,,
2002-01-29,32.6,,
2002-01-30,32.87,,
2002-01-31,32.53,,
2002-02-01,32.4,,
2002-02-04,32.31,,
2002-02-05,32.9,,
2002-02-06,33.6,,
2002-02-07,34.08,,
2002-02-08,34.03,,
2002-02-11,34.5,,
2002-02-12,34.61,,
2002-02-13,34.45,,
2002-02-14,34.7,,
2002-02-15,34.8,,
2002-02-19,35.0,,
2002-02-20,35.48,,
2002-02-21,35.25,,
2002-02-22,35.09,,
2002-02-25,35.07,,
2002-02-26,35.68,,
2002-02-27,35.9,,
2002-02-28,35.76,,
2002-03-01,35.8,,
2002-03-04,36.36,,
2002-03-05,34.88,,
2002-03-06,34.22,,
2002-03-07,33.25,,
2002-03-08,33.74,,
2002-03-11,34.5,,
2002-03-12,34.41,,
2002-03-13,34.4,,
2002-03-14,34.49,,
2002-03-15,35.56,,
2002-03-18,34.84,,
2002-03-19,35.18,,
2002-03-20,35.44,,
2002-03-21,35.67,,
2002-03-22,34.16,,
2002-03-25,32.95,,
2002-03-26,33.89,,
2002-03-27,33.81,,
2002-03-28,34.05,,
2002-04-01,34.15,,
2002-04-02,33.82,,
2002-04-03,33.73,,
2002-04-04,33.74,,
2002-04-05,33.3,,
2002-04-08,33.8,,
2002-04-09,33.86,,
2002-04-10,33.6,,
2002-04-11,32.99,,
2002-04-12,33.6,,
2002-04-15,33.15,,
2002-04-16,32.52,,
2002-04-17,31.99,,
2002-04-18,31.62,,
2002-04-19,31.86,,
2002-04-22,32.27,,
2002-04-23,31.9,,
2002-04-24,30.9,,
2002-04-25,33.6,,
2002-04-26,33.9,,
2002-04-29,33.21,,
2002-04-30,34.71,,
2002-05-01,35.2,,
2002-05-02,35.62,,
2002-05-03,35.27,,
2002-05-06,34.56,,
2002-05-07,34.42,,
2002-05-08,34.8,,
2002-05-09,34.88,,
2002-05-10,34.77,,
2002-05-13,35.02,,
2002-05-14,35.15,,
2002-05-15,36.12,,
2002-05-16,35.65,,
2002-05-17,36.34,,
2002-05-20,36.32,,
2002-05-21,35.95,,
2002-05-22,35.49,,
2002-05-23,35.43,,
2002-05-24,35.65,,
2002-05-28,35.42,,
2002-05-29,35.24,,
2002-05-30,35.17,,
2002-05-31,34.98,,
2002-06-03,33.55,,
2002-06-04,33.0,,
2002-06-05,34.26,,
2002-06-06,34.12,,
2002-06-07,34.27,,
2002-06-10,34.18,,
2002-06-11,32.3,,
2002-06-12,32.13,,
2002-06-13,32.28,,
2002-06-14,32.25,,
2002-06-17,34.2,,
2002-06-18,34.12,,
2002-06-19,34.2,,
2002-06-20,34.07,,
2002-06-21,33.79,,
2002-06-24,33.9,,
2002-06-25,33.87,,
2002-06-26,33.76,,
2002-06-27,35.6,,
2002-06-28,35.66,,
2002-07-01,34.9,,
2002-07-02,33.53,,
2002-07-03,33.12,,
2002-07-05,34.1,,
2002-07-08,34.26,,
2002-07-09,32.49,,
2002-07-10,30.1,,
2002-07-11,29.81,,
2002-07-12,30.47,,
2002-07-15,29.49,,
2002-07-16,29.94,,
2002-07-17,30.9,,
2002-07-18,30.9,,
2002-07-19,30.79,,
2002-07-22,29.9,,
2002-07-23,29.37,,
2002-07-24,31.25,,
2002-07-25,34.21,,
2002-07-26,35.28,,
2002-07-29,35.97,,
2002-07-30,36.41,,
2002-07-31,37.23,,
2002-08-01,35.78,,
2002-08-02,36.6,,
2002-08-05,36.15,,
2002-08-06,37.09,,
2002-08-07,37.98,,
2002-08-08,39.46,,
2002-08-09,39.23,,
2002-08-12,38.92,,
2002-08-13,36.76,,
2002-08-14,36.2,,
2002-08-15,36.8,,
2002-08-16,36.12,,
2002-08-19,36.25,,
2002-08-20,36.06,,
2002-08-21,36.34,,
2002-08-22,37.14,,
2002-08-23,36.95,,
2002-08-26,37.26,,
2002-08-27,36.8,,
2002-08-28,35.96,,
2002-08-29,36.0,,
2002-08-30,36.9,,
2002-09-03,37.15,,
2002-09-04,37.37,,
2002-09-05,38.2,,
2002-09-06,38.73,,
2002-09-09,38.3,,
2002-09-10,37.3,,
2002-09-11,37.49,,
2002-09-12,36.86,,
2002-09-13,36.8,,
2002-09-16,36.61,,
2002-09-17,36.39,,
2002-09-18,37.63,,
2002-09-19,38.36,,
2002-09-20,39.0,,
