date,MYL,dcf,Deviation
1989-09-19,2.15,,
1989-09-20,2.19,,
1989-09-21,2.19,,
1989-09-22,2.2,,
1989-09-25,2.2,,
1989-09-26,2.2,,
1989-09-27,2.26,,
1989-09-28,2.44,,
1989-09-29,2.56,,
1989-10-02,2.7,,
1989-10-03,2.74,,
1989-10-04,2.7,,
1989-10-05,2.7,,
1989-10-06,2.76,,
1989-10-09,2.85,,
1989-10-10,3.0,,
1989-10-11,2.94,,
1989-10-12,3.04,,
1989-10-13,2.63,,
1989-10-16,2.74,,
1989-10-17,2.85,,
1989-10-18,3.04,,
1989-10-19,3.04,,
1989-10-20,2.89,,
1989-10-23,2.87,,
1989-10-24,2.8,,
1989-10-25,2.8,,
1989-10-26,2.78,,
1989-10-27,2.56,,
1989-10-30,2.57,,
1989-10-31,2.7,,
1989-11-01,2.96,,
1989-11-02,2.94,,
1989-11-03,3.07,,
1989-11-06,2.96,,
1989-11-07,2.98,,
1989-11-08,3.3,,
1989-11-09,3.22,,
1989-11-10,3.35,,
1989-11-13,3.3,,
1989-11-14,3.35,,
1989-11-15,3.57,,
1989-11-16,3.5,,
1989-11-17,3.37,,
1989-11-20,3.35,,
1989-11-21,3.31,,
1989-11-22,3.41,,
1989-11-24,3.41,,
1989-11-27,3.37,,
1989-11-28,3.3,,
1989-11-29,3.2,,
1989-11-30,3.26,,
1989-12-01,3.3,,
1989-12-04,3.37,,
1989-12-05,3.35,,
1989-12-06,3.35,,
1989-12-07,3.48,,
1989-12-08,3.56,,
1989-12-11,3.7,,
1989-12-12,3.61,,
1989-12-13,3.65,,
1989-12-14,3.59,,
1989-12-15,3.43,,
1989-12-18,3.26,,
1989-12-19,3.3,,
1989-12-20,3.41,,
1989-12-21,3.54,,
1989-12-22,3.59,,
1989-12-26,3.57,,
1989-12-27,3.56,,
1989-12-28,3.48,,
1989-12-29,3.59,,
1990-01-02,3.52,,
1990-01-03,3.39,,
1990-01-04,3.35,,
1990-01-05,3.35,,
1990-01-08,3.39,,
1990-01-09,3.37,,
1990-01-10,3.39,,
1990-01-11,3.35,,
1990-01-12,3.2,,
1990-01-15,3.06,,
1990-01-16,3.06,,
1990-01-17,3.09,,
1990-01-18,3.07,,
1990-01-19,3.04,,
1990-01-22,2.81,,
1990-01-23,2.93,,
1990-01-24,3.3,,
1990-01-25,3.15,,
1990-01-26,3.17,,
1990-01-29,3.15,,
1990-01-30,3.04,,
1990-01-31,3.0,,
1990-02-01,2.94,,
1990-02-02,2.96,,
1990-02-05,2.96,,
1990-02-06,2.94,,
1990-02-07,2.94,,
1990-02-08,3.19,,
1990-02-09,3.22,,
1990-02-12,3.24,,
1990-02-13,3.2,,
1990-02-14,3.07,,
1990-02-15,3.22,,
1990-02-16,3.15,,
1990-02-20,3.09,,
1990-02-21,3.09,,
1990-02-22,3.15,,
1990-02-23,3.11,,
1990-02-26,3.11,,
1990-02-27,3.15,,
1990-02-28,3.3,,
1990-03-01,3.24,,
1990-03-02,3.26,,
1990-03-05,3.09,,
1990-03-06,2.98,,
1990-03-07,2.98,,
1990-03-08,3.15,,
1990-03-09,3.24,,
1990-03-12,3.2,,
1990-03-13,3.19,,
1990-03-14,3.2,,
1990-03-15,3.13,,
1990-03-16,3.17,,
1990-03-19,3.2,,
1990-03-20,3.11,,
1990-03-21,3.02,,
1990-03-22,2.93,,
1990-03-23,3.0,,
1990-03-26,3.02,,
1990-03-27,2.96,,
1990-03-28,2.96,,
1990-03-29,2.96,,
1990-03-30,2.93,,
1990-04-02,2.94,,
1990-04-03,3.07,,
1990-04-04,3.19,,
1990-04-05,3.28,,
1990-04-06,3.24,,
1990-04-09,3.35,,
1990-04-10,3.44,,
1990-04-11,3.44,,
1990-04-12,3.26,,
1990-04-16,3.24,,
1990-04-17,3.19,,
1990-04-18,3.11,,
1990-04-19,3.06,,
1990-04-20,3.04,,
1990-04-23,3.04,,
1990-04-24,3.19,,
1990-04-25,3.26,,
1990-04-26,3.19,,
1990-04-27,3.04,,
1990-04-30,3.15,,
1990-05-01,3.19,,
1990-05-02,3.2,,
1990-05-03,3.17,,
1990-05-04,3.26,,
1990-05-07,3.3,,
1990-05-08,3.31,,
1990-05-09,3.33,,
1990-05-10,3.44,,
1990-05-11,3.54,,
1990-05-14,3.35,,
1990-05-15,3.37,,
1990-05-16,3.35,,
1990-05-17,3.44,,
1990-05-18,3.41,,
1990-05-21,3.63,,
1990-05-22,3.54,,
1990-05-23,3.61,,
1990-05-24,3.54,,
1990-05-25,3.39,,
1990-05-29,3.5,,
1990-05-30,3.33,,
1990-05-31,3.26,,
1990-06-01,3.35,,
1990-06-04,3.39,,
1990-06-05,3.48,,
1990-06-06,3.37,,
1990-06-07,3.3,,
1990-06-08,3.24,,
1990-06-11,3.3,,
1990-06-12,3.2,,
1990-06-13,3.35,,
1990-06-14,3.44,,
1990-06-15,3.35,,
1990-06-18,3.3,,
1990-06-19,3.33,,
1990-06-20,3.3,,
1990-06-21,3.39,,
1990-06-22,3.37,,
1990-06-25,3.35,,
1990-06-26,3.37,,
1990-06-27,3.41,,
1990-06-28,3.48,,
1990-06-29,3.48,,
1990-07-02,3.57,,
1990-07-03,3.41,,
1990-07-05,3.41,,
1990-07-06,3.43,,
1990-07-09,3.37,,
1990-07-10,3.35,,
1990-07-11,3.35,,
1990-07-12,3.43,,
1990-07-13,3.41,,
1990-07-16,3.35,,
1990-07-17,3.31,,
1990-07-18,3.31,,
1990-07-19,3.43,,
1990-07-20,3.44,,
1990-07-23,3.43,,
1990-07-24,3.3,,
1990-07-25,3.37,,
1990-07-26,3.19,,
1990-07-27,2.81,,
1990-07-30,2.89,,
1990-07-31,3.0,,
1990-08-01,2.93,,
1990-08-02,2.89,,
1990-08-03,2.87,,
1990-08-06,2.65,,
1990-08-07,2.65,,
1990-08-08,2.76,,
1990-08-09,2.74,,
1990-08-10,2.72,,
1990-08-13,2.76,,
1990-08-14,2.76,,
1990-08-15,2.7,,
1990-08-16,2.52,,
1990-08-17,2.46,,
1990-08-20,2.5,,
1990-08-21,2.37,,
1990-08-22,2.28,,
1990-08-23,2.17,,
1990-08-24,2.43,,
1990-08-27,2.52,,
1990-08-28,2.52,,
1990-08-29,2.5,,
1990-08-30,2.48,,
1990-08-31,2.54,,
1990-09-04,2.5,,
1990-09-05,2.72,,
1990-09-06,2.83,,
1990-09-07,2.85,,
1990-09-10,2.87,,
1990-09-11,2.85,,
1990-09-12,2.76,,
1990-09-13,2.78,,
1990-09-14,2.81,,
1990-09-17,2.78,,
1990-09-18,2.81,,
1990-09-19,2.8,,
1990-09-20,2.74,,
1990-09-21,2.78,,
1990-09-24,2.69,,
1990-09-25,2.74,,
1990-09-26,2.67,,
1990-09-27,2.5,,
1990-09-28,2.57,,
1990-10-01,2.65,,
1990-10-02,2.83,,
1990-10-03,2.78,,
1990-10-04,2.76,,
1990-10-05,2.72,,
