date,DISH,dcf,Deviation
1995-06-21,2.13,,
1995-06-22,2.0,,
1995-06-23,2.0,,
1995-06-26,2.03,,
1995-06-27,1.88,,
1995-06-28,1.84,,
1995-06-29,1.91,,
1995-06-30,1.91,,
1995-07-03,1.84,,
1995-07-05,1.81,,
1995-07-06,1.81,,
1995-07-07,1.81,,
1995-07-10,1.84,,
1995-07-11,1.81,,
1995-07-12,1.88,,
1995-07-13,1.91,,
1995-07-14,1.94,,
1995-07-17,1.94,,
1995-07-18,1.94,,
1995-07-19,1.88,,
1995-07-20,1.81,,
1995-07-21,1.84,,
1995-07-24,1.91,,
1995-07-25,1.81,,
1995-07-26,1.81,,
1995-07-27,1.81,,
1995-07-28,1.88,,
1995-07-31,1.91,,
1995-08-01,1.84,,
1995-08-02,1.91,,
1995-08-03,1.84,,
1995-08-04,1.91,,
1995-08-07,1.84,,
1995-08-08,1.91,,
1995-08-09,1.91,,
1995-08-10,1.88,,
1995-08-11,1.91,,
1995-08-14,1.89,,
1995-08-15,1.88,,
1995-08-16,1.88,,
1995-08-17,1.91,,
1995-08-18,1.88,,
1995-08-21,1.88,,
1995-08-22,1.88,,
1995-08-23,1.88,,
1995-08-24,1.97,,
1995-08-25,1.94,,
1995-08-28,1.94,,
1995-08-29,2.0,,
1995-08-30,2.03,,
1995-08-31,2.0,,
1995-09-01,1.97,,
1995-09-05,1.94,,
1995-09-06,2.0,,
1995-09-07,1.94,,
1995-09-08,2.02,,
1995-09-11,2.06,,
1995-09-12,2.0,,
1995-09-13,2.06,,
1995-09-14,2.02,,
1995-09-15,1.97,,
1995-09-18,1.97,,
1995-09-19,2.03,,
1995-09-20,2.13,,
1995-09-21,2.06,,
1995-09-22,2.06,,
1995-09-25,2.03,,
1995-09-26,1.7,,
1995-09-27,1.75,,
1995-09-28,1.69,,
1995-09-29,1.81,,
1995-10-02,1.81,,
1995-10-03,1.81,,
1995-10-04,1.75,,
1995-10-05,1.69,,
1995-10-06,1.7,,
1995-10-09,1.63,,
1995-10-10,1.63,,
1995-10-11,1.53,,
1995-10-12,1.63,,
1995-10-13,1.59,,
1995-10-16,1.94,,
1995-10-17,1.84,,
1995-10-18,1.94,,
1995-10-19,1.94,,
1995-10-20,1.81,,
1995-10-23,1.91,,
1995-10-24,1.91,,
1995-10-25,1.78,,
1995-10-26,1.78,,
1995-10-27,1.78,,
1995-10-30,1.83,,
1995-10-31,1.81,,
1995-11-01,1.81,,
1995-11-02,1.81,,
1995-11-03,1.84,,
1995-11-06,1.91,,
1995-11-07,1.91,,
1995-11-08,1.97,,
1995-11-09,1.83,,
1995-11-10,1.91,,
1995-11-13,1.88,,
1995-11-14,1.88,,
1995-11-15,1.88,,
1995-11-16,1.83,,
1995-11-17,1.88,,
1995-11-20,1.84,,
1995-11-21,1.78,,
1995-11-22,1.84,,
1995-11-24,1.81,,
1995-11-27,1.88,,
1995-11-28,1.97,,
1995-11-29,1.91,,
1995-11-30,1.89,,
1995-12-01,1.94,,
1995-12-04,1.94,,
1995-12-05,1.94,,
1995-12-06,1.94,,
1995-12-07,1.92,,
1995-12-08,1.91,,
1995-12-11,1.91,,
1995-12-12,1.91,,
1995-12-13,1.97,,
1995-12-14,1.92,,
1995-12-15,1.97,,
1995-12-18,2.0,,
1995-12-19,2.19,,
1995-12-20,2.34,,
1995-12-21,2.39,,
1995-12-22,2.53,,
1995-12-26,2.53,,
1995-12-27,2.58,,
1995-12-28,3.0,,
1995-12-29,3.03,,
1996-01-02,2.94,,
1996-01-03,3.0,,
1996-01-04,2.88,,
1996-01-05,2.92,,
1996-01-08,2.88,,
1996-01-09,2.84,,
1996-01-10,2.78,,
1996-01-11,2.75,,
1996-01-12,2.84,,
1996-01-15,2.7,,
1996-01-16,2.75,,
1996-01-17,2.7,,
1996-01-18,2.78,,
1996-01-19,3.03,,
1996-01-22,3.31,,
1996-01-23,3.06,,
1996-01-24,3.16,,
1996-01-25,3.09,,
1996-01-26,3.19,,
1996-01-29,4.06,,
1996-01-30,4.59,,
1996-01-31,4.66,,
1996-02-01,4.84,,
1996-02-02,4.75,,
1996-02-05,4.16,,
1996-02-06,4.25,,
1996-02-07,3.97,,
1996-02-08,4.05,,
1996-02-09,4.23,,
1996-02-12,4.38,,
1996-02-13,4.16,,
1996-02-14,4.11,,
1996-02-15,4.09,,
1996-02-16,4.14,,
1996-02-20,4.16,,
1996-02-21,4.06,,
1996-02-22,4.2,,
1996-02-23,4.16,,
1996-02-26,4.25,,
1996-02-27,4.33,,
1996-02-28,4.5,,
1996-02-29,4.5,,
1996-03-01,4.22,,
1996-03-04,4.25,,
1996-03-05,3.97,,
1996-03-06,3.75,,
1996-03-07,3.88,,
1996-03-08,3.66,,
1996-03-11,3.63,,
1996-03-12,3.69,,
1996-03-13,3.66,,
1996-03-14,3.84,,
1996-03-15,4.25,,
1996-03-18,4.52,,
1996-03-19,4.47,,
1996-03-20,4.44,,
1996-03-21,4.38,,
1996-03-22,4.38,,
1996-03-25,4.06,,
1996-03-26,4.25,,
1996-03-27,4.34,,
1996-03-28,4.27,,
1996-03-29,4.22,,
1996-04-01,4.44,,
1996-04-02,4.47,,
1996-04-03,4.44,,
1996-04-04,4.44,,
1996-04-08,4.44,,
1996-04-09,4.44,,
1996-04-10,4.3,,
1996-04-11,4.25,,
1996-04-12,4.38,,
1996-04-15,4.31,,
1996-04-16,4.34,,
1996-04-17,4.34,,
1996-04-18,4.34,,
1996-04-19,4.28,,
1996-04-22,4.22,,
1996-04-23,4.13,,
1996-04-24,4.41,,
1996-04-25,4.2,,
1996-04-26,4.19,,
1996-04-29,4.16,,
1996-04-30,4.19,,
1996-05-01,4.13,,
1996-05-02,4.16,,
1996-05-03,4.38,,
1996-05-06,4.5,,
1996-05-07,4.44,,
1996-05-08,4.41,,
1996-05-09,4.34,,
1996-05-10,4.31,,
1996-05-13,4.38,,
1996-05-14,4.47,,
1996-05-15,4.34,,
1996-05-16,4.25,,
1996-05-17,4.38,,
1996-05-20,4.47,,
1996-05-21,4.41,,
1996-05-22,4.34,,
1996-05-23,4.38,,
1996-05-24,4.38,,
1996-05-28,4.44,,
1996-05-29,4.34,,
1996-05-30,4.34,,
1996-05-31,4.31,,
1996-06-03,4.22,,
1996-06-04,4.19,,
1996-06-05,4.25,,
1996-06-06,4.2,,
1996-06-07,4.13,,
1996-06-10,4.13,,
1996-06-11,4.09,,
1996-06-12,4.03,,
1996-06-13,4.03,,
1996-06-14,4.03,,
1996-06-17,4.16,,
1996-06-18,3.91,,
1996-06-19,3.91,,
1996-06-20,3.88,,
1996-06-21,3.88,,
1996-06-24,3.69,,
1996-06-25,3.47,,
1996-06-26,3.47,,
1996-06-27,3.47,,
1996-06-28,3.53,,
1996-07-01,3.5,,
1996-07-02,3.41,,
1996-07-03,3.44,,
1996-07-05,3.44,,
1996-07-08,3.44,,
1996-07-09,3.33,,
1996-07-10,3.38,,
1996-07-11,3.19,,
1996-07-12,3.16,,
1996-07-15,3.13,,
1996-07-16,3.13,,
1996-07-17,3.31,,
1996-07-18,3.25,,
1996-07-19,3.41,,
1996-07-22,3.44,,
1996-07-23,3.31,,
1996-07-24,3.28,,
1996-07-25,3.34,,
1996-07-26,3.34,,
1996-07-29,3.41,,
1996-07-30,3.38,,
1996-07-31,3.41,,
1996-08-01,3.34,,
1996-08-02,3.36,,
1996-08-05,3.33,,
1996-08-06,3.34,,
1996-08-07,3.38,,
1996-08-08,3.34,,
1996-08-09,3.33,,
1996-08-12,3.31,,
1996-08-13,3.31,,
1996-08-14,3.31,,
1996-08-15,3.41,,
1996-08-16,3.41,,
1996-08-19,3.47,,
1996-08-20,3.47,,
1996-08-21,3.47,,
1996-08-22,3.44,,
1996-08-23,3.47,,
1996-08-26,3.13,,
1996-08-27,3.16,,
1996-08-28,3.19,,
1996-08-29,3.19,,
1996-08-30,3.17,,
1996-09-03,3.02,,
1996-09-04,3.0,,
1996-09-05,3.0,,
1996-09-06,3.13,,
1996-09-09,3.47,,
1996-09-10,3.48,,
1996-09-11,3.56,,
1996-09-12,3.47,,
1996-09-13,3.56,,
1996-09-16,3.53,,
1996-09-17,3.47,,
1996-09-18,3.41,,
1996-09-19,3.38,,
1996-09-20,3.41,,
1996-09-23,3.28,,
1996-09-24,3.27,,
1996-09-25,3.34,,
1996-09-26,3.41,,
1996-09-27,3.48,,
1996-09-30,3.41,,
1996-10-01,3.5,,
1996-10-02,3.64,,
1996-10-03,3.59,,
1996-10-04,3.63,,
1996-10-07,3.64,,
1996-10-08,3.64,,
1996-10-09,3.65,,
1996-10-10,3.72,,
1996-10-11,3.77,,
1996-10-14,3.78,,
1996-10-15,3.69,,
1996-10-16,3.69,,
1996-10-17,3.7,,
1996-10-18,3.72,,
1996-10-21,3.73,,
1996-10-22,3.61,,
1996-10-23,3.56,,
1996-10-24,3.63,,
1996-10-25,3.78,,
1996-10-28,3.75,,
1996-10-29,3.75,,
1996-10-30,3.75,,
1996-10-31,3.69,,
1996-11-01,3.63,,
1996-11-04,3.59,,
1996-11-05,3.58,,
1996-11-06,3.59,,
1996-11-07,3.75,,
1996-11-08,3.84,,
1996-11-11,3.91,,
1996-11-12,3.91,,
1996-11-13,3.89,,
1996-11-14,4.0,,
1996-11-15,4.03,,
1996-11-18,3.78,,
1996-11-19,3.66,,
1996-11-20,3.54,,
1996-11-21,3.42,,
1996-11-22,3.55,,
1996-11-25,3.39,,
1996-11-26,3.41,,
1996-11-27,3.38,,
1996-11-29,3.34,,
1996-12-02,3.23,,
1996-12-03,3.06,,
1996-12-04,3.03,,
1996-12-05,3.19,,
1996-12-06,3.09,,
1996-12-09,3.09,,
1996-12-10,3.13,,
1996-12-11,3.11,,
1996-12-12,3.08,,
1996-12-13,3.05,,
1996-12-16,2.97,,
1996-12-17,2.97,,
1996-12-18,2.88,,
1996-12-19,2.83,,
1996-12-20,2.78,,
1996-12-23,2.72,,
1996-12-24,2.78,,
1996-12-26,2.75,,
1996-12-27,2.84,,
1996-12-30,2.78,,
1996-12-31,2.75,,
1997-01-02,2.78,,
1997-01-03,2.8,,
1997-01-06,2.78,,
1997-01-07,3.0,,
1997-01-08,3.1,,
1997-01-09,3.24,,
1997-01-10,3.25,,
1997-01-13,2.89,,
1997-01-14,2.86,,
1997-01-15,2.72,,
1997-01-16,2.75,,
1997-01-17,2.84,,
1997-01-20,2.81,,
1997-01-21,2.73,,
1997-01-22,2.63,,
1997-01-23,2.39,,
1997-01-24,2.38,,
1997-01-27,2.27,,
1997-01-28,2.22,,
1997-01-29,1.92,,
1997-01-30,2.02,,
1997-01-31,2.05,,
1997-02-03,2.03,,
1997-02-04,2.0,,
1997-02-05,1.89,,
1997-02-06,1.95,,
1997-02-07,2.0,,
1997-02-10,2.13,,
1997-02-11,2.13,,
1997-02-12,2.08,,
1997-02-13,2.08,,
1997-02-14,2.09,,
1997-02-18,2.09,,
1997-02-19,2.0,,
1997-02-20,1.92,,
1997-02-21,1.88,,
1997-02-24,2.25,,
1997-02-25,3.34,,
1997-02-26,3.34,,
1997-02-27,3.03,,
1997-02-28,2.84,,
1997-03-03,2.81,,
1997-03-04,3.06,,
1997-03-05,3.16,,
1997-03-06,3.09,,
1997-03-07,3.0,,
1997-03-10,3.0,,
1997-03-11,2.97,,
1997-03-12,2.97,,
1997-03-13,3.0,,
1997-03-14,3.0,,
1997-03-17,2.94,,
1997-03-18,2.92,,
1997-03-19,3.0,,
1997-03-20,2.98,,
1997-03-21,2.88,,
1997-03-24,2.75,,
1997-03-25,2.81,,
