date,ANET,dcf,Deviation
2014-06-06,55.0,,
2014-06-09,55.2,,
2014-06-10,60.0,,
2014-06-11,63.5,,
2014-06-12,66.0,,
2014-06-13,69.58,,
2014-06-16,71.5,,
2014-06-17,69.71,,
2014-06-18,68.96,,
2014-06-19,65.67,,
2014-06-20,65.15,,
2014-06-23,65.71,,
2014-06-24,64.28,,
2014-06-25,64.49,,
2014-06-26,63.81,,
2014-06-27,62.55,,
2014-06-30,62.39,88.4073199527745,-0.2942892055394559
2014-07-01,76.0,87.7573199527745,-0.1339753761749054
2014-07-02,75.35,88.8173199527745,-0.1516294339880474
2014-07-03,76.41,84.5773199527745,-0.09656631301789764
2014-07-07,72.17,81.83731995277451,-0.11812850125533414
2014-07-08,69.43,84.30731995277449,-0.176465340863737
2014-07-09,71.9,80.1473199527745,-0.10290200542743144
2014-07-10,67.74,82.0373199527745,-0.17427824264621128
2014-07-11,69.63,81.3573199527745,-0.14414584894858717
2014-07-14,68.95,79.0973199527745,-0.12828904896945947
2014-07-15,66.69,76.9373199527745,-0.1331904979152444
2014-07-16,64.53,76.16731995277449,-0.1527862600389498
2014-07-17,63.76,76.4073199527745,-0.16552497798105603
2014-07-18,64.0,75.6373199527745,-0.153856852147068
2014-07-21,63.23,77.91731995277449,-0.18849878257717856
2014-07-22,65.51,77.22731995277448,-0.1517250625807003
2014-07-23,64.82,76.6573199527745,-0.1544186512138307
2014-07-24,64.25,76.0473199527745,-0.1551313045627466
2014-07-25,63.64,75.8173199527745,-0.16061395945358625
2014-07-28,63.41,76.2573199527745,-0.16847326867415136
2014-07-29,63.85,80.1973199527745,-0.20383873129926144
2014-07-30,67.79,78.5273199527745,-0.1367335592152108
2014-07-31,66.12,78.0173199527745,-0.15249588117069635
2014-08-01,65.61,81.6373199527745,-0.19632344572367122
2014-08-04,69.23,84.4973199527745,-0.18068407330915814
2014-08-05,72.09,83.22731995277448,-0.13381807751462027
2014-08-06,70.82,84.6273199527745,-0.16315440404445702
2014-08-07,72.22,84.4373199527745,-0.14469099634625548
2014-08-08,72.03,82.2673199527745,-0.12443969195363636
2014-08-11,69.86,83.5173199527745,-0.1635267985191231
2014-08-12,71.11,82.2473199527745,-0.13541255762703797
2014-08-13,69.84,83.2173199527745,-0.1607516315157238
2014-08-14,70.81,82.22731995277448,-0.13885068806002399
2014-08-15,69.82,82.91731995277449,-0.15795638306006599
2014-08-18,70.51,87.4073199527745,-0.19331698949131482
2014-08-19,75.0,88.80731995277449,-0.15547502120452317
2014-08-20,76.4,89.7573199527745,-0.1488159401350485
2014-08-21,77.35,88.0273199527745,-0.12129552459966697
2014-08-22,75.62,87.9873199527745,-0.14055797993861407
2014-08-25,75.58,88.5773199527745,-0.14673417483961015
2014-08-26,76.17,95.5673199527745,-0.2029702199701725
2014-08-27,83.16,95.8573199527745,-0.13246061916846852
2014-08-28,83.45,96.2573199527745,-0.1330529455739884
2014-08-29,83.85,98.5073199527745,-0.1487942211787041
2014-09-02,86.1,98.0173199527745,-0.12158381762035897
2014-09-03,85.61,99.8973199527745,-0.1430200525852815
2014-09-04,87.49,103.5273199527745,-0.15490906129985949
2014-09-05,91.12,100.0673199527745,-0.08941300673383745
2014-09-08,87.66,96.6873199527745,-0.09336612036804581
2014-09-09,84.28,101.1573199527745,-0.16684230029674285
2014-09-10,88.75,101.1573199527745,-0.1226537037415274
2014-09-11,88.75,98.6773199527745,-0.10060386680065458
2014-09-12,86.27,95.2373199527745,-0.09415762599389765
2014-09-15,82.83,96.4073199527745,-0.1408328740953011
2014-09-16,84.0,95.91731995277449,-0.12424575622673839
2014-09-17,83.51,98.5373199527745,-0.15250384280774598
2014-09-18,86.13,100.05731995277449,-0.13919341392861584
2014-09-19,87.65,96.2473199527745,-0.08932529193532801
2014-09-22,83.84,96.8773199527745,-0.13457556380719338
2014-09-23,84.47,99.5173199527745,-0.1512030263668187
2014-09-24,87.11,96.7073199527745,-0.09924088432459088
2014-09-25,84.3,97.5373199527745,-0.13571543650352225
2014-09-26,85.13,105.7173199527745,-0.1947393290141215
2014-09-29,93.31,100.7373199527745,-0.07372957664802293
2014-09-30,88.33,94.0808422034345,-0.061126602066329694
2014-10-01,84.06,94.2508422034345,-0.10812468053535484
2014-10-02,84.23,95.7508422034345,-0.12032105345827715
2014-10-03,85.73,94.7008422034345,-0.0947282198838687
