date,CF,dcf,Deviation
2005-08-11,3.24,,
2005-08-12,3.59,,
2005-08-15,3.46,,
2005-08-16,3.43,,
2005-08-17,3.37,,
2005-08-18,3.27,,
2005-08-19,3.32,,
2005-08-22,3.4,,
2005-08-23,3.51,,
2005-08-24,3.5,,
2005-08-25,3.49,,
2005-08-26,3.49,,
2005-08-29,3.4,,
2005-08-30,3.41,,
2005-08-31,3.36,,
2005-09-01,3.25,,
2005-09-02,3.21,,
2005-09-06,3.28,,
2005-09-07,3.24,,
2005-09-08,3.26,,
2005-09-09,3.31,,
2005-09-12,3.22,,
2005-09-13,3.18,,
2005-09-14,3.14,,
2005-09-15,3.02,,
2005-09-16,3.06,,
2005-09-19,3.1,,
2005-09-20,3.16,,
2005-09-21,3.0,,
2005-09-22,2.9,,
2005-09-23,3.12,,
2005-09-26,3.1,,
2005-09-27,3.09,,
2005-09-28,3.03,,
2005-09-29,3.0,,
2005-09-30,2.96,,
2005-10-03,2.9,,
2005-10-04,2.81,,
2005-10-05,2.63,,
2005-10-06,2.68,,
2005-10-07,2.7,,
2005-10-10,2.51,,
2005-10-11,2.43,,
2005-10-12,2.39,,
2005-10-13,2.26,,
2005-10-14,2.47,,
2005-10-17,2.44,,
2005-10-18,2.4,,
2005-10-19,2.43,,
2005-10-20,2.56,,
2005-10-21,2.59,,
2005-10-24,2.63,,
2005-10-25,2.64,,
2005-10-26,2.62,,
2005-10-27,2.6,,
2005-10-28,2.67,,
2005-10-31,2.76,,
2005-11-01,2.72,,
2005-11-02,2.71,,
2005-11-03,2.66,,
2005-11-04,2.68,,
2005-11-07,2.71,,
2005-11-08,2.7,,
2005-11-09,2.71,,
2005-11-10,2.75,,
2005-11-11,2.81,,
2005-11-14,2.81,,
2005-11-15,2.95,,
2005-11-16,3.03,,
2005-11-17,3.16,,
2005-11-18,3.12,,
2005-11-21,3.16,,
2005-11-22,3.15,,
2005-11-23,3.1,,
2005-11-25,3.12,,
2005-11-28,3.1,,
2005-11-29,3.1,,
2005-11-30,3.09,,
2005-12-01,3.05,,
2005-12-02,3.11,,
2005-12-05,3.13,,
2005-12-06,3.16,,
2005-12-07,3.12,,
2005-12-08,3.02,,
2005-12-09,3.03,,
2005-12-12,3.02,,
2005-12-13,2.98,,
2005-12-14,2.96,,
2005-12-15,2.99,,
2005-12-16,3.02,,
2005-12-19,3.05,,
2005-12-20,2.99,,
2005-12-21,2.95,,
2005-12-22,3.07,,
2005-12-23,3.05,,
2005-12-27,3.06,,
2005-12-28,3.05,,
2005-12-29,3.07,,
2005-12-30,3.05,,
2006-01-03,3.06,3.7827272727272727,-0.19105984138428256
2006-01-04,3.11,3.902727272727273,-0.2031213603540648
2006-01-05,3.23,3.8727272727272726,-0.16596244131455395
2006-01-06,3.2,3.9527272727272726,-0.19043238270469176
2006-01-09,3.28,3.962727272727273,-0.17228722183987166
2006-01-10,3.29,3.9327272727272726,-0.1634304207119741
2006-01-11,3.26,3.9327272727272726,-0.17105871474803513
2006-01-12,3.26,3.942727272727273,-0.17316117131657838
2006-01-13,3.27,3.9327272727272726,-0.16851595006934805
2006-01-17,3.26,3.9927272727272727,-0.18351548269581064
2006-01-18,3.32,3.982727272727273,-0.16640036521342172
2006-01-19,3.31,3.862727272727273,-0.1430924923511414
2006-01-20,3.19,3.922727272727273,-0.1867902665121669
2006-01-23,3.25,3.9727272727272727,-0.1819221967963387
2006-01-24,3.3,3.9327272727272726,-0.16088765603328714
2006-01-25,3.26,4.0227272727272725,-0.18960451977401127
2006-01-26,3.35,4.072727272727272,-0.17745535714285698
2006-01-27,3.4,4.052727272727273,-0.16105877074921493
2006-01-30,3.38,4.072727272727272,-0.1700892857142856
2006-01-31,3.4,4.032727272727273,-0.15689810640216417
2006-02-01,3.36,3.9727272727272727,-0.15423340961098397
2006-02-02,3.3,4.052727272727273,-0.1857335127860027
2006-02-03,3.38,4.092727272727273,-0.17414482452243452
2006-02-06,3.42,4.0627272727272725,-0.15820093980756322
2006-02-07,3.39,4.122727272727273,-0.1777287761852261
2006-02-08,3.45,4.172727272727273,-0.1732026143790849
2006-02-09,3.5,4.142727272727273,-0.15514592933947768
2006-02-10,3.47,4.082727272727273,-0.15007793364506794
2006-02-13,3.41,4.152727272727272,-0.17885288966725033
2006-02-14,3.48,4.172727272727273,-0.1660130718954249
2006-02-15,3.5,4.142727272727273,-0.15514592933947768
2006-02-16,3.47,4.132727272727273,-0.16036075670919492
2006-02-17,3.46,4.082727272727273,-0.15252727677577382
2006-02-21,3.41,4.212727272727273,-0.1905481225722917
2006-02-22,3.54,4.242727272727273,-0.1656310263552604
2006-02-23,3.57,4.362727272727272,-0.1817045217753699
2006-02-24,3.69,4.262727272727273,-0.13435700575815734
2006-02-27,3.59,4.192727272727272,-0.1437554206418039
2006-02-28,3.52,4.222727272727273,-0.16641550053821308
2006-03-01,3.55,4.152727272727272,-0.14514010507880903
2006-03-02,3.48,4.132727272727273,-0.15794104707435108
2006-03-03,3.46,4.072727272727272,-0.15044642857142854
2006-03-06,3.4,4.0627272727272725,-0.1631237413291564
2006-03-07,3.39,4.052727272727273,-0.1635262449528937
2006-03-08,3.38,4.012727272727273,-0.15768010874490257
2006-03-09,3.34,4.042727272727273,-0.17382505059590747
2006-03-10,3.37,4.032727272727273,-0.16433724075743916
2006-03-13,3.36,4.042727272727273,-0.1688778952102542
2006-03-14,3.37,4.012727272727273,-0.16017217942908923
2006-03-15,3.34,3.9927272727272727,-0.1634790528233151
2006-03-16,3.32,4.042727272727273,-0.17877220598156074
2006-03-17,3.37,4.012727272727273,-0.16017217942908923
2006-03-20,3.34,3.9327272727272726,-0.15071659731853904
2006-03-21,3.26,4.032727272727273,-0.19161406672678105
2006-03-22,3.36,4.042727272727273,-0.1688778952102542
2006-03-23,3.37,4.072727272727272,-0.17254464285714277
2006-03-24,3.4,4.042727272727273,-0.15898358443894767
2006-03-27,3.37,3.982727272727273,-0.15384615384615385
2006-03-28,3.31,4.012727272727273,-0.17512460353420933
2006-03-29,3.34,4.0627272727272725,-0.17789214589393598
2006-03-30,3.39,4.072727272727272,-0.16763392857142845
2006-03-31,3.4,4.100909090909091,-0.17091553979162044
2006-04-03,3.41,4.050909090909091,-0.15821364452423692
2006-04-04,3.36,4.070909090909091,-0.17463153193389913
2006-04-05,3.38,4.090909090909091,-0.1737777777777778
2006-04-06,3.4,4.060909090909091,-0.16274904857846428
2006-04-07,3.37,3.9909090909090907,-0.1555808656036446
2006-04-10,3.3,3.920909090909091,-0.15835845119406455
2006-04-11,3.23,4.000909090909091,-0.19268348102703936
2006-04-12,3.31,4.010909090909091,-0.17475067996373528
2006-04-13,3.32,3.9709090909090907,-0.1639194139194139
2006-04-17,3.28,4.090909090909091,-0.1982222222222223
2006-04-18,3.4,4.160909090909091,-0.1828708761197292
2006-04-19,3.47,4.2709090909090905,-0.18752660706683688
2006-04-20,3.58,4.240909090909091,-0.15584137191854242
2006-04-21,3.55,4.170909090909091,-0.1488666085440279
2006-04-24,3.48,4.250909090909091,-0.18135158254918737
2006-04-25,3.56,4.2309090909090905,-0.1585732703051138
2006-04-26,3.54,4.2309090909090905,-0.16330038676407388
2006-04-27,3.54,4.150909090909091,-0.14717477003942192
2006-04-28,3.46,4.2309090909090905,-0.18220885259991393
2006-05-01,3.54,4.4409090909090905,-0.2028659160696007
2006-05-02,3.75,4.360909090909091,-0.1400875547217011
2006-05-03,3.67,4.2709090909090905,-0.14069816943380153
2006-05-04,3.58,4.280909090909091,-0.16372902951794444
2006-05-05,3.59,4.210909090909091,-0.14745250431778933
2006-05-08,3.52,4.1909090909090905,-0.1600867678958784
2006-05-09,3.5,4.1909090909090905,-0.16485900216919736
2006-05-10,3.5,4.100909090909091,-0.14653070272666813
2006-05-11,3.41,4.060909090909091,-0.16028654578016555
2006-05-12,3.37,4.030909090909091,-0.16396030672079387
2006-05-15,3.34,4.150909090909091,-0.19535698642137544
2006-05-16,3.46,4.060909090909091,-0.1479740317886724
2006-05-17,3.37,4.080909090909091,-0.17420360882156383
2006-05-18,3.39,4.090909090909091,-0.17133333333333334
2006-05-19,3.4,4.000909090909091,-0.15019313792319933
2006-05-22,3.31,3.9709090909090907,-0.1664377289377289
2006-05-23,3.28,3.9909090909090907,-0.17813211845102506
2006-05-24,3.3,4.080909090909091,-0.19135664958788157
2006-05-25,3.39,4.120909090909091,-0.17736598279285243
2006-05-26,3.43,4.040909090909091,-0.15118110236220472
2006-05-30,3.35,4.110909090909091,-0.18509509066784613
2006-05-31,3.42,4.0209090909090905,-0.1494460773230838
2006-06-01,3.33,3.9709090909090907,-0.16140109890109888
2006-06-02,3.28,3.890909090909091,-0.15700934579439263
2006-06-05,3.2,3.830909090909091,-0.16468913146654007
2006-06-06,3.14,3.830909090909091,-0.18035121025154244
2006-06-07,3.14,3.750909090909091,-0.16286960736791078
2006-06-08,3.06,3.670909090909091,-0.16641901931649328
2006-06-09,2.98,3.5309090909090908,-0.15602471678681773
2006-06-12,2.84,3.390909090909091,-0.16246648793565688
2006-06-13,2.7,3.5109090909090908,-0.2309684101501812
2006-06-14,2.82,3.570909090909091,-0.21028513238289204
2006-06-15,2.88,3.540909090909091,-0.1866495507060334
2006-06-16,2.85,3.460909090909091,-0.17651694247438932
2006-06-19,2.77,3.440909090909091,-0.1949801849405548
2006-06-20,2.75,3.4709090909090907,-0.20770036668412772
2006-06-21,2.78,3.410909090909091,-0.18496801705756938
2006-06-22,2.72,3.520909090909091,-0.22747224373870378
2006-06-23,2.83,3.4909090909090907,-0.18932291666666656
2006-06-26,2.8,3.390909090909091,-0.17426273458445052
2006-06-27,2.7,3.370909090909091,-0.19902912621359226
2006-06-28,2.68,3.570909090909091,-0.2494908350305498
2006-06-29,2.88,3.540909090909091,-0.1866495507060334
2006-06-30,2.85,3.2463636363636366,-0.122094651358163
2006-07-03,2.81,3.2463636363636366,-0.13441612993559227
2006-07-05,2.81,3.2363636363636363,-0.13174157303370782
2006-07-06,2.8,3.1863636363636365,-0.12125534950071337
2006-07-07,2.75,3.1663636363636365,-0.13149583692219358
2006-07-10,2.73,3.1963636363636363,-0.14590443686006827
2006-07-11,2.76,3.1863636363636365,-0.13380884450784603
