date,AMP,dcf,Deviation
2005-09-15,37.01,,
2005-09-16,36.6,,
2005-09-19,36.7,,
2005-09-20,36.7,,
2005-09-21,36.4,,
2005-09-22,37.2,,
2005-09-23,37.68,,
2005-09-26,37.75,,
2005-09-27,37.25,,
2005-09-28,37.0,,
2005-09-29,36.6,,
2005-09-30,35.8,,
2005-10-03,34.7,,
2005-10-04,33.9,,
2005-10-05,33.65,,
2005-10-06,33.37,,
2005-10-07,33.6,,
2005-10-10,33.03,,
2005-10-11,33.0,,
2005-10-12,32.77,,
2005-10-13,32.55,,
2005-10-14,32.39,,
2005-10-17,32.48,,
2005-10-18,32.43,,
2005-10-19,33.16,,
2005-10-20,33.58,,
2005-10-21,34.0,,
2005-10-24,36.29,,
2005-10-25,37.18,,
2005-10-26,37.0,,
2005-10-27,36.28,,
2005-10-28,37.1,,
2005-10-31,37.22,,
2005-11-01,36.56,,
2005-11-02,36.8,,
2005-11-03,37.42,,
2005-11-04,37.17,,
2005-11-07,37.02,,
2005-11-08,36.96,,
2005-11-09,37.88,,
2005-11-10,38.92,,
2005-11-11,38.91,,
2005-11-14,39.34,,
2005-11-15,39.21,,
2005-11-16,39.83,,
2005-11-17,40.0,,
2005-11-18,39.92,,
2005-11-21,41.58,,
2005-11-22,42.15,,
2005-11-23,43.47,,
2005-11-25,43.45,,
2005-11-28,43.9,,
2005-11-29,42.55,,
2005-11-30,42.05,,
2005-12-01,43.31,,
2005-12-02,43.23,,
2005-12-05,43.52,,
2005-12-06,43.61,,
2005-12-07,43.36,,
2005-12-08,43.65,,
2005-12-09,43.76,,
2005-12-12,43.13,,
2005-12-13,42.83,,
2005-12-14,41.53,,
2005-12-15,41.19,,
2005-12-16,42.26,,
2005-12-19,41.31,,
2005-12-20,41.57,,
2005-12-21,41.55,,
2005-12-22,41.93,,
2005-12-23,41.93,,
2005-12-27,40.9,,
2005-12-28,41.05,,
2005-12-29,40.84,,
2005-12-30,41.0,,
2006-01-03,42.1,1192000000.0,-0.9999999646812081
2006-01-04,43.42,1192000000.0,-0.9999999635738255
2006-01-05,43.93,1192000000.0,-0.9999999631459732
2006-01-06,43.6,1192000000.0,-0.9999999634228188
2006-01-09,45.09,1192000000.0,-0.9999999621728188
2006-01-10,44.66,1192000000.0,-0.999999962533557
2006-01-11,44.2,1192000000.0,-0.9999999629194631
2006-01-12,44.16,1192000000.0,-0.9999999629530202
2006-01-13,43.88,1192000000.0,-0.9999999631879195
2006-01-17,43.53,1192000000.0,-0.9999999634815436
2006-01-18,42.32,1192000000.0,-0.9999999644966443
2006-01-19,42.6,1192000000.0,-0.999999964261745
2006-01-20,42.2,1192000000.0,-0.9999999645973154
2006-01-23,43.5,1192000000.0,-0.9999999635067114
2006-01-24,43.48,1192000000.0,-0.99999996352349
2006-01-25,43.21,1192000000.0,-0.99999996375
2006-01-26,43.3,1192000000.0,-0.9999999636744966
2006-01-27,42.4,1192000000.0,-0.9999999644295302
2006-01-30,41.55,1192000000.0,-0.9999999651426175
2006-01-31,40.69,1192000000.0,-0.999999965864094
2006-02-01,41.25,1192000000.0,-0.9999999653942953
2006-02-02,42.51,1192000000.0,-0.9999999643372484
2006-02-03,42.6,1192000000.0,-0.999999964261745
2006-02-06,43.33,1192000000.0,-0.9999999636493289
2006-02-07,43.55,1192000000.0,-0.999999963464765
2006-02-08,43.81,1192000000.0,-0.9999999632466443
2006-02-09,43.92,1192000000.0,-0.9999999631543625
2006-02-10,43.57,1192000000.0,-0.9999999634479866
2006-02-13,42.88,1192000000.0,-0.9999999640268457
2006-02-14,43.94,1192000000.0,-0.9999999631375839
2006-02-15,43.27,1192000000.0,-0.9999999636996645
2006-02-16,43.43,1192000000.0,-0.9999999635654362
2006-02-17,44.02,1192000000.0,-0.9999999630704698
2006-02-21,43.92,1192000000.0,-0.9999999631543625
2006-02-22,45.46,1192000000.0,-0.9999999618624161
2006-02-23,46.42,1192000000.0,-0.999999961057047
2006-02-24,46.26,1192000000.0,-0.9999999611912752
2006-02-27,46.8,1192000000.0,-0.999999960738255
2006-02-28,45.48,1192000000.0,-0.9999999618456376
2006-03-01,45.89,1192000000.0,-0.9999999615016778
2006-03-02,44.57,1192000000.0,-0.9999999626090604
2006-03-03,44.0,1192000000.0,-0.9999999630872484
2006-03-06,42.77,1192000000.0,-0.9999999641191275
2006-03-07,43.65,1192000000.0,-0.9999999633808725
2006-03-08,43.34,1192000000.0,-0.9999999636409396
2006-03-09,43.33,1192000000.0,-0.9999999636493289
2006-03-10,43.3,1192000000.0,-0.9999999636744966
2006-03-13,43.8,1192000000.0,-0.9999999632550336
2006-03-14,45.03,1192000000.0,-0.9999999622231543
2006-03-15,45.39,1192000000.0,-0.9999999619211409
2006-03-16,46.05,1192000000.0,-0.9999999613674496
2006-03-17,45.9,1192000000.0,-0.9999999614932886
2006-03-20,45.35,1192000000.0,-0.999999961954698
2006-03-21,43.92,1192000000.0,-0.9999999631543625
2006-03-22,44.25,1192000000.0,-0.9999999628775168
2006-03-23,44.05,1192000000.0,-0.999999963045302
2006-03-24,44.25,1192000000.0,-0.9999999628775168
2006-03-27,44.46,1192000000.0,-0.9999999627013423
2006-03-28,43.13,1192000000.0,-0.9999999638171141
2006-03-29,42.91,1192000000.0,-0.9999999640016779
2006-03-30,44.8,51.581739130434784,-0.13147558117972324
2006-03-31,45.06,51.181739130434785,-0.1196078764505003
2006-04-03,44.66,51.52173913043478,-0.1331814345991562
2006-04-04,45.0,51.62173913043478,-0.12827423566074292
2006-04-05,45.1,51.45173913043478,-0.12345042631761294
2006-04-06,44.93,50.721739130434784,-0.11418652494428261
2006-04-07,44.2,51.901739130434784,-0.14839077185986893
2006-04-10,45.38,51.821739130434786,-0.1243057303465056
2006-04-11,45.3,52.071739130434786,-0.1300463407506368
2006-04-12,45.55,52.001739130434785,-0.12406775693120642
2006-04-13,45.48,51.85173913043478,-0.12288380751138284
2006-04-17,45.33,53.321739130434786,-0.14987769080234836
2006-04-18,46.8,54.17173913043478,-0.13608090212287816
2006-04-19,47.65,53.77173913043478,-0.1138467758237316
2006-04-20,47.25,53.641739130434786,-0.11915607573596165
2006-04-21,47.12,53.431739130434785,-0.11812715126166673
2006-04-24,46.91,53.74173913043478,-0.12712166076080456
2006-04-25,47.22,55.27173913043478,-0.14567551622418884
2006-04-26,48.75,56.52173913043478,-0.13749999999999996
2006-04-27,50.0,55.56173913043478,-0.1001001627644923
2006-04-28,49.04,55.26173913043478,-0.11258674135733504
2006-05-01,48.74,54.62173913043478,-0.1076812863169625
2006-05-02,48.1,54.651739130434784,-0.11988162196994412
2006-05-03,48.13,54.821739130434786,-0.12206360536124994
2006-05-04,48.3,55.071739130434786,-0.12296214423874008
2006-05-05,48.55,55.651739130434784,-0.12761037195603098
2006-05-08,49.13,56.10173913043478,-0.12426957236077307
2006-05-09,49.58,55.71173913043478,-0.1100618868866916
2006-05-10,49.19,54.87173913043478,-0.10354581831147736
2006-05-11,48.35,54.02173913043478,-0.10498993963782688
2006-05-12,47.5,54.42173913043478,-0.12718702564512263
2006-05-15,47.9,53.87173913043478,-0.1108510552439369
2006-05-16,47.35,51.95173913043478,-0.08857719120588503
2006-05-17,45.43,51.471739130434784,-0.11737973560839632
2006-05-18,44.95,51.37173913043478,-0.12500528966188473
2006-05-19,44.85,50.48173913043478,-0.1115599269645502
2006-05-22,43.96,50.70173913043478,-0.1329685972524739
2006-05-23,44.18,50.49173913043478,-0.12500538185325194
2006-05-24,43.97,50.94173913043478,-0.13685710871754608
2006-05-25,44.42,51.001739130434785,-0.12904930778149082
2006-05-26,44.48,51.05173913043478,-0.12872703736192614
2006-05-30,44.53,52.291739130434784,-0.14843145895519283
2006-05-31,45.77,53.16173913043478,-0.13904246270609777
2006-06-01,46.64,53.001739130434785,-0.1200288751804699
2006-06-02,46.48,51.74173913043478,-0.10169235164613555
2006-06-05,45.22,51.73173913043478,-0.1258751250178597
2006-06-06,45.21,51.87173913043478,-0.12842714052219106
2006-06-07,45.35,51.69173913043478,-0.12268380281097813
2006-06-08,45.17,51.10173913043478,-0.11607705004509328
2006-06-09,44.58,50.141739130434786,-0.11092034753654867
2006-06-12,43.62,47.88173913043478,-0.08900552084846725
2006-06-13,41.36,48.20173913043478,-0.14193967383460815
2006-06-14,41.68,48.471739130434784,-0.14011750459703098
2006-06-15,41.95,48.52173913043478,-0.13543906810035833
2006-06-16,42.0,48.721739130434784,-0.13796180617526332
2006-06-19,42.2,48.651739130434784,-0.1326106578253603
2006-06-20,42.13,48.85173913043478,-0.1375946742139036
2006-06-21,42.33,48.52173913043478,-0.1276075268817204
2006-06-22,42.0,48.46173913043478,-0.13333692200032288
2006-06-23,41.94,49.181739130434785,-0.14724447037606758
2006-06-26,42.66,48.38173913043478,-0.11826236992037964
2006-06-27,41.86,48.77173913043478,-0.14171606864274566
2006-06-28,42.25,50.751739130434785,-0.167516212766322
2006-06-29,44.23,51.19173913043478,-0.13599340926270376
2006-06-30,44.67,53.624,-0.16697747277338504
2006-07-03,45.22,51.724,-0.12574433531822748
2006-07-05,43.32,52.304,-0.17176506576934847
2006-07-06,43.9,51.074,-0.14046285781415202
2006-07-07,42.67,51.134,-0.1655258731959166
2006-07-10,42.73,50.974,-0.1617295091615334
2006-07-11,42.57,50.194,-0.1518906642228155
2006-07-12,41.79,49.934,-0.16309528577722587
