date,FB,dcf,Deviation
2012-05-18,38.23,,
2012-05-21,34.03,,
2012-05-22,31.0,,
2012-05-23,32.0,,
2012-05-24,33.03,,
2012-05-25,31.91,,
2012-05-29,28.84,,
2012-05-30,28.19,,
2012-05-31,29.6,,
2012-06-01,27.72,,
2012-06-04,26.9,,
2012-06-05,25.87,,
2012-06-06,26.81,,
2012-06-07,26.31,,
2012-06-08,27.1,,
2012-06-11,27.01,,
2012-06-12,27.4,,
2012-06-13,27.27,,
2012-06-14,28.29,,
2012-06-15,30.01,,
2012-06-18,31.41,,
2012-06-19,31.91,,
2012-06-20,31.6,,
2012-06-21,31.84,,
2012-06-22,33.05,,
2012-06-25,32.06,,
2012-06-26,33.1,,
2012-06-27,32.23,,
2012-06-28,31.36,,
2012-06-29,31.1,,
2012-07-02,30.77,32.370758928571426,-0.049450769198943534
2012-07-03,31.2,32.64075892857143,-0.044139872229205124
2012-07-05,31.47,32.90075892857143,-0.04348711018118612
2012-07-06,31.73,33.340758928571425,-0.04831200549520431
2012-07-09,32.17,32.64075892857143,-0.014422425949151552
2012-07-10,31.47,32.14075892857143,-0.020869417864777362
2012-07-11,30.97,31.98075892857143,-0.031605220214721785
2012-07-12,30.81,31.89075892857143,-0.03388940761780246
2012-07-13,30.72,29.420758928571427,0.04416069193126204
2012-07-16,28.25,29.260758928571427,-0.034543154914019714
2012-07-17,28.09,30.28075892857143,-0.07234821735278041
2012-07-18,29.11,30.170758928571427,-0.0351585099692967
2012-07-19,29.0,29.93075892857143,-0.031097070768992152
2012-07-20,28.76,29.920758928571427,-0.03879443470476318
2012-07-23,28.75,29.62075892857143,-0.029396914868765167
2012-07-24,28.45,30.510758928571427,-0.06754204093696459
2012-07-25,29.34,28.02075892857143,0.04708084726725237
2012-07-26,26.85,24.880758928571428,0.07914714647900989
2012-07-27,23.71,24.32075892857143,-0.025112659122406122
2012-07-30,23.15,22.880758928571428,0.011767139030181673
2012-07-31,21.71,22.05075892857143,-0.015453387780222982
2012-08-01,20.88,21.21075892857143,-0.015593922390296444
2012-08-02,20.04,22.260758928571427,-0.09976115080789583
2012-08-03,21.09,23.09075892857143,-0.08664760369117985
2012-08-06,21.92,21.89075892857143,0.0013357723925417897
2012-08-07,20.72,21.89075892857143,-0.05348187938077276
2012-08-08,20.72,22.18075892857143,-0.06585703100942142
2012-08-09,21.01,22.98075892857143,-0.08575691232378013
2012-08-10,21.81,22.77075892857143,-0.0421926617195848
2012-08-13,21.6,21.55075892857143,0.0022848880446288966
2012-08-14,20.38,22.37075892857143,-0.08898933357280425
2012-08-15,21.2,21.040758928571428,0.007568218996717668
2012-08-16,19.87,20.220758928571428,-0.01734647694532443
2012-08-17,19.05,21.18075892857143,-0.10059879987100828
2012-08-20,20.01,20.330758928571427,-0.01577702680447668
2012-08-21,19.16,20.61075892857143,-0.07038842837370385
2012-08-22,19.44,20.61075892857143,-0.05680329058375799
2012-08-23,19.44,20.580758928571427,-0.05542841896795925
2012-08-24,19.41,20.32075892857143,-0.04481913947076466
2012-08-27,19.15,20.510758928571427,-0.0663436654543238
2012-08-28,19.34,20.27075892857143,-0.045916333564577805
2012-08-29,19.1,20.260758928571427,-0.05729098957564416
2012-08-30,19.09,19.23075892857143,-0.007319468206858026
2012-08-31,18.06,18.900758928571427,-0.04448281319013547
2012-09-04,17.73,19.75075892857143,-0.10231297621926827
2012-09-05,18.58,20.130758928571428,-0.07703430030004732
