date,ICE,dcf,Deviation
2005-11-16,7.85,,
2005-11-17,7.05,,
2005-11-18,7.0,,
2005-11-21,7.18,,
2005-11-22,6.99,,
2005-11-23,6.79,,
2005-11-25,6.83,,
2005-11-28,6.66,,
2005-11-29,6.39,,
2005-11-30,6.46,,
2005-12-01,7.0,,
2005-12-02,7.22,,
2005-12-05,7.36,,
2005-12-06,7.32,,
2005-12-07,7.09,,
2005-12-08,7.2,,
2005-12-09,7.24,,
2005-12-12,7.29,,
2005-12-13,7.12,,
2005-12-14,7.0,,
2005-12-15,6.8,,
2005-12-16,6.84,,
2005-12-19,6.87,,
2005-12-20,6.99,,
2005-12-21,6.96,,
2005-12-22,6.94,,
2005-12-23,6.85,,
2005-12-27,7.05,,
2005-12-28,7.02,,
2005-12-29,7.23,,
2005-12-30,7.27,,
2006-01-03,7.57,,
2006-01-04,7.38,,
2006-01-05,7.86,,
2006-01-06,8.06,,
2006-01-09,8.72,,
2006-01-10,9.2,,
2006-01-11,9.38,,
2006-01-12,8.79,,
2006-01-13,8.91,,
2006-01-17,9.28,,
2006-01-18,9.16,,
2006-01-19,9.49,,
2006-01-20,9.26,,
2006-01-23,9.55,,
2006-01-24,10.56,,
2006-01-25,10.6,,
2006-01-26,10.49,,
2006-01-27,10.2,,
2006-01-30,9.82,,
2006-01-31,10.16,,
2006-02-01,11.13,,
2006-02-02,11.04,,
2006-02-03,11.1,,
2006-02-06,11.14,,
2006-02-07,10.69,,
2006-02-08,10.7,,
2006-02-09,10.6,,
2006-02-10,10.35,,
2006-02-13,10.55,,
2006-02-14,10.4,,
2006-02-15,10.4,,
2006-02-16,10.31,,
2006-02-17,10.27,,
2006-02-21,9.93,,
2006-02-22,9.85,,
2006-02-23,9.98,,
2006-02-24,10.9,,
2006-02-27,11.37,,
2006-02-28,10.95,,
2006-03-01,11.35,,
2006-03-02,11.87,,
2006-03-03,12.12,,
2006-03-06,12.26,,
2006-03-07,12.0,,
2006-03-08,11.84,,
2006-03-09,12.8,,
2006-03-10,13.43,,
2006-03-13,14.26,,
2006-03-14,13.72,,
2006-03-15,13.86,,
2006-03-16,13.36,,
2006-03-17,13.62,,
2006-03-20,14.23,,
2006-03-21,14.05,,
2006-03-22,13.6,,
2006-03-23,13.41,,
2006-03-24,13.44,,
2006-03-27,13.97,,
2006-03-28,13.72,,
2006-03-29,13.55,,
2006-03-30,14.26,,
2006-03-31,13.81,,
2006-04-03,12.62,,
2006-04-04,13.0,,
2006-04-05,12.57,,
2006-04-06,11.96,,
2006-04-07,10.6,,
2006-04-10,10.91,,
2006-04-11,11.32,,
2006-04-12,11.53,,
2006-04-13,11.75,,
2006-04-17,11.57,,
2006-04-18,13.23,,
2006-04-19,13.86,,
2006-04-20,14.0,,
2006-04-21,13.8,,
2006-04-24,13.45,,
2006-04-25,13.96,,
2006-04-26,14.06,,
2006-04-27,14.32,,
2006-04-28,14.26,,
2006-05-01,13.39,,
2006-05-02,13.54,,
2006-05-03,14.03,,
2006-05-04,13.8,,
2006-05-05,14.84,,
2006-05-08,15.77,,
2006-05-09,15.44,,
2006-05-10,15.56,,
