date,VRSK,dcf,Deviation
2009-10-07,27.22,,
2009-10-08,26.6,,
2009-10-09,26.4,,
2009-10-12,26.25,,
2009-10-13,27.19,,
2009-10-14,27.99,,
2009-10-15,28.31,,
2009-10-16,28.57,,
2009-10-19,27.5,,
2009-10-20,28.06,,
2009-10-21,28.0,,
2009-10-22,27.89,,
2009-10-23,28.37,,
2009-10-26,28.45,,
2009-10-27,28.56,,
2009-10-28,27.69,,
2009-10-29,27.89,,
2009-10-30,27.43,,
2009-11-02,27.37,,
2009-11-03,27.36,,
2009-11-04,26.96,,
2009-11-05,27.3,,
2009-11-06,27.1,,
2009-11-09,27.58,,
2009-11-10,27.67,,
2009-11-11,28.98,,
2009-11-12,28.9,,
2009-11-13,28.9,,
2009-11-16,28.85,,
2009-11-17,27.85,,
2009-11-18,28.5,,
2009-11-19,28.54,,
2009-11-20,28.55,,
2009-11-23,28.4,,
2009-11-24,27.78,,
2009-11-25,27.3,,
2009-11-27,26.99,,
2009-11-30,26.91,,
2009-12-01,27.78,,
2009-12-02,27.51,,
2009-12-03,27.72,,
2009-12-04,28.43,,
2009-12-07,28.74,,
2009-12-08,28.61,,
2009-12-09,28.65,,
2009-12-10,28.4,,
2009-12-11,28.66,,
2009-12-14,28.99,,
2009-12-15,29.3,,
2009-12-16,30.39,,
2009-12-17,30.4,,
2009-12-18,30.56,,
2009-12-21,30.5,,
2009-12-22,30.58,,
2009-12-23,30.68,,
2009-12-24,30.8,,
2009-12-28,30.96,,
2009-12-29,31.0,,
2009-12-30,31.0,,
2009-12-31,30.28,30.242648096284185,0.0012350738466055944
2010-01-04,29.85,30.442648096284184,-0.01946769198296261
2010-01-05,30.05,30.832648096284185,-0.025383745627042154
2010-01-06,30.44,30.782648096284184,-0.011131209219311544
2010-01-07,30.39,30.392648096284184,-8.712950170697287e-05
2010-01-08,30.0,30.32264809628418,-0.01064049865498784
2010-01-11,29.93,30.552648096284184,-0.020379513236363667
2010-01-12,30.16,30.542648096284182,-0.012528320893391509
2010-01-13,30.15,30.302648096284184,-0.005037450713850422
2010-01-14,29.91,29.342648096284183,0.01933540223957042
2010-01-15,28.95,28.342648096284183,0.021428904654658743
2010-01-19,27.95,28.382648096284182,-0.015243401349179453
2010-01-20,27.99,28.432648096284183,-0.015568303549680085
2010-01-21,28.04,28.40264809628419,-0.012768108630393238
2010-01-22,28.01,28.342648096284183,-0.011736662543109122
2010-01-25,27.95,28.742648096284185,-0.027577420620010895
