date,IR,dcf,Deviation
1989-09-19,6.39,,
1989-09-20,6.36,,
1989-09-21,6.21,,
1989-09-22,6.19,,
1989-09-25,6.06,,
1989-09-26,6.01,,
1989-09-27,5.99,,
1989-09-28,6.12,,
1989-09-29,6.21,,
1989-10-02,6.24,,
1989-10-03,6.29,,
1989-10-04,6.34,,
1989-10-05,6.47,,
1989-10-06,6.56,,
1989-10-09,6.56,,
1989-10-10,6.49,,
1989-10-11,6.49,,
1989-10-12,6.27,,
1989-10-13,5.99,,
1989-10-16,6.14,,
1989-10-17,5.97,,
1989-10-18,5.96,,
1989-10-19,6.14,,
1989-10-20,6.09,,
1989-10-23,6.11,,
1989-10-24,5.89,,
1989-10-25,5.81,,
1989-10-26,5.57,,
1989-10-27,5.47,,
1989-10-30,5.47,,
1989-10-31,5.67,,
1989-11-01,5.69,,
1989-11-02,5.59,,
1989-11-03,5.61,,
1989-11-06,5.62,,
1989-11-07,5.69,,
1989-11-08,5.84,,
1989-11-09,5.89,,
1989-11-10,5.91,,
1989-11-13,5.89,,
1989-11-14,5.89,,
1989-11-15,5.97,,
1989-11-16,6.06,,
1989-11-17,6.07,,
1989-11-20,6.21,,
1989-11-21,6.27,,
1989-11-22,6.29,,
1989-11-24,6.29,,
1989-11-27,6.39,,
1989-11-28,6.42,,
1989-11-29,6.34,,
1989-11-30,6.27,,
1989-12-01,6.27,,
1989-12-04,6.24,,
1989-12-05,6.09,,
1989-12-06,6.04,,
1989-12-07,6.12,,
1989-12-08,6.11,,
1989-12-11,6.16,,
1989-12-12,6.19,,
1989-12-13,6.26,,
1989-12-14,6.27,,
1989-12-15,6.26,,
1989-12-18,6.14,,
1989-12-19,6.17,,
1989-12-20,6.24,,
1989-12-21,6.22,,
1989-12-22,6.24,,
1989-12-26,6.36,,
1989-12-27,6.46,,
1989-12-28,6.56,,
1989-12-29,6.69,,
1990-01-02,6.76,,
1990-01-03,6.92,,
1990-01-04,6.89,,
1990-01-05,6.87,,
1990-01-08,7.02,,
1990-01-09,6.96,,
1990-01-10,6.89,,
1990-01-11,6.86,,
1990-01-12,6.79,,
1990-01-15,6.69,,
1990-01-16,6.77,,
1990-01-17,6.72,,
1990-01-18,6.66,,
1990-01-19,6.62,,
1990-01-22,6.52,,
1990-01-23,6.66,,
1990-01-24,6.59,,
1990-01-25,6.44,,
1990-01-26,6.37,,
1990-01-29,6.27,,
1990-01-30,6.22,,
1990-01-31,6.52,,
1990-02-01,6.57,,
1990-02-02,6.64,,
1990-02-05,6.66,,
1990-02-06,6.61,,
1990-02-07,6.71,,
1990-02-08,6.69,,
1990-02-09,6.72,,
1990-02-12,6.71,,
1990-02-13,6.66,,
1990-02-14,6.71,,
1990-02-15,6.79,,
1990-02-16,6.77,,
1990-02-20,6.76,,
1990-02-21,6.81,,
1990-02-22,6.84,,
1990-02-23,6.84,,
1990-02-26,6.91,,
1990-02-27,7.21,,
1990-02-28,7.29,,
1990-03-01,7.39,,
1990-03-02,7.39,,
1990-03-05,7.39,,
1990-03-06,7.42,,
1990-03-07,7.4,,
1990-03-08,7.42,,
1990-03-09,7.29,,
1990-03-12,7.24,,
1990-03-13,7.17,,
1990-03-14,7.14,,
1990-03-15,7.26,,
1990-03-16,7.35,,
1990-03-19,7.42,,
1990-03-20,7.52,,
1990-03-21,7.5,,
1990-03-22,7.27,,
1990-03-23,7.26,,
1990-03-26,7.32,,
1990-03-27,7.42,,
1990-03-28,7.44,,
1990-03-29,7.37,,
1990-03-30,7.34,,
1990-04-02,7.21,,
1990-04-03,7.3,,
1990-04-04,7.3,,
1990-04-05,7.34,,
1990-04-06,7.22,,
1990-04-09,7.09,,
1990-04-10,7.12,,
1990-04-11,7.12,,
1990-04-12,7.22,,
1990-04-16,7.24,,
1990-04-17,7.24,,
1990-04-18,7.19,,
1990-04-19,7.12,,
1990-04-20,6.92,,
1990-04-23,6.84,,
1990-04-24,6.92,,
1990-04-25,6.97,,
1990-04-26,6.97,,
1990-04-27,6.97,,
1990-04-30,7.01,,
1990-05-01,7.11,,
1990-05-02,7.22,,
1990-05-03,7.32,,
1990-05-04,7.32,,
1990-05-07,7.39,,
1990-05-08,7.49,,
1990-05-09,7.4,,
1990-05-10,7.4,,
1990-05-11,7.49,,
1990-05-14,7.75,,
1990-05-15,7.75,,
1990-05-16,7.8,,
1990-05-17,7.85,,
1990-05-18,7.8,,
1990-05-21,7.89,,
1990-05-22,7.92,,
1990-05-23,7.95,,
1990-05-24,7.89,,
1990-05-25,7.8,,
1990-05-29,7.94,,
1990-05-30,7.75,,
1990-05-31,7.79,,
1990-06-01,7.82,,
1990-06-04,7.67,,
1990-06-05,7.62,,
1990-06-06,7.62,,
1990-06-07,7.69,,
1990-06-08,7.67,,
1990-06-11,7.7,,
1990-06-12,7.84,,
1990-06-13,7.9,,
1990-06-14,7.87,,
1990-06-15,7.75,,
1990-06-18,7.74,,
1990-06-19,7.72,,
1990-06-20,7.74,,
1990-06-21,7.82,,
1990-06-22,7.77,,
1990-06-25,7.65,,
1990-06-26,7.39,,
1990-06-27,7.45,,
1990-06-28,7.52,,
1990-06-29,7.62,,
1990-07-02,7.65,,
1990-07-03,7.75,,
1990-07-05,7.69,,
1990-07-06,7.74,,
1990-07-09,7.64,,
1990-07-10,7.54,,
1990-07-11,7.57,,
1990-07-12,7.55,,
1990-07-13,7.74,,
1990-07-16,7.94,,
1990-07-17,7.92,,
1990-07-18,7.8,,
1990-07-19,7.77,,
1990-07-20,7.79,,
1990-07-23,7.64,,
1990-07-24,7.17,,
1990-07-25,7.26,,
1990-07-26,7.26,,
1990-07-27,7.09,,
1990-07-30,7.09,,
1990-07-31,6.97,,
1990-08-01,6.94,,
1990-08-02,6.82,,
1990-08-03,6.47,,
1990-08-06,6.02,,
1990-08-07,6.07,,
1990-08-08,6.09,,
1990-08-09,6.29,,
1990-08-10,6.19,,
1990-08-13,6.09,,
1990-08-14,6.07,,
1990-08-15,6.19,,
1990-08-16,6.04,,
1990-08-17,5.99,,
1990-08-20,5.92,,
1990-08-21,5.62,,
1990-08-22,5.51,,
1990-08-23,5.46,,
1990-08-24,5.62,,
1990-08-27,5.79,,
1990-08-28,5.72,,
1990-08-29,5.72,,
1990-08-30,5.67,,
1990-08-31,5.76,,
1990-09-04,5.79,,
1990-09-05,5.89,,
1990-09-06,5.74,,
1990-09-07,5.72,,
