date,PLD,dcf,Deviation
1997-11-21,23.0,,
1997-11-24,22.75,,
1997-11-25,23.0,,
1997-11-26,22.75,,
1997-11-28,23.0,,
1997-12-01,23.06,,
1997-12-02,23.0,,
1997-12-03,23.0,,
1997-12-04,23.0,,
1997-12-05,23.06,,
1997-12-08,23.19,,
1997-12-09,23.19,,
1997-12-10,23.06,,
1997-12-11,23.06,,
1997-12-12,23.19,,
1997-12-15,23.19,,
1997-12-16,23.63,,
1997-12-17,24.19,,
1997-12-18,24.25,,
1997-12-19,23.88,,
1997-12-22,24.0,,
1997-12-23,24.0,,
1997-12-24,24.0,,
1997-12-26,23.69,,
1997-12-29,23.81,,
1997-12-30,24.31,,
1997-12-31,25.13,,
1998-01-02,24.88,,
1998-01-05,24.63,,
1998-01-06,24.69,,
1998-01-07,24.63,,
1998-01-08,24.56,,
1998-01-09,24.38,,
1998-01-12,24.44,,
1998-01-13,24.56,,
1998-01-14,24.75,,
1998-01-15,24.5,,
1998-01-16,24.5,,
1998-01-20,24.63,,
1998-01-21,24.75,,
1998-01-22,24.69,,
1998-01-23,24.44,,
1998-01-26,24.13,,
1998-01-27,24.25,,
1998-01-28,24.0,,
1998-01-29,24.0,,
1998-01-30,24.5,,
1998-02-02,24.75,,
1998-02-03,24.5,,
1998-02-04,24.38,,
1998-02-05,24.5,,
1998-02-06,24.5,,
1998-02-09,24.31,,
1998-02-10,24.63,,
1998-02-11,24.63,,
1998-02-12,24.5,,
1998-02-13,24.5,,
1998-02-17,24.81,,
1998-02-18,24.13,,
1998-02-19,24.0,,
1998-02-20,24.19,,
1998-02-23,24.06,,
1998-02-24,23.88,,
1998-02-25,23.75,,
1998-02-26,23.63,,
1998-02-27,23.5,,
1998-03-02,23.44,,
1998-03-03,23.56,,
1998-03-04,23.38,,
1998-03-05,23.44,,
1998-03-06,23.5,,
1998-03-09,24.0,,
1998-03-10,24.0,,
1998-03-11,24.19,,
1998-03-12,24.0,,
1998-03-13,23.88,,
1998-03-16,23.56,,
1998-03-17,23.5,,
1998-03-18,23.5,,
1998-03-19,23.88,,
1998-03-20,24.25,,
1998-03-23,24.38,,
1998-03-24,24.25,,
1998-03-25,24.31,,
1998-03-26,24.75,,
1998-03-27,24.94,,
1998-03-30,24.63,,
1998-03-31,24.13,,
1998-04-01,24.13,,
1998-04-02,24.0,,
1998-04-03,23.5,,
