date,PM,dcf,Deviation
2008-03-17,49.39,,
2008-03-18,49.6,,
2008-03-19,50.1,,
2008-03-20,49.15,,
2008-03-24,51.0,,
2008-03-25,51.75,,
2008-03-26,50.3,,
2008-03-27,50.68,,
2008-03-28,51.06,,
2008-03-31,50.58,,
2008-04-01,50.58,,
2008-04-02,51.21,,
2008-04-03,51.05,,
2008-04-04,51.37,,
2008-04-07,50.67,,
2008-04-08,50.6,,
2008-04-09,49.38,,
2008-04-10,48.66,,
2008-04-11,48.33,,
2008-04-14,48.0,,
2008-04-15,48.2,,
2008-04-16,49.46,,
2008-04-17,49.85,,
2008-04-18,49.96,,
2008-04-21,50.63,,
2008-04-22,50.07,,
2008-04-23,52.0,,
2008-04-24,52.0,,
2008-04-25,51.3,,
2008-04-28,51.07,,
2008-04-29,52.01,,
2008-04-30,51.03,,
2008-05-01,50.75,,
2008-05-02,51.02,,
2008-05-05,50.81,,
2008-05-06,51.88,,
2008-05-07,51.69,,
2008-05-08,52.2,,
2008-05-09,51.83,,
2008-05-12,52.47,,
2008-05-13,52.46,,
2008-05-14,52.67,,
2008-05-15,53.25,,
2008-05-16,53.38,,
2008-05-19,53.63,,
2008-05-20,52.91,,
2008-05-21,51.98,,
2008-05-22,52.28,,
2008-05-23,51.8,,
2008-05-27,51.63,,
2008-05-28,51.16,,
2008-05-29,52.02,,
2008-05-30,52.66,,
2008-06-02,52.11,,
2008-06-03,51.67,,
2008-06-04,51.95,,
2008-06-05,51.81,,
2008-06-06,50.5,,
2008-06-09,49.49,,
2008-06-10,49.49,,
2008-06-11,49.86,,
2008-06-12,51.29,,
2008-06-13,51.61,,
2008-06-16,50.73,,
2008-06-17,50.63,,
2008-06-18,49.9,,
2008-06-19,50.4,,
2008-06-20,50.22,,
2008-06-23,50.64,,
2008-06-24,51.17,,
2008-06-25,51.77,,
2008-06-26,50.15,,
2008-06-27,49.83,,
2008-06-30,49.39,51.77831253439421,-0.04612573136306353
2008-07-01,50.39,51.988312534394204,-0.030743689427057297
2008-07-02,50.6,52.85831253439421,-0.042723886293660085
2008-07-03,51.47,53.238312534394204,-0.0332150372582114
2008-07-07,51.85,55.15831253439421,-0.059978494308202346
2008-07-08,53.77,55.3883125343942,-0.029217581477848475
2008-07-09,54.0,54.82831253439421,-0.015107386970456216
2008-07-10,53.44,54.75831253439421,-0.02407511249668559
2008-07-11,53.37,54.948312534394205,-0.028723585158439313
2008-07-14,53.56,54.6883125343942,-0.020631694087920316
2008-07-15,53.3,54.30831253439421,-0.01856644935810947
2008-07-16,52.92,52.3483125343942,0.01092083847459624
2008-07-17,50.96,52.10831253439421,-0.022037031685419928
2008-07-18,50.72,51.8683125343942,-0.022138999290419292
2008-07-21,50.48,53.4383125343942,-0.055359392804369745
2008-07-22,52.05,52.85831253439421,-0.015292060900889637
2008-07-23,51.47,53.8483125343942,-0.044166890705722994
2008-07-24,52.46,54.4383125343942,-0.0363404455849784
2008-07-25,53.05,54.00831253439421,-0.017743797008727635
2008-07-28,52.62,54.72831253439421,-0.03852325125261702
2008-07-29,53.34,54.75831253439421,-0.02590131924725303
2008-07-30,53.37,53.0383125343942,0.006253733381707871
2008-07-31,51.65,53.4683125343942,-0.0340072923233653
2008-08-01,52.08,55.10831253439421,-0.054952009871544916
2008-08-04,53.72,56.588312534394205,-0.050687366453114446
2008-08-05,55.2,56.918312534394204,-0.03018909833906036
2008-08-06,55.53,56.02831253439421,-0.008893941506596503
2008-08-07,54.64,56.5983125343942,-0.034600192951055875
2008-08-08,55.21,57.1383125343942,-0.03374815336440784
2008-08-11,55.75,57.338312534394205,-0.02770071988849443
2008-08-12,55.95,56.92831253439421,-0.017184990927021415
2008-08-13,55.54,56.85831253439421,-0.02318592437291822
2008-08-14,55.47,56.95831253439421,-0.026129856524374606
2008-08-15,55.57,56.3983125343942,-0.014686831877976148
2008-08-18,55.01,55.8983125343942,-0.015891580516811166
2008-08-19,54.51,55.9983125343942,-0.026577810420270853
2008-08-20,54.61,56.20831253439421,-0.028435518917530045
2008-08-21,54.82,56.918312534394204,-0.036865332807016205
2008-08-22,55.53,56.25831253439421,-0.012945865270113543
2008-08-25,54.87,56.02831253439421,-0.020673700170483533
2008-08-26,54.64,55.488312534394204,-0.015288129979955323
2008-08-27,54.1,55.30831253439421,-0.021846852290834273
2008-08-28,53.92,55.088312534394205,-0.021207992778228046
2008-08-29,53.7,56.198312534394205,-0.0444552945048875
2008-09-02,54.81,55.45831253439421,-0.011690087649027125
2008-09-03,54.07,54.75831253439421,-0.012570009968109752
2008-09-04,53.37,55.3883125343942,-0.036439321619356146
2008-09-05,54.0,56.3683125343942,-0.042014962448079785
2008-09-08,54.98,56.168312534394204,-0.02115627977369894
