date,IQV,dcf,Deviation
2013-10-17,43.53,43.93,-0.009105394946505752
2013-10-18,43.93,43.98,-0.0011368804001817834
2013-10-21,43.98,44.11,-0.0029471775107685616
2013-10-22,44.11,43.81,0.00684775165487328
2013-10-23,43.81,44.55,-0.016610549943883113
2013-10-24,44.55,44.31,0.005416384563303955
2013-10-25,44.31,43.9,0.00933940774487474
2013-10-28,43.9,43.77,0.002970070824765747
2013-10-29,43.77,43.38,0.008990318118948792
2013-10-30,43.38,41.99,0.03310311979042635
2013-10-31,41.99,43.43,-0.03315680405249821
2013-11-01,43.43,44.2,-0.017420814479638058
2013-11-04,44.2,44.09,0.002494896801995994
2013-11-05,44.09,44.0,0.0020454545454546835
2013-11-06,44.0,44.05,-0.0011350737797956034
2013-11-07,44.05,44.09,-0.0009072352007258866
2013-11-08,44.09,43.98,0.002501136880400434
2013-11-11,43.98,44.14,-0.0036248300860898253
2013-11-12,44.14,44.37,-0.00518368266846958
2013-11-13,44.37,43.97,0.009097111667045743
2013-11-14,43.97,43.98,-0.00022737608003631227
2013-11-15,43.98,43.31,0.01546986839067177
2013-11-18,43.31,42.86,0.010499300046663551
2013-11-19,42.86,42.88,-0.0004664179104478805
2013-11-20,42.88,43.25,-0.008554913294797628
2013-11-21,43.25,43.11,0.0032475063790304848
2013-11-22,43.11,42.7,0.00960187353629971
2013-11-25,42.7,43.0,-0.006976744186046435
2013-11-26,43.0,42.99,0.0002326122354034954
2013-11-27,42.99,43.19,-0.004630701551284866
2013-11-29,43.19,42.79,0.009347978499649523
2013-12-02,42.79,42.35,0.010389610389610393
2013-12-03,42.35,41.94,0.009775870290891886
2013-12-04,41.94,41.87,0.0016718414139000881
2013-12-05,41.87,42.03,-0.0038068046633358277
2013-12-06,42.03,42.74,-0.016612072999532046
2013-12-09,42.74,43.73,-0.02263892064943962
2013-12-10,43.73,43.77,-0.0009138679460819477
2013-12-11,43.77,45.07,-0.028844020412691296
2013-12-12,45.07,44.97,0.0022237046920168257
2013-12-13,44.97,45.15,-0.003986710963455153
2013-12-16,45.15,45.22,-0.001547987616099089
2013-12-17,45.22,45.68,-0.010070052539404517
2013-12-18,45.68,45.16,0.011514614703277415
2013-12-19,45.16,45.42,-0.005724350506384979
2013-12-20,45.42,46.2,-0.016883116883116944
2013-12-23,46.2,46.4,-0.004310344827586077
2013-12-24,46.4,46.48,-0.0017211703958691649
2013-12-26,46.48,46.4,0.0017241379310344307
2013-12-27,46.4,46.45,-0.0010764262648009781
2013-12-30,46.45,46.34,0.0023737591713421935
2013-12-31,46.34,45.8,0.011790393013100475
2014-01-02,45.8,46.29,-0.010585439619788306
2014-01-03,46.29,46.03,0.005648490115142346
2014-01-06,46.03,46.79,-0.016242786920282026
2014-01-07,46.79,47.42,-0.013285533530156157
2014-01-08,47.42,47.84,-0.008779264214046845
2014-01-09,47.84,48.61,-0.01584036206541861
2014-01-10,48.61,49.16,-0.01118795768917813
2014-01-13,49.16,49.0,0.0032653061224490187
2014-01-14,49.0,49.5,-0.010101010101010055
2014-01-15,49.5,49.78,-0.005624748895138643
2014-01-16,49.78,48.98,0.016333197223356466
2014-01-17,48.98,48.15,0.01723779854620977
2014-01-21,48.15,48.01,0.002916059154342898
2014-01-22,48.01,47.74,0.005655634687892652
2014-01-23,47.74,46.21,0.03310971651157768
2014-01-24,46.21,46.54,-0.007090674688440046
2014-01-27,46.54,47.3,-0.016067653276955585
2014-01-28,47.3,46.43,0.018737884988154097
2014-01-29,46.43,47.7,-0.026624737945492694
2014-01-30,47.7,47.63,0.0014696619777452291
2014-01-31,47.63,46.43,0.025845358604350777
2014-02-03,46.43,46.61,-0.003861832224844486
2014-02-04,46.61,48.37,-0.0363861897870581
