date,KMB,dcf,Deviation
1980-03-17,2.5,,
1980-03-18,2.48,,
1980-03-19,2.46,,
1980-03-20,2.39,,
1980-03-21,2.4,,
1980-03-24,2.38,,
1980-03-25,2.4,,
1980-03-26,2.42,,
1980-03-27,2.42,,
1980-03-28,2.43,,
1980-03-31,2.41,,
1980-04-01,2.44,,
1980-04-02,2.43,,
1980-04-03,2.43,,
1980-04-07,2.37,,
1980-04-08,2.37,,
1980-04-09,2.34,,
1980-04-10,2.34,,
1980-04-11,2.26,,
1980-04-14,2.29,,
1980-04-15,2.28,,
1980-04-16,2.32,,
1980-04-17,2.33,,
1980-04-18,2.34,,
1980-04-21,2.28,,
1980-04-22,2.31,,
1980-04-23,2.28,,
1980-04-24,2.34,,
1980-04-25,2.34,,
1980-04-28,2.43,,
1980-04-29,2.53,,
1980-04-30,2.49,,
1980-05-01,2.47,,
1980-05-02,2.47,,
1980-05-05,2.45,,
1980-05-06,2.48,,
1980-05-07,2.47,,
1980-05-08,2.44,,
1980-05-09,2.45,,
1980-05-12,2.47,,
1980-05-13,2.51,,
1980-05-14,2.63,,
1980-05-15,2.69,,
1980-05-16,2.67,,
1980-05-19,2.65,,
1980-05-20,2.66,,
1980-05-21,2.67,,
1980-05-22,2.67,,
1980-05-23,2.68,,
1980-05-27,2.69,,
1980-05-28,2.67,,
1980-05-29,2.65,,
1980-05-30,2.65,,
1980-06-02,2.68,,
1980-06-03,2.69,,
1980-06-04,2.69,,
1980-06-05,2.69,,
1980-06-06,2.7,,
1980-06-09,2.63,,
1980-06-10,2.64,,
1980-06-11,2.65,,
1980-06-12,2.65,,
1980-06-13,2.64,,
1980-06-16,2.7,,
1980-06-17,2.73,,
1980-06-18,2.74,,
1980-06-19,2.73,,
1980-06-20,2.74,,
1980-06-23,2.74,,
1980-06-24,2.76,,
1980-06-25,2.78,,
1980-06-26,2.8,,
1980-06-27,2.79,,
1980-06-30,2.73,,
1980-07-01,2.79,,
1980-07-02,2.8,,
1980-07-03,2.88,,
1980-07-07,2.9,,
1980-07-08,2.92,,
1980-07-09,2.89,,
1980-07-10,2.85,,
1980-07-11,2.85,,
1980-07-14,2.85,,
1980-07-15,2.83,,
1980-07-16,2.75,,
1980-07-17,2.84,,
1980-07-18,2.88,,
1980-07-21,2.89,,
1980-07-22,2.89,,
1980-07-23,2.89,,
1980-07-24,2.87,,
1980-07-25,2.81,,
1980-07-28,2.81,,
1980-07-29,2.86,,
1980-07-30,2.91,,
1980-07-31,2.91,,
1980-08-01,2.93,,
1980-08-04,2.89,,
1980-08-05,2.88,,
1980-08-06,2.85,,
1980-08-07,2.93,,
1980-08-08,2.93,,
1980-08-11,2.95,,
1980-08-12,3.0,,
1980-08-13,3.05,,
1980-08-14,3.03,,
1980-08-15,3.09,,
1980-08-18,3.09,,
1980-08-19,3.06,,
1980-08-20,3.09,,
1980-08-21,3.08,,
1980-08-22,3.09,,
1980-08-25,3.15,,
1980-08-26,3.15,,
1980-08-27,3.16,,
1980-08-28,3.09,,
1980-08-29,3.11,,
1980-09-02,3.18,,
1980-09-03,3.18,,
1980-09-04,3.18,,
1980-09-05,3.17,,
1980-09-08,3.08,,
1980-09-09,3.08,,
1980-09-10,3.07,,
1980-09-11,3.01,,
1980-09-12,3.0,,
1980-09-15,3.03,,
1980-09-16,3.03,,
1980-09-17,3.07,,
1980-09-18,3.13,,
1980-09-19,3.22,,
1980-09-22,3.24,,
1980-09-23,3.24,,
1980-09-24,3.18,,
1980-09-25,3.12,,
1980-09-26,2.96,,
1980-09-29,2.97,,
1980-09-30,3.01,,
1980-10-01,3.0,,
1980-10-02,3.17,,
1980-10-03,3.3,,
1980-10-06,3.3,,
1980-10-07,3.28,,
1980-10-08,3.23,,
1980-10-09,3.19,,
1980-10-10,3.17,,
1980-10-13,3.16,,
1980-10-14,3.17,,
1980-10-15,3.16,,
1980-10-16,3.15,,
1980-10-17,3.08,,
1980-10-20,3.09,,
1980-10-21,3.1,,
1980-10-22,3.08,,
1980-10-23,3.04,,
1980-10-24,3.02,,
1980-10-27,2.99,,
1980-10-28,2.99,,
1980-10-29,2.97,,
1980-10-30,2.96,,
1980-10-31,2.93,,
1980-11-03,2.91,,
1980-11-05,2.98,,
1980-11-06,2.96,,
1980-11-07,3.0,,
1980-11-10,3.01,,
1980-11-11,3.03,,
1980-11-12,3.03,,
1980-11-13,3.06,,
1980-11-14,3.1,,
1980-11-17,3.09,,
1980-11-18,3.16,,
1980-11-19,3.11,,
1980-11-20,3.06,,
1980-11-21,3.1,,
1980-11-24,3.09,,
1980-11-25,3.03,,
1980-11-26,3.02,,
1980-11-28,2.94,,
1980-12-01,2.9,,
1980-12-02,2.91,,
1980-12-03,2.96,,
1980-12-04,2.97,,
1980-12-05,2.99,,
1980-12-08,2.96,,
1980-12-09,2.99,,
1980-12-10,3.06,,
1980-12-11,3.05,,
1980-12-12,3.09,,
1980-12-15,3.06,,
1980-12-16,3.06,,
1980-12-17,3.07,,
1980-12-18,3.03,,
1980-12-19,3.01,,
1980-12-22,2.95,,
1980-12-23,3.03,,
1980-12-24,3.06,,
1980-12-26,3.09,,
1980-12-29,3.14,,
1980-12-30,3.15,,
1980-12-31,3.19,,
1981-01-02,3.2,,
1981-01-05,3.24,,
1981-01-06,3.3,,
1981-01-07,3.28,,
1981-01-08,3.32,,
1981-01-09,3.4,,
1981-01-12,3.36,,
1981-01-13,3.34,,
1981-01-14,3.36,,
1981-01-15,3.33,,
1981-01-16,3.35,,
1981-01-19,3.33,,
1981-01-20,3.33,,
1981-01-21,3.42,,
1981-01-22,3.42,,
1981-01-23,3.45,,
1981-01-26,3.43,,
1981-01-27,3.49,,
1981-01-28,3.48,,
1981-01-29,3.52,,
1981-01-30,3.47,,
1981-02-02,3.42,,
1981-02-03,3.45,,
1981-02-04,3.42,,
1981-02-05,3.45,,
1981-02-06,3.46,,
1981-02-09,3.43,,
1981-02-10,3.42,,
1981-02-11,3.48,,
1981-02-12,3.54,,
1981-02-13,3.54,,
1981-02-17,3.61,,
1981-02-18,3.68,,
1981-02-19,3.66,,
1981-02-20,3.66,,
1981-02-23,3.71,,
1981-02-24,3.67,,
1981-02-25,3.62,,
1981-02-26,3.71,,
1981-02-27,3.78,,
1981-03-02,3.77,,
1981-03-03,3.79,,
1981-03-04,3.78,,
1981-03-05,3.77,,
1981-03-06,3.77,,
1981-03-09,3.79,,
1981-03-10,3.84,,
1981-03-11,3.81,,
1981-03-12,3.87,,
1981-03-13,3.84,,
1981-03-16,3.83,,
1981-03-17,3.82,,
1981-03-18,3.84,,
1981-03-19,3.83,,
1981-03-20,3.83,,
1981-03-23,3.87,,
1981-03-24,3.87,,
1981-03-25,3.95,,
1981-03-26,3.96,,
1981-03-27,3.95,,
1981-03-30,3.95,,
1981-03-31,3.95,,
1981-04-01,3.88,,
1981-04-02,3.88,,
1981-04-03,3.81,,
1981-04-06,3.75,,
1981-04-07,3.71,,
1981-04-08,3.67,,
1981-04-09,3.7,,
1981-04-10,3.78,,
1981-04-13,3.76,,
1981-04-14,3.72,,
1981-04-15,3.71,,
1981-04-16,3.68,,
1981-04-20,3.72,,
1981-04-21,3.78,,
1981-04-22,3.81,,
1981-04-23,3.81,,
1981-04-24,3.83,,
1981-04-27,3.84,,
1981-04-28,3.81,,
1981-04-29,3.82,,
1981-04-30,3.81,,
1981-05-01,3.84,,
1981-05-04,3.92,,
1981-05-05,3.87,,
1981-05-06,3.84,,
1981-05-07,3.81,,
1981-05-08,3.75,,
1981-05-11,3.63,,
1981-05-12,3.67,,
1981-05-13,3.76,,
1981-05-14,3.8,,
1981-05-15,3.8,,
1981-05-18,3.82,,
1981-05-19,3.83,,
1981-05-20,3.87,,
1981-05-21,3.88,,
1981-05-22,3.8,,
1981-05-26,3.84,,
1981-05-27,3.92,,
1981-05-28,3.98,,
1981-05-29,4.04,,
1981-06-01,4.13,,
1981-06-02,4.1,,
1981-06-03,4.09,,
1981-06-04,4.07,,
1981-06-05,4.08,,
1981-06-08,4.07,,
1981-06-09,4.07,,
1981-06-10,4.06,,
1981-06-11,4.13,,
1981-06-12,4.19,,
1981-06-15,4.21,,
1981-06-16,4.21,,
1981-06-17,4.25,,
1981-06-18,4.23,,
1981-06-19,4.21,,
