date,SO,dcf,Deviation
1989-09-19,8.44,,
1989-09-20,8.4,,
1989-09-21,8.4,,
1989-09-22,8.29,,
1989-09-25,8.32,,
1989-09-26,8.32,,
1989-09-27,8.25,,
1989-09-28,8.29,,
1989-09-29,8.29,,
1989-10-02,8.25,,
1989-10-03,8.29,,
1989-10-04,8.29,,
1989-10-05,8.29,,
1989-10-06,8.32,,
1989-10-09,8.29,,
1989-10-10,8.32,,
1989-10-11,8.29,,
1989-10-12,8.25,,
1989-10-13,7.71,,
1989-10-16,8.06,,
1989-10-17,8.17,,
1989-10-18,8.17,,
1989-10-19,8.25,,
1989-10-20,8.32,,
1989-10-23,8.29,,
1989-10-24,8.25,,
1989-10-25,8.29,,
1989-10-26,8.29,,
1989-10-27,8.36,,
1989-10-30,8.32,,
1989-10-31,8.29,,
1989-11-01,8.32,,
1989-11-02,8.4,,
1989-11-03,8.48,,
1989-11-06,8.4,,
1989-11-07,8.4,,
1989-11-08,8.44,,
1989-11-09,8.44,,
1989-11-10,8.51,,
1989-11-13,8.48,,
1989-11-14,8.51,,
1989-11-15,8.51,,
1989-11-16,8.55,,
1989-11-17,8.51,,
1989-11-20,8.4,,
1989-11-21,8.44,,
1989-11-22,8.44,,
1989-11-24,8.44,,
1989-11-27,8.51,,
1989-11-28,8.55,,
1989-11-29,8.55,,
1989-11-30,8.55,,
1989-12-01,8.63,,
1989-12-04,8.59,,
1989-12-05,8.59,,
1989-12-06,8.67,,
1989-12-07,8.63,,
1989-12-08,8.67,,
1989-12-11,8.71,,
1989-12-12,8.78,,
1989-12-13,8.9,,
1989-12-14,9.01,,
1989-12-15,9.05,,
1989-12-18,8.93,,
1989-12-19,8.78,,
1989-12-20,8.82,,
1989-12-21,8.86,,
1989-12-22,8.9,,
1989-12-26,8.9,,
1989-12-27,8.86,,
1989-12-28,8.9,,
1989-12-29,8.9,,
1990-01-02,8.9,,
1990-01-03,8.93,,
1990-01-04,8.55,,
1990-01-05,8.4,,
1990-01-08,8.63,,
1990-01-09,8.55,,
1990-01-10,8.59,,
1990-01-11,8.59,,
1990-01-12,8.4,,
1990-01-15,8.32,,
1990-01-16,8.4,,
1990-01-17,8.44,,
1990-01-18,8.51,,
1990-01-19,8.67,,
1990-01-22,8.51,,
1990-01-23,8.51,,
1990-01-24,8.48,,
1990-01-25,8.44,,
1990-01-26,8.4,,
1990-01-29,8.36,,
1990-01-30,8.09,,
1990-01-31,8.25,,
1990-02-01,8.29,,
1990-02-02,8.29,,
1990-02-05,8.32,,
1990-02-06,8.21,,
1990-02-07,8.32,,
1990-02-08,8.21,,
1990-02-09,8.29,,
1990-02-12,8.21,,
1990-02-13,8.17,,
1990-02-14,8.29,,
1990-02-15,8.36,,
1990-02-16,8.21,,
1990-02-20,8.17,,
1990-02-21,8.13,,
1990-02-22,8.09,,
1990-02-23,8.09,,
1990-02-26,8.06,,
1990-02-27,8.02,,
1990-02-28,7.98,,
1990-03-01,7.94,,
1990-03-02,7.94,,
1990-03-05,7.94,,
1990-03-06,7.98,,
1990-03-07,7.9,,
1990-03-08,7.98,,
1990-03-09,7.94,,
1990-03-12,7.98,,
1990-03-13,7.9,,
1990-03-14,7.98,,
1990-03-15,7.98,,
1990-03-16,8.06,,
1990-03-19,8.02,,
1990-03-20,8.02,,
1990-03-21,8.06,,
1990-03-22,7.9,,
1990-03-23,7.83,,
1990-03-26,7.87,,
1990-03-27,8.02,,
1990-03-28,7.98,,
1990-03-29,7.94,,
1990-03-30,8.02,,
1990-04-02,7.94,,
1990-04-03,8.02,,
1990-04-04,7.94,,
1990-04-05,7.9,,
1990-04-06,7.87,,
1990-04-09,7.9,,
1990-04-10,7.87,,
1990-04-11,7.83,,
1990-04-12,7.83,,
1990-04-16,7.75,,
1990-04-17,7.75,,
1990-04-18,7.79,,
1990-04-19,7.83,,
1990-04-20,7.71,,
1990-04-23,7.6,,
1990-04-24,7.64,,
1990-04-25,7.52,,
1990-04-26,7.48,,
1990-04-27,7.37,,
1990-04-30,7.45,,
1990-05-01,7.37,,
1990-05-02,7.22,,
1990-05-03,7.25,,
1990-05-04,7.41,,
1990-05-07,7.64,,
1990-05-08,7.56,,
1990-05-09,7.64,,
1990-05-10,7.64,,
1990-05-11,7.75,,
1990-05-14,7.87,,
1990-05-15,7.83,,
1990-05-16,7.83,,
1990-05-17,7.79,,
1990-05-18,7.79,,
1990-05-21,7.79,,
1990-05-22,7.75,,
1990-05-23,7.52,,
1990-05-24,7.56,,
1990-05-25,7.56,,
1990-05-29,7.67,,
1990-05-30,7.71,,
1990-05-31,7.64,,
1990-06-01,7.56,,
