date,ES,dcf,Deviation
1973-02-21,15.5,,
1973-02-22,15.75,,
1973-02-23,15.25,,
1973-02-26,15.13,,
1973-02-27,15.0,,
1973-02-28,15.0,,
1973-03-01,14.88,,
1973-03-02,14.75,,
1973-03-05,14.75,,
1973-03-06,15.13,,
1973-03-07,15.0,,
1973-03-08,15.0,,
1973-03-09,14.88,,
1973-03-12,14.75,,
1973-03-13,14.88,,
1973-03-14,15.0,,
1973-03-15,15.0,,
1973-03-16,15.0,,
1973-03-19,14.75,,
1973-03-20,14.63,,
1973-03-21,14.63,,
1973-03-22,14.63,,
1973-03-23,14.5,,
1973-03-26,14.75,,
1973-03-27,14.75,,
1973-03-28,14.63,,
1973-03-29,14.63,,
1973-03-30,14.63,,
1973-04-02,14.63,,
1973-04-03,14.63,,
1973-04-04,14.88,,
1973-04-05,14.63,,
1973-04-06,14.63,,
1973-04-09,14.75,,
1973-04-10,14.75,,
1973-04-11,15.13,,
1973-04-12,15.0,,
1973-04-13,15.0,,
1973-04-16,14.75,,
1973-04-17,14.88,,
1973-04-18,14.75,,
1973-04-19,14.88,,
1973-04-23,14.88,,
1973-04-24,15.0,,
1973-04-25,14.63,,
1973-04-26,14.75,,
1973-04-27,14.75,,
1973-04-30,14.75,,
1973-05-01,14.63,,
1973-05-02,14.63,,
1973-05-03,14.75,,
1973-05-04,14.88,,
1973-05-07,14.75,,
1973-05-08,14.63,,
1973-05-09,14.63,,
1973-05-10,14.75,,
1973-05-11,14.5,,
1973-05-14,14.5,,
1973-05-15,14.63,,
1973-05-16,14.63,,
1973-05-17,14.25,,
1973-05-18,14.13,,
1973-05-21,14.25,,
1973-05-22,14.25,,
1973-05-23,14.25,,
1973-05-24,14.5,,
1973-05-25,14.25,,
1973-05-29,14.25,,
1973-05-30,14.25,,
1973-05-31,14.25,,
1973-06-01,14.25,,
1973-06-04,14.25,,
1973-06-05,14.25,,
1973-06-06,14.25,,
1973-06-07,14.13,,
1973-06-08,14.25,,
1973-06-11,14.25,,
1973-06-12,14.25,,
1973-06-13,14.5,,
1973-06-14,14.5,,
1973-06-15,14.25,,
1973-06-18,14.13,,
1973-06-19,14.25,,
1973-06-20,14.13,,
1973-06-21,14.25,,
1973-06-22,14.13,,
1973-06-25,14.13,,
1973-06-26,14.38,,
1973-06-27,14.38,,
1973-06-28,14.38,,
1973-06-29,14.38,,
1973-07-02,14.13,,
1973-07-03,14.25,,
1973-07-05,14.13,,
1973-07-06,14.25,,
1973-07-09,14.38,,
1973-07-10,14.13,,
1973-07-11,14.5,,
1973-07-12,14.25,,
1973-07-13,14.13,,
1973-07-16,14.5,,
1973-07-17,14.13,,
1973-07-18,14.25,,
1973-07-19,14.13,,
1973-07-20,14.13,,
1973-07-23,14.13,,
1973-07-24,14.0,,
1973-07-25,13.63,,
1973-07-26,13.63,,
1973-07-27,13.75,,
1973-07-30,13.5,,
1973-07-31,13.63,,
1973-08-01,13.38,,
1973-08-02,13.38,,
1973-08-03,13.13,,
1973-08-06,13.38,,
1973-08-07,13.0,,
1973-08-08,13.0,,
1973-08-09,13.0,,
1973-08-10,13.0,,
1973-08-13,13.0,,
1973-08-14,13.13,,
1973-08-15,13.0,,
1973-08-16,13.0,,
1973-08-17,13.13,,
1973-08-20,13.13,,
1973-08-21,13.25,,
1973-08-22,13.13,,
1973-08-23,13.13,,
1973-08-24,13.25,,
1973-08-27,13.0,,
1973-08-28,13.25,,
1973-08-29,13.0,,
1973-08-30,13.0,,
1973-08-31,13.0,,
1973-09-04,13.0,,
1973-09-05,13.13,,
1973-09-06,13.25,,
1973-09-07,13.38,,
1973-09-10,13.13,,
1973-09-11,13.25,,
1973-09-12,13.0,,
1973-09-13,13.13,,
1973-09-14,13.0,,
1973-09-17,13.25,,
1973-09-18,13.0,,
1973-09-19,13.13,,
1973-09-20,13.25,,
1973-09-21,13.25,,
1973-09-24,13.25,,
1973-09-25,13.25,,
1973-09-26,13.75,,
1973-09-27,13.38,,
1973-09-28,13.63,,
1973-10-01,13.75,,
1973-10-02,13.75,,
1973-10-03,13.63,,
1973-10-04,13.75,,
1973-10-05,13.5,,
1973-10-08,13.5,,
1973-10-09,13.25,,
1973-10-10,13.38,,
1973-10-11,13.5,,
1973-10-12,13.38,,
1973-10-15,13.25,,
1973-10-16,13.25,,
1973-10-17,13.25,,
1973-10-18,13.25,,
1973-10-19,13.13,,
1973-10-22,13.25,,
1973-10-23,13.0,,
1973-10-24,13.0,,
1973-10-25,13.25,,
1973-10-26,13.13,,
1973-10-29,13.13,,
1973-10-30,13.13,,
1973-10-31,13.13,,
1973-11-01,13.13,,
1973-11-02,13.0,,
1973-11-05,12.75,,
1973-11-06,12.88,,
1973-11-07,12.88,,
1973-11-08,12.75,,
1973-11-09,12.63,,
1973-11-12,12.38,,
1973-11-13,12.5,,
1973-11-14,12.13,,
1973-11-15,12.38,,
1973-11-16,12.38,,
1973-11-19,12.0,,
1973-11-20,12.25,,
1973-11-21,12.25,,
1973-11-23,12.5,,
1973-11-26,11.75,,
1973-11-27,11.25,,
1973-11-28,11.25,,
1973-11-29,11.38,,
1973-11-30,11.25,,
1973-12-03,11.0,,
1973-12-04,11.0,,
1973-12-05,10.38,,
1973-12-06,10.88,,
1973-12-07,11.38,,
1973-12-10,11.13,,
1973-12-11,10.75,,
1973-12-12,10.63,,
1973-12-13,10.63,,
1973-12-14,10.5,,
1973-12-17,10.5,,
1973-12-18,10.5,,
1973-12-19,10.5,,
