date,HPE,dcf,Deviation
2015-10-19,9.62,,
2015-10-20,9.8,,
2015-10-21,9.58,,
2015-10-22,9.85,,
2015-10-23,9.88,,
2015-10-26,9.54,,
2015-10-27,9.14,,
2015-10-28,9.46,,
2015-10-29,9.27,,
2015-10-30,8.56,,
2015-11-02,8.42,13.716412213740458,-0.3861368505996605
2015-11-03,8.35,13.306412213740458,-0.37248299046548183
2015-11-04,7.94,13.086412213740457,-0.39326380139063877
2015-11-05,7.72,13.736412213740458,-0.4379900748553741
2015-11-06,8.37,13.616412213740459,-0.3853006306937632
2015-11-09,8.25,13.746412213740458,-0.39984340119281647
2015-11-10,8.38,13.566412213740458,-0.3822979968489758
2015-11-11,8.2,13.326412213740458,-0.3846805975620934
2015-11-12,7.96,13.146412213740458,-0.3945116073813423
2015-11-13,7.78,13.146412213740458,-0.40820355595814606
2015-11-16,7.78,13.046412213740458,-0.40366747021789495
2015-11-17,7.68,13.296412213740458,-0.4224005787017103
2015-11-18,7.93,13.376412213740458,-0.40716539881641955
2015-11-19,8.01,13.626412213740458,-0.4121710194615308
2015-11-20,8.26,13.416412213740458,-0.38433614975391883
2015-11-23,8.05,13.326412213740458,-0.39593644028961594
2015-11-24,7.96,13.576412213740458,-0.4136889868485417
2015-11-25,8.21,13.706412213740458,-0.4010102810296623
2015-11-27,8.34,14.006412213740457,-0.4045584356129145
2015-11-30,8.64,14.436412213740457,-0.40151334887926515
2015-12-01,9.07,14.056412213740458,-0.3547428844514199
2015-12-02,8.69,13.866412213740459,-0.37330580787228196
2015-12-03,8.5,14.216412213740458,-0.4020994979461433
2015-12-04,8.85,14.346412213740457,-0.3831210292756122
2015-12-07,8.98,14.186412213740457,-0.36699992466719034
2015-12-08,8.82,13.996412213740458,-0.3698385082327532
2015-12-09,8.63,13.926412213740457,-0.38031419237431197
2015-12-10,8.56,13.606412213740459,-0.37088485446915465
2015-12-11,8.24,13.756412213740457,-0.40100660899289153
2015-12-14,8.39,13.826412213740458,-0.3931903757605203
2015-12-15,8.46,13.906412213740458,-0.39164754575296135
2015-12-16,8.54,13.686412213740457,-0.3760234700934788
2015-12-17,8.32,13.596412213740457,-0.3880738632216626
2015-12-18,8.23,13.516412213740457,-0.3911106090983536
2015-12-21,8.15,13.536412213740459,-0.39792022647425374
2015-12-22,8.17,14.036412213740459,-0.41794242890627975
2015-12-23,8.67,14.096412213740457,-0.3849498816763509
2015-12-24,8.73,14.216412213740458,-0.3859210137729213
2015-12-28,8.85,14.196412213740459,-0.3766030552822185
2015-12-29,8.83,14.246412213740458,-0.38019482607111466
2015-12-30,8.88,14.196412213740459,-0.3744898453001242
2015-12-31,8.83,14.156412213740458,-0.3762543879988568
2016-01-04,8.79,14.106412213740459,-0.3768791194519303
2016-01-05,8.74,13.966412213740458,-0.37421294271972017
2016-01-06,8.6,13.336412213740457,-0.35514890645480723
2016-01-07,7.97,13.236412213740458,-0.39787308892310713
2016-01-08,7.87,13.076412213740458,-0.3981529588268603
2016-01-11,7.71,13.076412213740458,-0.4103887309472799
2016-01-12,7.71,12.776412213740459,-0.3965442041930801
2016-01-13,7.41,12.926412213740457,-0.4267550904710161
2016-01-14,7.56,12.656412213740458,-0.402674322523055
2016-01-15,7.29,12.526412213740459,-0.4180296899375975
2016-01-19,7.16,12.376412213740458,-0.4214801611042922
2016-01-20,7.01,12.576412213740458,-0.4426073286353346
2016-01-21,7.21,13.126412213740458,-0.450725767056689
2016-01-22,7.76,13.116412213740459,-0.40837479994180126
2016-01-25,7.75,13.266412213740457,-0.4158179411933943
2016-01-26,7.9,13.146412213740458,-0.39907559024027683
2016-01-27,7.78,13.036412213740459,-0.40321003413808654
2016-01-28,7.67,13.366412213740459,-0.42617361507709883
2016-01-29,8.0,12.793464566929133,-0.3746807240409411
2016-02-01,8.01,12.603464566929134,-0.36446046581367453
2016-02-02,7.82,12.553464566929135,-0.37706439857240526
2016-02-03,7.77,12.833464566929134,-0.39455164585698077
2016-02-04,8.05,12.453464566929133,-0.3535935356192186
2016-02-05,7.67,12.053464566929135,-0.3636684326393562
2016-02-08,7.27,12.173464566929134,-0.4027994282129066
2016-02-09,7.39,12.253464566929134,-0.3969052622109126
2016-02-10,7.47,11.993464566929134,-0.3771607896689142
2016-02-11,7.21,11.923464566929134,-0.39530998230182
2016-02-12,7.14,11.953464566929133,-0.40268363535758744
2016-02-16,7.17,12.353464566929134,-0.41959602011613306
2016-02-17,7.57,12.643464566929135,-0.40127170365941756
2016-02-18,7.86,12.733464566929134,-0.38272887487246077
2016-02-19,7.95,12.803464566929135,-0.3790743155149935
2016-02-22,8.02,12.393464566929135,-0.35288474367364064
2016-02-23,7.61,12.643464566929135,-0.39810801385048455
2016-02-24,7.86,12.733464566929134,-0.38272887487246077
2016-02-25,7.95,12.593464566929134,-0.36872018357228153
2016-02-26,7.81,12.493464566929134,-0.37487316203117227
2016-02-29,7.71,12.503464566929134,-0.3833709082207136
2016-03-01,7.72,12.863464566929133,-0.3998506421164747
