date,CMG,dcf,Deviation
2006-01-26,44.0,,
2006-01-27,42.2,,
2006-01-30,44.8,,
2006-01-31,47.52,,
2006-02-01,46.56,,
2006-02-02,44.75,,
2006-02-03,46.55,,
2006-02-06,47.71,,
2006-02-07,46.28,,
2006-02-08,45.74,,
2006-02-09,44.05,,
2006-02-10,42.31,,
2006-02-13,41.48,,
2006-02-14,43.0,,
2006-02-15,42.7,,
2006-02-16,44.45,,
2006-02-17,43.85,,
2006-02-21,43.1,,
2006-02-22,43.87,,
2006-02-23,45.8,,
2006-02-24,46.67,,
2006-02-27,46.53,,
2006-02-28,45.6,,
2006-03-01,45.5,,
2006-03-02,45.75,,
2006-03-03,45.48,,
2006-03-06,45.79,,
2006-03-07,45.0,,
2006-03-08,42.5,,
2006-03-09,41.46,,
2006-03-10,42.11,,
2006-03-13,43.41,,
2006-03-14,48.7,,
2006-03-15,52.01,,
2006-03-16,55.05,,
2006-03-17,53.86,,
2006-03-20,50.09,,
2006-03-21,52.0,,
2006-03-22,54.8,,
2006-03-23,53.88,,
2006-03-24,54.51,,
2006-03-27,54.09,,
2006-03-28,53.2,,
2006-03-29,53.93,,
2006-03-30,55.41,,
2006-03-31,55.39,61.27448484458459,-0.09603483178210126
2006-04-03,56.98,61.294484844584595,-0.07038944622055643
2006-04-04,57.0,61.44448484458459,-0.072333340507717
2006-04-05,57.15,59.794484844584595,-0.04422623343035792
2006-04-06,55.5,58.94448484458459,-0.058436083607592115
2006-04-07,54.65,58.02448484458459,-0.05815622238823781
2006-04-10,53.73,58.894484844584596,-0.08769046640297562
2006-04-11,54.6,58.34448484458459,-0.0641788997633449
2006-04-12,54.05,57.31448484458459,-0.0569574140539979
2006-04-13,53.02,58.364484844584595,-0.09157083899251595
2006-04-17,54.07,58.2144848445846,-0.07119336116516606
2006-04-18,53.92,58.294484844584595,-0.07504114422225605
2006-04-19,54.0,57.45448484458459,-0.06012559078597668
2006-04-20,53.16,57.69448484458459,-0.07859477135118609
2006-04-21,53.4,57.60448484458459,-0.07298884550271012
2006-04-24,53.31,56.44448484458459,-0.05553217206632577
2006-04-25,52.15,55.394484844584596,-0.058570539173481984
2006-04-26,51.1,55.074484844584596,-0.07216562907125224
2006-04-27,50.78,56.48448484458459,-0.10099206641045444
2006-04-28,52.19,55.94448484458459,-0.06711090208471249
2006-05-01,51.65,58.85448484458459,-0.12241182407099949
2006-05-02,54.56,59.30448484458459,-0.08000212558996433
2006-05-03,55.01,59.904484844584594,-0.0817048148779308
2006-05-04,55.61,61.19448484458459,-0.09125797625010634
2006-05-05,56.9,63.56448484458459,-0.10484604509702677
2006-05-08,59.27,71.3444848445846,-0.16924202159266288
2006-05-09,67.05,69.1444848445846,-0.030291423087356217
2006-05-10,64.85,68.49448484458459,-0.053208442298004144
