date,UAA,dcf,Deviation
2005-11-18,3.16,,
2005-11-21,3.27,,
2005-11-22,2.94,,
2005-11-23,2.98,,
2005-11-25,2.96,,
2005-11-28,2.96,,
2005-11-29,2.67,,
2005-11-30,2.81,,
2005-12-01,2.89,,
2005-12-02,3.08,,
2005-12-05,3.21,,
2005-12-06,3.09,,
2005-12-07,3.21,,
2005-12-08,3.19,,
2005-12-09,3.13,,
2005-12-12,3.19,,
2005-12-13,3.2,,
2005-12-14,3.38,,
2005-12-15,3.42,,
2005-12-16,3.46,,
2005-12-19,3.31,,
2005-12-20,3.51,,
2005-12-21,3.57,,
2005-12-22,3.59,,
2005-12-23,3.9,,
2005-12-27,4.16,,
2005-12-28,4.54,,
2005-12-29,4.98,,
2005-12-30,4.79,,
2006-01-03,4.17,,
2006-01-04,3.96,,
2006-01-05,4.45,,
2006-01-06,4.43,,
2006-01-09,4.48,,
2006-01-10,4.69,,
2006-01-11,4.71,,
2006-01-12,4.81,,
2006-01-13,4.88,,
2006-01-17,4.77,,
2006-01-18,4.82,,
2006-01-19,4.85,,
2006-01-20,4.79,,
2006-01-23,4.67,,
2006-01-24,4.59,,
2006-01-25,4.61,,
2006-01-26,4.69,,
2006-01-27,4.8,,
2006-01-30,5.04,,
2006-01-31,5.0,,
2006-02-01,4.88,,
2006-02-02,4.93,,
2006-02-03,4.86,,
2006-02-06,4.9,,
2006-02-07,3.87,,
2006-02-08,3.68,,
2006-02-09,3.69,,
2006-02-10,3.74,,
2006-02-13,3.78,,
2006-02-14,3.79,,
2006-02-15,3.63,,
2006-02-16,3.6,,
2006-02-17,3.62,,
2006-02-21,3.43,,
2006-02-22,3.53,,
2006-02-23,3.64,,
2006-02-24,3.6,,
2006-02-27,3.57,,
2006-02-28,3.52,,
2006-03-01,3.58,,
2006-03-02,3.65,,
2006-03-03,3.61,,
2006-03-06,3.58,,
2006-03-07,3.54,,
2006-03-08,3.37,,
2006-03-09,3.38,,
2006-03-10,3.32,,
2006-03-13,3.43,,
2006-03-14,3.7,,
2006-03-15,3.73,,
2006-03-16,3.78,,
2006-03-17,3.76,,
2006-03-20,3.88,,
2006-03-21,3.86,,
2006-03-22,3.9,,
2006-03-23,3.94,,
2006-03-24,4.13,,
2006-03-27,4.28,,
2006-03-28,4.11,,
2006-03-29,4.25,,
2006-03-30,4.11,,
2006-03-31,4.05,5.247639952322269,-0.22822449009526102
2006-04-03,4.07,5.2876399523222695,-0.23028042062271958
2006-04-04,4.11,5.297639952322269,-0.22418283669913353
2006-04-05,4.12,5.267639952322269,-0.21786605817968352
2006-04-06,4.09,5.227639952322269,-0.2176201809416688
2006-04-07,4.05,5.15763995232227,-0.2147571297262706
2006-04-10,3.98,5.0776399523222695,-0.21617128481515546
2006-04-11,3.9,5.067639952322269,-0.2304109927516047
2006-04-12,3.89,5.1176399523222695,-0.23988400195390736
2006-04-13,3.94,5.207639952322269,-0.24341927704832667
2006-04-17,4.03,5.227639952322269,-0.22909763549998163
2006-04-18,4.05,5.307639952322269,-0.2369489949618775
2006-04-19,4.13,5.297639952322269,-0.22040757069766959
2006-04-20,4.12,5.2876399523222695,-0.2208244061340553
2006-04-21,4.11,5.347639952322269,-0.23143666427744647
2006-04-24,4.17,5.267639952322269,-0.20837414141001953
2006-04-25,4.09,5.807639952322269,-0.29575524075583337
2006-04-26,4.63,5.90763995232227,-0.21626909605756095
2006-04-27,4.73,5.777639952322269,-0.18132662487927775
2006-04-28,4.6,5.767639952322269,-0.2024467480589064
2006-05-01,4.59,5.687639952322269,-0.1929868911399889
2006-05-02,4.51,5.637639952322269,-0.20001985970348624
2006-05-03,4.46,5.757639952322269,-0.22537705779933026
2006-05-04,4.58,5.777639952322269,-0.20728878265266226
2006-05-05,4.6,5.707639952322269,-0.19406268818193484
2006-05-08,4.53,5.8676399523222695,-0.22796898977976043
2006-05-09,4.69,5.7876399523222695,-0.18965242505830815
2006-05-10,4.61,5.777639952322269,-0.2020963510979853
2006-05-11,4.6,5.597639952322269,-0.17822510215370013
2006-05-12,4.42,5.627639952322269,-0.214590834266846
2006-05-15,4.45,5.65763995232227,-0.2134529525560519
2006-05-16,4.48,5.5776399523222695,-0.19679290196300014
2006-05-17,4.4,5.307639952322269,-0.17100631551413847
2006-05-18,4.13,5.477639952322269,-0.24602565412334765
2006-05-19,4.3,5.507639952322269,-0.21926632146915737
2006-05-22,4.33,5.587639952322269,-0.22507533825610648
2006-05-23,4.41,5.587639952322269,-0.2107580234894756
2006-05-24,4.41,5.447639952322269,-0.19047513444421638
2006-05-25,4.27,5.477639952322269,-0.2204672017207493
2006-05-26,4.3,5.487639952322269,-0.21642089543787968
2006-05-30,4.31,5.637639952322269,-0.2354956974106488
2006-05-31,4.46,5.837639952322269,-0.23599262091767592
2006-06-01,4.66,5.817639952322269,-0.19898789918412974
2006-06-02,4.64,5.727639952322269,-0.1898932128024713
2006-06-05,4.55,5.667639952322269,-0.19719671004583228
2006-06-06,4.49,5.557639952322269,-0.19210311597752094
2006-06-07,4.38,5.507639952322269,-0.20474104372904867
2006-06-08,4.33,5.587639952322269,-0.22507533825610648
2006-06-09,4.41,5.547639952322269,-0.20506737317118917
2006-06-12,4.37,5.647639952322269,-0.22622546109670327
2006-06-13,4.47,5.807639952322269,-0.23032418732972493
2006-06-14,4.63,5.817639952322269,-0.20414462944689282
2006-06-15,4.64,6.007639952322269,-0.22765011937734458
2006-06-16,4.83,6.107639952322269,-0.20918717578243617
2006-06-19,4.93,5.877639952322269,-0.16122796905037617
2006-06-20,4.7,5.897639952322269,-0.2030710524895103
2006-06-21,4.72,5.797639952322269,-0.1858756254587035
2006-06-22,4.62,5.8676399523222695,-0.21263062533829868
2006-06-23,4.69,5.847639952322269,-0.19796703657559078
2006-06-26,4.67,5.7876399523222695,-0.1931080650367376
2006-06-27,4.61,5.977639952322269,-0.2287926277311083
2006-06-28,4.8,6.267639952322269,-0.23416149674942366
2006-06-29,5.09,6.507639952322269,-0.2178424071873215
2006-06-30,5.33,6.197376081507237,-0.13995860023655138
2006-07-03,5.35,6.207376081507237,-0.13812214214980434
2006-07-05,5.36,6.167376081507237,-0.13091079104582892
2006-07-06,5.32,5.687376081507237,-0.06459500413587504
2006-07-07,4.84,5.757376081507237,-0.1593392664505382
2006-07-10,4.91,5.967376081507237,-0.17719280083318723
2006-07-11,5.12,5.897376081507237,-0.13181728123883818
2006-07-12,5.05,5.797376081507237,-0.12891626677304158
2006-07-13,4.95,5.737376081507237,-0.1372362679945479
2006-07-14,4.89,5.7473760815072374,-0.1491769582063599
2006-07-17,4.9,5.657376081507237,-0.13387409120332983
2006-07-18,4.81,5.987376081507237,-0.1966430812896005
2006-07-19,5.14,6.097376081507237,-0.1570144384583506
2006-07-20,5.25,5.927376081507237,-0.11427924805051193
2006-07-21,5.08,6.167376081507237,-0.1763109736031364
2006-07-24,5.32,6.027376081507237,-0.1173605349892729
2006-07-25,5.18,5.927376081507237,-0.12608885807650516
2006-07-26,5.08,5.807376081507237,-0.12525038352922635
2006-07-27,4.96,5.947376081507237,-0.1660187733170907
2006-07-28,5.1,5.867376081507237,-0.13078692602061914
2006-07-31,5.02,5.727376081507237,-0.12350788064908802
2006-08-01,4.88,5.467376081507237,-0.1074329025021652
2006-08-02,4.62,5.527376081507237,-0.16416036617139473
2006-08-03,4.68,5.507376081507237,-0.1502305397819872
2006-08-04,4.66,5.407376081507237,-0.13821418563121557
2006-08-07,4.56,5.2473760815072374,-0.1309942475687389
2006-08-08,4.4,5.027376081507237,-0.12479195336409876
2006-08-09,4.18,5.097376081507237,-0.17997025662583244
2006-08-10,4.25,4.907376081507237,-0.13395673585818435
2006-08-11,4.06,4.907376081507237,-0.1726739641374656
2006-08-14,4.06,5.187376081507237,-0.21733070126268317
2006-08-15,4.34,5.2473760815072374,-0.17291996369480844
2006-08-16,4.4,5.227376081507237,-0.15827751219856268
2006-08-17,4.38,5.257376081507237,-0.16688478585228061
2006-08-18,4.41,5.217376081507237,-0.15474753379748618
2006-08-21,4.37,5.2873760815072375,-0.17350308874675835
2006-08-22,4.44,5.207376081507237,-0.1473632918952006
2006-08-23,4.36,5.167376081507237,-0.15624488498072298
2006-08-24,4.32,5.207376081507237,-0.17040752724938435
2006-08-25,4.36,5.3273760815072375,-0.18158584389513277
2006-08-28,4.48,5.2473760815072374,-0.1462399625236731
