date,MPC,dcf,Deviation
2011-06-24,18.63,,
2011-06-27,18.83,,
2011-06-28,19.35,,
2011-06-29,20.04,,
2011-06-30,20.7,25.656179775280897,-0.1931768415520715
2011-07-01,21.1,25.6661797752809,-0.17790648297720513
2011-07-05,21.11,25.5061797752809,-0.1723574370608577
2011-07-06,20.95,25.4461797752809,-0.1766937047127447
2011-07-07,20.89,25.2661797752809,-0.17320306489556148
2011-07-08,20.71,24.6061797752809,-0.15834151464645307
2011-07-11,20.05,24.796179775280898,-0.19140770144005503
2011-07-12,20.24,24.5361797752809,-0.17509570824098342
2011-07-13,19.98,23.8761797752809,-0.1631827123078805
2011-07-14,19.32,24.136179775280898,-0.1995419250321211
2011-07-15,19.58,24.116179775280898,-0.1880969464297363
2011-07-18,19.56,24.4261797752809,-0.1992198460852006
2011-07-19,19.87,24.316179775280897,-0.18284861423013288
2011-07-20,19.76,24.6061797752809,-0.1969497020479919
2011-07-21,20.05,24.8461797752809,-0.19303489786597083
2011-07-22,20.29,25.2361797752809,-0.1959955832984569
2011-07-25,20.68,26.0861797752809,-0.2072430621061564
2011-07-26,21.53,25.5861797752809,-0.15853010535006173
2011-07-27,21.03,25.9461797752809,-0.1894760545814369
2011-07-28,21.39,26.456179775280898,-0.19149324726068118
2011-07-29,21.9,27.046179775280898,-0.19027381382653885
2011-08-01,22.49,25.726179775280897,-0.12579325043784373
2011-08-02,21.17,25.276179775280898,-0.16245254669760567
2011-08-03,20.72,23.7661797752809,-0.12817288281430994
2011-08-04,19.21,23.2161797752809,-0.1725598188013009
2011-08-05,18.66,20.726179775280897,-0.09968936859966493
2011-08-08,16.17,22.6061797752809,-0.2847088645344069
2011-08-09,18.05,22.116179775280898,-0.18385543148033356
2011-08-10,17.56,23.226179775280897,-0.2439565968274855
2011-08-11,18.67,23.2661797752809,-0.19754767734426681
2011-08-12,18.71,24.1061797752809,-0.22385047425947935
2011-08-15,19.55,23.9861797752809,-0.18494732453613272
2011-08-16,19.43,24.1061797752809,-0.1939826143699458
2011-08-17,19.55,22.866179775280898,-0.14502552712656436
2011-08-18,18.31,22.0561797752809,-0.16984717269485483
2011-08-19,17.5,20.8461797752809,-0.1605176493416195
2011-08-22,16.29,21.6861797752809,-0.2488303533032481
2011-08-23,17.13,22.476179775280897,-0.237859806636739
2011-08-24,17.92,21.7461797752809,-0.17594721531871793
2011-08-25,17.19,21.9861797752809,-0.21814520868574228
2011-08-26,17.43,22.5561797752809,-0.22726276463262762
2011-08-29,18.0,22.566179775280897,-0.2023461578677448
2011-08-30,18.01,23.0861797752809,-0.21987959136990365
2011-08-31,18.53,23.0561797752809,-0.19631091617933716
2011-09-01,18.5,22.2661797752809,-0.1691435088232771
2011-09-02,17.71,22.0561797752809,-0.1970504330106979
2011-09-06,17.5,22.706179775280898,-0.22928470693025205
2011-09-07,18.15,23.4261797752809,-0.22522578695687634
2011-09-08,18.87,22.726179775280897,-0.169680070007861
2011-09-09,18.17,22.886179775280898,-0.20607107964671267
2011-09-12,18.33,22.226179775280897,-0.17529687128752913
2011-09-13,17.67,22.066179775280897,-0.1992270442845575
2011-09-14,17.51,22.2661797752809,-0.213605558891653
2011-09-15,17.71,22.1061797752809,-0.19886655315255786
2011-09-16,17.55,21.3361797752809,-0.17745349988414472
2011-09-19,16.78,21.3961797752809,-0.21574784955835857
2011-09-20,16.84,20.7561797752809,-0.1886753640448222
2011-09-21,16.2,19.296179775280898,-0.1604555829878418
2011-09-22,14.74,19.3261797752809,-0.23730400051161893
2011-09-23,14.77,19.6061797752809,-0.24666609358434344
2011-09-26,15.05,19.476179775280897,-0.22726118912183124
2011-09-27,14.92,19.046179775280898,-0.21664080797116403
2011-09-28,14.49,18.476179775280897,-0.21574696846227748
2011-09-29,13.92,18.0861797752809,-0.230351562742674
2011-09-30,13.53,21.886179775280898,-0.3818016602750697
2011-10-03,13.58,22.6861797752809,-0.4013976731861698
2011-10-04,14.38,24.046179775280898,-0.4019840101677016
2011-10-05,15.74,24.956179775280898,-0.3692944937193282
2011-10-06,16.65,24.1061797752809,-0.30930574005453415
2011-10-07,15.8,24.796179775280898,-0.362805071458996
2011-10-10,16.49,24.886179775280898,-0.33738323242447643
2011-10-11,16.58,25.0961797752809,-0.3393416787549921
2011-10-12,16.79,25.1961797752809,-0.33362913942723627
2011-10-13,16.89,26.3761797752809,-0.35964949648133315
2011-10-14,18.07,25.776179775280898,-0.29896516250523086
2011-10-17,17.47,26.3961797752809,-0.3381618041425811
2011-10-18,18.09,26.1061797752809,-0.30706062105920084
2011-10-19,17.8,26.5561797752809,-0.32972286862703615
2011-10-20,18.25,26.976179775280897,-0.32347722501749354
2011-10-21,18.67,26.226179775280897,-0.2881159147091207
2011-10-24,17.92,24.796179775280898,-0.27730803041425367
2011-10-25,16.49,25.6761797752809,-0.3577705038552763
2011-10-26,17.37,26.976179775280897,-0.35609859718103354
2011-10-27,18.67,26.9661797752809,-0.3076512818803411
2011-10-28,18.66,26.2561797752809,-0.28931016775077023
2011-10-31,17.95,26.3061797752809,-0.317650827549386
2011-11-01,18.0,27.476179775280897,-0.34488709321250677
