DE,dcf,Deviation
19.72,35.38000005163529,-0.44262295163313536
20.75,35.360000051635296,-0.41317873388859416
20.73,35.2300000516353,-0.4115810397497357
20.6,35.2500000516353,-0.4156028377354757
20.62,35.6200000516353,-0.42111173581951344
20.99,35.18000005163529,-0.40335417938624163
20.55,35.300000051635294,-0.41784702634729853
20.67,35.100000051635284,-0.41111111197742
20.47,35.20000005163531,-0.4184659099439685
20.57,35.0800000516353,-0.41362599858259974
20.45,34.72000005163529,-0.41100230502341784
20.09,35.4600000516353,-0.4334461373168127
20.83,35.26000005163529,-0.4092456049490577
20.63,35.97000005163529,-0.42646650068430825
21.34,36.14000005163528,-0.40951853985859654
21.51,36.050000051635294,-0.40332871097945344
21.42,35.9800000516353,-0.4046692615547549
21.35,36.38000005163529,-0.41313908824361556
21.75,36.4600000516353,-0.403455842863487
21.83,36.64000005163528,-0.40420305760819175
22.01,35.48000005770833,-0.3796505083370725
21.63,35.83000005770833,-0.39631593733847614
21.98,35.850000057708336,-0.3868898196759154
22.0,35.84000005770832,-0.386160715274097
21.99,36.00000005770833,-0.38916666764583807
22.15,35.68000005770833,-0.3792040368785061
21.83,36.09000005770832,-0.395123303821181
22.24,36.20000005770834,-0.3856353600954133
22.35,35.94000005770833,-0.3781302180269078
22.09,36.100000057708336,-0.3880886436374622
22.25,36.170000057708336,-0.38484932362453195
22.32,36.05000005770833,-0.3808599177733576
22.2,35.66000005770833,-0.3774537306765594
21.81,35.560000057708336,-0.38667041719331363
21.71,35.560000057708336,-0.3894825656701897
21.71,35.98000005770833,-0.3966092283163055
22.13,35.68000005770833,-0.37976457499419136
21.83,35.850000057708336,-0.39107392008759034
22.0,35.59000005770832,-0.38184883494443567
21.74,35.22000005770834,-0.38273708221525327
21.37,35.68000005770833,-0.40106502339023353
21.83,36.05000005770833,-0.39445215076130813
22.2,36.40000005770834,-0.39010989107680627
22.55,36.64000005770833,-0.3845524027160604
22.79,36.780000057708335,-0.3803697671494788
22.93,36.64000005770833,-0.3741812236930937
22.79,36.40000005770834,-0.37390109989371234
22.55,36.33000005770833,-0.3793008542752412
22.48,36.770000057708344,-0.38863203794617984
22.92,36.990000057708336,-0.3803730747704146
23.14,36.71000005770833,-0.3696540462101937
22.86,37.770000057708344,-0.3947577451662041
23.92,37.86000005770834,-0.36819862748178045
24.01,37.51000005770833,-0.35990402657794907
23.66,37.13000005770834,-0.3627794246370304
23.28,37.280000057708335,-0.3755364816533463
23.43,37.33000005770833,-0.37235467549478607
23.48,37.270000057708344,-0.37000268409863435
23.42,36.90000005770834,-0.3653116541091276
23.05,36.850000057708336,-0.37449118144089744
23.0,36.66000005770833,-0.3726132033880373
22.81,36.70000005770834,-0.37847411541872555
22.85,36.89000005770833,-0.3805909470248051
23.04,37.100000057708336,-0.3789757422058835
23.25,36.97000005770834,-0.3711117131807439
23.12,37.04000005770834,-0.375809936177672
23.19,36.90000005770834,-0.371544716430003
23.05,36.44000005770833,-0.36745334897099924
22.59,36.350000057708336,-0.3785419542190732
22.5,36.93000005770833,-0.3907392373452321
23.08,36.84000005770832,-0.37350705852752064
22.99,36.350000057708336,-0.3675378276890878
22.5,36.05000005770833,-0.37586685259411046
22.2,36.73000005770833,-0.39558943737760754
22.88,37.16000005770833,-0.38428417749009514
23.31,36.80000005770833,-0.36657608794983254
22.95,37.94000005770833,-0.3950975233238775
24.09,37.84000005770832,-0.3633720939941525
23.99,37.770000057708344,-0.3648398209333874
23.92,38.79000005770834,-0.3833462241708189
24.94,38.55000005770833,-0.35304799059233516
24.7,38.90000005770834,-0.3650385613532795
25.05,38.920000057708336,-0.3563720461753005
25.07,39.240000057708336,-0.3611111120506936
25.39,40.93659097168385,-0.37977248722145773
25.37,40.816590971683844,-0.3784390269731194
25.25,40.22659097168384,-0.3723057462718158
24.66,40.04659097168384,-0.3842172479191399
24.48,40.46659097168384,-0.3950565290481307
24.9,41.15659097168385,-0.39499362284083606
25.59,41.05659097168385,-0.3767139600643157
25.49,42.316590971683844,-0.39763578741357886
26.75,43.066590971683844,-0.378868877325627
27.5,43.10659097168385,-0.3620465135351486
27.54,43.10659097168385,-0.3611185811911998
27.54,43.55659097168385,-0.36771911240933075
27.99,43.636590971683844,-0.35856584172299466
28.07,43.87659097168384,-0.3602511184582404
28.31,44.59659097168384,-0.3651981153004463
29.03,44.11659097168384,-0.341970914782766
28.55,43.67659097168384,-0.346331768005672
28.11,43.52659097168384,-0.35418787981151756
27.96,43.52659097168384,-0.3576340490761305
27.96,43.61659097168384,-0.35895952945630705
28.05,43.816590971683844,-0.35983153006752366
28.25,43.53659097168385,-0.3511205317298782
27.97,43.316590971683844,-0.35428898321467517
27.75,43.61659097168384,-0.36377421110202146
28.05,43.35659097168385,-0.35303954090118783
27.79,43.736590971683846,-0.36460525654612785
28.17,43.52659097168384,-0.3528094121056723
27.96,42.86659097168384,-0.3477437937980795
27.3,42.496590971683844,-0.35759552999932565
26.93,42.566590971683844,-0.367344215609975
27.0,42.58659097168385,-0.36599762075455844
27.02,43.04659097168384,-0.37230801812450554
27.48,43.10659097168385,-0.362510479707123
27.54,43.61659097168384,-0.3685888927477359
28.05,43.40659097168385,-0.35378477387689056
27.84,42.96659097168384,-0.3520547157593368
27.4,42.94659097168384,-0.3619982545747168
27.38,42.46659097168384,-0.35525787746285975
26.9,42.316590971683844,-0.3643155230060914
26.75,41.68659097168385,-0.3583068469626053
26.12,41.92659097168384,-0.3770063486048558
26.36,42.22659097168384,-0.3757488020362242
26.66,43.416590971683846,-0.3859490253993557
27.85,43.53659097168385,-0.3603082056168888
27.97,43.64659097168384,-0.3591710285427374
28.08,43.55659097168385,-0.35532144794676856
27.99,43.75659097168385,-0.3603249389763217
28.19,43.816590971683844,-0.3566363933191976
28.25,44.496590971683844,-0.3651199028263229
28.93,44.28659097168385,-0.34675486721257487
28.72,44.44659097168384,-0.35383120792555234
28.88,44.46659097168384,-0.350523632036675
28.9,45.00659097168385,-0.3578718277466828
29.44,44.02659097168384,-0.33131320526418584
28.46,44.04659097168384,-0.3538660002474191
28.48,43.886590971683844,-0.35105463036817697
28.32,43.826590971683835,-0.3538169551380935
28.26,43.816590971683844,-0.3550388249450346
28.25,43.96659097168384,-0.3574666724060077
28.4,44.09659097168384,-0.3559592845116585
28.53,44.17659097168384,-0.3541828517667408
28.61,44.71659097168384,-0.3601927298501605
29.15,45.25659097168385,-0.35589492327783645
29.69,45.64659097168384,-0.34956807577552207
30.08,45.87659097168384,-0.3443279162009637
30.31,48.22962675409011,-0.3715481118163627
30.23,48.5996267540901,-0.37797876199829317
30.6,48.66962675409011,-0.3712711183381239
30.67,48.95962675409012,-0.37356548582270777
30.96,48.409626754090105,-0.3604577833811907
30.41,48.19962675409011,-0.36908225129732
30.2,47.96962675409011,-0.37043495971281426
29.97,48.82962675409011,-0.3862332769625435
30.83,49.489626754090104,-0.3770411695931404
31.49,49.009626754090114,-0.35747317240337906
31.01,48.259626754090114,-0.35743390312541456
30.26,48.24962675409011,-0.3728448894698472
30.25,48.0696267540901,-0.3707044959023711
30.07,47.82962675409011,-0.371310168180884
29.83,47.8196267540901,-0.3761975568441972
29.82,48.0996267540901,-0.3800367692569613
30.1,48.71962675409011,-0.3821791748954019
30.72,48.549626754090106,-0.3672453929336962
30.55,48.61962675409011,-0.37165293031728197
30.62,48.83962675409011,-0.37305008176714405
30.84,48.32962675409011,-0.3618820985951432
30.33,48.399626754090114,-0.37334227484642957
30.4,48.47962675409011,-0.3729324659572545
30.48,48.99962675409011,-0.37795444538859135
31.0,49.16962675409011,-0.3695294830070821
31.17,49.019626754090105,-0.3641322453072485
31.02,48.74962675409011,-0.3636874358756519
30.75,49.259626754090114,-0.37575653681852605
31.26,49.16962675409011,-0.3642416657677866
31.17,49.259626754090114,-0.3672302846384864
31.26,50.0096267540901,-0.3749203497615914
32.01,50.7896267540901,-0.3697531947816052
32.79,51.32962675409011,-0.36118764009155413
33.33,51.549626754090106,-0.3534385775672858
33.55,51.49962675409011,-0.34853896786086025
33.5,51.51962675409012,-0.3497623699818351
33.52,50.24962675409011,-0.33293036853708335
32.25,50.159626754090105,-0.35705263202800297
32.16,50.24962675409011,-0.3599952461859369
32.25,50.32962675409011,-0.3592243360441937
32.33,50.52962675409011,-0.36017734393054757
32.53,50.149626754090114,-0.3513411344113959
32.15,50.19962675409011,-0.35955699118060647
32.2,49.299626754090106,-0.34685103884019663
31.3,50.0996267540901,-0.3752448465607643
32.1,49.86962675409011,-0.35632163123484206
31.87,49.71962675409011,-0.35900564665083157
31.72,50.379626754090104,-0.3703804088341168
32.38,50.57962675409011,-0.35982129410669084
32.58,50.80962675409011,-0.3587829299026025
32.81,51.0096267540901,-0.35678807927428713
33.01,50.429626754090116,-0.3454244632631014
32.43,50.30962675409011,-0.35539175914551024
32.31,50.939626754090106,-0.36571973414772363
32.94,51.19962675409011,-0.3566359349022292
33.2,51.16962675409011,-0.3511776007366275
33.17,51.49962675409011,-0.3559176621145971
33.5,50.94962675409011,-0.3424878230867373
32.95,49.929626754090116,-0.34007117332795167
31.93,49.05962675409011,-0.3491593370645041
31.06,49.299626754090106,-0.3699749461607612
31.3,47.588000065391995,-0.342271161700643
31.24,47.328000065392004,-0.33992562633459233
30.98,46.848000065392,-0.3387124326170363
30.5,47.038000065392005,-0.3515880786258122
30.69,47.348000065392,-0.3518205635377576
31.0,46.868000065391996,-0.3385678937281805
30.52,46.898000065392004,-0.3492259806933221
30.55,48.598000065392,-0.3713733083893813
32.25,48.72800006539201,-0.3381628641290194
32.38,48.35800006539199,-0.330410687865209
32.01,49.848000065392,-0.3578478583291529
33.5,49.67800006539199,-0.32565723346544984
33.33,49.46800006539199,-0.32623109978287157
33.12,49.008000065392004,-0.3241919695599177
32.66,49.04800006539201,-0.3341216776126066
32.7,48.638000065392,-0.32768617221028706
32.29,48.81800006539199,-0.3385636454433333
32.47,49.19800006539201,-0.3400138225772963
32.85,48.46800006539199,-0.3222332269604794
32.12,48.99800006539199,-0.34446304018259666
32.65,48.81800006539199,-0.3311893163123205
32.47,48.87800006539201,-0.33569295068211413
32.53,48.79800006539201,-0.33337431951293073
32.45,49.258000065392004,-0.3412237614819663
32.91,49.26800006539201,-0.33202078516847666
32.92,49.708000065392,-0.3377323578359017
33.36,48.24800006539199,-0.30857237699415163
31.9,47.31800006539199,-0.32583794843579195
30.97,48.65800006539201,-0.36351679151672733
32.31,48.228000065391996,-0.330057229074581
31.88,48.74800006539199,-0.34602445316248387
32.4,49.58800006539201,-0.34661611766407374
33.24,49.42800006539199,-0.3275066772674532
33.08,49.44800006539201,-0.3310143998492622
33.1,48.828000065392004,-0.3221102655101288
32.48,49.35800006539199,-0.3419506471702898
33.01,49.33800006539201,-0.3309416685668465
32.99,49.808000065392,-0.33765660221875915
33.46,50.46800006539199,-0.33700562818725766
34.12,51.278000065392,-0.33460743483582345
34.93,51.31800006539199,-0.31934214202637623
34.97,50.99800006539199,-0.3142868356570876
34.65,50.92800006539199,-0.3196277105814267
34.58,51.43800006539202,-0.3277343606664491
35.09,52.208000065392,-0.3278807853959397
35.86,52.81800006539199,-0.3210647893596298
36.47,52.75800006539198,-0.30873043036512926
36.41,53.01800006539201,-0.31325210390636815
36.67,53.22800006539201,-0.311076877678103
36.88,52.76800006539201,-0.30109157151499055
36.42,52.638000065392,-0.3081044121213654
36.29,52.53800006539199,-0.30926186846032855
36.19,52.99800006539199,-0.31714404401398755
36.65,53.058000065392,-0.30924648583003045
36.71,52.26800006539201,-0.2976582238832084
35.92,52.10800006539199,-0.31066247111915923
35.76,53.76800006539201,-0.33492039955904795
37.42,51.94800006539201,-0.2796642805710364
35.6,51.47800006539201,-0.3084424423097699
35.13,51.90800006539201,-0.32322570787269067
35.56,50.85800006539199,-0.30079830205124447
34.51,50.19800006539201,-0.3125224121470087
33.85,50.368000065391996,-0.32794631599322843
34.02,46.2920987654321,-0.2651013691908066
34.46,46.4820987654321,-0.2586393274989708
34.65,46.3020987654321,-0.25165379272464516
34.47,45.8320987654321,-0.24790701433035234
34.0,45.2720987654321,-0.24898555783411147
33.44,44.1820987654321,-0.2431323786238213
32.35,44.282098765432096,-0.26945648688961055
32.45,44.1520987654321,-0.2650406003937007
32.32,45.1820987654321,-0.2846724503039826
33.35,45.2620987654321,-0.26318043330614826
33.43,44.8320987654321,-0.25432890896073146
33.0,44.212098765432096,-0.25359797608609447
32.38,43.9320987654321,-0.2629534916397358
32.1,43.392098765432095,-0.2602339846817421
31.56,43.282098765432096,-0.2708301838355891
31.45,43.7620987654321,-0.2813415972443599
31.93,44.0520987654321,-0.27517641849437535
32.22,44.3620987654321,-0.27370433553277884
32.53,44.6620987654321,-0.27164193131967607
32.83,44.6820987654321,-0.26525385093596743
32.85,45.2020987654321,-0.2732638329368514
33.37,45.5020987654321,-0.2666272346683236
33.67,45.1120987654321,-0.25363703038794994
33.28,45.4120987654321,-0.26715565004159436
33.58,46.282098765432096,-0.27444949784600614
34.45,45.6820987654321,-0.24587527869738535
33.85,45.3220987654321,-0.25312373164373525
33.49,45.4520987654321,-0.26318033908985716
33.62,45.5020987654321,-0.261132982605605
33.67,46.1620987654321,-0.27061375239694796
34.33,45.8620987654321,-0.25145161420576456
34.03,46.0920987654321,-0.2616955853283549
34.26,46.4120987654321,-0.26183040820560843
34.58,45.9920987654321,-0.24813172418236096
34.16,46.3620987654321,-0.26319125083547934
34.53,46.4820987654321,-0.25713337140277015
34.65,46.4520987654321,-0.2540703020767444
34.62,46.712098765432096,-0.2588643859945873
34.88,45.6220987654321,-0.23545823309583014
33.79,46.4320987654321,-0.27227067269343264
34.6,46.9020987654321,-0.26229314016325045
35.07,45.7620987654321,-0.2336452884348199
33.93,45.1820987654321,-0.24903886877518966
33.35,45.3020987654321,-0.2638310164683183
33.47,44.6120987654321,-0.24975509051965095
32.78,44.2520987654321,-0.25924417339485883
32.42,44.3820987654321,-0.26952530633249416
32.55,44.282098765432096,-0.2649399891269498
32.45,44.532098765432096,-0.27131213440159674
32.7,44.4720987654321,-0.26470751532379855
32.64,44.8020987654321,-0.271462701537902
32.97,44.782098765432096,-0.26376831571257253
32.95,44.4020987654321,-0.25791796072368944
32.57,44.3220987654321,-0.26515212710544867
32.49,43.6220987654321,-0.25519402047325657
31.79,42.9320987654321,-0.2595283968368082
31.1,42.7620987654321,-0.27272044876477086
30.93,42.5220987654321,-0.27261351396078726
30.69,42.4820987654321,-0.27757806483486147
30.65,43.2420987654321,-0.29119999086395576
31.41,43.352098765432096,-0.27546760377272517
31.52,43.2420987654321,-0.27108070838603215
31.41,44.54433917047589,-0.2948598949960709
31.4,44.39433917047589,-0.29270261509191864
31.25,44.17433917047589,-0.2925757218596702
31.03,43.06433917047589,-0.2794502226734831
29.92,41.94433917047589,-0.28667370635176614
28.8,42.33433917047588,-0.31970120322357065
29.19,43.47433917047588,-0.3285694375816206
30.33,43.68433917047589,-0.3057008397989327
30.54,43.10433917047588,-0.29148664408899627
29.96,42.83433917047588,-0.30056117170939534
29.69,43.654339170475886,-0.3198843330543458
30.51,43.22433917047588,-0.2941476819421297
30.08,43.47433917047588,-0.3080975910399161
30.33,43.47433917047588,-0.30234707234842595
30.33,43.914339170475884,-0.3093372102843527
30.77,44.06433917047589,-0.3017029058133113
30.92,44.29433917047589,-0.30194240214312684
31.15,44.64433917047589,-0.30226316306189027
31.5,44.49433917047588,-0.2920447727224197
31.35,44.47433917047588,-0.2950991384080738
31.33,44.464339170475895,-0.29539040533401284
31.32,44.78433917047589,-0.30064838333826005
31.64,44.80433917047589,-0.29381839826689415
31.66,45.09433917047588,-0.29791631095176563
31.95,44.79433917047589,-0.28674023120630476
31.65,45.28433917047589,-0.30108287810380796
32.14,45.25433917047588,-0.2897918610870298
32.11,45.20433917047589,-0.28966996113125654
32.06,44.874339170475885,-0.28556050980037173
31.73,44.85433917047588,-0.2925990977281996
31.71,45.35433917047588,-0.300838672110074
32.21,45.35433917047588,-0.2898143686113366
32.21,45.63433917047588,-0.2941718761463088
32.49,45.654339170475886,-0.2883480389743349
32.51,45.19433917047589,-0.28066212280767666
32.05,45.18433917047589,-0.2906834405815115
32.04,44.654339170475886,-0.2824885420948321
31.51,44.31433917047589,-0.28894347541137855
31.17,44.49433917047588,-0.29946144653199425
31.35,43.99433917047588,-0.2874083213633394
30.85,44.764339170475886,-0.31083535305828935
31.62,45.22433917047588,-0.3008189709349538
32.08,45.42433917047589,-0.29377068360631675
32.28,45.59433917047588,-0.29201737348783496
32.45,45.904339170475886,-0.29309514990533303
32.76,44.964339170475895,-0.2714226294798836
31.82,45.49433917047588,-0.30057232217915175
32.35,45.124339170475885,-0.2830919943717187
31.98,44.64433917047589,-0.28367178024780904
31.5,44.70433917047589,-0.295370414046886
31.56,44.234339170475884,-0.2865271508099153
31.09,42.93433917047589,-0.27587100207706783
29.79,42.89433917047589,-0.3055027638587702
29.75,43.18433917047589,-0.3110928505225484
30.04,42.53433917047589,-0.2937471091392555
29.39,42.25433917047588,-0.30445013276800936
29.11,42.33433917047588,-0.31237854256382447
29.19,42.17433917047589,-0.3078729726621434
29.03,42.54433917047589,-0.3176530517097398
29.4,42.72433917047588,-0.3118676480239979
29.58,42.49433917047588,-0.3039072832422931
29.35,43.35433917047588,-0.32302047357725094
30.21,42.99433917047588,-0.29734935847682153
29.85,43.03433917047589,-0.3063678779462037
29.89,43.569203455811284,-0.31396496540693
30.99,43.65920345581128,-0.29018402657378173
31.08,43.9692034558113,-0.29314161828664576
31.39,44.65920345581128,-0.2971213642209426
32.08,45.119203455811295,-0.2889945401758165
32.54,44.95920345581129,-0.2762327288119697
32.38,46.4992034558113,-0.30364398541211424
33.92,46.43920345581128,-0.269582648370009
33.86,47.02920345581129,-0.28002182661216224
34.45,47.0392034558113,-0.26763215639137283
34.46,46.79920345581129,-0.26366268108520696
34.22,46.589203455811294,-0.2654950619094224
34.01,46.95920345581129,-0.2757543250919178
34.38,48.02920345581129,-0.28418550535340603
35.45,47.20920345581129,-0.24908709732453171
34.63,46.93920345581128,-0.26223716104171224
34.36,47.68920345581128,-0.27950149069195707
35.11,48.92920345581129,-0.28243262672958946
36.35,49.14920345581129,-0.2604152774788854
36.57,48.63920345581129,-0.248137358309664
36.06,48.449203455811286,-0.25571531773708134
35.87,48.47920345581129,-0.26009510381713585
35.9,48.07920345581129,-0.2533154166542083
35.5,48.069203455811284,-0.26148141746026254
35.49,47.70920345581129,-0.25611837068562315
35.13,47.45920345581129,-0.25978530101734354
34.88,47.13920345581129,-0.26006386525608505
34.56,47.95920345581129,-0.2793875312828551
35.38,47.85920345581129,-0.2607482480842669
35.28,48.35920345581129,-0.27045944765741525
35.78,48.409203455811294,-0.26088434748444966
35.83,49.0392034558113,-0.2693600736748094
36.46,48.79920345581129,-0.2528566571170511
36.22,49.089203455811294,-0.2621595493476643
36.51,49.54920345581129,-0.26315667147787436
36.97,49.42920345581129,-0.25206158676923796
36.85,49.4692034558113,-0.2550921093177392
36.89,49.319203455811284,-0.25201549467333806
36.74,48.99920345581128,-0.25019189274917375
36.42,49.7892034558113,-0.2685161144961211
37.21,49.57920345581129,-0.2494837067488519
37.0,49.74920345581128,-0.256269499211892
37.17,49.77920345581129,-0.25330263604969905
37.2,49.04920345581129,-0.2415778977223616
36.47,48.17920345581129,-0.24303439276555638
35.6,47.839203455811294,-0.25584045242552067
35.26,48.319203455811284,-0.2702694275114478
35.74,47.82920345581129,-0.2527577835784016
35.25,47.6692034558113,-0.26052886466466196
35.09,47.20920345581129,-0.25671272905833054
34.63,47.57920345581129,-0.27216099714316844
35.0,47.85920345581129,-0.2686882047187491
35.28,47.99920345581128,-0.26498780271470035
35.42,47.909203455811294,-0.2606848487333049
35.33,47.60920345581129,-0.25791659100552466
35.03,47.2192034558113,-0.2581408105966506
34.64,46.57920345581129,-0.25632047287235726
34.0,46.40920345581128,-0.2673866934093526
33.83,46.63920345581129,-0.27464455879799665
34.06,46.42920345581129,-0.2664099862833874
33.85,46.119203455811295,-0.2660324232955784
33.54,46.569203455811284,-0.27978153992207466
33.99,47.29920345581129,-0.28138324714591123
34.72,46.63581082219314,-0.2555077442016431
35.15,46.555810822193145,-0.24499220657447984
35.07,46.63581082219314,-0.2480027819456112
35.15,46.155810822193146,-0.2384490842245417
34.67,45.615810822193154,-0.2399565112381552
34.13,45.63581082219314,-0.2521224147199276
34.15,45.28581082219314,-0.2459006611566693
33.8,45.53581082219314,-0.25772706382716637
34.05,46.155810822193146,-0.26228140306815495
34.67,46.155810822193146,-0.24884864153811836
34.67,44.53581082219314,-0.22152534421303938
33.05,44.835810822193146,-0.26286601281579425
33.35,44.405810822193146,-0.24897216417153378
32.92,44.77581082219315,-0.2647815998078322
33.29,44.605810822193135,-0.25368467949837326
33.12,44.88581082219314,-0.2621276213278453
33.4,45.865810822193154,-0.27178873759626865
34.38,46.77581082219315,-0.2650047236874803
35.29,47.045810822193154,-0.24988007681754154
35.56,46.97581082219316,-0.2430146627038079
35.49,47.21581082219314,-0.2483450060055219
35.73,46.75581082219315,-0.2358169097766909
35.27,47.655810822193146,-0.2599013763170538
36.17,47.235810822193145,-0.23426740495357412
35.75,47.13581082219314,-0.24155330360483196
35.65,46.365810822193154,-0.2311144921693895
34.88,45.985810822193145,-0.24150516482430673
34.5,46.185810822193154,-0.2530173361507362
34.7,45.735810822193145,-0.2412947452729547
34.25,45.45581082219314,-0.24652097541558027
33.97,45.085810822193146,-0.24654787436408876
33.6,45.365810822193154,-0.25935413936076435
33.88,45.675810822193135,-0.2582507154194128
34.19,45.805810822193145,-0.2535881499245338
34.32,45.115810822193154,-0.2392910739151014
33.63,45.02581082219315,-0.25309507178438573
33.54,45.63581082219314,-0.2650508581806732
34.15,45.52581082219315,-0.24987607286387126
34.04,44.56581082219314,-0.23618578071402307
33.08,44.63581082219314,-0.2588910251507639
33.15,45.045810822193154,-0.26408251078327427
33.56,44.605810822193135,-0.24763165647237628
33.12,44.52581082219315,-0.25616177699133813
33.04,44.69581082219314,-0.2607808339927373
33.21,44.865810822193154,-0.2597927154016245
33.38,45.155810822193146,-0.2607817378933117
33.67,44.99581082219315,-0.2517081171611414
33.51,44.69581082219314,-0.2502653071155153
33.21,44.53581082219314,-0.254307951581051
33.05,43.795810822193154,-0.24536161382695099
32.31,43.235810822193145,-0.2527028084919104
31.75,42.72581082219315,-0.25688946823899617
31.24,42.94581082219314,-0.2725716571206037
31.46,43.37581082219314,-0.27471096439069764
31.89,43.09581082219315,-0.260020883895807
31.61,43.985810822193145,-0.28135916084895496
32.5,43.77581082219315,-0.2575808559661589
32.29,43.685810822193154,-0.26085840248165626
32.2,43.02581082219315,-0.25161201184404136
31.54,42.555810822193145,-0.2588556206394339
31.07,42.155810822193146,-0.26297230692469475
30.67,42.75581082219315,-0.2826706028907724
31.27,43.374834475761894,-0.2790750586616335
31.08,43.294834475761895,-0.2821314510995585
31.0,43.5948344757619,-0.28890657866276437
31.3,43.7448344757619,-0.2844869485712038
31.45,43.63483447576189,-0.27924557574591646
31.34,43.57483447576189,-0.28077753187031396
31.28,43.064834475761906,-0.27365330946284583
30.77,43.38483447576189,-0.2907659929602707
31.09,42.544834475761895,-0.26924148646735946
30.25,42.13483447576189,-0.28206671804059547
29.84,42.194834475761894,-0.29280443042995985
29.9,43.444834475761894,-0.3117708845989189
31.15,44.28483447576189,-0.29659892898438833
31.99,44.584834475761895,-0.28249144858009856
32.29,44.5148344757619,-0.27462383314978434
32.22,44.82483447576189,-0.28120203059707216
32.53,44.8048344757619,-0.27396227704852305
32.51,44.794834475761895,-0.27424667642000367
32.5,45.294834475761895,-0.2824788880199717
33.0,45.454834475761885,-0.2740046162175167
33.16,45.374834475761894,-0.2691984360248577
33.08,45.07483447576189,-0.2661093405059952
32.78,44.78483447576189,-0.26805579648304956
32.49,44.584834475761895,-0.2712768729092654
32.29,44.92483447576189,-0.28124387375492077
32.63,44.874834475761894,-0.27286639870227614
32.58,45.124834475761894,-0.2780028917890027
32.83,45.6048344757619,-0.2801201807354762
33.31,45.694834475761894,-0.2710335778178873
33.4,45.8048344757619,-0.2708193276481776
33.51,45.82483447576189,-0.2687371294767158
33.53,45.3648344757619,-0.26088124452620165
33.07,45.7648344757619,-0.277392775942091
33.47,46.2648344757619,-0.27655636555805907
33.97,46.3548344757619,-0.267174602516113
34.06,46.3548344757619,-0.2652330574536005
34.06,45.794834475761895,-0.25624799412634325
33.5,45.464834475761904,-0.2631667884360288
33.17,45.2648344757619,-0.2672015620036865
32.97,44.97483447576189,-0.26692337205224415
32.68,45.444834475761894,-0.28088636746097173
33.15,45.5148344757619,-0.27166603192518635
33.22,45.03483447576189,-0.2623487931796603
32.74,45.3448344757619,-0.2779772960137177
33.05,45.92483447576189,-0.2803458003219793
33.63,46.0948344757619,-0.27041716534021387
33.8,46.07483447576189,-0.26641082090526413
33.78,46.67483447576189,-0.2762695276928757
34.38,47.054834475761886,-0.2693630658140076
34.76,47.134834475761906,-0.2625411675546544
34.84,46.8048344757619,-0.25563244929234696
34.51,47.004834475761896,-0.2658201994563958
34.71,47.17483447576189,-0.2642263531876564
34.88,47.254834475761896,-0.2618744645504839
34.96,48.03483447576191,-0.27219484814420236
35.74,48.1148344757619,-0.25719374514310733
35.82,47.944834475761894,-0.2528913616729973
35.65,47.964834475761904,-0.2567471484131769
35.67,47.6548344757619,-0.2514925213276651
35.36,47.554834475761886,-0.25643732356964555
35.26,48.584834475761895,-0.2742591308489364
36.29,49.004834475761896,-0.2594608187494386
36.71,49.054834475761886,-0.2516537790350001
36.76,45.33286824774343,-0.18910932793603163
36.6,45.18286824774341,-0.18995846391783822
36.45,44.952868247743424,-0.18915073896692358
36.22,44.44286824774341,-0.18502109724119642
35.71,44.52286824774341,-0.1979402629386996
35.79,44.44286824774341,-0.19469644037168465
35.71,44.54286824774343,-0.1983003923010932
35.81,44.43286824774341,-0.19406508262453503
35.7,45.18286824774341,-0.20987751808379307
36.45,45.032868247743416,-0.19059119664609636
36.3,45.1328682477434,-0.19570810787513027
36.4,41.042868247743414,-0.11312241190645067
32.31,40.992868247743424,-0.2118141183795158
32.26,40.85286824774341,-0.21033696326127738
32.12,41.2028682477434,-0.22044262047802599
32.47,41.08286824774341,-0.20964622518089393
32.35,40.77286824774341,-0.20658022380384233
32.04,40.40286824774341,-0.20698699400408282
31.67,40.65286824774341,-0.2209651774876189
31.92,40.65286824774341,-0.21481554990226703
31.92,40.73286824774341,-0.216357664629513
32.0,40.992868247743424,-0.21937640941332426
32.26,41.422868247743416,-0.22120313332581898
32.69,41.18286824774341,-0.20622333045510421
32.45,41.26286824774342,-0.21357866338400688
32.53,41.76286824774342,-0.2210784037382849
33.03,41.662868247743404,-0.2072077274279115
32.93,41.09286824774342,-0.19864440219968527
32.36,41.01286824774342,-0.21097934910269323
32.28,41.40286824774341,-0.22034387069887695
32.67,41.06286824774341,-0.2043906966534086
32.33,40.472868247743406,-0.20119325860225934
31.74,40.05286824774342,-0.2075473895233899
31.32,40.01286824774342,-0.2172518149391519
31.28,39.532868247743416,-0.20875966287152714
30.8,39.242868247743424,-0.21514401532637495
30.51,38.93286824774341,-0.21634337840576656
30.2,39.222868247743406,-0.23004101053375958
30.49,39.01286824774342,-0.21846300030084054
30.28,39.172868247743416,-0.2270160099460089
30.44,39.64286824774341,-0.23214435923836718
30.91,39.15286824774341,-0.2105303804458437
30.42,39.032868247743416,-0.22065681141024895
30.3,39.33286824774341,-0.22965190819160874
30.6,39.542868247743414,-0.22615628668397758
30.81,39.12286824774341,-0.21248105315547505
30.39,38.77286824774341,-0.21620449109362172
30.04,38.912868247743404,-0.2280188700368535
30.18,39.292868247743414,-0.2319216858969506
30.56,38.972868247743406,-0.2158647445259697
