DE,dcf,Deviation
5.44,,
5.4,,
5.21,,
5.36,,
5.38,,
5.24,,
5.21,,
5.4,,
5.38,,
5.32,,
5.23,,
5.3,,
5.38,,
5.31,,
5.27,,
5.25,,
4.93,,
4.61,,
4.76,,
4.65,,
4.57,,
4.58,,
4.71,,
4.81,,
4.72,,
4.31,,
4.47,,
4.31,,
4.35,,
4.52,,
4.33,,
4.33,,
4.51,,
4.56,,
4.4,,
4.17,,
4.32,,
4.41,,
4.14,,
4.02,,
3.92,,
3.94,,
4.22,,
4.34,,
4.48,,
4.22,,
4.16,,
4.07,,
4.13,,
4.14,,
4.22,,
4.23,,
4.33,,
4.33,,
4.27,,
4.45,,
4.35,,
4.28,,
4.21,,
4.23,,
4.44,,
4.29,,
4.04,,
3.66,,
3.69,,
3.63,,
3.71,,
3.74,,
3.64,,
3.77,,
3.9,,
3.82,,
3.79,,
3.86,,
3.92,,
3.82,,
3.83,,
3.81,,
3.8,,
3.86,,
3.89,,
3.82,,
3.69,,
3.61,,
3.67,,
3.67,,
3.56,,
3.39,,
3.43,,
3.55,,
3.64,,
3.73,,
3.69,,
3.85,,
3.83,,
3.81,,
3.8,,
3.94,,
3.88,,
3.8,,
3.76,,
3.79,,
3.94,,
3.95,,
3.85,,
3.85,,
3.85,,
3.85,,
3.8,,
3.81,,
3.74,,
3.69,,
3.67,,
3.73,,
3.72,,
3.63,,
3.58,,
3.56,,
3.52,,
3.33,,
3.38,,
3.41,,
3.28,,
3.25,,
3.27,,
3.26,,
3.21,,
3.28,,
3.32,,
3.35,,
3.35,,
3.38,,
3.39,,
3.4,,
3.35,,
3.43,,
3.38,,
3.25,,
3.22,,
3.2,,
3.19,,
3.15,,
3.23,,
3.19,,
3.23,,
3.2,,
3.21,,
3.18,,
3.25,,
3.21,,
3.19,,
3.2,,
3.23,,
3.18,,
3.16,,
3.01,,
2.92,,
2.85,,
2.84,,
2.92,,
3.03,,
2.96,,
3.13,,
3.08,,
3.28,,
3.34,,
3.27,,
3.33,,
3.38,,
3.4,,
3.42,,
3.45,,
3.5,,
3.43,,
3.35,,
3.4,,
3.41,,
3.41,,
3.4,,
3.42,,
3.5,,
3.46,,
3.41,,
3.44,,
3.34,,
3.15,,
3.13,,
3.06,,
2.97,,
2.99,,
2.92,,
2.89,,
3.04,,
3.07,,
3.04,,
3.14,,
3.13,,
3.21,,
3.23,,
3.3,,
3.21,,
3.08,,
2.96,,
2.99,,
2.95,,
2.97,,
3.0,,
2.95,,
2.96,,
3.04,,
3.13,,
2.96,,
2.92,,
2.83,,
2.71,,
2.63,,
2.63,,
2.6,,
2.54,,
2.57,,
2.58,,
2.56,,
2.54,,
2.54,,
2.5,,
2.5,,
2.45,,
2.48,,
2.44,,
2.33,,
2.38,,
2.51,,
2.5,,
2.52,,
2.5,,
2.47,,
2.42,,
2.57,,
2.6,,
2.63,,
2.7,,
2.71,,
2.76,,
2.73,,
2.7,,
2.64,,
2.56,,
2.44,,
2.52,,
2.58,,
2.52,,
2.52,,
2.68,,
2.71,,
2.83,,
2.96,,
2.99,,
3.0,,
3.02,,
3.11,,
3.17,,
3.4,,
3.5,,
3.3,,
3.24,,
3.25,,
3.29,,
3.26,,
3.5,,
3.48,,
3.54,,
3.54,,
3.47,,
3.57,,
3.65,,
3.66,,
3.68,,
3.74,,
3.58,,
3.56,,
3.6,,
3.46,,
3.25,,
3.21,,
3.26,,
3.27,,
3.29,,
3.28,,
3.35,,
3.43,,
3.43,,
3.27,,
3.13,,
3.04,,
3.02,,
3.06,,
3.23,,
3.25,,
3.24,,
3.23,,
3.16,,
3.23,,
3.31,,
3.38,,
3.36,,
3.31,,
3.33,,
3.4,,
3.42,,
3.43,,
3.48,,
3.55,,
3.57,,
3.46,,
3.43,,
3.35,,
3.24,,
3.3,,
