date,WM,dcf,Deviation
1988-06-22,4.63,,
1988-06-23,4.25,,
1988-06-24,4.38,,
1988-06-27,4.25,,
1988-06-28,4.0,,
1988-06-29,4.13,,
1988-06-30,4.38,,
1988-07-01,4.75,,
1988-07-05,4.63,,
1988-07-06,4.5,,
1988-07-07,4.5,,
1988-07-08,4.38,,
1988-07-11,4.38,,
1988-07-12,4.38,,
1988-07-13,4.5,,
1988-07-14,4.38,,
1988-07-15,4.38,,
1988-07-18,4.25,,
1988-07-19,4.13,,
1988-07-20,3.88,,
1988-07-21,4.0,,
1988-07-22,3.88,,
1988-07-25,3.88,,
1988-07-26,3.88,,
1988-07-27,3.88,,
1988-07-28,3.88,,
1988-07-29,3.88,,
1988-08-01,4.0,,
1988-08-02,3.88,,
1988-08-03,3.75,,
1988-08-04,3.63,,
1988-08-05,3.75,,
1988-08-08,3.75,,
1988-08-09,3.5,,
1988-08-10,3.25,,
1988-08-11,3.38,,
1988-08-12,3.38,,
1988-08-15,3.25,,
1988-08-16,3.13,,
1988-08-17,2.75,,
1988-08-18,2.75,,
1988-08-19,2.75,,
1988-08-22,2.63,,
1988-08-23,2.75,,
1988-08-24,2.63,,
1988-08-25,2.63,,
1988-08-26,2.88,,
1988-08-29,2.75,,
1988-08-30,2.75,,
1988-08-31,2.75,,
1988-09-01,2.75,,
1988-09-02,2.75,,
1988-09-06,2.75,,
1988-09-07,2.38,,
1988-09-08,2.88,,
1988-09-09,3.25,,
1988-09-12,3.13,,
1988-09-13,2.88,,
1988-09-14,3.0,,
1988-09-15,3.0,,
1988-09-16,3.13,,
1988-09-19,3.0,,
1988-09-20,3.0,,
1988-09-21,3.0,,
1988-09-22,2.88,,
1988-09-23,2.88,,
1988-09-26,2.88,,
1988-09-27,2.75,,
1988-09-28,2.75,,
1988-09-29,2.75,,
1988-09-30,2.63,,
1988-10-03,2.5,,
1988-10-04,2.63,,
1988-10-05,2.5,,
1988-10-06,2.63,,
1988-10-07,2.5,,
1988-10-10,2.38,,
1988-10-11,2.38,,
1988-10-12,2.38,,
1988-10-13,2.25,,
1988-10-14,2.38,,
1988-10-17,2.25,,
1988-10-18,2.25,,
1988-10-19,2.25,,
1988-10-20,2.38,,
1988-10-21,2.38,,
1988-10-24,2.25,,
1988-10-25,2.25,,
1988-10-26,2.25,,
1988-10-27,2.25,,
1988-10-28,2.38,,
1988-10-31,2.63,,
