date,LYV,dcf,Deviation
2005-12-21,10.85,,
2005-12-22,10.6,,
2005-12-23,11.95,,
2005-12-27,12.5,,
2005-12-28,13.3,,
2005-12-29,13.21,,
2005-12-30,13.1,,
2006-01-03,13.5,,
2006-01-04,13.0,,
2006-01-05,13.0,,
2006-01-06,12.93,,
2006-01-09,13.75,,
2006-01-10,13.65,,
2006-01-11,14.32,,
2006-01-12,14.4,,
2006-01-13,14.77,,
2006-01-17,14.87,,
2006-01-18,14.49,,
2006-01-19,15.22,,
2006-01-20,16.56,,
2006-01-23,17.59,,
2006-01-24,17.59,,
2006-01-25,16.73,,
2006-01-26,16.57,,
2006-01-27,17.05,,
2006-01-30,17.24,,
2006-01-31,17.75,,
2006-02-01,17.51,,
2006-02-02,17.4,,
2006-02-03,17.65,,
2006-02-06,17.64,,
2006-02-07,17.76,,
2006-02-08,17.87,,
2006-02-09,18.95,,
2006-02-10,19.07,,
2006-02-13,19.4,,
2006-02-14,19.02,,
2006-02-15,19.07,,
2006-02-16,18.5,,
2006-02-17,17.94,,
2006-02-21,18.93,,
2006-02-22,18.94,,
2006-02-23,18.71,,
2006-02-24,18.49,,
2006-02-27,17.91,,
2006-02-28,17.85,,
2006-03-01,17.79,,
2006-03-02,17.72,,
2006-03-03,17.55,,
2006-03-06,18.22,,
2006-03-07,17.95,,
2006-03-08,17.95,,
2006-03-09,18.11,,
2006-03-10,18.08,,
2006-03-13,17.98,,
2006-03-14,18.21,,
2006-03-15,18.0,,
2006-03-16,18.5,,
2006-03-17,18.51,,
2006-03-20,18.61,,
2006-03-21,18.85,,
2006-03-22,19.0,,
2006-03-23,18.85,,
2006-03-24,18.85,,
2006-03-27,18.72,,
2006-03-28,18.93,,
2006-03-29,18.99,,
2006-03-30,19.02,,
2006-03-31,19.84,25.51036315172852,-0.22227684952984728
2006-04-03,19.17,25.36036315172852,-0.24409599794341252
2006-04-04,19.02,25.34036315172852,-0.24941880721616239
2006-04-05,19.0,25.53036315172852,-0.2557881026963138
2006-04-06,19.19,25.54036315172852,-0.24864028416521322
2006-04-07,19.2,25.40036315172852,-0.24410529545151716
2006-04-10,19.06,25.34036315172852,-0.2478402978727685
2006-04-11,19.0,25.51036315172852,-0.25520464420701094
2006-04-12,19.17,25.54036315172852,-0.24942335838703156
2006-04-13,19.2,25.730363151728522,-0.25379988277739574
2006-04-17,19.39,25.64036315172852,-0.2437704612349516
2006-04-18,19.3,25.58036315172852,-0.245515011435799
2006-04-19,19.24,25.57036315172852,-0.2475664156259978
2006-04-20,19.23,25.50036315172852,-0.2458930923618431
2006-04-21,19.16,25.59036315172852,-0.25128065254885523
2006-04-24,19.25,25.55036315172852,-0.24658605102066
2006-04-25,19.21,25.700363151728517,-0.2525397448048121
2006-04-26,19.36,25.490363151728516,-0.24049728578750407
2006-04-27,19.15,25.34036315172852,-0.24428865185013204
2006-04-28,19.0,25.75036315172852,-0.2621463282654869
2006-05-01,19.41,25.700363151728517,-0.2447577536002813
2006-05-02,19.36,25.730363151728522,-0.24758154846720737
2006-05-03,19.39,25.84036315172852,-0.24962354878116488
2006-05-04,19.5,26.58036315172852,-0.26637571169783225
2006-05-05,20.24,26.480363151728522,-0.23566002913072515
2006-05-08,20.14,27.34036315172852,-0.2633601869795682
2006-05-09,21.0,27.59036315172852,-0.23886467588287752
2006-05-10,21.25,27.29036315172852,-0.2213368549969602
2006-05-11,20.95,27.40036315172852,-0.23541159348910334
2006-05-12,21.06,28.03036315172852,-0.24867188177327226
2006-05-15,21.69,27.950363151728517,-0.22398146019585297
2006-05-16,21.61,27.15036315172852,-0.20406221164580607
2006-05-17,20.81,28.00036315172852,-0.25679535343043025
2006-05-18,21.66,28.14036315172852,-0.23028711878334318
2006-05-19,21.8,27.65036315172852,-0.21158359185466225
2006-05-22,21.31,27.75036315172852,-0.23208212146684515
2006-05-23,21.41,27.57036315172852,-0.22344149468855645
2006-05-24,21.23,28.39036315172852,-0.25221104476405987
2006-05-25,22.05,29.680363151728518,-0.2570845616922359
2006-05-26,23.34,28.990363151728516,-0.1949048765672885
2006-05-30,22.65,29.14036315172852,-0.2227276001309384
2006-05-31,22.8,29.80036315172852,-0.23490865249145376
2006-06-01,23.46,30.02036315172852,-0.21853043944109607
2006-06-02,23.68,30.240363151728516,-0.21694062068012998
2006-06-05,23.9,30.61036315172852,-0.2192186717441671
2006-06-06,24.27,30.92036315172852,-0.2150803701461944
2006-06-07,24.58,30.470363151728517,-0.19331450440538556
2006-06-08,24.13,30.09036315172852,-0.1980821275460789
2006-06-09,23.75,29.37036315172852,-0.19136171802485002
2006-06-12,23.03,28.38036315172852,-0.18852342104025022
