date,EVRG,dcf,Deviation
1973-02-21,13.06,,
1973-02-22,12.94,,
1973-02-23,12.63,,
1973-02-26,12.81,,
1973-02-27,12.81,,
1973-02-28,12.63,,
1973-03-01,12.56,,
1973-03-02,12.31,,
1973-03-05,12.38,,
1973-03-06,12.38,,
1973-03-07,12.5,,
1973-03-08,12.56,,
1973-03-09,12.38,,
1973-03-12,12.5,,
1973-03-13,12.38,,
1973-03-14,12.31,,
1973-03-15,12.31,,
1973-03-16,12.19,,
1973-03-19,12.5,,
1973-03-20,12.5,,
1973-03-21,12.44,,
1973-03-22,12.38,,
1973-03-23,12.38,,
1973-03-26,12.38,,
1973-03-27,12.44,,
1973-03-28,12.38,,
1973-03-29,12.31,,
1973-03-30,12.31,,
1973-04-02,12.06,,
1973-04-03,12.31,,
1973-04-04,12.38,,
1973-04-05,12.38,,
1973-04-06,12.31,,
1973-04-09,12.13,,
1973-04-10,12.31,,
1973-04-11,12.44,,
1973-04-12,12.31,,
1973-04-13,12.31,,
1973-04-16,12.56,,
1973-04-17,12.5,,
1973-04-18,12.44,,
1973-04-19,12.56,,
1973-04-23,12.5,,
1973-04-24,12.38,,
1973-04-25,12.19,,
1973-04-26,12.31,,
1973-04-27,12.38,,
1973-04-30,12.38,,
1973-05-01,12.38,,
1973-05-02,12.25,,
1973-05-03,12.44,,
1973-05-04,12.31,,
1973-05-07,12.38,,
1973-05-08,12.44,,
1973-05-09,12.38,,
1973-05-10,12.25,,
1973-05-11,12.25,,
1973-05-14,12.38,,
1973-05-15,12.44,,
1973-05-16,12.38,,
1973-05-17,12.38,,
1973-05-18,12.38,,
1973-05-21,12.13,,
1973-05-22,12.06,,
1973-05-23,11.94,,
1973-05-24,12.0,,
1973-05-25,12.06,,
1973-05-29,12.06,,
1973-05-30,12.0,,
1973-05-31,12.13,,
1973-06-01,12.06,,
1973-06-04,12.0,,
1973-06-05,12.19,,
1973-06-06,12.31,,
1973-06-07,12.44,,
1973-06-08,12.38,,
1973-06-11,12.19,,
1973-06-12,12.38,,
1973-06-13,12.44,,
1973-06-14,12.44,,
1973-06-15,12.19,,
1973-06-18,12.19,,
1973-06-19,12.31,,
1973-06-20,12.19,,
1973-06-21,12.19,,
1973-06-22,12.44,,
1973-06-25,12.31,,
1973-06-26,12.25,,
1973-06-27,12.19,,
1973-06-28,12.19,,
1973-06-29,12.0,,
1973-07-02,11.75,,
1973-07-03,11.88,,
1973-07-05,12.0,,
1973-07-06,12.06,,
1973-07-09,12.31,,
1973-07-10,12.25,,
1973-07-11,12.5,,
1973-07-12,12.31,,
1973-07-13,12.31,,
1973-07-16,12.06,,
1973-07-17,12.25,,
1973-07-18,12.13,,
1973-07-19,12.38,,
1973-07-20,12.25,,
1973-07-23,12.44,,
1973-07-24,12.13,,
1973-07-25,12.13,,
1973-07-26,12.19,,
1973-07-27,12.06,,
1973-07-30,12.06,,
1973-07-31,11.81,,
1973-08-01,11.63,,
1973-08-02,11.44,,
1973-08-03,11.38,,
1973-08-06,11.0,,
1973-08-07,11.0,,
1973-08-08,10.88,,
1973-08-09,11.0,,
1973-08-10,10.81,,
1973-08-13,10.75,,
1973-08-14,10.81,,
1973-08-15,10.81,,
1973-08-16,10.94,,
1973-08-17,10.94,,
1973-08-20,10.88,,
1973-08-21,10.94,,
1973-08-22,10.81,,
1973-08-23,10.69,,
1973-08-24,10.75,,
1973-08-27,10.81,,
1973-08-28,10.81,,
1973-08-29,11.13,,
1973-08-30,11.06,,
1973-08-31,10.81,,
1973-09-04,10.88,,
1973-09-05,10.75,,
1973-09-06,11.06,,
1973-09-07,11.13,,
1973-09-10,11.25,,
1973-09-11,11.38,,
1973-09-12,11.19,,
1973-09-13,11.25,,
1973-09-14,11.25,,
1973-09-17,10.94,,
1973-09-18,11.25,,
1973-09-19,11.19,,
1973-09-20,11.0,,
1973-09-21,11.13,,
1973-09-24,11.75,,
1973-09-25,12.0,,
1973-09-26,11.88,,
1973-09-27,11.81,,
1973-09-28,11.5,,
1973-10-01,11.63,,
1973-10-02,11.75,,
1973-10-03,11.5,,
1973-10-04,11.38,,
1973-10-05,11.44,,
1973-10-08,11.19,,
1973-10-09,11.25,,
1973-10-10,11.5,,
1973-10-11,11.5,,
1973-10-12,11.5,,
1973-10-15,11.69,,
1973-10-16,11.5,,
1973-10-17,11.06,,
1973-10-18,11.25,,
1973-10-19,11.0,,
1973-10-22,10.94,,
1973-10-23,10.88,,
1973-10-24,10.81,,
1973-10-25,10.88,,
1973-10-26,10.69,,
1973-10-29,10.88,,
1973-10-30,10.81,,
