date,PSX,dcf,Deviation
2020-07-31,62.02,,
2020-07-30,63.09,64.78654318050505,-0.026186660025651065
2020-07-29,65.580002,65.85654318050504,-0.004199145098568002
2020-07-28,63.580002,68.34654518050505,-0.06974080647260927
2020-07-27,64.589996,66.34654518050505,-0.026475367718486464
2020-07-24,65.059998,67.35653918050504,-0.03409529658806654
2020-07-23,65.18,67.82654118050505,-0.039019256097135635
2020-07-22,65.25,67.94654318050505,-0.03968624530818998
2020-07-21,66.419998,68.01654318050505,-0.023472895061251053
2020-07-20,62.330002,69.18654118050505,-0.0991022106830951
2020-07-17,63.84,65.09654518050505,-0.019302793673931395
2020-07-16,64.870003,66.60654318050504,-0.026071615453739816
2020-07-15,65.459999,67.63654618050505,-0.03218004619420389
2020-07-14,61.959999,68.22654218050505,-0.09184905141353683
2020-07-13,60.27,64.72654218050505,-0.06885185011238415
2020-07-10,61.060001,63.03654318050505,-0.03135549763325729
2020-07-09,58.98,63.82654418050505,-0.0759330501554143
2020-07-08,63.98,61.74654318050505,0.03617136611139249
2020-07-07,64.610001,66.74654318050504,-0.03200978026273393
2020-07-06,68.089996,67.37654318050505,0.01058903864485261
2020-07-02,68.419998,70.85654318050504,-0.03438701736123373
2020-07-01,69.110001,71.18654318050504,-0.029170431485057935
2020-06-30,71.900002,71.87654318050505,0.0003263765681669195
2020-06-29,68.660004,74.66654318050504,-0.08044485420979441
2020-06-26,68.07,71.42654318050505,-0.046992938913795634
2020-06-25,70.07,70.83654318050505,-0.010821295705406686
2020-06-24,69.989998,72.83654318050505,-0.0390812778339944
2020-06-23,74.699997,72.75654318050505,0.026711739378179944
2020-06-22,74.400002,77.46654318050504,-0.03958536233325505
2020-06-19,74.699997,77.16654318050504,-0.0319639325392016
2020-06-18,76.239998,77.46654318050504,-0.015833224643147736
2020-06-17,72.879997,79.00654318050505,-0.07754479482171261
2020-06-16,77.040001,75.64654318050505,0.018420641061812182
2020-06-15,75.599998,79.80654318050505,-0.05270927686957638
2020-06-12,77.26,78.36654318050505,-0.014120096862717202
2020-06-11,75.0,80.02654318050504,-0.0628109497266095
2020-06-10,84.33,77.76654318050505,0.08439949303468985
2020-06-09,85.67,87.09654318050505,-0.01637887255236503
2020-06-08,89.73,88.43654318050504,0.014625818388841028
2020-06-05,87.4,92.49654318050504,-0.05509982325025098
2020-06-04,83.13,90.16654318050504,-0.07803940277957144
2020-06-03,83.73,85.89654318050505,-0.02522270513205893
2020-06-02,81.57,86.49654318050504,-0.05695653258910138
2020-06-01,78.83,84.33654318050505,-0.0652924932993687
2020-05-29,78.26,81.59654318050505,-0.04089074181885455
2020-05-28,78.56,81.02654318050504,-0.030441174998793397
2020-05-27,81.73,81.32654318050504,0.004960948833143908
2020-05-26,78.97,84.49654318050504,-0.06540555355855227
2020-05-22,76.46,81.73654318050505,-0.06455549715202002
2020-05-21,77.09,79.22654318050505,-0.026967517384133166
2020-05-20,78.25,79.85654318050504,-0.020117865318483252
2020-05-19,75.22,81.01654318050505,-0.07154764882513365
2020-05-18,76.28,77.98654318050505,-0.021882533971984697
2020-05-15,70.93,79.04654318050504,-0.10268055823732447
2020-05-14,71.75,73.69654318050505,-0.02641295095398677
2020-05-13,71.03,74.51654318050505,-0.04678884757253743
2020-05-12,73.53,73.79654318050504,-0.003611865393926106
2020-05-11,76.67,76.29654318050504,0.004894806552525166
2020-05-08,77.06,79.43654318050504,-0.029917505034235625
2020-05-07,73.31,79.82654318050504,-0.08163378897379692
2020-05-06,71.91,76.07654318050504,-0.05476777737678207
2020-05-05,75.2,74.67654318050505,0.007009655203638276
2020-05-04,73.48,77.96654318050504,-0.05754446711992822
2020-05-01,66.36,76.24654318050504,-0.12966546112260824
2020-04-30,73.17,69.12654318050505,0.05849354869281642
2020-04-29,73.5,75.93654318050504,-0.032086569633717144
2020-04-28,67.34,76.26654318050505,-0.11704402491900034
2020-04-27,63.49,70.10654318050504,-0.09437839722704999
2020-04-24,60.53,66.25654318050505,-0.08642985138696446
2020-04-23,59.97,63.29654318050505,-0.052554894996692414
2020-04-22,58.18,62.736543180505045,-0.0726298095098259
2020-04-21,56.8,60.946543180505046,-0.0680357402424655
2020-04-20,58.12,59.56654318050505,-0.024284490978796258
