date,LRCX,dcf,Deviation
1985-04-23,2.25,,
1985-04-24,2.22,,
1985-04-25,2.25,,
1985-04-26,2.25,,
1985-04-29,2.17,,
1985-04-30,2.11,,
1985-05-01,2.06,,
1985-05-02,2.11,,
1985-05-03,2.06,,
1985-05-06,2.08,,
1985-05-07,2.11,,
1985-05-08,2.11,,
1985-05-09,2.17,,
1985-05-10,2.22,,
1985-05-13,2.19,,
1985-05-14,2.22,,
1985-05-15,2.17,,
1985-05-16,2.22,,
1985-05-17,2.33,,
1985-05-20,2.31,,
1985-05-21,2.31,,
1985-05-22,2.28,,
1985-05-23,2.28,,
1985-05-24,2.22,,
1985-05-28,2.25,,
1985-05-29,2.25,,
1985-05-30,2.25,,
1985-05-31,2.17,,
1985-06-03,2.11,,
1985-06-04,2.08,,
1985-06-05,1.97,,
1985-06-06,2.0,,
1985-06-07,2.06,,
1985-06-10,2.0,,
1985-06-11,1.97,,
1985-06-12,2.0,,
1985-06-13,1.92,,
1985-06-14,1.92,,
1985-06-17,1.89,,
1985-06-18,1.89,,
1985-06-19,1.89,,
1985-06-20,1.89,,
1985-06-21,1.92,,
1985-06-24,1.92,,
1985-06-25,2.06,,
1985-06-26,2.11,,
1985-06-27,2.11,,
1985-06-28,2.11,,
1985-07-01,2.08,,
1985-07-02,2.03,,
1985-07-03,1.97,,
1985-07-05,1.97,,
1985-07-08,1.92,,
1985-07-09,1.94,,
1985-07-10,1.97,,
1985-07-11,2.0,,
1985-07-12,1.94,,
1985-07-15,1.94,,
1985-07-16,2.06,,
1985-07-17,2.11,,
1985-07-18,2.14,,
1985-07-19,2.11,,
1985-07-22,2.06,,
1985-07-23,2.08,,
1985-07-24,2.08,,
1985-07-25,2.11,,
1985-07-26,2.11,,
1985-07-29,2.11,,
1985-07-30,2.08,,
1985-07-31,2.19,,
1985-08-01,2.22,,
1985-08-02,2.22,,
1985-08-05,2.17,,
1985-08-06,2.17,,
1985-08-07,2.08,,
1985-08-08,2.06,,
1985-08-09,2.08,,
1985-08-12,2.08,,
1985-08-13,2.06,,
1985-08-14,2.06,,
1985-08-15,2.08,,
1985-08-16,2.03,,
1985-08-19,2.0,,
1985-08-20,2.06,,
1985-08-21,2.0,,
1985-08-22,2.0,,
1985-08-23,2.08,,
1985-08-26,2.03,,
1985-08-27,2.22,,
1985-08-28,2.28,,
1985-08-29,2.22,,
