date,ABT,dcf,Deviation
1989-09-19,3.6,,
1989-09-20,3.54,,
1989-09-21,3.48,,
1989-09-22,3.51,,
1989-09-25,3.46,,
1989-09-26,3.44,,
1989-09-27,3.49,,
1989-09-28,3.59,,
1989-09-29,3.58,,
1989-10-02,3.62,,
1989-10-03,3.65,,
1989-10-04,3.7,,
1989-10-05,3.74,,
1989-10-06,3.76,,
1989-10-09,3.79,,
1989-10-10,3.82,,
1989-10-11,3.79,,
1989-10-12,3.76,,
1989-10-13,3.45,,
1989-10-16,3.65,,
1989-10-17,3.65,,
1989-10-18,3.72,,
1989-10-19,3.79,,
1989-10-20,3.77,,
1989-10-23,3.79,,
1989-10-24,3.76,,
1989-10-25,3.71,,
1989-10-26,3.69,,
1989-10-27,3.63,,
1989-10-30,3.64,,
1989-10-31,3.66,,
1989-11-01,3.68,,
1989-11-02,3.66,,
1989-11-03,3.63,,
1989-11-06,3.56,,
1989-11-07,3.6,,
1989-11-08,3.65,,
1989-11-09,3.68,,
1989-11-10,3.75,,
1989-11-13,3.72,,
1989-11-14,3.68,,
1989-11-15,3.67,,
1989-11-16,3.67,,
1989-11-17,3.71,,
1989-11-20,3.72,,
1989-11-21,3.7,,
1989-11-22,3.78,,
1989-11-24,3.89,,
1989-11-27,3.93,,
1989-11-28,3.92,,
1989-11-29,3.87,,
1989-11-30,3.89,,
1989-12-01,3.93,,
1989-12-04,3.92,,
1989-12-05,3.89,,
1989-12-06,3.84,,
1989-12-07,3.77,,
1989-12-08,3.77,,
1989-12-11,3.65,,
1989-12-12,3.64,,
1989-12-13,3.61,,
1989-12-14,3.66,,
1989-12-15,3.66,,
1989-12-18,3.65,,
1989-12-19,3.64,,
1989-12-20,3.67,,
1989-12-21,3.75,,
1989-12-22,3.77,,
1989-12-26,3.77,,
1989-12-27,3.78,,
1989-12-28,3.78,,
1989-12-29,3.82,,
1990-01-02,3.89,,
1990-01-03,3.9,,
1990-01-04,3.89,,
1990-01-05,3.85,,
1990-01-08,3.85,,
1990-01-09,3.84,,
1990-01-10,3.79,,
1990-01-11,3.82,,
1990-01-12,3.75,,
1990-01-15,3.7,,
1990-01-16,3.74,,
1990-01-17,3.7,,
1990-01-18,3.77,,
1990-01-19,3.82,,
1990-01-22,3.74,,
1990-01-23,3.7,,
1990-01-24,3.72,,
1990-01-25,3.59,,
1990-01-26,3.63,,
1990-01-29,3.62,,
1990-01-30,3.61,,
1990-01-31,3.65,,
1990-02-01,3.66,,
1990-02-02,3.69,,
1990-02-05,3.68,,
1990-02-06,3.63,,
1990-02-07,3.63,,
1990-02-08,3.62,,
1990-02-09,3.6,,
1990-02-12,3.57,,
1990-02-13,3.61,,
1990-02-14,3.64,,
1990-02-15,3.69,,
1990-02-16,3.67,,
1990-02-20,3.61,,
1990-02-21,3.58,,
1990-02-22,3.59,,
1990-02-23,3.54,,
1990-02-26,3.56,,
1990-02-27,3.56,,
1990-02-28,3.6,,
1990-03-01,3.62,,
1990-03-02,3.65,,
1990-03-05,3.61,,
1990-03-06,3.65,,
1990-03-07,3.63,,
1990-03-08,3.63,,
1990-03-09,3.63,,
1990-03-12,3.62,,
1990-03-13,3.56,,
1990-03-14,3.57,,
1990-03-15,3.59,,
1990-03-16,3.64,,
1990-03-19,3.64,,
1990-03-20,3.58,,
1990-03-21,3.56,,
1990-03-22,3.54,,
1990-03-23,3.58,,
1990-03-26,3.59,,
1990-03-27,3.64,,
1990-03-28,3.68,,
1990-03-29,3.69,,
1990-03-30,3.69,,
1990-04-02,3.67,,
1990-04-03,3.76,,
1990-04-04,3.75,,
1990-04-05,3.77,,
1990-04-06,3.79,,
1990-04-09,3.82,,
1990-04-10,3.85,,
1990-04-11,3.89,,
1990-04-12,3.89,,
1990-04-16,3.89,,
1990-04-17,3.89,,
1990-04-18,3.84,,
1990-04-19,3.79,,
1990-04-20,3.76,,
1990-04-23,3.72,,
1990-04-24,3.73,,
1990-04-25,3.76,,
1990-04-26,3.81,,
1990-04-27,3.77,,
1990-04-30,3.75,,
1990-05-01,3.79,,
1990-05-02,3.81,,
1990-05-03,3.79,,
1990-05-04,3.82,,
1990-05-07,3.84,,
1990-05-08,3.87,,
1990-05-09,3.89,,
1990-05-10,3.91,,
1990-05-11,3.98,,
1990-05-14,4.01,,
1990-05-15,3.99,,
1990-05-16,3.97,,
1990-05-17,4.01,,
1990-05-18,3.99,,
1990-05-21,4.01,,
1990-05-22,4.04,,
1990-05-23,4.1,,
1990-05-24,4.12,,
1990-05-25,4.1,,
1990-05-29,4.17,,
1990-05-30,4.16,,
1990-05-31,4.2,,
1990-06-01,4.26,,
1990-06-04,4.28,,
1990-06-05,4.25,,
1990-06-06,4.35,,
1990-06-07,4.28,,
1990-06-08,4.19,,
1990-06-11,4.24,,
1990-06-12,4.38,,
1990-06-13,4.32,,
1990-06-14,4.32,,
1990-06-15,4.33,,
1990-06-18,4.38,,
1990-06-19,4.38,,
1990-06-20,4.49,,
1990-06-21,4.57,,
1990-06-22,4.5,,
1990-06-25,4.49,,
1990-06-26,4.52,,
1990-06-27,4.59,,
1990-06-28,4.71,,
1990-06-29,4.6,,
1990-07-02,4.6,,
1990-07-03,4.69,,
1990-07-05,4.63,,
1990-07-06,4.67,,
1990-07-09,4.71,,
1990-07-10,4.8,,
1990-07-11,4.91,,
1990-07-12,4.9,,
1990-07-13,4.9,,
1990-07-16,4.98,,
1990-07-17,5.04,,
1990-07-18,4.99,,
1990-07-19,4.98,,
1990-07-20,4.99,,
1990-07-23,4.9,,
1990-07-24,4.8,,
1990-07-25,4.88,,
1990-07-26,4.83,,
1990-07-27,4.8,,
1990-07-30,4.74,,
1990-07-31,4.88,,
1990-08-01,4.83,,
1990-08-02,4.66,,
1990-08-03,4.55,,
1990-08-06,4.29,,
1990-08-07,4.46,,
1990-08-08,4.55,,
1990-08-09,4.62,,
1990-08-10,4.52,,
1990-08-13,4.64,,
1990-08-14,4.69,,
1990-08-15,4.62,,
1990-08-16,4.49,,
1990-08-17,4.5,,
1990-08-20,4.4,,
1990-08-21,4.28,,
1990-08-22,4.08,,
1990-08-23,4.01,,
1990-08-24,4.18,,
1990-08-27,4.4,,
1990-08-28,4.52,,
1990-08-29,4.57,,
1990-08-30,4.5,,
1990-08-31,4.49,,
1990-09-04,4.49,,
1990-09-05,4.55,,
1990-09-06,4.42,,
1990-09-07,4.57,,
1990-09-10,4.55,,
1990-09-11,4.55,,
1990-09-12,4.57,,
1990-09-13,4.52,,
1990-09-14,4.52,,
1990-09-17,4.53,,
1990-09-18,4.67,,
1990-09-19,4.62,,
1990-09-20,4.45,,
1990-09-21,4.35,,
1990-09-24,4.32,,
1990-09-25,4.45,,
1990-09-26,4.36,,
1990-09-27,4.26,,
1990-09-28,4.39,,
1990-10-01,4.66,,
1990-10-02,4.67,,
1990-10-03,4.63,,
1990-10-04,4.56,,
1990-10-05,4.53,,
1990-10-08,4.64,,
1990-10-09,4.52,,
1990-10-10,4.49,,
1990-10-11,4.49,,
1990-10-12,4.55,,
1990-10-15,4.62,,
1990-10-16,4.56,,
1990-10-17,4.59,,
1990-10-18,4.8,,
1990-10-19,4.85,,
1990-10-22,5.01,,
1990-10-23,4.9,,
1990-10-24,4.9,,
