date,UAL,dcf,Deviation
2006-02-06,33.9,33.005841563677826,0.02709091463694646
2006-02-07,32.99,32.01584156367783,0.030427388091130547
2006-02-08,32.0,34.51584156367783,-0.07288947479482388
2006-02-09,34.5,34.255841563677826,0.007127497827438045
2006-02-10,34.24,35.05584156367783,-0.0232726281066703
2006-02-13,35.04,35.795841563677826,-0.02111534554462835
2006-02-14,35.78,36.545841563677826,-0.020955641761413957
2006-02-15,36.53,35.715841563677834,0.022795443161281792
2006-02-16,35.7,36.94584156367783,-0.03372075207789116
2006-02-17,36.93,35.44584156367783,0.04187115810625919
2006-02-21,35.43,36.09584156367783,-0.018446489535455135
2006-02-22,36.08,36.155841563677825,-0.002097629605557816
2006-02-23,36.14,35.81584156367782,0.009050699974363363
2006-02-24,35.8,35.51584156367783,0.008000892666802928
2006-02-27,35.5,35.48584156367783,0.00039898832036322496
2006-02-28,35.47,36.115841563677826,-0.017882500745250773
2006-03-01,36.1,36.08584156367783,0.00039235433368478567
2006-03-02,36.07,36.63584156367782,-0.01544502704255657
2006-03-03,36.62,36.935841563677826,-0.008551086162022714
2006-03-06,36.92,37.23584156367783,-0.008482192167933222
2006-03-07,37.22,37.42584156367782,-0.005499984905552369
2006-03-08,37.41,37.33584156367783,0.0019862532412904255
2006-03-09,37.32,38.155841563677825,-0.02190599209515265
2006-03-10,38.14,38.23584156367783,-0.0025065896226768025
2006-03-13,38.22,39.005841563677826,-0.02014676602720966
2006-03-14,38.99,39.58584156367783,-0.015051885728369796
2006-03-15,39.57,39.28584156367783,0.007233100399836934
2006-03-16,39.27,39.21584156367783,0.001381034657492508
2006-03-17,39.2,40.16584156367783,-0.024046342017921107
2006-03-20,40.15,40.95584156367783,-0.019675863879513145
2006-03-21,40.94,42.655841563677825,-0.040225242329737454
2006-03-22,42.64,41.71584156367783,0.022153656780757425
2006-03-23,41.7,41.725841563677825,-0.000619317974411282
2006-03-24,41.71,42.32584156367783,-0.01455001344158302
2006-03-27,42.31,40.81584156367783,0.03660731664667738
2006-03-28,40.8,40.53584156367783,0.006516663429996905
2006-03-29,40.52,39.02584156367783,0.038286386057407196
2006-03-30,39.01,39.94584156367783,-0.023427759362285694
2006-03-31,39.93,53.392107668087334,-0.25213665944365193
2006-04-03,39.13,53.34210766808734,-0.2664331855149009
2006-04-04,39.08,53.60210766808734,-0.27092419122789935
2006-04-05,39.34,53.18210766808733,-0.26027753082816385
2006-04-06,38.92,53.08210766808734,-0.26679625753823477
2006-04-07,38.82,52.02210766808733,-0.2537787925149001
2006-04-10,37.76,52.56210766808733,-0.2816117603494488
2006-04-11,38.3,53.142107668087334,-0.27929091109422166
2006-04-12,38.88,53.69210766808733,-0.2758712278469768
2006-04-13,39.43,52.87210766808734,-0.2542381656595233
2006-04-17,38.61,52.132107668087336,-0.2593815648923954
2006-04-18,37.87,52.30210766808733,-0.2759374012166862
2006-04-19,38.04,51.05210766808733,-0.2548789513781661
