date,INFO,dcf,Deviation
2015-06-10,26.63,,
2015-06-11,26.76,,
2015-06-12,26.88,,
2015-06-15,26.79,,
2015-06-16,26.81,,
2015-06-17,26.57,,
2015-06-18,26.67,,
2015-06-19,26.48,,
2015-06-22,26.69,,
2015-06-23,26.72,,
2015-06-24,26.7,,
2015-06-25,26.64,,
2015-06-26,26.35,,
2015-06-29,25.63,,
2015-06-30,25.57,,
2015-07-01,26.39,,
2015-07-02,26.51,,
2015-07-06,26.34,,
2015-07-07,26.31,,
2015-07-08,26.31,,
2015-07-09,26.29,,
2015-07-10,26.26,,
2015-07-13,26.29,,
2015-07-14,26.44,,
2015-07-15,26.27,,
2015-07-16,26.44,,
2015-07-17,26.56,,
2015-07-20,26.46,,
2015-07-21,26.27,,
2015-07-22,26.42,,
2015-07-23,26.55,,
2015-07-24,26.7,,
2015-07-27,26.17,,
2015-07-28,26.29,,
2015-07-29,26.53,,
2015-07-30,26.52,,
2015-07-31,26.62,,
2015-08-03,26.53,,
2015-08-04,26.27,,
2015-08-05,26.58,,
2015-08-06,26.63,,
2015-08-07,26.73,,
2015-08-10,27.61,,
2015-08-11,27.05,,
2015-08-12,28.36,,
2015-08-13,29.43,,
2015-08-14,29.53,,
2015-08-17,29.3,,
2015-08-18,29.3,,
2015-08-19,29.53,,
2015-08-20,29.19,,
2015-08-21,28.85,,
2015-08-24,27.91,,
2015-08-25,27.98,,
2015-08-26,28.39,,
2015-08-27,28.29,,
2015-08-28,28.48,,
2015-08-31,28.58,,
2015-09-01,28.3,,
2015-09-02,28.76,,
2015-09-03,29.02,,
2015-09-04,28.79,,
2015-09-08,28.82,,
2015-09-09,28.61,,
2015-09-10,28.43,,
2015-09-11,28.75,,
2015-09-14,28.85,,
2015-09-15,29.41,,
2015-09-16,29.26,,
2015-09-17,29.37,,
2015-09-18,29.42,,
2015-09-21,29.25,,
2015-09-22,29.24,,
2015-09-23,29.39,,
2015-09-24,28.99,,
2015-09-25,28.9,,
2015-09-28,28.5,,
2015-09-29,28.44,,
2015-09-30,29.0,,
2015-10-01,29.14,,
2015-10-02,29.55,,
2015-10-05,29.9,,
2015-10-06,29.67,,
2015-10-07,29.53,,
2015-10-08,29.68,,
2015-10-09,30.0,,
2015-10-12,30.24,,
2015-10-13,29.73,,
2015-10-14,29.79,,
2015-10-15,30.64,,
2015-10-16,30.54,,
2015-10-19,30.72,,
2015-10-20,30.42,,
2015-10-21,30.29,,
2015-10-22,30.5,,
2015-10-23,30.45,,
2015-10-26,30.33,,
2015-10-27,30.25,,
2015-10-28,30.63,,
2015-10-29,30.53,,
2015-10-30,30.5,,
2015-11-02,30.49,,
2015-11-03,30.58,,
2015-11-04,30.46,,
2015-11-05,29.9,,
2015-11-06,29.44,,
2015-11-09,30.02,,
2015-11-10,29.7,,
2015-11-11,29.55,,
2015-11-12,28.96,,
2015-11-13,28.68,,
2015-11-16,28.93,,
2015-11-17,29.14,,
2015-11-18,29.07,,
2015-11-19,29.32,,
2015-11-20,29.32,,
2015-11-23,29.24,,
2015-11-24,28.98,,
2015-11-25,29.27,,
2015-11-27,29.11,,
2015-11-30,29.5,,
2015-12-01,29.9,,
2015-12-02,29.33,,
2015-12-03,28.95,,
2015-12-04,29.57,,
2015-12-07,29.44,,
2015-12-08,29.55,,
2015-12-09,29.24,,
2015-12-10,28.89,,
2015-12-11,28.9,,
2015-12-14,28.84,,
2015-12-15,28.89,,
2015-12-16,29.21,,
2015-12-17,29.48,,
2015-12-18,29.08,,
2015-12-21,29.18,,
2015-12-22,29.14,,
2015-12-23,29.54,,
2015-12-24,29.85,,
2015-12-28,29.88,,
2015-12-29,30.12,,
2015-12-30,30.35,,
2015-12-31,30.17,,
2016-01-04,29.54,,
2016-01-05,29.75,,
2016-01-06,29.33,,
2016-01-07,28.9,,
2016-01-08,28.51,,
2016-01-11,28.21,,
2016-01-12,28.41,,
2016-01-13,27.91,,
2016-01-14,27.93,,
2016-01-15,27.4,,
2016-01-19,27.08,,
2016-01-20,26.72,,
2016-01-21,27.04,,
2016-01-22,28.3,,
2016-01-25,27.97,,
2016-01-26,28.41,,
2016-01-27,28.58,,
2016-01-28,28.47,,
2016-01-29,28.36,,
2016-02-01,28.83,,
2016-02-02,28.74,,
2016-02-03,28.39,,
2016-02-04,28.3,,
2016-02-05,27.89,,
2016-02-08,27.48,,
2016-02-09,27.13,,
2016-02-10,27.0,,
2016-02-11,26.51,,
2016-02-12,27.15,,
2016-02-16,27.38,,
2016-02-17,27.92,,
2016-02-18,28.08,,
2016-02-19,28.19,,
2016-02-22,27.82,,
2016-02-23,27.53,,
2016-02-24,27.61,,
2016-02-25,27.81,,
2016-02-26,27.94,,
2016-02-29,27.82,,
2016-03-01,28.23,,
2016-03-02,28.22,,
2016-03-03,28.5,,
2016-03-04,28.57,,
2016-03-07,28.59,,
2016-03-08,28.59,,
2016-03-09,28.72,,
2016-03-10,28.97,,
2016-03-11,28.99,,
2016-03-14,29.03,,
2016-03-15,29.07,,
2016-03-16,29.25,,
2016-03-17,29.58,,
2016-03-18,29.49,,
2016-03-21,33.51,,
2016-03-22,34.29,,
2016-03-23,33.58,,
2016-03-24,34.31,,
2016-03-28,34.63,,
2016-03-29,34.95,,
2016-03-30,35.01,,
2016-03-31,35.35,,
2016-04-01,35.25,,
2016-04-04,35.24,,
2016-04-05,34.32,,
2016-04-06,34.5,,
2016-04-07,34.18,,
2016-04-08,34.21,,
2016-04-11,34.66,,
2016-04-12,34.61,,
2016-04-13,35.07,,
2016-04-14,35.26,,
2016-04-15,35.52,,
2016-04-18,35.61,,
2016-04-19,35.53,,
2016-04-20,35.03,,
2016-04-21,35.15,,
2016-04-22,35.32,,
2016-04-25,35.07,,
2016-04-26,35.08,,
2016-04-27,34.86,,
2016-04-28,34.89,,
2016-04-29,34.89,,
2016-05-02,35.37,,
2016-05-03,34.64,,
2016-05-04,34.93,,
2016-05-05,34.41,,
2016-05-06,34.5,,
2016-05-09,34.4,,
2016-05-10,34.49,,
2016-05-11,34.16,,
2016-05-12,33.89,,
2016-05-13,33.7,,
2016-05-16,33.65,,
2016-05-17,33.5,,
2016-05-18,33.99,,
2016-05-19,34.03,,
2016-05-20,34.28,,
2016-05-23,34.47,,
2016-05-24,34.41,,
2016-05-25,34.17,,
2016-05-26,33.9,,
2016-05-27,34.24,,
2016-05-31,34.37,,
2016-06-01,33.82,,
2016-06-02,33.9,,
2016-06-03,33.96,,
2016-06-06,33.76,,
2016-06-07,33.41,,
2016-06-08,33.55,,
2016-06-09,33.34,,
2016-06-10,33.1,,
2016-06-13,32.75,,
2016-06-14,32.78,,
2016-06-15,32.43,,
2016-06-16,32.41,,
2016-06-17,32.65,,
2016-06-20,32.73,,
2016-06-21,32.66,,
2016-06-22,32.3,,
2016-06-23,32.69,,
2016-06-24,31.21,,
2016-06-27,30.4,,
2016-06-28,31.3,,
2016-06-29,32.28,,
2016-06-30,32.6,,
2016-07-01,33.1,,
2016-07-05,32.55,,
2016-07-06,32.22,,
2016-07-07,31.96,,
2016-07-08,32.03,,
2016-07-11,32.66,,
2016-07-12,32.84,,
2016-07-13,36.1,,
2016-07-14,35.89,,
2016-07-15,35.16,,
2016-07-18,35.2,,
2016-07-19,36.35,,
2016-07-20,35.66,,
2016-07-21,36.2,,
2016-07-22,35.65,,
2016-07-25,35.04,,
2016-07-26,34.89,,
2016-07-27,34.61,,
2016-07-28,34.84,,
2016-07-29,34.74,,
2016-08-01,34.75,,
2016-08-02,34.63,,
2016-08-03,34.85,,
2016-08-04,34.68,,
2016-08-05,35.1,,
2016-08-08,35.11,,
2016-08-09,35.03,,
2016-08-10,35.03,,
2016-08-11,35.55,,
2016-08-12,35.26,,
2016-08-15,35.32,,
2016-08-16,35.26,,
2016-08-17,35.88,,
2016-08-18,36.24,,
2016-08-19,36.31,,
2016-08-22,36.34,,
2016-08-23,36.42,,
2016-08-24,36.42,,
2016-08-25,36.56,,
2016-08-26,37.06,,
2016-08-29,37.47,,
2016-08-30,37.24,,
2016-08-31,37.32,37.78324324324324,-0.01226054736119253
2016-09-01,37.06,38.223243243243246,-0.030432876557351607
2016-09-02,37.5,38.043243243243246,-0.014279624893435705
2016-09-06,37.32,38.483243243243244,-0.030227266342669368
2016-09-07,37.76,38.413243243243244,-0.017005677940462594
2016-09-08,37.69,37.77324324324324,-0.0022037621367907434
2016-09-09,37.05,38.27324324324324,-0.0319607940061154
2016-09-12,37.55,37.71324324324324,-0.004328538974766927
2016-09-13,36.99,37.09324324324324,-0.002783343655506476
2016-09-14,36.37,37.233243243243244,-0.023184744815371472
2016-09-15,36.51,37.38324324324324,-0.023359215720296755
2016-09-16,36.66,37.223243243243246,-0.015131492964291615
2016-09-19,36.5,37.43324324324324,-0.02493086792343835
2016-09-20,36.71,37.653243243243246,-0.02505078346504741
2016-09-21,36.93,37.49324324324324,-0.015022526581365936
2016-09-22,36.77,37.38324324324324,-0.016404227938518368
2016-09-23,36.66,36.973243243243246,-0.008472160291226105
2016-09-26,36.25,36.36324324324325,-0.0031142228564634555
2016-09-27,35.64,37.50324324324324,-0.049682189648462716
2016-09-28,36.78,38.03324324324324,-0.032951258856050436
2016-09-29,37.31,38.27324324324324,-0.025167536420193315
2016-09-30,37.55,38.24324324324324,-0.01812720848056537
2016-10-03,37.52,37.723243243243246,-0.005387745744254047
2016-10-04,37.0,37.473243243243246,-0.012628830661156498
2016-10-05,36.75,37.42324324324324,-0.017989975878554998
2016-10-06,36.7,37.13324324324324,-0.011667261068613266
2016-10-07,36.41,37.293243243243246,-0.02368373373917476
2016-10-10,36.57,36.84324324324324,-0.007416373239436669
2016-10-11,36.12,36.983243243243244,-0.023341469474853604
2016-10-12,36.26,36.89324324324324,-0.017164206439324592
2016-10-13,36.17,37.32324324324324,-0.03089879504113069
2016-10-14,36.6,37.303243243243244,-0.01885206706177278
2016-10-17,36.58,38.02324324324324,-0.037956868487269535
2016-10-18,37.3,38.24324324324324,-0.02466431095406363
2016-10-19,37.52,38.373243243243245,-0.022235369521273918
2016-10-20,37.65,38.36324324324325,-0.018591839035112523
2016-10-21,37.64,38.53324324324324,-0.023181107222265074
2016-10-24,37.81,38.333243243243246,-0.013649855816347367
2016-10-25,37.61,38.123243243243245,-0.013462738203266822
2016-10-26,37.4,37.60324324324324,-0.0054049391944340774
2016-10-27,36.88,37.623243243243245,-0.01975489562231514
2016-10-28,36.9,37.513243243243245,-0.016347380024351876
2016-10-31,36.79,37.543243243243246,-0.020063350370743804
2016-11-01,36.82,37.52324324324324,-0.018741536777204804
2016-11-02,36.8,36.88324324324324,-0.0022569393557464457
2016-11-03,36.16,36.25324324324324,-0.0025719972863564866
2016-11-04,35.53,36.45324324324324,-0.025326779213653894
2016-11-07,35.73,36.32324324324324,-0.016332331319384497
2016-11-08,35.6,36.13324324324324,-0.014757691128181705
2016-11-09,35.41,36.03324324324324,-0.017296340466386173
2016-11-10,35.31,36.21324324324324,-0.024942346013478556
2016-11-11,35.49,35.71324324324324,-0.006250993272235883
2016-11-14,34.99,35.473243243243246,-0.013622753350450711
2016-11-15,34.75,35.67324324324324,-0.025880552461910233
2016-11-16,34.95,36.123243243243245,-0.03247890105943607
