date,OMC,dcf,Deviation
1989-09-19,2.98,,
1989-09-20,3.02,,
1989-09-21,3.03,,
1989-09-22,3.05,,
1989-09-25,3.05,,
1989-09-26,3.03,,
1989-09-27,3.0,,
1989-09-28,2.98,,
1989-09-29,3.02,,
1989-10-02,3.05,,
1989-10-03,3.06,,
1989-10-04,3.11,,
1989-10-05,3.13,,
1989-10-06,3.14,,
1989-10-09,3.19,,
1989-10-10,3.2,,
1989-10-11,3.19,,
1989-10-12,3.2,,
1989-10-13,3.17,,
1989-10-16,3.05,,
1989-10-17,3.05,,
1989-10-18,3.05,,
1989-10-19,3.08,,
1989-10-20,3.06,,
1989-10-23,3.06,,
1989-10-24,3.05,,
1989-10-25,3.02,,
1989-10-26,3.02,,
1989-10-27,3.03,,
1989-10-30,3.0,,
1989-10-31,3.0,,
1989-11-01,2.98,,
1989-11-02,2.97,,
1989-11-03,2.94,,
1989-11-06,2.94,,
1989-11-07,2.91,,
1989-11-08,2.92,,
1989-11-09,2.95,,
1989-11-10,3.03,,
1989-11-13,3.06,,
1989-11-14,3.06,,
1989-11-15,3.06,,
1989-11-16,3.06,,
1989-11-17,3.05,,
1989-11-20,3.06,,
1989-11-21,3.02,,
1989-11-22,3.02,,
1989-11-24,3.02,,
1989-11-27,3.02,,
1989-11-28,3.02,,
1989-11-29,3.0,,
1989-11-30,2.97,,
1989-12-01,3.02,,
1989-12-04,3.05,,
1989-12-05,3.05,,
1989-12-06,3.06,,
1989-12-07,3.08,,
1989-12-08,3.13,,
1989-12-11,3.13,,
1989-12-12,3.06,,
1989-12-13,3.08,,
1989-12-14,3.08,,
1989-12-15,3.08,,
1989-12-18,3.08,,
1989-12-19,3.06,,
1989-12-20,3.09,,
1989-12-21,3.11,,
1989-12-22,3.19,,
1989-12-26,3.17,,
1989-12-27,3.17,,
1989-12-28,3.16,,
1989-12-29,3.22,,
1990-01-02,3.25,,
1990-01-03,3.25,,
1990-01-04,3.23,,
1990-01-05,3.23,,
1990-01-08,3.2,,
1990-01-09,3.23,,
1990-01-10,3.16,,
1990-01-11,3.14,,
1990-01-12,3.09,,
1990-01-15,3.09,,
1990-01-16,3.11,,
1990-01-17,3.13,,
1990-01-18,3.08,,
1990-01-19,3.05,,
1990-01-22,3.05,,
1990-01-23,3.08,,
1990-01-24,3.0,,
1990-01-25,3.03,,
1990-01-26,3.0,,
1990-01-29,2.98,,
1990-01-30,2.95,,
1990-01-31,2.95,,
1990-02-01,2.91,,
1990-02-02,2.83,,
1990-02-05,2.72,,
1990-02-06,2.86,,
1990-02-07,2.97,,
1990-02-08,2.98,,
