date,LMT,dcf,Deviation
1977-01-03,0.96,,
1977-01-04,0.96,,
1977-01-05,0.98,,
1977-01-06,1.04,,
1977-01-07,1.05,,
1977-01-10,1.05,,
1977-01-11,1.02,,
1977-01-12,1.0,,
1977-01-13,0.98,,
1977-01-14,0.98,,
1977-01-17,1.01,,
1977-01-18,1.04,,
1977-01-19,1.02,,
1977-01-20,1.01,,
1977-01-21,1.0,,
1977-01-24,1.09,,
1977-01-25,1.09,,
1977-01-26,1.07,,
1977-01-27,1.07,,
1977-01-28,1.07,,
1977-01-31,1.05,,
1977-02-01,1.05,,
1977-02-02,1.01,,
1977-02-03,1.02,,
1977-02-04,1.02,,
1977-02-07,1.04,,
1977-02-08,1.02,,
1977-02-09,1.02,,
1977-02-10,1.01,,
1977-02-11,0.97,,
1977-02-14,0.95,,
1977-02-15,0.98,,
1977-02-16,0.98,,
1977-02-17,1.02,,
1977-02-18,1.04,,
1977-02-22,1.05,,
1977-02-23,1.04,,
1977-02-24,1.02,,
1977-02-25,1.01,,
1977-02-28,1.02,,
1977-03-01,1.05,,
1977-03-02,1.02,,
1977-03-03,1.01,,
1977-03-04,1.02,,
1977-03-07,0.98,,
1977-03-08,0.98,,
1977-03-09,0.98,,
1977-03-10,1.01,,
1977-03-11,1.01,,
1977-03-14,1.05,,
1977-03-15,1.04,,
1977-03-16,1.04,,
1977-03-17,1.02,,
1977-03-18,1.02,,
1977-03-21,1.01,,
1977-03-22,0.98,,
1977-03-23,0.97,,
1977-03-24,0.95,,
1977-03-25,0.95,,
1977-03-28,0.95,,
1977-03-29,0.96,,
1977-03-30,0.97,,
1977-03-31,0.95,,
1977-04-01,0.98,,
1977-04-04,1.0,,
1977-04-05,1.0,,
1977-04-06,1.01,,
1977-04-07,1.01,,
1977-04-11,0.96,,
1977-04-12,0.96,,
1977-04-13,0.97,,
1977-04-14,0.97,,
1977-04-15,1.01,,
1977-04-18,0.98,,
1977-04-19,0.97,,
1977-04-20,0.96,,
1977-04-21,0.97,,
1977-04-22,0.95,,
1977-04-25,0.92,,
1977-04-26,0.93,,
1977-04-27,0.93,,
1977-04-28,0.92,,
1977-04-29,0.93,,
1977-05-02,0.95,,
1977-05-03,0.92,,
1977-05-04,0.98,,
1977-05-05,1.05,,
1977-05-06,1.12,,
1977-05-09,1.18,,
1977-05-10,1.18,,
1977-05-11,1.23,,
1977-05-12,1.27,,
1977-05-13,1.24,,
1977-05-16,1.23,,
1977-05-17,1.19,,
1977-05-18,1.19,,
1977-05-19,1.21,,
1977-05-20,1.2,,
1977-05-23,1.18,,
1977-05-24,1.16,,
1977-05-25,1.15,,
1977-05-26,1.14,,
1977-05-27,1.12,,
1977-05-31,1.16,,
1977-06-01,1.18,,
1977-06-02,1.16,,
1977-06-03,1.21,,
1977-06-06,1.21,,
1977-06-07,1.41,,
1977-06-08,1.37,,
1977-06-09,1.34,,
1977-06-10,1.39,,
1977-06-13,1.37,,
1977-06-14,1.35,,
1977-06-15,1.44,,
1977-06-16,1.47,,
1977-06-17,1.56,,
1977-06-20,1.58,,
1977-06-21,1.57,,
1977-06-22,1.64,,
1977-06-23,1.62,,
1977-06-24,1.62,,
1977-06-27,1.61,,
1977-06-28,1.53,,
1977-06-29,1.56,,
1977-06-30,1.58,,
1977-07-01,1.55,,
1977-07-05,1.53,,
1977-07-06,1.48,,
1977-07-07,1.51,,
1977-07-08,1.52,,
1977-07-11,1.53,,
1977-07-12,1.66,,
1977-07-13,1.75,,
1977-07-15,1.89,,
1977-07-18,1.9,,
1977-07-19,1.79,,
1977-07-20,1.78,,
1977-07-21,1.73,,
1977-07-22,1.81,,
1977-07-25,1.71,,
1977-07-26,1.76,,
1977-07-27,1.73,,
