date,EXPE,dcf,Deviation
2005-07-21,48.04,,
2005-07-22,49.72,,
2005-07-25,48.48,,
2005-07-26,48.0,,
2005-07-27,48.14,,
2005-07-28,48.1,,
2005-07-29,48.68,,
2005-08-01,48.7,,
2005-08-02,48.1,,
2005-08-03,47.7,,
2005-08-04,47.2,,
2005-08-05,46.74,,
2005-08-08,45.0,,
2005-08-09,47.7,,
2005-08-10,47.4,,
2005-08-11,45.74,,
2005-08-12,44.6,,
2005-08-15,42.88,,
2005-08-16,42.9,,
2005-08-17,43.38,,
2005-08-18,43.5,,
2005-08-19,43.3,,
2005-08-22,43.2,,
2005-08-23,42.9,,
2005-08-24,43.2,,
2005-08-25,44.32,,
2005-08-26,44.22,,
2005-08-29,44.68,,
2005-08-30,44.8,,
2005-08-31,44.52,,
2005-09-01,44.44,,
2005-09-02,44.74,,
2005-09-06,44.18,,
2005-09-07,44.56,,
2005-09-08,44.9,,
2005-09-09,44.12,,
2005-09-12,44.2,,
2005-09-13,44.14,,
2005-09-14,43.64,,
2005-09-15,42.82,,
2005-09-16,42.0,,
2005-09-19,42.1,,
2005-09-20,41.88,,
2005-09-21,41.3,,
2005-09-22,40.5,,
2005-09-23,40.16,,
2005-09-26,40.08,,
2005-09-27,39.84,,
2005-09-28,39.46,,
2005-09-29,40.04,,
2005-09-30,39.62,,
2005-10-03,40.82,,
2005-10-04,41.18,,
2005-10-05,40.18,,
2005-10-06,40.08,,
2005-10-07,40.2,,
2005-10-10,40.6,,
2005-10-11,40.1,,
2005-10-12,39.3,,
2005-10-13,39.52,,
2005-10-14,40.28,,
2005-10-17,40.84,,
2005-10-18,39.74,,
2005-10-19,39.18,,
2005-10-20,39.0,,
2005-10-21,39.16,,
2005-10-24,38.54,,
2005-10-25,37.66,,
2005-10-26,37.48,,
2005-10-27,37.66,,
2005-10-28,37.56,,
2005-10-31,37.7,,
2005-11-01,38.08,,
2005-11-02,38.8,,
2005-11-03,41.42,,
2005-11-04,45.46,,
2005-11-07,45.26,,
2005-11-08,45.18,,
2005-11-09,44.6,,
2005-11-10,44.0,,
2005-11-11,43.0,,
2005-11-14,43.14,,
2005-11-15,43.02,,
2005-11-16,42.82,,
2005-11-17,43.3,,
2005-11-18,43.4,,
2005-11-21,45.2,,
2005-11-22,46.8,,
2005-11-23,45.6,,
2005-11-25,46.28,,
2005-11-28,46.38,,
2005-11-29,47.32,,
2005-11-30,49.78,,
2005-12-01,49.68,,
2005-12-02,49.8,,
2005-12-05,48.76,,
2005-12-06,48.62,,
2005-12-07,49.16,,
2005-12-08,49.24,,
2005-12-09,49.8,,
2005-12-12,50.4,,
2005-12-13,50.24,,
2005-12-14,50.72,,
2005-12-15,50.86,,
2005-12-16,52.2,,
2005-12-19,50.84,,
2005-12-20,49.52,,
2005-12-21,48.64,,
2005-12-22,48.36,,
2005-12-23,47.92,,
2005-12-27,47.44,,
2005-12-28,47.9,,
2005-12-29,47.66,,
2005-12-30,47.92,,
2006-01-03,48.0,,
2006-01-04,48.5,,
2006-01-05,48.0,,
2006-01-06,48.02,,
2006-01-09,48.84,,
2006-01-10,50.62,,
2006-01-11,50.88,,
2006-01-12,51.26,,
2006-01-13,51.44,,
2006-01-17,51.74,,
2006-01-18,51.92,,
2006-01-19,51.96,,
2006-01-20,50.7,,
2006-01-23,51.32,,
2006-01-24,50.98,,
2006-01-25,50.6,,
2006-01-26,51.34,,
2006-01-27,52.34,,
2006-01-30,52.62,,
2006-01-31,52.04,,
2006-02-01,52.36,,
2006-02-02,51.78,,
2006-02-03,50.94,,
2006-02-06,51.04,,
2006-02-07,51.08,,
2006-02-08,51.4,,
2006-02-09,50.48,,
2006-02-10,48.48,,
2006-02-13,48.4,,
2006-02-14,47.66,,
2006-02-15,48.5,,
2006-02-16,39.64,,
2006-02-17,40.24,,
2006-02-21,39.96,,
2006-02-22,40.6,,
2006-02-23,40.04,,
2006-02-24,39.04,,
2006-02-27,39.02,,
2006-02-28,37.94,,
2006-03-01,38.8,,
2006-03-02,38.32,,
2006-03-03,38.8,,
2006-03-06,38.72,,
2006-03-07,38.26,,
2006-03-08,37.54,,
2006-03-09,37.14,,
2006-03-10,36.94,,
2006-03-13,37.3,,
2006-03-14,37.2,,
2006-03-15,37.4,,
2006-03-16,36.28,,
2006-03-17,36.36,,
2006-03-20,36.24,,
2006-03-21,35.24,,
2006-03-22,37.0,,
2006-03-23,36.98,,
2006-03-24,36.98,,
2006-03-27,36.56,,
2006-03-28,36.54,,
2006-03-29,37.44,,
2006-03-30,39.62,,
2006-03-31,40.54,,
2006-04-03,39.1,,
2006-04-04,40.86,,
2006-04-05,40.2,,
2006-04-06,40.24,,
2006-04-07,39.52,,
2006-04-10,38.52,,
2006-04-11,39.48,,
2006-04-12,39.64,,
2006-04-13,38.76,,
2006-04-17,38.02,,
2006-04-18,37.32,,
2006-04-19,36.88,,
2006-04-20,36.66,,
2006-04-21,36.8,,
2006-04-24,37.14,,
2006-04-25,36.74,,
2006-04-26,37.76,,
2006-04-27,37.2,,
2006-04-28,37.3,,
2006-05-01,36.96,,
2006-05-02,36.62,,
2006-05-03,36.36,,
2006-05-04,37.98,,
2006-05-05,39.24,,
2006-05-08,39.94,,
2006-05-09,39.48,,
2006-05-10,39.58,,
2006-05-11,39.32,,
2006-05-12,29.02,,
2006-05-15,29.0,,
2006-05-16,29.28,,
2006-05-17,28.56,,
2006-05-18,28.4,,
2006-05-19,27.7,,
2006-05-22,27.74,,
2006-05-23,27.24,,
2006-05-24,27.14,,
2006-05-25,28.04,,
2006-05-26,27.98,,
2006-05-30,27.7,,
2006-05-31,28.42,,
2006-06-01,28.72,,
2006-06-02,28.6,,
2006-06-05,29.14,,
2006-06-06,29.24,,
2006-06-07,29.06,,
2006-06-08,29.86,,
2006-06-09,29.8,,
2006-06-12,29.98,,
2006-06-13,30.42,,
2006-06-14,30.28,,
2006-06-15,30.68,,
2006-06-16,30.12,,
2006-06-19,29.94,,
2006-06-20,30.0,,
2006-06-21,30.5,,
2006-06-22,30.06,,
2006-06-23,29.9,,
2006-06-26,29.84,,
2006-06-27,29.3,,
2006-06-28,29.16,,
2006-06-29,29.88,,
2006-06-30,29.98,,
2006-07-03,30.08,,
2006-07-05,29.36,,
2006-07-06,29.46,,
2006-07-07,29.16,,
2006-07-10,28.98,,
2006-07-11,28.54,,
2006-07-12,27.8,,
2006-07-13,27.22,,
2006-07-14,27.18,,
2006-07-17,26.74,,
2006-07-18,26.92,,
2006-07-19,27.36,,
2006-07-20,27.16,,
2006-07-21,27.12,,
2006-07-24,27.18,,
2006-07-25,27.34,,
2006-07-26,27.44,,
2006-07-27,27.0,,
2006-07-28,26.62,,
2006-07-31,26.8,,
2006-08-01,26.1,,
2006-08-02,26.74,,
2006-08-03,27.38,,
2006-08-04,26.76,,
2006-08-07,27.18,,
2006-08-08,26.98,,
2006-08-09,27.64,,
2006-08-10,29.3,,
2006-08-11,29.18,,
2006-08-14,29.72,,
2006-08-15,30.78,,
2006-08-16,30.9,,
2006-08-17,31.0,,
2006-08-18,30.36,,
2006-08-21,30.68,,
2006-08-22,31.4,,
2006-08-23,31.46,,
2006-08-24,31.88,,
2006-08-25,31.84,,
2006-08-28,31.98,,
2006-08-29,31.88,,
2006-08-30,31.42,,
2006-08-31,32.64,,
2006-09-01,33.68,,
2006-09-05,33.38,,
2006-09-06,33.88,,
2006-09-07,33.32,,
2006-09-08,32.4,,
2006-09-11,31.92,,
