date,WDC,dcf,Deviation
1978-10-31,1.13,,
1978-11-01,1.19,,
1978-11-02,1.31,,
1978-11-03,1.31,,
1978-11-06,1.56,,
1978-11-07,1.5,,
1978-11-08,1.56,,
1978-11-09,1.56,,
1978-11-10,1.56,,
1978-11-13,1.5,,
1978-11-14,1.38,,
1978-11-15,1.19,,
1978-11-16,1.19,,
1978-11-17,1.13,,
1978-11-20,1.31,,
1978-11-21,1.19,,
1978-11-22,1.19,,
1978-11-24,1.13,,
1978-11-27,1.13,,
1978-11-28,1.13,,
1978-11-29,1.06,,
1978-11-30,1.06,,
1978-12-01,1.06,,
1978-12-04,1.06,,
1978-12-05,1.06,,
1978-12-06,1.0,,
1978-12-07,1.0,,
1978-12-08,1.0,,
1978-12-11,1.0,,
1978-12-12,1.0,,
1978-12-13,0.94,,
1978-12-14,0.88,,
1978-12-15,0.75,,
1978-12-18,0.69,,
1978-12-19,0.75,,
1978-12-20,0.75,,
1978-12-21,0.81,,
1978-12-22,1.0,,
1978-12-26,1.0,,
1978-12-27,0.94,,
1978-12-28,0.94,,
1978-12-29,0.94,,
1979-01-02,0.94,,
1979-01-03,0.94,,
1979-01-04,1.0,,
1979-01-05,0.94,,
1979-01-08,0.94,,
1979-01-09,0.94,,
1979-01-10,0.94,,
1979-01-11,0.94,,
1979-01-12,1.13,,
1979-01-15,1.13,,
1979-01-16,1.06,,
1979-01-17,1.0,,
1979-01-18,1.0,,
1979-01-19,1.06,,
1979-01-22,1.13,,
1979-01-23,1.25,,
1979-01-24,1.38,,
1979-01-25,1.56,,
1979-01-26,1.44,,
1979-01-29,1.5,,
1979-01-30,1.44,,
1979-01-31,1.44,,
1979-02-01,1.44,,
1979-02-02,1.44,,
1979-02-05,1.31,,
1979-02-06,1.38,,
1979-02-07,1.38,,
1979-02-08,1.38,,
1979-02-09,1.38,,
1979-02-12,1.38,,
1979-02-13,1.31,,
1979-02-14,1.31,,
1979-02-15,1.31,,
1979-02-16,1.31,,
1979-02-20,1.25,,
1979-02-21,1.25,,
1979-02-22,1.19,,
1979-02-23,1.25,,
1979-02-26,1.19,,
1979-02-27,1.13,,
1979-02-28,1.13,,
1979-03-01,1.06,,
1979-03-02,1.25,,
1979-03-05,1.25,,
1979-03-06,1.19,,
1979-03-07,1.13,,
1979-03-08,1.13,,
1979-03-09,1.13,,
1979-03-12,1.19,,
1979-03-13,1.13,,
1979-03-14,1.13,,
1979-03-15,1.06,,
1979-03-16,1.06,,
1979-03-19,1.06,,
1979-03-20,1.13,,
1979-03-21,1.25,,
1979-03-22,1.25,,
1979-03-23,1.38,,
1979-03-26,1.56,,
1979-03-27,1.75,,
1979-03-28,1.5,,
1979-03-29,1.63,,
1979-03-30,1.69,,
1979-04-02,1.63,,
1979-04-03,1.69,,
1979-04-04,1.75,,
1979-04-05,1.63,,
1979-04-06,1.69,,
1979-04-09,1.63,,
1979-04-10,1.63,,
1979-04-11,1.56,,
1979-04-12,1.5,,
1979-04-16,1.44,,
1979-04-17,1.38,,
1979-04-18,1.38,,
1979-04-19,1.44,,
1979-04-20,1.5,,
1979-04-23,1.5,,
1979-04-24,1.5,,
1979-04-25,1.56,,
1979-04-26,1.56,,
1979-04-27,1.56,,
1979-04-30,1.56,,
1979-05-01,1.5,,
1979-05-02,1.5,,
1979-05-03,1.5,,
1979-05-04,1.5,,
1979-05-07,1.44,,
1979-05-08,1.44,,
1979-05-09,1.5,,
1979-05-10,1.44,,
1979-05-11,1.5,,
1979-05-14,1.44,,
1979-05-15,1.44,,
1979-05-16,1.44,,
1979-05-17,1.44,,
1979-05-18,1.44,,
1979-05-21,1.44,,
1979-05-22,1.44,,
1979-05-23,1.44,,
1979-05-24,1.44,,
1979-05-25,1.5,,
1979-05-29,1.5,,
1979-05-30,1.5,,
1979-05-31,1.5,,
1979-06-01,1.5,,
1979-06-04,1.5,,
1979-06-05,1.44,,
1979-06-06,1.38,,
1979-06-07,1.38,,
1979-06-08,1.38,,
1979-06-11,1.44,,
1979-06-12,1.44,,
1979-06-13,1.31,,
1979-06-14,1.31,,
1979-06-15,1.31,,
1979-06-18,1.31,,
1979-06-19,1.31,,
1979-06-20,1.31,,
1979-06-21,1.25,,
1979-06-22,1.31,,
1979-06-25,1.31,,
1979-06-26,1.31,,
1979-06-27,1.31,,
1979-06-28,1.31,,
1979-06-29,1.31,,
1979-07-02,1.31,,
1979-07-03,1.25,,
1979-07-05,1.25,,
1979-07-06,1.31,,
1979-07-09,1.31,,
1979-07-10,1.31,,
1979-07-11,1.31,,
1979-07-12,1.31,,
1979-07-13,1.25,,
1979-07-16,1.25,,
1979-07-17,1.19,,
1979-07-18,1.13,,
1979-07-19,1.13,,
1979-07-20,1.13,,
1979-07-23,1.13,,
1979-07-24,1.13,,
1979-07-25,1.13,,
1979-07-26,1.06,,
1979-07-27,1.06,,
1979-07-30,1.06,,
1979-07-31,1.13,,
1979-08-01,1.13,,
1979-08-02,1.19,,
1979-08-03,1.19,,
1979-08-06,1.19,,
1979-08-07,1.19,,
1979-08-08,1.19,,
1979-08-09,1.19,,
1979-08-10,1.19,,
1979-08-13,1.19,,
1979-08-14,1.19,,
1979-08-15,1.19,,
1979-08-16,1.19,,
1979-08-17,1.19,,
1979-08-20,1.13,,
1979-08-21,1.19,,
