date,HII,dcf,Deviation
2011-03-22,37.49,,
2011-03-23,37.25,,
2011-03-24,37.25,,
2011-03-25,39.25,,
2011-03-28,37.75,,
2011-03-29,37.5,,
2011-03-30,38.2,,
2011-03-31,41.5,,
2011-04-01,40.04,,
2011-04-04,40.15,,
2011-04-05,40.25,,
2011-04-06,39.68,,
2011-04-07,38.8,,
2011-04-08,38.5,,
2011-04-11,38.32,,
2011-04-12,38.05,,
2011-04-13,38.0,,
2011-04-14,38.77,,
2011-04-15,40.14,,
2011-04-18,40.05,,
2011-04-19,39.78,,
2011-04-20,40.06,,
2011-04-21,39.31,,
2011-04-25,39.07,,
2011-04-26,39.34,,
2011-04-27,40.01,,
2011-04-28,39.99,,
2011-04-29,40.0,,
2011-05-02,40.98,,
2011-05-03,40.5,,
2011-05-04,39.95,,
2011-05-05,39.84,,
2011-05-06,39.5,,
2011-05-09,39.6,,
2011-05-10,40.17,,
2011-05-11,38.78,,
2011-05-12,38.39,,
2011-05-13,38.46,,
2011-05-16,38.69,,
2011-05-17,38.78,,
2011-05-18,38.5,,
2011-05-19,38.38,,
2011-05-20,38.06,,
2011-05-23,37.8,,
2011-05-24,37.17,,
2011-05-25,36.67,,
2011-05-26,36.42,,
2011-05-27,36.58,,
2011-05-31,36.57,,
2011-06-01,36.1,,
2011-06-02,36.05,,
2011-06-03,35.8,,
2011-06-06,35.98,,
2011-06-07,36.44,,
2011-06-08,36.97,,
2011-06-09,36.99,,
2011-06-10,36.33,,
2011-06-13,36.51,,
2011-06-14,36.58,,
2011-06-15,36.16,,
2011-06-16,36.0,,
2011-06-17,35.95,,
2011-06-20,35.99,,
2011-06-21,36.35,,
2011-06-22,36.15,,
2011-06-23,35.9,,
2011-06-24,35.59,,
2011-06-27,35.2,,
2011-06-28,35.26,,
2011-06-29,34.82,,
2011-06-30,34.5,2083812000.0,-0.9999999834438039
2011-07-01,34.61,2085288000.0,-0.9999999834027722
2011-07-05,34.64,2115300000.0,-0.9999999836240723
2011-07-06,35.25,2077908000.0,-0.9999999830358226
2011-07-07,34.49,2103000000.0,-0.9999999835996196
2011-07-08,35.0,2095128000.0,-0.9999999832945767
2011-07-11,34.84,2073480000.0,-0.9999999831973301
2011-07-12,34.4,2055768000.0,-0.9999999832665943
2011-07-13,34.04,2031660000.0,-0.999999983245228
2011-07-14,33.55,2030184000.0,-0.9999999834744043
2011-07-15,33.52,2014440000.0,-0.9999999833601398
2011-07-18,33.2,2019852000.0,-0.9999999835631521
2011-07-19,33.31,2015916000.0,-0.9999999834764941
2011-07-20,33.23,2025264000.0,-0.9999999835922625
2011-07-21,33.42,2049372000.0,-0.9999999836925654
2011-07-22,33.91,2067576000.0,-0.9999999835991519
2011-07-25,34.28,2110872000.0,-0.9999999837602659
2011-07-26,35.16,2063640000.0,-0.9999999829621445
2011-07-27,34.2,2053800000.0,-0.9999999833479404
2011-07-28,34.0,2028216000.0,-0.9999999832364994
2011-07-29,33.48,1996728000.0,-0.9999999832325684
2011-08-01,32.84,1977540000.0,-0.9999999833935092
2011-08-02,32.45,1959828000.0,-0.9999999834424246
2011-08-03,32.09,1935720000.0,-0.9999999834221892
2011-08-04,31.6,1912596000.0,-0.9999999834779535
2011-08-05,31.13,1851588000.0,-0.9999999831874046
2011-08-08,29.89,1843224000.0,-0.9999999837838482
2011-08-09,29.72,1759092000.0,-0.99999998310492
2011-08-10,28.01,1750236000.0,-0.9999999839964439
2011-08-11,27.83,1759584000.0,-0.9999999841837616
2011-08-12,28.02,1787628000.0,-0.9999999843255979
2011-08-15,28.59,1831416000.0,-0.9999999843891284
2011-08-16,29.48,1831908000.0,-0.9999999839074888
2011-08-17,29.49,1790088000.0,-0.9999999835259495
2011-08-18,28.64,1789596000.0,-0.999999983996388
2011-08-19,28.63,1778280000.0,-0.9999999839001732
2011-08-22,28.4,1820100000.0,-0.9999999843964618
2011-08-23,29.25,1886520000.0,-0.9999999844952611
2011-08-24,30.6,1840764000.0,-0.9999999833764676
2011-08-25,29.67,1869300000.0,-0.9999999841277484
2011-08-26,30.25,1896360000.0,-0.9999999840483874
2011-08-29,30.8,1887504000.0,-0.9999999836821538
2011-08-30,30.62,1854048000.0,-0.9999999834847857
2011-08-31,29.94,1832892000.0,-0.9999999836651586
2011-09-01,29.51,1739904000.0,-0.9999999830392942
2011-09-02,27.62,1738428000.0,-0.9999999841120829
2011-09-06,27.59,1792548000.0,-0.9999999846085014
2011-09-07,28.69,1716288000.0,-0.9999999832836913
2011-09-08,27.14,1696116000.0,-0.9999999839987359
2011-09-09,26.73,1719240000.0,-0.9999999844524324
2011-09-12,27.2,1757124000.0,-0.999999984520159
2011-09-13,27.97,1778280000.0,-0.9999999842713183
2011-09-14,28.4,1769916000.0,-0.9999999839540408
2011-09-15,28.23,1793040000.0,-0.9999999842557891
2011-09-16,28.7,1772376000.0,-0.9999999838070477
2011-09-19,28.28,1724652000.0,-0.9999999836024891
2011-09-20,27.31,1730064000.0,-0.9999999842144568
2011-09-21,27.42,1714320000.0,-0.9999999840053199
2011-09-22,27.1,1713828000.0,-0.9999999841874447
2011-09-23,27.09,1708416000.0,-0.9999999841432063
2011-09-26,26.98,1707432000.0,-0.9999999841984922
2011-09-27,26.96,1590336000.0,-0.9999999830476075
2011-09-28,24.58,1583448000.0,-0.9999999844769136
2011-09-29,24.44,1578036000.0,-0.9999999845123939
2011-09-30,24.33,1680848000.0,-0.9999999855251634
