date,AAP,dcf,Deviation
2001-11-29,13.88,,
2001-11-30,14.27,,
2001-12-03,13.78,,
2001-12-04,13.23,,
2001-12-05,14.67,,
2001-12-06,14.57,,
2001-12-07,14.67,,
2001-12-10,14.62,,
2001-12-11,14.59,,
2001-12-12,14.1,,
2001-12-13,13.97,,
2001-12-14,13.63,,
2001-12-17,13.67,,
2001-12-18,13.67,,
2001-12-19,13.68,,
2001-12-20,14.1,,
2001-12-21,15.11,,
2001-12-24,15.27,,
2001-12-26,15.33,,
2001-12-27,15.65,,
2001-12-28,15.68,,
2001-12-31,16.58,,
2002-01-02,15.93,,
2002-01-03,15.1,,
2002-01-04,14.17,,
2002-01-07,13.93,,
2002-01-08,13.7,,
2002-01-09,13.73,,
2002-01-10,14.03,,
2002-01-11,14.5,,
2002-01-14,14.3,,
2002-01-15,15.34,,
2002-01-16,15.63,,
2002-01-17,15.73,,
2002-01-18,15.77,,
2002-01-22,15.57,,
2002-01-23,15.63,,
2002-01-24,15.42,,
2002-01-25,15.63,,
2002-01-28,15.43,,
2002-01-29,15.45,,
2002-01-30,15.55,,
2002-01-31,15.62,,
2002-02-01,15.7,,
2002-02-04,15.44,,
2002-02-05,15.3,,
2002-02-06,15.23,,
2002-02-07,14.9,,
2002-02-08,14.93,,
2002-02-11,15.13,,
2002-02-12,15.4,,
2002-02-13,15.0,,
2002-02-14,14.88,,
2002-02-15,14.87,,
2002-02-19,14.83,,
2002-02-20,14.73,,
2002-02-21,14.79,,
2002-02-22,14.97,,
2002-02-25,15.0,,
2002-02-26,15.03,,
2002-02-27,15.03,,
2002-02-28,14.93,,
2002-03-01,14.63,,
2002-03-04,14.63,,
2002-03-05,14.57,,
2002-03-06,14.53,,
2002-03-07,13.63,,
2002-03-08,13.83,,
2002-03-11,14.0,,
2002-03-12,13.93,,
2002-03-13,13.9,,
2002-03-14,14.37,,
2002-03-15,14.78,,
2002-03-18,14.75,,
2002-03-19,15.0,,
2002-03-20,14.85,,
2002-03-21,14.83,,
2002-03-22,14.75,,
2002-03-25,14.68,,
2002-03-26,15.0,,
2002-03-27,15.02,,
2002-03-28,15.33,,
2002-04-01,15.34,,
2002-04-02,15.0,,
2002-04-03,14.62,,
2002-04-04,14.66,,
2002-04-05,14.83,,
2002-04-08,15.0,,
2002-04-09,15.57,,
2002-04-10,15.92,,
2002-04-11,15.9,,
2002-04-12,15.87,,
2002-04-15,16.07,,
2002-04-16,16.22,,
2002-04-17,16.33,,
2002-04-18,16.36,,
2002-04-19,16.67,,
2002-04-22,16.63,,
2002-04-23,17.0,,
2002-04-24,17.12,,
2002-04-25,19.17,,
2002-04-26,18.92,,
2002-04-29,18.77,,
2002-04-30,19.73,,
2002-05-01,19.7,,
2002-05-02,19.63,,
2002-05-03,19.63,,
2002-05-06,19.5,,
2002-05-07,20.13,,
2002-05-08,19.98,,
2002-05-09,19.77,,
2002-05-10,19.64,,
2002-05-13,19.54,,
