CBRE,dcf,Deviation
6.12,465073147.8499999,-0.9999999868407797
6.07,477255593.75,-0.9999999872814482
6.25,482670014.1500001,-0.9999999870511947
6.33,484023619.25,-0.9999999869221258
6.35,483346816.70000005,-0.9999999868624354
6.34,484700421.79999995,-0.9999999869197556
6.36,484023619.25,-0.9999999868601454
6.35,480639606.5,-0.9999999867884379
6.3,482670014.1500001,-0.9999999869476043
6.33,482670014.1500001,-0.9999999868854501
6.33,482670014.1500001,-0.9999999868854501
6.33,485377224.3499999,-0.9999999869585969
6.37,485377224.3499999,-0.9999999868761869
6.37,582534471.75,-0.9999999890650249
6.37,583167034.5,-0.999999989076886
6.38,581901909.0,-0.9999999890359528
6.36,581269346.25,-0.9999999890584287
6.35,581269346.25,-0.9999999890756324
6.35,580004220.75,-0.9999999890518038
6.33,578106532.5,-0.9999999890504611
6.3,581269346.25,-0.9999999891616511
6.35,582534471.75,-0.9999999890993575
6.37,581269346.25,-0.999999989041225
6.35,578106532.5,-0.9999999890158653
6.3,580004220.75,-0.99999998913801
6.33,580004220.75,-0.9999999890862863
6.33,580636783.5,-0.999999989098176
6.34,585064722.75,-0.9999999891635921
6.41,578106532.5,-0.9999999889120782
6.3,575576281.5,-0.9999999890544482
6.26,575576281.5,-0.9999999891239437
6.26,577473969.75,-0.9999999891596846
6.29,578106532.5,-0.9999999891196525
6.3,578739095.25,-0.9999999891142657
6.31,580636783.5,-0.999999989132621
6.34,583799597.25,-0.999999989140109
6.39,581269346.25,-0.9999999890068175
6.35,595185726.75,-0.9999999893310614
6.57,588860099.25,-0.9999999888428508
6.47,581901909.0,-0.9999999888812876
6.36,586329848.25,-0.9999999891528634
6.43,586329848.25,-0.9999999890334766
6.43,585697285.5,-0.9999999890216326
6.42,584432160.0,-0.9999999890149782
6.4,583799597.25,-0.999999989037334
6.39,576841407.0,-0.9999999889224318
6.28,578106532.5,-0.9999999891369503
6.3,582534471.75,-0.9999999891851894
6.37,588860099.25,-0.99999998918249
6.47,583799597.25,-0.9999999889174298
6.39,586329848.25,-0.9999999891016976
6.43,587594973.75,-0.9999999890570882
6.45,589492662.0,-0.9999999890583879
6.48,586962411.0,-0.9999999889601108
6.44,588860099.25,-0.9999999890636163
6.47,590757787.5,-0.9999999890479649
6.5,595818289.5,-0.9999999890906337
6.58,600878791.5,-0.9999999890493722
6.66,614162609.25,-0.9999999891559663
6.87,616692860.25,-0.9999999888599327
6.91,607836981.75,-0.9999999886318204
6.77,630609240.75,-0.9999999892643502
7.13,650851248.75,-0.9999999890451159
7.45,655279188.0,-0.9999999886308002
7.52,659707127.25,-0.9999999886010024
7.59,654014062.5,-0.9999999883947449
7.5,647688435.0,-0.9999999884203583
7.4,643260495.75,-0.9999999884961068
7.33,652116374.25,-0.999999988759675
7.47,650851248.75,-0.9999999885227231
7.45,652748937.0,-0.9999999885867298
7.48,663502503.75,-0.9999999887264932
7.65,655911750.75,-0.9999999883368457
7.53,656544313.5,-0.9999999885308579
7.54,666032754.75,-0.9999999886792355
7.69,678051447.0,-0.9999999886586777
7.88,666665317.5,-0.999999988179976
7.7,665413851.04,-0.9999999884282541
7.84,685215720.3400002,-0.9999999885583477
8.14,681255346.48,-0.99999998805147
8.08,682575471.0999999,-0.9999999881624811
8.1,691816343.44,-0.9999999882916903
8.24,695776717.3000002,-0.9999999881571202
8.3,705017589.6399999,-0.9999999882272441
8.44,697756904.23,-0.9999999879040967
8.33,693796530.3699999,-0.9999999879935981
8.27,695776717.3000002,-0.9999999881140029
8.3,678615097.24,-0.9999999877692082
8.04,685215720.3400002,-0.9999999882664689
8.14,685875782.6500001,-0.9999999881319618
8.15,699737091.1599998,-0.9999999883527684
8.36,705017589.6399999,-0.9999999881421399
8.44,698416966.54,-0.9999999879155284
8.34,701717278.0900002,-0.9999999881148716
8.39,706337714.2600002,-0.9999999881218292
8.46,723499334.3200002,-0.999999988306831
8.72,724159396.6300001,-0.9999999879584521
8.73,717558773.5300002,-0.9999999878337492
8.63,712938337.3600001,-0.9999999878951663
8.56,717558773.5300002,-0.9999999880706636
8.63,728119770.4899998,-0.9999999881475543
8.79,734060331.2800002,-0.9999999880255074
8.88,737360642.8299999,-0.9999999879570464
8.93,739340829.7600002,-0.9999999879216734
8.96,711618212.7399998,-0.9999999874089788
8.54,722179209.6999998,-0.9999999881746804
8.7,721519147.3899999,-0.999999987942108
8.69,728779832.8000002,-0.9999999880759598
8.8,708977963.5,-0.9999999875877665
8.5,716898711.2199998,-0.9999999881433739
8.62,716898711.2199998,-0.9999999879759862
8.62,714918524.29,-0.999999987942682
8.59,714918524.29,-0.9999999879846448
8.59,720859085.0799999,-0.9999999880836627
8.68,716898711.2199998,-0.9999999878922924
8.62,728119770.4899998,-0.9999999881612883
8.79,740000892.0700002,-0.9999999881216359
8.97,738020705.1399999,-0.9999999878458694
8.94,743961265.9299998,-0.9999999879832453
9.03,783565004.5300002,-0.9999999884757488
9.63,810627559.2399998,-0.9999999881203151
10.04,825808992.3699999,-0.9999999878422249
10.27,809967496.9299998,-0.9999999873204789
10.03,765083259.8499999,-0.9999999868903157
9.35,794786063.8000002,-0.9999999882358279
9.8,804026936.1399999,-0.9999999878113536
9.94,806007123.0700002,-0.9999999876676028
9.97,802046749.21,-0.9999999875693032
9.91,808647372.31,-0.9999999877449672
10.01,815247995.4099998,-0.9999999877215277
10.11,809307434.6199999,-0.9999999875078375
