date,HUM,dcf,Deviation
1981-12-31,9.72,,
1982-01-04,10.07,,
1982-01-05,9.86,,
1982-01-06,9.79,,
1982-01-07,9.79,,
1982-01-08,9.86,,
1982-01-11,9.69,,
1982-01-12,9.62,,
1982-01-13,9.62,,
1982-01-14,9.48,,
1982-01-15,9.41,,
1982-01-18,9.27,,
1982-01-19,9.13,,
1982-01-20,9.1,,
1982-01-21,9.03,,
1982-01-22,8.96,,
1982-01-25,8.96,,
1982-01-26,8.75,,
1982-01-27,8.78,,
1982-01-28,9.51,,
1982-01-29,9.9,,
1982-02-01,9.48,,
1982-02-02,9.53,,
1982-02-03,9.74,,
1982-02-04,9.38,,
1982-02-05,9.79,,
1982-02-08,9.84,,
1982-02-09,9.64,,
1982-02-10,9.9,,
1982-02-11,9.84,,
1982-02-12,10.1,,
1982-02-16,9.95,,
1982-02-17,10.16,,
1982-02-18,10.42,,
1982-02-19,10.63,,
1982-02-22,10.21,,
1982-02-23,10.21,,
1982-02-24,10.42,,
1982-02-25,10.42,,
1982-02-26,10.21,,
1982-03-01,10.36,,
1982-03-02,10.31,,
1982-03-03,10.1,,
1982-03-04,9.9,,
1982-03-05,9.64,,
1982-03-08,9.01,,
1982-03-09,9.58,,
1982-03-10,9.38,,
1982-03-11,9.11,,
1982-03-12,8.7,,
1982-03-15,8.8,,
1982-03-16,8.91,,
1982-03-17,8.54,,
1982-03-18,8.8,,
1982-03-19,9.06,,
1982-03-22,9.48,,
1982-03-23,9.69,,
1982-03-24,10.0,,
1982-03-25,10.0,,
1982-03-26,9.79,,
1982-03-29,9.69,,
1982-03-30,9.79,,
1982-03-31,9.84,,
1982-04-01,9.79,,
1982-04-02,10.42,,
1982-04-05,10.31,,
1982-04-06,10.36,,
1982-04-07,10.47,,
1982-04-08,10.63,,
1982-04-12,10.47,,
1982-04-13,10.63,,
1982-04-14,10.42,,
1982-04-15,10.63,,
1982-04-16,11.04,,
1982-04-19,10.73,,
1982-04-20,10.57,,
1982-04-21,10.42,,
1982-04-22,10.52,,
1982-04-23,10.68,,
1982-04-26,11.09,,
1982-04-27,11.04,,
1982-04-28,10.99,,
1982-04-29,10.78,,
1982-04-30,10.78,,
1982-05-03,10.94,,
1982-05-04,10.89,,
1982-05-05,10.78,,
1982-05-06,10.78,,
1982-05-07,10.73,,
1982-05-10,10.57,,
1982-05-11,10.63,,
1982-05-12,10.52,,
1982-05-13,10.57,,
1982-05-14,10.42,,
1982-05-17,10.57,,
1982-05-18,10.36,,
1982-05-19,10.31,,
1982-05-20,10.21,,
1982-05-21,10.31,,
1982-05-24,10.1,,
1982-05-25,10.21,,
1982-05-26,10.05,,
1982-05-27,9.9,,
1982-05-28,9.79,,
1982-06-01,9.48,,
1982-06-02,9.43,,
1982-06-03,9.48,,
1982-06-04,9.27,,
1982-06-07,9.22,,
1982-06-08,9.17,,
1982-06-09,9.17,,
1982-06-10,9.27,,
1982-06-11,10.0,,
1982-06-14,9.9,,
1982-06-15,10.1,,
1982-06-16,9.84,,
1982-06-17,9.84,,
1982-06-18,9.79,,
1982-06-21,9.95,,
1982-06-22,10.1,,
1982-06-23,10.1,,
