date,FBHS,dcf,Deviation
2011-09-16,12.7,,
2011-09-19,13.78,,
2011-09-20,13.7,,
2011-09-21,13.4,,
2011-09-22,13.2,,
2011-09-23,12.25,,
2011-09-26,12.67,,
2011-09-27,13.37,,
2011-09-28,12.85,,
2011-09-29,13.17,,
2011-09-30,12.4,13.122695035460993,-0.05507215046208713
2011-10-03,12.3,13.122695035460993,-0.06269253634545746
2011-10-04,12.3,13.022695035460993,-0.055495044112841674
2011-10-05,12.2,13.582695035460993,-0.10179828317216322
2011-10-06,12.76,13.172695035460993,-0.03132958246964768
2011-10-07,12.35,13.192695035460991,-0.06387588231183161
2011-10-10,12.37,13.302695035460992,-0.07011323893201404
2011-10-11,12.48,13.422695035460993,-0.07023142766564516
2011-10-12,12.6,13.442695035460991,-0.06268795306581121
2011-10-13,12.62,13.832695035460993,-0.0876687465712338
2011-10-14,13.01,14.542695035460993,-0.10539277841718198
2011-10-17,13.72,15.302695035460992,-0.10342590189462753
2011-10-18,14.48,15.882695035460992,-0.08831593330535037
2011-10-19,15.06,15.752695035460993,-0.043973112784933766
2011-10-20,14.93,15.772695035460993,-0.05342746014973365
2011-10-21,14.95,16.622695035460993,-0.1006271866200188
2011-10-24,15.8,15.602695035460993,0.012645569505177257
2011-10-25,14.78,15.702695035460993,-0.05876029773088598
2011-10-26,14.88,16.242695035460994,-0.08389587026573864
2011-10-27,15.42,15.742695035460994,-0.020498080839024824
2011-10-28,14.92,15.352695035460993,-0.02818365338864437
2011-10-31,14.53,15.492695035460994,-0.06213864232514077
2011-11-01,14.67,15.892695035460992,-0.07693440494093806
2011-11-02,15.07,15.822695035460994,-0.04757059614522641
2011-11-03,15.0,15.822695035460994,-0.05199462124607801
2011-11-04,15.0,15.612695035460993,-0.03924338713267528
2011-11-07,14.79,15.912695035460994,-0.07055341869866172
2011-11-08,15.09,15.722695035460992,-0.04024087690017586
2011-11-09,14.9,16.52269503546099,-0.09821006996608994
2011-11-10,15.7,16.072695035460992,-0.02318808604522893
2011-11-11,15.25,15.852695035460993,-0.03801845895053302
2011-11-14,15.03,16.312695035460994,-0.07863170571586342
2011-11-15,15.49,15.862695035460993,-0.023495064024608325
2011-11-16,15.04,16.352695035460993,-0.08027392626196483
2011-11-17,15.53,16.332695035460993,-0.0491465146271457
2011-11-18,15.51,16.082695035460993,-0.035609394706437536
2011-11-21,15.26,16.192695035460993,-0.05759974071137941
2011-11-22,15.37,16.132695035460994,-0.04727635610693248
2011-11-23,15.31,16.27269503546099,-0.05916014731199182
2011-11-25,15.45,16.792695035460994,-0.0799570904268575
2011-11-28,15.97,16.832695035460997,-0.051251153403752636
2011-11-29,16.01,17.50269503546099,-0.0852837253026888
2011-11-30,16.68,16.812695035460994,-0.00789254995591826
2011-12-01,15.99,17.34269503546099,-0.07799797163561406
2011-12-02,16.52,17.27269503546099,-0.043577162331396635
2011-12-05,16.45,17.292695035460994,-0.0487312725826099
2011-12-06,16.47,17.27269503546099,-0.04647190457615635
2011-12-07,16.45,17.232695035460992,-0.04541918915470755
2011-12-08,16.41,17.832695035460997,-0.07978014723135862
2011-12-09,17.01,17.142695035460992,-0.007740616932547684
2011-12-12,16.32,16.602695035460993,-0.017027057044485594
2011-12-13,15.78,16.802695035460992,-0.060864940612363805
2011-12-14,15.98,16.732695035460992,-0.04498349093590914
2011-12-15,15.91,16.41269503546099,-0.030628427225076527
2011-12-16,15.59,16.152695035460994,-0.034835984597348935
2011-12-19,15.33,16.572695035460992,-0.07498448700117677
2011-12-20,15.75,17.02269503546099,-0.07476460294975407
2011-12-21,16.2,17.27269503546099,-0.06210351269785863
2011-12-22,16.45,17.52269503546099,-0.06121746873355727
2011-12-23,16.7,17.472695035460994,-0.044223002455706095
2011-12-27,16.65,17.212695035460992,-0.03269069917881828
2011-12-28,16.39,17.462695035460992,-0.06142780557541094
2011-12-29,16.64,17.852695035460993,-0.06792784131763885
2011-12-30,17.03,17.598350515463917,-0.032295669697253615
2012-01-03,16.82,17.808350515463918,-0.05549927347879191
2012-01-04,17.03,18.108350515463915,-0.05954990293251938
2012-01-05,17.33,18.42835051546392,-0.05960113003832079
2012-01-06,17.65,18.558350515463918,-0.04894564927562006
2012-01-09,17.78,18.798350515463916,-0.05417233361119633
2012-01-10,18.02,18.758350515463917,-0.03936116423750802
2012-01-11,17.98,19.06835051546392,-0.057076280120889056
2012-01-12,18.29,18.99835051546392,-0.03728484295977963
2012-01-13,18.22,18.698350515463922,-0.025582498042718615
2012-01-17,17.92,18.58835051546392,-0.03595534283194768
2012-01-18,17.81,18.878350515463918,-0.0565913062472696
2012-01-19,18.1,18.668350515463917,-0.030444602751224514
2012-01-20,17.89,18.558350515463918,-0.03601346546973605
2012-01-23,17.78,18.638350515463916,-0.04605292269569439
2012-01-24,17.86,18.67835051546392,-0.04381278286786627
2012-01-25,17.9,18.688350515463917,-0.042184060857141326
2012-01-26,17.91,18.728350515463916,-0.04369581372306164
2012-01-27,17.95,19.098350515463917,-0.06012825633994412
2012-01-30,18.32,19.348350515463917,-0.05314926017295485
2012-01-31,18.57,19.668350515463917,-0.0558435500018345
2012-02-01,18.89,20.028350515463917,-0.056836957920473496
2012-02-02,19.25,20.328350515463917,-0.05304663133605492
2012-02-03,19.55,19.618350515463916,-0.00348400929069137
2012-02-06,18.84,19.42835051546392,-0.03028309145419339
2012-02-07,18.65,19.888350515463916,-0.06226511919633837
2012-02-08,19.11,19.99835051546392,-0.04442118937644346
2012-02-09,19.22,20.118350515463916,-0.0446532887859471
