date,ABBV,dcf,Deviation
2013-01-02,35.12,,
2013-01-03,34.83,,
2013-01-04,34.39,,
2013-01-07,34.46,,
2013-01-08,33.71,,
2013-01-09,33.9,,
2013-01-10,34.0,,
2013-01-11,33.85,,
2013-01-14,34.09,,
2013-01-15,34.6,,
2013-01-16,35.54,,
2013-01-17,36.42,,
2013-01-18,37.32,,
2013-01-22,36.42,,
2013-01-23,37.8,,
2013-01-24,37.46,,
2013-01-25,37.6,,
2013-01-28,36.89,,
2013-01-29,37.31,,
2013-01-30,36.93,,
2013-01-31,36.69,,
2013-02-01,37.18,,
2013-02-04,37.28,,
2013-02-05,37.2,,
2013-02-06,37.14,,
2013-02-07,36.42,,
2013-02-08,36.25,,
2013-02-11,35.85,,
2013-02-12,35.42,,
2013-02-13,35.27,,
2013-02-14,36.57,,
2013-02-15,37.58,,
2013-02-19,38.19,,
2013-02-20,38.61,,
2013-02-21,38.78,,
2013-02-22,38.46,,
2013-02-25,37.37,,
2013-02-26,37.09,,
2013-02-27,36.73,,
2013-02-28,36.92,,
2013-03-01,37.81,,
2013-03-04,38.24,,
2013-03-05,37.51,,
2013-03-06,37.74,,
2013-03-07,37.49,,
2013-03-08,37.34,,
2013-03-11,37.67,,
2013-03-12,37.17,,
2013-03-13,37.17,,
2013-03-14,37.56,,
2013-03-15,38.5,,
2013-03-18,38.16,,
2013-03-19,38.36,,
2013-03-20,39.06,,
2013-03-21,38.49,,
2013-03-22,38.97,,
2013-03-25,39.32,,
2013-03-26,40.21,,
2013-03-27,40.15,,
2013-03-28,40.78,,
2013-04-01,41.12,45.05828660436137,-0.0874042690291772
2013-04-02,40.71,44.91828660436137,-0.09368760303410062
2013-04-03,40.57,45.94828660436137,-0.11705086308595603
2013-04-04,41.6,45.65828660436137,-0.08888390051793393
2013-04-05,41.31,46.11828660436137,-0.10425987083194577
2013-04-08,41.77,46.898286604361374,-0.1093491250037365
2013-04-09,42.55,47.968286604361374,-0.11295560020834128
2013-04-10,43.62,47.54828660436137,-0.0826167856908866
2013-04-11,43.2,47.43828660436137,-0.08934316367091788
2013-04-12,43.09,45.78828660436137,-0.05892962599094831
2013-04-15,41.44,46.79828660436137,-0.11449749538185039
2013-04-16,42.45,46.58828660436137,-0.08882676110209131
2013-04-17,42.24,46.66828660436137,-0.09488856194578021
2013-04-18,42.32,46.73828660436137,-0.09453248985702178
2013-04-19,42.39,48.54828660436137,-0.12684869096509244
2013-04-22,44.2,49.48828660436137,-0.10685935940031743
2013-04-23,45.14,48.66828660436137,-0.07249662666458423
2013-04-24,44.32,48.58828660436137,-0.08784599957427275
2013-04-25,44.24,50.18828660436137,-0.11851941970548285
2013-04-26,45.84,49.578286604361374,-0.07540169014296905
2013-04-29,45.23,50.398286604361374,-0.10254885537942326
2013-04-30,46.05,49.898286604361374,-0.07712262015876548
2013-05-01,45.55,48.33828660436137,-0.05768277695034807
2013-05-02,43.99,49.02828660436137,-0.10276285290200582
2013-05-03,44.68,48.93828660436137,-0.08701339789002493
2013-05-06,44.59,49.25828660436137,-0.09477159938299673
2013-05-07,44.91,47.83828660436137,-0.06121219659431543
2013-05-08,43.49,48.58828660436137,-0.10492830599018776
2013-05-09,44.24,49.35828660436137,-0.10369660205970577
2013-05-10,45.01,48.88828660436137,-0.07932956693179316
2013-05-13,44.54,49.69828660436137,-0.10379204107025886
2013-05-14,45.35,50.37828660436137,-0.09981059188952368
2013-05-15,46.03,50.55828660436137,-0.08956566585804238
2013-05-16,46.21,51.51828660436137,-0.10303693997292196
2013-05-17,47.17,50.60828660436137,-0.06793920195798642
2013-05-20,46.26,50.88828660436137,-0.09094993982298283
2013-05-21,46.54,51.10828660436137,-0.08938446009206524
2013-05-22,46.76,50.93828660436137,-0.0820264457816221
2013-05-23,46.59,49.78828660436137,-0.06423773185400594
2013-05-24,45.44,49.73828660436137,-0.08641806740452673
2013-05-28,45.39,48.22828660436137,-0.05885107691353686
2013-05-29,43.88,48.898286604361374,-0.10262704386688626
2013-05-30,44.55,47.03828660436137,-0.05289917605397343
2013-05-31,42.69,47.70828660436137,-0.10518689648147228
2013-06-03,43.36,47.97828660436137,-0.09625784768940782
2013-06-04,43.63,47.38828660436137,-0.07930834545124643
2013-06-05,43.04,47.84828660436137,-0.1004902567174285
2013-06-06,43.5,48.34828660436137,-0.1002783541025013
2013-06-07,44.0,48.26828660436137,-0.08842838444519596
2013-06-10,43.92,47.93828660436137,-0.08382207394111985
2013-06-11,43.59,47.11828660436137,-0.07488147083928098
2013-06-12,42.77,47.49828660436137,-0.09954646667038314
2013-06-13,43.15,47.55828660436137,-0.09269229232402809
2013-06-14,43.21,47.35828660436137,-0.087593680046257
2013-06-17,43.01,47.88828660436137,-0.10186805480564187
2013-06-18,43.54,47.38828660436137,-0.08120754895593107
2013-06-19,43.04,45.40828660436137,-0.0521553835535804
2013-06-20,41.06,46.968286604361374,-0.12579310491204376
2013-06-21,42.62,46.23828660436137,-0.07825304244772946
2013-06-24,41.89,46.97828660436137,-0.10831145561381506
