date,NRG,dcf,Deviation
2003-12-02,9.63,,
2003-12-03,9.75,,
2003-12-04,10.13,,
2003-12-05,10.13,,
2003-12-08,10.9,,
2003-12-09,11.07,,
2003-12-10,11.25,,
2003-12-11,11.45,,
2003-12-12,11.48,,
2003-12-15,11.2,,
2003-12-16,10.98,,
2003-12-17,10.73,,
2003-12-18,10.78,,
2003-12-19,10.9,,
2003-12-22,10.83,,
2003-12-23,10.9,,
2003-12-24,10.93,,
2003-12-26,10.93,,
2003-12-29,10.9,,
2003-12-30,10.95,,
2003-12-31,10.95,,
2004-01-02,11.23,,
2004-01-05,11.2,,
2004-01-06,11.23,,
2004-01-07,11.13,,
2004-01-08,11.13,,
2004-01-09,10.58,,
2004-01-12,10.6,,
2004-01-13,10.5,,
2004-01-14,10.5,,
2004-01-15,10.43,,
2004-01-16,10.4,,
2004-01-20,10.5,,
2004-01-21,10.5,,
2004-01-22,10.75,,
2004-01-23,10.6,,
2004-01-26,10.43,,
2004-01-27,10.37,,
2004-01-28,10.25,,
2004-01-29,10.0,,
2004-01-30,10.0,,
2004-02-02,10.08,,
2004-02-03,10.15,,
2004-02-04,10.13,,
2004-02-05,10.03,,
2004-02-06,10.03,,
2004-02-09,10.0,,
2004-02-10,10.02,,
2004-02-11,10.0,,
2004-02-12,10.0,,
2004-02-13,10.02,,
2004-02-17,9.9,,
2004-02-18,9.76,,
2004-02-19,9.77,,
2004-02-20,9.77,,
2004-02-23,9.63,,
2004-02-24,9.22,,
2004-02-25,9.6,,
2004-02-26,9.58,,
2004-02-27,9.65,,
2004-03-01,10.0,,
2004-03-02,9.95,,
2004-03-03,9.99,,
2004-03-04,9.9,,
2004-03-05,9.93,,
2004-03-08,9.75,,
2004-03-09,9.75,,
2004-03-10,9.7,,
2004-03-11,9.88,,
2004-03-12,9.98,,
2004-03-15,9.93,,
2004-03-16,9.95,,
2004-03-17,10.25,,
2004-03-18,10.3,,
2004-03-19,10.33,,
2004-03-22,10.38,,
2004-03-23,10.49,,
2004-03-24,10.65,,
2004-03-25,10.66,,
2004-03-26,10.66,,
2004-03-29,10.93,,
2004-03-30,11.0,,
2004-03-31,11.1,8334.881722889879,-0.998668247448609
2004-04-01,11.12,8335.01172288988,-0.9986658687030443
2004-04-02,11.25,8335.091722889876,-0.9986502847990136
2004-04-05,11.33,8335.091722889876,-0.9986406868242511
2004-04-06,11.33,8334.961722889884,-0.9986406656231084
2004-04-07,11.2,8334.861722889882,-0.9986562464534664
2004-04-08,11.1,8334.831722889881,-0.9986682394595303
2004-04-12,11.07,8334.76172288988,-0.9986718276577004
