date,CTAS,dcf,Deviation
1983-08-19,0.95,,
1983-08-22,0.96,,
1983-08-23,0.96,,
1983-08-24,0.97,,
1983-08-25,0.98,,
1983-08-26,0.99,,
1983-08-29,1.01,,
1983-08-30,1.06,,
1983-08-31,1.06,,
1983-09-01,1.06,,
1983-09-02,1.06,,
1983-09-06,1.06,,
1983-09-07,1.05,,
1983-09-08,1.05,,
1983-09-09,1.06,,
1983-09-12,1.06,,
1983-09-13,1.06,,
1983-09-14,1.06,,
1983-09-15,1.04,,
1983-09-16,1.04,,
1983-09-19,1.04,,
1983-09-20,1.04,,
1983-09-21,1.06,,
1983-09-22,1.06,,
1983-09-23,1.06,,
1983-09-26,1.06,,
1983-09-27,1.06,,
1983-09-28,1.06,,
1983-09-29,1.08,,
1983-09-30,1.1,,
1983-10-03,1.11,,
1983-10-04,1.11,,
1983-10-05,1.12,,
1983-10-06,1.12,,
1983-10-07,1.12,,
1983-10-10,1.12,,
1983-10-11,1.12,,
1983-10-12,1.11,,
1983-10-13,1.11,,
1983-10-14,1.1,,
1983-10-17,1.13,,
1983-10-18,1.22,,
1983-10-19,1.26,,
1983-10-20,1.26,,
1983-10-21,1.25,,
1983-10-24,1.22,,
1983-10-25,1.24,,
1983-10-26,1.21,,
1983-10-27,1.14,,
1983-10-28,1.13,,
1983-10-31,1.13,,
1983-11-01,1.13,,
1983-11-02,1.13,,
1983-11-03,1.13,,
1983-11-04,1.13,,
1983-11-07,1.13,,
1983-11-08,1.13,,
1983-11-09,1.13,,
1983-11-10,1.17,,
1983-11-11,1.17,,
1983-11-14,1.17,,
1983-11-15,1.17,,
1983-11-16,1.19,,
1983-11-17,1.2,,
1983-11-18,1.2,,
1983-11-21,1.22,,
1983-11-22,1.22,,
1983-11-23,1.22,,
1983-11-25,1.22,,
1983-11-28,1.22,,
1983-11-29,1.28,,
1983-11-30,1.29,,
1983-12-01,1.3,,
1983-12-02,1.29,,
1983-12-05,1.28,,
1983-12-06,1.28,,
1983-12-07,1.28,,
1983-12-08,1.25,,
1983-12-09,1.25,,
1983-12-12,1.26,,
1983-12-13,1.25,,
1983-12-14,1.24,,
1983-12-15,1.24,,
1983-12-16,1.24,,
1983-12-19,1.24,,
1983-12-20,1.24,,
1983-12-21,1.24,,
1983-12-22,1.24,,
1983-12-23,1.24,,
1983-12-27,1.23,,
1983-12-28,1.21,,
1983-12-29,1.19,,
1983-12-30,1.19,,
1984-01-03,1.19,,
1984-01-04,1.19,,
1984-01-05,1.19,,
1984-01-06,1.19,,
1984-01-09,1.19,,
1984-01-10,1.21,,
1984-01-11,1.25,,
1984-01-12,1.25,,
1984-01-13,1.25,,
1984-01-16,1.27,,
1984-01-17,1.27,,
1984-01-18,1.28,,
1984-01-19,1.28,,
1984-01-20,1.28,,
1984-01-23,1.28,,
1984-01-24,1.28,,
1984-01-25,1.28,,
1984-01-26,1.28,,
1984-01-27,1.28,,
1984-01-30,1.28,,
1984-01-31,1.28,,
1984-02-01,1.28,,
1984-02-02,1.28,,
1984-02-03,1.25,,
1984-02-06,1.24,,
1984-02-07,1.23,,
1984-02-08,1.19,,
1984-02-09,1.14,,
1984-02-10,1.15,,
1984-02-13,1.15,,
1984-02-14,1.17,,
1984-02-15,1.17,,
1984-02-16,1.17,,
1984-02-17,1.17,,
1984-02-21,1.17,,
1984-02-22,1.17,,
1984-02-23,1.13,,
1984-02-24,1.12,,
1984-02-27,1.14,,
1984-02-28,1.1,,
1984-02-29,1.1,,
1984-03-01,1.1,,
1984-03-02,1.1,,
1984-03-05,1.12,,
1984-03-06,1.12,,
1984-03-07,1.1,,
1984-03-08,1.1,,
1984-03-09,1.1,,
1984-03-12,1.12,,
1984-03-13,1.1,,
1984-03-14,1.12,,
1984-03-15,1.11,,
1984-03-16,1.15,,
1984-03-19,1.15,,
1984-03-20,1.19,,
1984-03-21,1.2,,
1984-03-22,1.18,,
1984-03-23,1.18,,
1984-03-26,1.15,,
1984-03-27,1.14,,
1984-03-28,1.14,,
1984-03-29,1.14,,
1984-03-30,1.13,,
1984-04-02,1.13,,
1984-04-03,1.15,,
1984-04-04,1.17,,
1984-04-05,1.16,,
1984-04-06,1.15,,
1984-04-09,1.14,,
1984-04-10,1.14,,
1984-04-11,1.14,,
1984-04-12,1.15,,
1984-04-13,1.15,,
1984-04-16,1.14,,
1984-04-17,1.13,,
1984-04-18,1.14,,
1984-04-19,1.14,,
1984-04-23,1.13,,
1984-04-24,1.14,,
1984-04-25,1.16,,
1984-04-26,1.15,,
1984-04-27,1.15,,
1984-04-30,1.17,,
1984-05-01,1.2,,
1984-05-02,1.28,,
1984-05-03,1.24,,
1984-05-04,1.24,,
1984-05-07,1.24,,
1984-05-08,1.24,,
1984-05-09,1.25,,
1984-05-10,1.24,,
1984-05-11,1.24,,
1984-05-14,1.24,,
1984-05-15,1.24,,
1984-05-16,1.24,,
1984-05-17,1.24,,
1984-05-18,1.24,,
1984-05-21,1.23,,
1984-05-22,1.23,,
1984-05-23,1.23,,
1984-05-24,1.24,,
1984-05-25,1.23,,
1984-05-29,1.24,,
1984-05-30,1.22,,
1984-05-31,1.22,,
1984-06-01,1.21,,
1984-06-04,1.22,,
1984-06-05,1.22,,
1984-06-06,1.21,,
1984-06-07,1.19,,
1984-06-08,1.2,,
1984-06-11,1.19,,
1984-06-12,1.19,,
1984-06-13,1.19,,
1984-06-14,1.19,,
1984-06-15,1.18,,
1984-06-18,1.18,,
1984-06-19,1.18,,
1984-06-20,1.19,,
1984-06-21,1.18,,
1984-06-22,1.17,,
1984-06-25,1.15,,
1984-06-26,1.15,,
1984-06-27,1.17,,
1984-06-28,1.17,,
1984-06-29,1.22,,
1984-07-02,1.22,,
1984-07-03,1.22,,
1984-07-05,1.2,,
1984-07-06,1.21,,
1984-07-09,1.21,,
1984-07-10,1.21,,
1984-07-11,1.19,,
1984-07-12,1.21,,
1984-07-13,1.21,,
1984-07-16,1.19,,
1984-07-17,1.21,,
1984-07-18,1.23,,
1984-07-19,1.21,,
1984-07-20,1.21,,
1984-07-23,1.21,,
1984-07-24,1.21,,
1984-07-25,1.22,,
1984-07-26,1.21,,
1984-07-27,1.22,,
1984-07-30,1.22,,
1984-07-31,1.24,,
1984-08-01,1.23,,
1984-08-02,1.24,,
1984-08-03,1.24,,
1984-08-06,1.28,,
1984-08-07,1.28,,
1984-08-08,1.31,,
1984-08-09,1.31,,
1984-08-10,1.34,,
1984-08-13,1.35,,
1984-08-14,1.33,,
1984-08-15,1.33,,
1984-08-16,1.34,,
1984-08-17,1.36,,
1984-08-20,1.34,,
1984-08-21,1.34,,
1984-08-22,1.37,,
1984-08-23,1.36,,
1984-08-24,1.36,,
1984-08-27,1.35,,
1984-08-28,1.36,,
1984-08-29,1.35,,
1984-08-30,1.35,,
1984-08-31,1.35,,
1984-09-04,1.35,,
1984-09-05,1.36,,
1984-09-06,1.36,,
1984-09-07,1.36,,
1984-09-10,1.36,,
1984-09-11,1.36,,
1984-09-12,1.36,,
1984-09-13,1.36,,
1984-09-14,1.35,,
1984-09-17,1.38,,
1984-09-18,1.37,,
1984-09-19,1.37,,
1984-09-20,1.37,,
1984-09-21,1.37,,
1984-09-24,1.37,,
1984-09-25,1.35,,
1984-09-26,1.38,,
1984-09-27,1.4,,
1984-09-28,1.4,,
1984-10-01,1.42,,
1984-10-02,1.43,,
1984-10-03,1.42,,
1984-10-04,1.42,,
1984-10-05,1.42,,
1984-10-08,1.42,,
1984-10-09,1.44,,
1984-10-10,1.42,,
1984-10-11,1.44,,
1984-10-12,1.44,,
1984-10-15,1.44,,
1984-10-16,1.42,,
1984-10-17,1.42,,
1984-10-18,1.43,,
1984-10-19,1.44,,
1984-10-22,1.46,,
1984-10-23,1.46,,
1984-10-24,1.43,,
1984-10-25,1.44,,
1984-10-26,1.44,,
1984-10-29,1.44,,
1984-10-30,1.44,,
1984-10-31,1.44,,
1984-11-01,1.44,,
1984-11-02,1.44,,
1984-11-05,1.44,,
1984-11-06,1.47,,
1984-11-07,1.47,,
1984-11-08,1.46,,
1984-11-09,1.47,,
1984-11-12,1.47,,
1984-11-13,1.44,,
1984-11-14,1.45,,
1984-11-15,1.44,,
1984-11-16,1.44,,
1984-11-19,1.44,,
1984-11-20,1.44,,
1984-11-21,1.45,,
1984-11-23,1.49,,
1984-11-26,1.49,,
1984-11-27,1.49,,
1984-11-28,1.49,,
1984-11-29,1.49,,
1984-11-30,1.49,,
1984-12-03,1.49,,
1984-12-04,1.49,,
1984-12-05,1.47,,
1984-12-06,1.49,,
1984-12-07,1.47,,
1984-12-10,1.47,,
1984-12-11,1.45,,
1984-12-12,1.47,,
1984-12-13,1.47,,
1984-12-14,1.47,,
1984-12-17,1.47,,
1984-12-18,1.45,,
1984-12-19,1.45,,
1984-12-20,1.46,,
