date,AIZ,dcf,Deviation
2004-02-05,24.7,,
2004-02-06,24.85,,
2004-02-09,24.47,,
2004-02-10,24.35,,
2004-02-11,24.25,,
2004-02-12,24.68,,
2004-02-13,24.7,,
2004-02-17,24.6,,
2004-02-18,25.4,,
2004-02-19,25.68,,
2004-02-20,25.35,,
2004-02-23,24.55,,
2004-02-24,24.8,,
2004-02-25,24.85,,
2004-02-26,25.24,,
2004-02-27,25.74,,
2004-03-01,25.8,,
2004-03-02,25.94,,
2004-03-03,25.48,,
2004-03-04,25.21,,
2004-03-05,25.55,,
2004-03-08,25.48,,
2004-03-09,25.0,,
2004-03-10,24.65,,
2004-03-11,24.2,,
2004-03-12,24.5,,
2004-03-15,24.0,,
2004-03-16,24.23,,
2004-03-17,24.07,,
2004-03-18,23.8,,
2004-03-19,23.74,,
2004-03-22,23.7,,
2004-03-23,24.0,,
2004-03-24,23.8,,
2004-03-25,23.96,,
2004-03-26,24.1,,
2004-03-29,24.37,,
2004-03-30,24.72,,
2004-03-31,25.15,4455.870100667535,-0.9943557600576749
2004-04-01,25.25,4455.840100667535,-0.9943332795994593
2004-04-02,25.22,4456.130100667534,-0.9943403806822826
2004-04-05,25.51,4456.560100667534,-0.9942758541512368
2004-04-06,25.94,4456.350100667534,-0.9941790928867742
2004-04-07,25.73,4456.840100667535,-0.994226851442091
2004-04-08,26.22,4456.500100667534,-0.9941164592375814
2004-04-12,25.88,4455.870100667535,-0.9941919312243589
2004-04-13,25.25,4455.810100667534,-0.9943332414466637
2004-04-14,25.19,4455.870100667535,-0.9943467831353013
2004-04-15,25.25,4456.160100667534,-0.9943336865306484
2004-04-16,25.54,4456.350100667534,-0.9942688524413343
2004-04-19,25.73,4456.170100667534,-0.9942259834299985
2004-04-20,25.55,4455.8201006675345,-0.9942659264910241
2004-04-21,25.2,4455.8201006675345,-0.9943444754432018
2004-04-22,25.2,4455.650100667534,-0.9943442596634272
2004-04-23,25.03,4455.520100667534,-0.9943822495613363
2004-04-26,24.9,4455.790100667534,-0.9944117654922143
2004-04-27,25.17,4455.620100667535,-0.9943509546524784
2004-04-28,25.0,4455.340100667535,-0.9943887560915373
2004-04-29,24.72,4454.980100667534,-0.9944511536659174
2004-04-30,24.36,4455.620100667535,-0.9945327475301697
2004-05-03,25.0,4455.370100667535,-0.9943887938745528
2004-05-04,24.75,4455.310100667534,-0.994444831124933
2004-05-05,24.69,4455.270100667534,-0.9944582484468673
2004-05-06,24.65,4454.720100667534,-0.9944665434768155
2004-05-07,24.1,4454.620100667535,-0.9945898865772216
2004-05-10,24.0,4454.880100667534,-0.994612649620715
2004-05-11,24.26,4455.020100667534,-0.9945544577910288
2004-05-12,24.4,4455.610100667534,-0.994523757813471
2004-05-13,24.99,4455.620100667535,-0.9943913530697431
2004-05-14,25.0,4454.9901006675345,-0.9943883152520914
2004-05-17,24.37,4455.460100667535,-0.9945303067585884
2004-05-18,24.84,4455.370100667535,-0.9944247055937556
2004-05-19,24.75,4455.620100667535,-0.9944452176260961
2004-05-20,25.0,4455.550100667534,-0.9943890205619605
2004-05-21,24.93,4455.620100667535,-0.9944048192088313
2004-05-24,25.0,4455.270100667534,-0.9943886679291892
2004-05-25,24.65,4455.420100667534,-0.9944674128492829
