date,VNO,dcf,Deviation
1989-09-19,5.84,,
1989-09-20,5.73,,
1989-09-21,5.73,,
1989-09-22,5.73,,
1989-09-25,5.82,,
1989-09-26,5.73,,
1989-09-27,5.78,,
1989-09-28,5.73,,
1989-09-29,5.73,,
1989-10-02,5.75,,
1989-10-03,5.75,,
1989-10-04,5.73,,
1989-10-05,5.78,,
1989-10-06,5.7,,
1989-10-09,5.64,,
1989-10-10,5.7,,
1989-10-11,5.76,,
1989-10-12,5.7,,
1989-10-13,5.78,,
1989-10-16,5.79,,
1989-10-17,5.73,,
1989-10-18,5.75,,
1989-10-19,5.73,,
1989-10-20,5.75,,
1989-10-23,5.78,,
1989-10-24,5.75,,
1989-10-25,5.79,,
1989-10-26,5.79,,
1989-10-27,5.7,,
1989-10-30,5.75,,
1989-10-31,5.75,,
1989-11-01,5.71,,
1989-11-02,5.68,,
1989-11-03,5.7,,
1989-11-06,5.7,,
1989-11-07,5.7,,
1989-11-08,5.7,,
1989-11-09,5.7,,
1989-11-10,5.7,,
1989-11-13,5.7,,
1989-11-14,5.7,,
1989-11-15,5.7,,
1989-11-16,5.7,,
1989-11-17,5.7,,
1989-11-20,5.63,,
1989-11-21,5.64,,
1989-11-22,5.7,,
1989-11-24,5.7,,
1989-11-27,5.68,,
1989-11-28,5.75,,
1989-11-29,5.75,,
1989-11-30,5.73,,
1989-12-01,5.78,,
1989-12-04,5.77,,
1989-12-05,5.78,,
1989-12-06,5.79,,
1989-12-07,5.79,,
1989-12-08,5.78,,
1989-12-11,5.78,,
1989-12-12,5.73,,
1989-12-13,5.73,,
1989-12-14,5.73,,
1989-12-15,5.73,,
1989-12-18,5.66,,
1989-12-19,5.56,,
1989-12-20,5.49,,
1989-12-21,5.48,,
1989-12-22,5.55,,
1989-12-26,5.44,,
1989-12-27,5.49,,
1989-12-28,5.51,,
1989-12-29,5.51,,
1990-01-02,5.44,,
1990-01-03,5.37,,
1990-01-04,5.34,,
1990-01-05,5.34,,
1990-01-08,5.36,,
1990-01-09,5.32,,
1990-01-10,5.34,,
1990-01-11,5.41,,
1990-01-12,5.41,,
1990-01-15,5.32,,
1990-01-16,5.3,,
1990-01-17,5.32,,
1990-01-18,5.3,,
1990-01-19,5.32,,
1990-01-22,5.34,,
1990-01-23,5.36,,
1990-01-24,5.25,,
1990-01-25,5.22,,
1990-01-26,5.18,,
1990-01-29,5.08,,
1990-01-30,5.03,,
1990-01-31,5.01,,
1990-02-01,5.07,,
1990-02-02,5.07,,
1990-02-05,5.05,,
1990-02-06,5.06,,
1990-02-07,5.05,,
1990-02-08,5.08,,
1990-02-09,5.05,,
1990-02-12,5.12,,
1990-02-13,5.12,,
1990-02-14,5.03,,
1990-02-15,5.03,,
1990-02-16,5.01,,
1990-02-20,5.07,,
1990-02-21,4.98,,
1990-02-22,5.03,,
1990-02-23,5.07,,
1990-02-26,5.07,,
1990-02-27,5.15,,
1990-02-28,5.13,,
1990-03-01,5.13,,
1990-03-02,5.19,,
