date,CCL,dcf,Deviation
1990-07-25,5.47,,
1990-07-26,5.53,,
1990-07-27,5.41,,
1990-07-30,5.22,,
1990-07-31,5.22,,
1990-08-01,5.19,,
1990-08-02,4.88,,
1990-08-03,4.78,,
1990-08-06,4.41,,
1990-08-07,4.47,,
1990-08-08,4.5,,
1990-08-09,4.56,,
1990-08-10,4.5,,
1990-08-13,4.41,,
1990-08-14,4.63,,
1990-08-15,4.72,,
1990-08-16,4.59,,
1990-08-17,4.38,,
1990-08-20,4.16,,
1990-08-21,3.91,,
1990-08-22,3.94,,
1990-08-23,3.66,,
1990-08-24,3.84,,
1990-08-27,4.38,,
1990-08-28,4.38,,
1990-08-29,4.38,,
1990-08-30,4.38,,
1990-08-31,4.41,,
1990-09-04,4.38,,
1990-09-05,4.44,,
1990-09-06,4.41,,
1990-09-07,4.44,,
1990-09-10,4.31,,
1990-09-11,4.09,,
1990-09-12,4.09,,
1990-09-13,4.0,,
1990-09-14,3.91,,
1990-09-17,3.91,,
1990-09-18,3.91,,
1990-09-19,3.81,,
1990-09-20,3.75,,
1990-09-21,3.66,,
1990-09-24,3.41,,
1990-09-25,3.47,,
1990-09-26,3.44,,
1990-09-27,3.34,,
1990-09-28,3.13,,
1990-10-01,3.22,,
1990-10-02,3.47,,
1990-10-03,3.44,,
1990-10-04,3.0,,
1990-10-05,2.84,,
1990-10-08,2.88,,
1990-10-09,2.81,,
1990-10-10,2.88,,
1990-10-11,2.75,,
1990-10-12,2.78,,
1990-10-15,2.88,,
1990-10-16,2.88,,
1990-10-17,2.91,,
1990-10-18,3.25,,
1990-10-19,3.5,,
1990-10-22,3.53,,
1990-10-23,3.5,,
1990-10-24,3.31,,
1990-10-25,3.25,,
1990-10-26,3.19,,
1990-10-29,3.16,,
1990-10-30,3.13,,
1990-10-31,3.16,,
1990-11-01,3.25,,
1990-11-02,3.34,,
1990-11-05,3.41,,
1990-11-06,3.5,,
1990-11-07,3.25,,
1990-11-08,3.16,,
1990-11-09,3.31,,
1990-11-12,3.44,,
1990-11-13,3.53,,
1990-11-14,3.69,,
1990-11-15,3.63,,
1990-11-16,3.56,,
1990-11-19,3.66,,
1990-11-20,3.56,,
1990-11-21,3.47,,
1990-11-23,3.41,,
1990-11-26,3.41,,
1990-11-27,3.38,,
1990-11-28,3.38,,
1990-11-29,3.34,,
1990-11-30,3.31,,
1990-12-03,3.41,,
1990-12-04,3.59,,
1990-12-05,3.72,,
1990-12-06,3.69,,
1990-12-07,3.69,,
1990-12-10,3.81,,
1990-12-11,3.78,,
1990-12-12,3.81,,
1990-12-13,3.88,,
1990-12-14,3.81,,
1990-12-17,3.84,,
1990-12-18,3.91,,
1990-12-19,3.91,,
1990-12-20,3.88,,
1990-12-21,3.78,,
1990-12-24,3.59,,
1990-12-26,3.63,,
1990-12-27,3.5,,
1990-12-28,3.5,,
1990-12-31,3.53,,
1991-01-02,3.53,,
1991-01-03,3.47,,
1991-01-04,3.41,,
1991-01-07,3.25,,
1991-01-08,3.22,,
1991-01-09,3.22,,
1991-01-10,3.16,,
1991-01-11,3.09,,
1991-01-14,3.09,,
1991-01-15,3.19,,
1991-01-16,3.41,,
1991-01-17,3.66,,
1991-01-18,3.72,,
1991-01-21,3.63,,
1991-01-22,3.69,,
1991-01-23,3.56,,
1991-01-24,3.63,,
1991-01-25,3.69,,
1991-01-28,3.72,,
1991-01-29,3.72,,
1991-01-30,4.0,,
1991-01-31,4.19,,
1991-02-01,4.41,,
1991-02-04,4.28,,
1991-02-05,4.28,,
1991-02-06,4.47,,
1991-02-07,4.63,,
1991-02-08,4.78,,
1991-02-11,4.81,,
1991-02-12,4.75,,
1991-02-13,4.78,,
1991-02-14,4.78,,
1991-02-15,4.78,,
1991-02-19,4.78,,
1991-02-20,4.63,,
1991-02-21,4.41,,
1991-02-22,4.38,,
1991-02-25,4.31,,
1991-02-26,4.22,,
1991-02-27,4.13,,
1991-02-28,4.38,,
1991-03-01,4.66,,
1991-03-04,4.66,,
1991-03-05,4.66,,
1991-03-06,4.84,,
1991-03-07,4.91,,
1991-03-08,5.19,,
1991-03-11,5.16,,
1991-03-12,5.06,,
1991-03-13,5.06,,
1991-03-14,5.09,,
1991-03-15,4.97,,
1991-03-18,4.91,,
1991-03-19,4.69,,
1991-03-20,4.75,,
1991-03-21,4.91,,
1991-03-22,4.84,,
1991-03-25,4.81,,
1991-03-26,5.0,,
1991-03-27,4.94,,
1991-03-28,5.0,,
1991-04-01,5.03,,
1991-04-02,5.19,,
1991-04-03,5.28,,
1991-04-04,5.44,,
1991-04-05,5.34,,
1991-04-08,5.34,,
1991-04-09,5.38,,
1991-04-10,5.28,,
1991-04-11,5.41,,
1991-04-12,5.47,,
1991-04-15,5.44,,
1991-04-16,5.91,,
1991-04-17,6.13,,
1991-04-18,6.25,,
1991-04-19,6.16,,
1991-04-22,5.94,,
1991-04-23,6.03,,
1991-04-24,6.16,,
1991-04-25,6.0,,
1991-04-26,5.97,,
1991-04-29,5.94,,
1991-04-30,6.06,,
1991-05-01,6.06,,
1991-05-02,6.19,,
1991-05-03,6.16,,
1991-05-06,6.03,,
1991-05-07,6.0,,
1991-05-08,6.13,,
1991-05-09,6.28,,
1991-05-10,6.13,,
1991-05-13,5.97,,
1991-05-14,5.84,,
1991-05-15,5.66,,
1991-05-16,5.72,,
1991-05-17,5.72,,
1991-05-20,5.69,,
1991-05-21,5.69,,
1991-05-22,5.78,,
1991-05-23,5.75,,
1991-05-24,5.81,,
1991-05-28,5.94,,
1991-05-29,5.97,,
1991-05-30,5.75,,
1991-05-31,5.94,,
1991-06-03,5.94,,
1991-06-04,5.91,,
1991-06-05,5.97,,
1991-06-06,5.91,,
1991-06-07,5.75,,
1991-06-10,5.69,,
1991-06-11,5.75,,
1991-06-12,5.75,,
1991-06-13,5.69,,
1991-06-14,5.72,,
1991-06-17,5.72,,
1991-06-18,5.56,,
1991-06-19,5.38,,
1991-06-20,5.38,,
1991-06-21,5.47,,
1991-06-24,5.38,,
1991-06-25,5.38,,
1991-06-26,5.38,,
1991-06-27,5.47,,
1991-06-28,5.25,,
1991-07-01,5.06,,
1991-07-02,5.22,,
